name,brand,description,price,image_url,product_page_url
Tasselli QS-6,BigMat,N/A,N/A,https://www.bigmat.it/img/p/it-default-large_default.jpg,https://www.bigmat.it/tasselli-rivetti/328-tasselli-qs-6.html
SPECIAL 5 BIGMAT,BigMat,N/A,N/A,https://www.bigmat.it/287-large_default/special-5-bigmat.jpg,https://www.bigmat.it/monostrato-accoppiato-multistrato-agglomerato/327-special-5-bigmat.html
"Secchio per Vernice a Marchio BigMat - 18,8 l",BigMat,N/A,N/A,https://www.bigmat.it/277-large_default/secchio-per-vernice-a-marchio-bigmat-188-l.jpg,https://www.bigmat.it/secchi-per-pittura-e-retine/317-secchio-per-vernice-a-marchio-bigmat-188-l.html
Schermo freno vapore impermeabile BIG VE 165,BigMat,N/A,N/A,https://www.bigmat.it/274-large_default/schermo-freno-vapore-impermeabile-big-ve-165.jpg,https://www.bigmat.it/barriere-e-freno-vapore/314-schermo-freno-vapore-impermeabile-big-ve-165.html
RETE DA CAPPOTTO 1X50,BigMat,N/A,N/A,https://www.bigmat.it/262-large_default/rete-da-cappotto-1x50.jpg,https://www.bigmat.it/rete-da-cappotto/302-rete-da-cappotto-1x50.html
"Pennello da smalto BIGMAT
Setola bionda 20mm",BigMat,N/A,N/A,https://www.bigmat.it/213-large_default/pennello-da-smalto-bigmat-setola-bionda-20mm.jpg,https://www.bigmat.it/pennelli/253-pennello-da-smalto-bigmat-setola-bionda-20mm.html
NEODUR BIGMAT 030 SB,BigMat,N/A,N/A,https://www.bigmat.it/209-large_default/neodur-bigmat-030-sb.jpg,https://www.bigmat.it/eps-polistirene-espanso/249-neodur-bigmat-030-sb.html
MEMBRANA IMPERMEABILE BIG05 3 MM BigMat,BigMat,N/A,N/A,https://www.bigmat.it/200-large_default/membrana-impermeabile-big05-3-mm-bigmat.jpg,https://www.bigmat.it/impermeabilizzanti-guaine-bituminose/240-membrana-impermeabile-big05-3-mm-bigmat.html
Membrana impermeabile ad alta traspirazione BIG AIR 150,BigMat,N/A,N/A,https://www.bigmat.it/199-large_default/membrana-impermeabile-ad-alta-traspirazione-big-air-150.jpg,https://www.bigmat.it/membrane-traspiranti-e-teli-traspiranti/239-membrana-impermeabile-ad-alta-traspirazione-big-air-150.html
INTONACO DEUMIDIFICANTE Bg 25KG BigMat,BigMat,N/A,N/A,https://www.bigmat.it/177-large_default/intonaco-deumidificante-bg-25kg-bigmat.jpg,https://www.bigmat.it/intonaci/217-intonaco-deumidificante-bg-25kg-bigmat.html
Impugnatura per rulli BICOMPONENTE,BigMat,N/A,N/A,https://www.bigmat.it/176-large_default/impugnatura-per-rulli-bicomponente.jpg,https://www.bigmat.it/rulli-per-dipingere/216-impugnatura-per-rulli-bicomponente.html
Idropittura al quarzo  LT 14,BigMat,N/A,N/A,https://www.bigmat.it/166-large_default/idropittura-al-quarzo-lt-14.jpg,https://www.bigmat.it/centro-colore-colorificio/206-idropittura-al-quarzo-lt-14.html
GUANTO NYLON BLU PALMO SCHIUMATO L,BigMat,GUANTO NYLON BLU PALMO SCHIUMATO L,N/A,https://www.bigmat.it/3118-large_default/guanto-nylon-blu-palmo-schiumato-l.jpg,https://www.bigmat.it/abbigliamento-da-lavoro/194-guanto-nylon-blu-palmo-schiumato-l.html
Fixmat adesivo per costruzioni BigMat - 290 ml,BigMat,N/A,N/A,https://www.bigmat.it/147-large_default/fixmat-adesivo-per-costruzioni-bigmat-290-ml.jpg,https://www.bigmat.it/accessori-sigillanti-e-sigillanti-vari/187-fixmat-adesivo-per-costruzioni-bigmat-290-ml.html
FINITURA RASANTE Bg 25KG BigMat,BigMat,N/A,N/A,https://www.bigmat.it/146-large_default/finitura-rasante-bg-25kg-bigmat.jpg,https://www.bigmat.it/rasanti/186-finitura-rasante-bg-25kg-bigmat.html
FILM ESTENSIBILE,BigMat,N/A,N/A,https://www.bigmat.it/145-large_default/film-estensibile.jpg,https://www.bigmat.it/nastri-di-carta/185-film-estensibile.html
FASCIA PERIMETRALE RETICOLATA BIGMAT,BigMat,N/A,N/A,https://www.bigmat.it/141-large_default/fascia-perimetrale-reticolata-bigmat.jpg,https://www.bigmat.it/varie-e-accessori-isolanti/181-fascia-perimetrale-reticolata-bigmat.html
DuoFix 2FX EVO TPS Zincata Gialla 45X40,BigMat,N/A,N/A,https://www.bigmat.it/img/p/it-default-large_default.jpg,https://www.bigmat.it/viti/136-duofix-2fx-evo-tps-zincata-gialla-45x40-8011473367523.html
CUTTER BIGMAT 18mm,BigMat,N/A,N/A,https://www.bigmat.it/128-large_default/cutter-bigmat-18mm.jpg,https://www.bigmat.it/attrezzature-varie-banchi-da-lavoro/126-cutter-bigmat-18mm.html
Cuneo per basi livellanti piastrelle (Conf. 100 pz,BigMat,N/A,N/A,https://www.bigmat.it/127-large_default/cuneo-per-basi-livellanti-piastrelle-conf-100-pz.jpg,https://www.bigmat.it/accessori-profili-giunti-per-pavimenti/125-cuneo-per-basi-livellanti-piastrelle-conf-100-pz.html
Coperchio con Maniglia - BigMat 200x200,BigMat,N/A,N/A,https://www.bigmat.it/123-large_default/coperchio-con-maniglia-bigmat-200x200.jpg,https://www.bigmat.it/pozzetti-anelli-chiusini-in-pvc/121-coperchio-con-maniglia-bigmat-200x200.html
Controtelaio intonaco 600x2000 sp.105 - BigMat,BigMat,N/A,N/A,https://www.bigmat.it/115-large_default/controtelaio-intonaco-600x2000sp105-bigmat.jpg,https://www.bigmat.it/controtelai-per-muratura/113-controtelaio-intonaco-600x2000sp105-bigmat.html
"Controtelaio Domopiu spessore muro 10,5 cm BigMat",BigMat,N/A,N/A,https://www.bigmat.it/110-large_default/controtelaio-domopiu-spessore-muro-105-cmbigmat.jpg,https://www.bigmat.it/falsi-telai/108-controtelaio-domopiu-spessore-muro-105-cmbigmat.html
CHIUSINO BIGMAT IN GHISA SFEROIDALE A NORMA EN 124 SERIE LEONARDO ERMETICO C250 40X40 CM,BigMat,N/A,N/A,https://www.bigmat.it/104-large_default/chiusino-bigmat-in-ghisa-sferoidale-a-norma-en-124-serie-leonardo-ermetico-c250-40x40-cm.jpg,https://www.bigmat.it/chiusini-e-griglie-in-ghisa/102-chiusino-bigmat-in-ghisa-sferoidale-a-norma-en-124-serie-leonardo-ermetico-c250-40x40-cm.html
