name,brand,description,price,image_url,product_page_url
LITRON,Boero,- smalto brillante per ferro e legno,N/A,https://shop.boero.it/media/immagini/359_n_LITRON_750.png,https://shop.boero.it/prodotti/litron
LITRON,Boero,- smalto brillante per ferro e legno,N/A,https://shop.boero.it/media/immagini/354_n_LITRON_750.png,https://shop.boero.it/prodotti/litron-2
DURUM SATINATO,Boero,- smalto antiruggine alte prestazioni,N/A,https://shop.boero.it/media/immagini/351_n_DURUM-SATINATO_750.png,https://shop.boero.it/prodotti/durum-satinato
SATINELLO,Boero,- smalto antiruggine satinato,N/A,https://shop.boero.it/media/immagini/348_n_SATINELLO_750.png,https://shop.boero.it/prodotti/satinello
FERROPIU' MICACEO,Boero,- smalto antiruggine antichizzato,N/A,https://shop.boero.it/media/immagini/345_n_FERROPIU-MICACEO_750.png,https://shop.boero.it/prodotti/ferropiu-micaceo
BIOFER,Boero,- fondo anticorrosivo e finitura per supporti difficili,N/A,https://shop.boero.it/media/immagini/342_n_BIOFER_2.5.png,https://shop.boero.it/prodotti/biofer
CASABELLA,Boero,- pittura opaca di qualità,N/A,https://shop.boero.it/media/immagini/339_n_CASABELLA_2.5.png,https://shop.boero.it/prodotti/casabella
MAGNUM BRILLANTE,Boero,- smalto brillante all’acqua HACCP e A+,N/A,https://shop.boero.it/media/immagini/336_n_MAGNUM-BRILLANTE_750.png,https://shop.boero.it/prodotti/magnum-brillante
MAGNUM SATINATO,Boero,- smalto satinato all’acqua haccp e a+,N/A,https://shop.boero.it/media/immagini/333_n_MAGNUM-SATINATO_750.png,https://shop.boero.it/prodotti/magnum-satinato
MAGNUM OPACO,Boero,- smalto opaco all’acqua haccp e a+,N/A,https://shop.boero.it/media/immagini/329_n_MAGNUM-OPACO_750.png,https://shop.boero.it/prodotti/magnum-opaco
PRIMER HP,Boero,- fondo multisupporto all’acqua,N/A,https://shop.boero.it/media/immagini/326_n_PRIMERHP_2.5.png,https://shop.boero.it/prodotti/primer-hp
CASABELLA ALL'ACQUA,Boero,- pittura opaca di fondo all'acqua,N/A,https://shop.boero.it/media/immagini/323_n_CASABELLA-ACQUA_2.5.png,https://shop.boero.it/prodotti/casabella-allacqua
BIOLEGNO,Boero,- impregnante protettivo per legno,N/A,https://shop.boero.it/media/immagini/320_n_BIOLEGNO_750.png,https://shop.boero.it/prodotti/biolegno
BIOSETA,Boero,- finitura satinata per legno,N/A,https://shop.boero.it/media/immagini/317_n_BIOSETA_750.png,https://shop.boero.it/prodotti/bioseta
ALTURA GLOSS,Boero,- vernice per legno extra brillante,N/A,https://shop.boero.it/media/immagini/314_n_ALTURA-GLOSS_750.png,https://shop.boero.it/prodotti/altura-gloss
ALTURA SILK,Boero,- vernice poliuretanica per legno satinata,N/A,https://shop.boero.it/media/immagini/311_n_ALTURA-SILK_750.png,https://shop.boero.it/prodotti/altura-silk
BIOLEGNO ACQUA,Boero,- impregnante protettivo per legno all’acqua,N/A,https://shop.boero.it/media/immagini/308_n_BIOLEGNO-ACQUA_750.png,https://shop.boero.it/prodotti/biolegno-acqua
