nome_prodotto,marca,descrizione,url_immagine
Disco diamantato EXPERT Hard Ceramic Per smerigliatrici angolari mini,Bosch,"Elevata precisione nel taglio delle piastrelle dure
Taglio preciso e di alta qualità con Bosch Diamond Technology
Taglio senza trucioli grazie al bordo continuo appositamente progettato
Con foro da 10 mm per mini smerigliatrice",https://www.bosch-professional.com/it/it/ocsmedia/335607-82/product-image/720x410/disco-diamantato-expert-hardceramic-76-mm-76-x-1-5-x-10-mm-2608900652.png
Mola a tazza diamantata EXPERT Concrete Per levigatrici per calcestruzzo,Bosch,"Levigatura del calcestruzzo a elevata velocità
Smerigliatura rapida con Bosch Diamond Technology
Il materiale di scarto viene estratto in modo efficiente attraverso grandi scanalature per la polvere
Con foro di 22,23 mm per levigatrice per calcestruzzo e smerigliatrici angolari con dado di bloccaggio",https://www.bosch-professional.com/it/it/ocsmedia/335626-82/product-image/720x410/mola-a-tazza-diamantata-expert-concrete-125-x-22-23-x-4-5-mm-2608900651.png
Disco diamantato EXPERT Hard Ceramic Per piccole smerigliatrici angolari,Bosch,"Elevata precisione nel taglio delle piastrelle dure
Taglio preciso e di alta qualità con Bosch Diamond Technology
Taglio senza trucioli grazie al bordo continuo appositamente progettato
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/335611-82/product-image/720x410/disco-diamantato-expert-hard-ceramic-2868235.png
Disco diamantato EXPERT Hard Ceramic Per piccole smerigliatrici angolari,Bosch,"Elevata precisione nel taglio delle piastrelle dure
Taglio preciso e di alta qualità con Bosch Diamond Technology
Taglio senza trucioli grazie al bordo continuo appositamente progettato
Fissalo con X-LOCK o usalo con smerigliatrici angolari con dado e filettatura",https://www.bosch-professional.com/it/it/ocsmedia/335603-82/product-image/720x410/disco-diamantato-expert-hard-ceramic-2867631.png
Disco diamantato EXPERT Multi Material Per piccole smerigliatrici angolari,Bosch,"Lunga durata nel taglio di materiali da costruzione
Tagliente eccezionalmente resistente con Bosch Diamond Technology
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/344501-82/product-image/720x410/disco-diamantato-expert-multi-material-2867632.png
Disco diamantato EXPERT Multi Material Per piccole smerigliatrici angolari,Bosch,"Lunga durata nel taglio di materiali da costruzione
Tagliente eccezionalmente resistente con Bosch Diamond Technology
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Fissalo con X-LOCK o usalo con smerigliatrici angolari con dado e filettatura",https://www.bosch-professional.com/it/it/ocsmedia/335591-82/product-image/720x410/disco-diamantato-expert-multi-material-2867633.png
"Disco diamantato EXPERT Multi Material Per seghe da banco, Per mototroncatrici a scoppio",Bosch,"Lunga durata nel taglio di materiali da costruzione
Tagliente eccezionalmente resistente con Bosch Diamond Technology
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 25,4 mm, si adatta a fori da 20 mm con anelli di riduzione",https://www.bosch-professional.com/it/it/ocsmedia/344357-82/product-image/720x410/disco-diamantato-expert-multi-material-2868860.png
Disco diamantato EXPERT Multi Material Per smerigliatrici angolari grandi con dado di serraggio,Bosch,"Lunga durata nel taglio di materiali da costruzione
Tagliente eccezionalmente resistente con Bosch Diamond Technology
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/344509-82/product-image/720x410/disco-diamantato-expert-multi-material-2868971.png
Disco diamantato EXPERT Multi Material Turbo Per smerigliatrici angolari grandi con dado di serraggio,Bosch,"Lunga durata nel taglio di vari materiali
Tagliente eccezionalmente resistente con Bosch Diamond Technology
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/411186-82/product-image/720x410/disco-diamantato-expert-multimaterial-230-x-22-23-x-2-4-x-15-mm-2608901598.png
Disco diamantato EXPERT Multi Material Turbo Per piccole smerigliatrici angolari,Bosch,"Lunga durata nel taglio di vari materiali
Tagliente eccezionalmente resistente con Bosch Diamond Technology
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Fissalo con X-LOCK o usalo con smerigliatrici angolari con dado e filettatura",https://www.bosch-professional.com/it/it/ocsmedia/411178-82/product-image/720x410/disco-diamantato-expert-multi-material-turbo-3009596.png
