nome_prodotto,marca,descrizione,url_immagine
GSB 12V-35 Professional Trapani battenti – Avvitatori a batteria,Bosch,"Il più alto numero di colpi nella categoria da 12 V, che consente una potente foratura a percussione fino a Ø 10 mm nelle opere in muratura
La struttura compatta consente una perfetta maneggevolezza e un facile utilizzo, anche in situazioni di lavoro difficili
Elevata velocità di rotazione di 1.750 giri/min per un’ampia varietà di lavori",https://www.bosch-professional.com/it/it/ocsmedia/329554-54/application-image/1434x828/trapani-battenti-avvitatori-a-batteria-gsb-12v-35-06019j9001.png
GSR 12V-35 HX Professional Avvitatore a batteria,Bosch,"Avvitatore a batteria estremamente compatto nella classe da 12 V che consente un facile accesso a spazi limitati e ristretti
Grazie al numero di giri massimo di 1750 giri/min, GSR 12V-35 HX è l’avvitatore a batteria a 2 velocità più veloce nella categoria da 12 V
Interfaccia portabit da 1/4"" bloccabile per una facile sostituzione dei bit",https://www.bosch-professional.com/it/it/ocsmedia/329482-54/application-image/1434x828/avvitatore-a-batteria-gsr-12v-35-hx-06019j9102.png
GSR 12V-35 FC Professional Trapano avvitatore a batteria,Bosch,"FlexiClick System: accessori di facile utilizzo in grado di offrire fino a 8 combinazioni
Estremamente compatto e tuttavia molto potente, con 35 Nm e 1,750 giri/min garantisce un’ottimale maneggevolezza anche in punti difficili da raggiungere
Il motore brushless con il sistema Electronic Motor Protection previene il sovraccarico ed assicura una lunga durata dell’utensile",https://www.bosch-professional.com/it/it/ocsmedia/298262-54/application-image/1434x828/trapano-avvitatore-a-batteria-gsr-12v-35-fc-06019h3002.png
GGP 12V-25 Professional Potatore a batteria,Bosch,"Taglia senza fatica rami con diametro fino a 25 mm grazie al potente motore brushless
La batteria da 12 V ad alte prestazioni consente fino a 4500 tagli per ogni carica
Peso di soli 0,83 kg e design ergonomico per una facile maneggevolezza durante le lunghe sessioni di potatura",https://www.bosch-professional.com/it/it/ocsmedia/523818-54/application-image/1434x828/potatore-a-batteria-ggp-12v-25-06008d8101.png
GSR 12V-35 Professional Trapano avvitatore a batteria,Bosch,"Il design compatto consente una manovrabilità ottimale dell’utensile specialmente nel caso dei lavori sopra-testa o in spazi ristretti
Ottimo rapporto prestazioni-dimensioni: 35 Nm di coppia, 0-1,750 giri/min, lunghezza della testa 154 mm
Il motore brushless con il sistema Electronic Motor Protection previene il sovraccarico ed assicura una lunga durata dell’utensile",https://www.bosch-professional.com/it/it/ocsmedia/298240-54/application-image/1434x828/trapano-avvitatore-a-batteria-gsr-12v-35-06019h8001.png
GPB 18VH-6 SRC Professional Radio,Bosch,"Per godere di un sound straordinario con DAB+, FM, Bluetooth®, AUX e Multi-Speaker Sound
Quando la radio è collegata alla rete elettrica, consente di ricaricare le batterie da 12 V e 18 V
La compatibilità con L-BOXX semplifica il trasporto della radio in ogni cantiere",https://www.bosch-professional.com/it/it/ocsmedia/454101-54/application-image/1434x828/radio-gpb-18vh-6-src-06014a6200.png
GHH 12+18V XA S Professional Felpa riscaldabile,Bosch,"Ideale capo mid-layer, per mantenere il calore anche con basse temperature e cattivo tempo
Riscaldamento a tre zone e regolabile su tre livelli, per un calore durevole e distribuito in maniera ideale
Agevole ricarica di dispositivi USB, tramite la porta integrata dell’adattatore batteria",https://www.bosch-professional.com/it/it/ocsmedia/375955-54/application-image/1434x828/felpa-riscaldabile-ghh-12-18v-xa-s-06188000ep.png
GPB 18V-6 C Professional Altoparlante Bluetooth®,Bosch,"Per un suono eccezionale e cristallino tramite Bluetooth®, USB o Multi-Speaker Sound
Condivisione e collegamento di streaming musicali tramite Bluetooth® su più dispositivi compatibili, grazie al Multi-Speaker Sound
Facile da usare, grazie alla configurazione semplice e all’indicatore del livello di carica della batteria a LED",https://www.bosch-professional.com/it/it/ocsmedia/455305-54/application-image/1434x828/altoparlante-bluetooth®-gpb-18v-6-c-06014a6000.png
GHJ 12+18V XA 3XL Professional Giacca riscaldabile,Bosch,"Ideale soluzione a capo singolo: offre un calore ideale, rendendo superfluo l’abbigliamento a più strati
Riscaldamento a tre zone e regolabile su tre livelli, per un calore durevole e distribuito in maniera ideale
Agevole ricarica di dispositivi USB, tramite la porta integrata dell’adattatore batteria",https://www.bosch-professional.com/it/it/ocsmedia/375957-54/application-image/1434x828/giacca-riscaldabile-ghj-12-18v-xa-3xl-06188000e2.png
GHV 12+18V XA S Professional Gilet riscaldabile,Bosch,"Per ottenere un calore costante con la massima libertà di movimento, soprattutto per le braccia
Riscaldamento a tre zone e regolabile su tre livelli, per un calore durevole e distribuito in maniera ideale
Agevole ricarica di dispositivi USB, tramite la porta integrata dell’adattatore batteria",https://www.bosch-professional.com/it/it/ocsmedia/375959-54/application-image/1434x828/gilet-riscaldabile-ghv-12-18v-xa-s-06188000ea.png
