name,brand,description,price,image_url,product_page_url
Supporti pavimento galleggiante Dakota per piastrelle in cemento (200pz),Dakota,N/A,N/A,https://www.fvledilizia.it/10883-large_default/supporti-pavimento-galleggiante-dakota-per-piastrelle-in-cemento-200pz.jpg,https://www.fvledilizia.it/supporti-per-pavimenti/3878-supporti-pavimento-galleggiante-dakota-per-piastrelle-in-cemento-200pz.html
Rete da cantiere arancione Dakota Pro in polietilene a maglie ovali 1x50 metri,Dakota,N/A,N/A,https://www.fvledilizia.it/13471-large_default/rete-da-cantiere-arancione-dakota-pro-in-polietilene-a-maglie-ovali-1x50-metri.jpg,https://www.fvledilizia.it/cantiere/3333-rete-da-cantiere-arancione-dakota-pro-in-polietilene-a-maglie-ovali-1x50-metri.html
"Griglia in ghisa antitacco B125 Dakota 0,5mt per canalette di scolo Taurus 130",Dakota,N/A,N/A,https://www.fvledilizia.it/11235-large_default/griglia-in-ghisa-antitacco-b125-dakota-05mt-per-canalette-di-scolo-taurus-130.jpg,https://www.fvledilizia.it/griglie-di-scolo/2997-griglia-in-ghisa-antitacco-b125-dakota-05mt-per-canalette-di-scolo-taurus-130.html
Sportello a scomparsa per contatori Dakota in acciaio zincato,Dakota,N/A,N/A,https://www.fvledilizia.it/6632-large_default/sportello-a-scomparsa-per-contatori-dakota-in-acciaio-zincato.jpg,https://www.fvledilizia.it/sportelli-e-cassette-contatori/1813-2259-sportello-a-scomparsa-per-contatori-dakota-in-acciaio-zincato.html#/843-misure-400x300_mm
Pozzetto pluviale Dakota Sifonato Dimensioni: 235 x 125 x 220 mm Diam 80/100,Dakota,N/A,N/A,https://www.fvledilizia.it/1163-large_default/dakota-pozzetto-pluviale-sifonato-dimensioni-235-x-125-x-220-mm-diam-80100.jpg,https://www.fvledilizia.it/pozzetti/707-dakota-pozzetto-pluviale-sifonato-dimensioni-235-x-125-x-220-mm-diam-80100.html
Griglia Dakota 130x500x20mm a fessura centrale h60mm in polipropilene per canalette,Dakota,N/A,N/A,https://www.fvledilizia.it/13254-large_default/griglia-dakota-130x500x20mm-a-fessura-centrale-h60mm-in-polipropilene-per-canalette.jpg,https://www.fvledilizia.it/griglie-di-scolo/4488-griglia-dakota-130x500x20mm-a-fessura-centrale-h60mm-in-polipropilene-per-canalette.html
Livellatore da 1mm Dakota per supporto a quadrotti pavimenti flottanti esterni (500pz),Dakota,N/A,N/A,https://www.fvledilizia.it/10887-large_default/livellatore-da-1mm-dakota-per-supporto-a-quadrotti-pavimenti-flottanti-esterni-500pz.jpg,https://www.fvledilizia.it/supporti-per-pavimenti/3879-livellatore-da-1mm-dakota-per-supporto-a-quadrotti-pavimenti-flottanti-esterni-500pz.html
Rete da cantiere arancione Dakota in polietilene a maglie ovali 1x50 metri,Dakota,N/A,N/A,https://www.fvledilizia.it/13478-large_default/rete-da-cantiere-arancione-dakota-in-polietilene-a-maglie-ovali-1x50-metri.jpg,https://www.fvledilizia.it/cantiere/3633-rete-da-cantiere-arancione-dakota-in-polietilene-a-maglie-ovali-1x50-metri-8051414295058.html
"Cassetta contatori Dakota Enel 1P in polietilene, 232x420x210mm",Dakota,N/A,N/A,https://www.fvledilizia.it/6634-large_default/cassetta-contatori-dakota-enel-1p-in-polietilene-232x420x210mm.jpg,https://www.fvledilizia.it/sportelli-e-cassette-contatori/1814-cassetta-contatori-dakota-enel-1p-in-polietilene-232x420x210mm.html
Pozzetto di ispezione Dakota Plus 200x200mm in polipropilene grigio,Dakota,N/A,N/A,https://www.fvledilizia.it/11624-large_default/pozzetto-di-ispezione-dakota-plus-200x200mm-in-polipropilene-grigio.jpg,https://www.fvledilizia.it/pozzetti/704-pozzetto-di-ispezione-dakota-plus-200x200mm-in-polipropilene-grigio-8051414294228.html
