name,sku,description,image_url,product_url
Sega universale 18V XR Brushless - 2 x POWERSTACK 5Ah,dcs386h2t-qw,"Sega universale 18V XR Brushless - 2 x POWERSTACK 5Ah

La sega universale a batteria DCS386 è stato progettato per applicazioni di taglio e demolizione anche gravose. Ha un funzionamento efficiente e con ridotte vibrazioni, offre un'impressionante velocità a vuoto di 3.000 corse/min ed una capacità massima di taglio di 300 mm nel legno.\nLe batterie POWERSTACK 5Ah offrono il 50% di potenza in più* con il 50% di lavoro in più per carica** e una durata doppia*** rispetto alle batterie standard da 5Ah.\n\n*rispetto alla batteria DEWALT DCB184, non in applicazione **energia utilizzabile rispetto alla batteria DEWALT DCB184, non in applicazione ***cicli di carica rispetto alla batteria DEWALT DCB184”.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCS386H2T-QW/DCS386H2T_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcs386h2t-qw/sega-universale-18v-xr-brushless-2-x-powerstack-5ah?tid=568846
Sega universale 18V XR Brushless - 2 x POWERSTACK 5Ah,dcs386h2t-qw,"Sega universale 18V XR Brushless - 2 x POWERSTACK 5Ah

La sega universale a batteria DCS386 è stato progettato per applicazioni di taglio e demolizione anche gravose. Ha un funzionamento efficiente e con ridotte vibrazioni, offre un'impressionante velocità a vuoto di 3.000 corse/min ed una capacità massima di taglio di 300 mm nel legno.\nLe batterie POWERSTACK 5Ah offrono il 50% di potenza in più* con il 50% di lavoro in più per carica** e una durata doppia*** rispetto alle batterie standard da 5Ah.\n\n*rispetto alla batteria DEWALT DCB184, non in applicazione **energia utilizzabile rispetto alla batteria DEWALT DCB184, non in applicazione ***cicli di carica rispetto alla batteria DEWALT DCB184”.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCS386H2T-QW/DCS386H2T_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcs386h2t-qw/sega-universale-18v-xr-brushless-2-x-powerstack-5ah?tid=568846
Smerigliatrice 125mm 18V XR Brushless - 2 x POWERSTACK 5Ah,dcg405h2t-qw,"Smerigliatrice 125mm 18V XR Brushless - 2 x POWERSTACK 5Ah

Smerigliatrice 125mm a batteria compatta e potente con motore Brushless. La scatola ingranaggi compatta consente un miglior accesso agli spazi ristretti. Parte della gamma DEWALT® Perform & Protect, il DCG405 è dotata di freno elettronico e una frizione elettronica per una maggiore sicurezza e protezione dell'operatore.\nLe batterie POWERSTACK 5AH offrono il 50% di potenza in più* con il 50% di lavoro in più per carica** e una durata doppia*** rispetto alle batterie standard da 5AH”.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCG405H2T-QW/DCG405H2T_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcg405h2t-qw/smerigliatrice-125mm-18v-xr-brushless-2-x-powerstack-5ah?tid=568846
"Avvitatore impulsi compatton 1/2"" Hog Ring 18V XR Brushless - 2 x POWERSTACK 5Ah",dcf921h2t-qw,"Avvitatore impulsi compatton 1/2"" Hog Ring 18V XR Brushless - 2 x POWERSTACK 5Ah

Maggior potenza con le batterie POWERSTACK",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCF921H2T-QW/DCF921H2T_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcf921h2t-qw/avvitatore-impulsi-compatton-12-hog-ring-18v-xr-brushless-2-x-powerstack-5ah?tid=568846
Tasselatore compatto SDS-Plus 16mm 18V XR Brushless - 2 x POWERSTACK compatta,dch172e2t-qw,"Tasselatore compatto SDS-Plus 16mm 18V XR Brushless - 2 x POWERSTACK compatta

Il tassellatore SDS-Plus DCH172 offre prestazioni e autonomia ottimizzate in un corpo leggero e ultracompatto. Il potente motore brushless e la tecnologia delle batterie XR Powerstack forniscono un'energia d'impatto di 1,4 Joule che consente affettuare fori nel calcestruzzo fino a 16 mm, è ideale per l'installazione di tasselli in plastica e ancoraggi meccanici di piccolo diametro, che richiedono diametri di ottimale foratura compresi tra 4 e 10 mm. Le batterie POWERSTACK offrono il 50% di potenza in più* con un ingombro ridotto del 25%* e funzionano con tutti gli utensili XR da 18V già in vostro possesso.\n\n*Per quanto riguarda il 50% di potenza in più: rispetto alla batteria DCB183, non nell'applicazione. Per quanto riguarda la confezione più piccola del 25% e l'ingombro più compatto: rispetto alla batteria DCB183”.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCH172E2T-QW/DCH172E2T_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dch172e2t-qw/tasselatore-compatto-sds-plus-16mm-18v-xr-brushless-2-x-powerstack-compatta?tid=568846
Sega circolare 184mm 18V XR Brushless - 2 x  POWERSTACK 5Ah,dcs570h2t-qw,"Sega circolare 184mm 18V XR Brushless - 2 x  POWERSTACK 5Ah

La sega circolare a batteria per i professionisti. Parte della gamma DEWALT® 18V XR, la DCS570 ha un motore brushless, una profondità di taglio massima di 65 mm, una velocità a vuoto di 5.500 giri/min e la regolazione della profondità e dell'angolo di taglio.\nLe batterie POWERSTACK 5AH offrono il 50% di potenza in più* con il 50% di lavoro in più per carica** e il doppio della durata*** delle batterie standard da 5AH.\n\n*rispetto alla batteria DEWALT DCB184, non in applicazione **energia utilizzabile rispetto alla batteria DEWALT DCB184, non in applicazione ***cicli di carica rispetto alla batteria DEWALT DCB184”.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCS570H2T-QW/DCS570H2T_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcs570h2t-qw/sega-circolare-184mm-18v-xr-brushless-2-x-powerstack-5ah?tid=568846
Sega circolare per metalli 184mm 18V XR Brushless - 2 x POWERSTACK 5Ah,dcs383h2-qw,"Sega circolare per metalli 184mm 18V XR Brushless - 2 x POWERSTACK 5Ah

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCS383H2-QW/DCS383H2_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcs383h2-qw/sega-circolare-metalli-184mm-18v-xr-brushless-2-x-powerstack-5ah?tid=568846
Levigatrice a nastro 457x13mm XR 18V BRUSHLESS - 2 x POWERSTACK compatta,dcm200e2t-qw,"Levigatrice a nastro 457x13mm XR 18V BRUSHLESS - 2 x POWERSTACK compatta

La lima DCM200 è progettato per applicazioni commerciali gravose con velocità fino a 1.700 m/min. Velocità variabile. Braccio pivottante a 173° offre la massima versatilità e possibilità di accedere a spazi difficili da raggiungere. Luce LED rotante per illuminare l'area di lavoro. Sostituzione e regolazione dei nastri senza attrezzi.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCM200E2T-QW/DCM200E2T_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcm200e2t-qw/levigatrice-nastro-457x13mm-xr-18v-brushless-2-x-powerstack-compatta?tid=568846
Sega Circolare XR FLEXVOLT 54V 6.0Ah BRUSHLESS,dcs576t2-qw,"Sega Circolare XR FLEXVOLT 54V 6.0Ah BRUSHLESS

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCS576T2-QW/DCS576T2_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcs576t2-qw/sega-circolare-xr-flexvolt-54v-60ah-brushless?tid=568846
18V XR Brushless 26mm SDS-Plus Hammer Drill - 1 X 4Ah,dch133m1-qw,"18V XR Brushless 26mm SDS-Plus Hammer Drill - 1 X 4Ah

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCH133M1-QW/DCH133M1_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dch133m1-qw/18v-xr-brushless-26mm-sds-plus-hammer-drill-1-x-4ah?tid=568846
