name,sku,description,image_url,product_url,category
Laser multilinea con raggio verde classe 2,dcle14251gb-xj,"Laser multilinea con raggio verde classe 2

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCLE14251GB-XJ/DCLE14251GB_K1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcle14251gb-xj/laser-multilinea-con-raggio-verde-classe-2?tid=572561,N/A
Set avvitare FLEXTORQ - McLaren,dt70902t-qz,"Set avvitare FLEXTORQ - McLaren

La gamma DEWALT x McLaren F1 Team è il risultato di una volontà comune di prestazioni.\nFa parte del sistema Tough Case di DEWALT ed è completamente compatibile con tutti i set di valigie Tough Case e i magazzini TSTAK.\nIl kit contiene: Portabit magnetico x 1, punte Impact Ready FLEXTORQ da 57 mm PH1 x 1, PH2 x 2, PH3 x 3, PZ1 x 1, PZ2 x 6, PZ3 x 4, T20 x 2, T25 x 2, punte Impact Ready FLEXTORQ da 25 mm, PH2 x 1, PZ1 x 1, PZ2 x 2, PZ3 x 1, T20 x 1, T25 x 1.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DT70902T-QZ/DT70902T_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dt70902t-qz/set-avvitare-flextorq-mclaren?tid=572561,N/A
Set avvitare FLEXTORQ - McLaren,dt70900t-qz,"Set avvitare FLEXTORQ - McLaren

La gamma DEWALT x McLaren F1 Team è il risultato di una volontà comune di prestazioni.\nIl kit contiene: Portabit magnetici Impact Ready x 1, punte Impact Ready FLEXTORQ da 25 mm, PH1 x 1, PH2 x 5, PH3 x 2, PZ1 x 1, PZ2 x 10, PZ3 x 3, T15 x 1, T20 x 1, T25 x 2, T27 x 1, T30 x 3.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DT70900T-QZ/DT70900T_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dt70900t-qz/set-avvitare-flextorq-mclaren?tid=572561,N/A
Set avvitare con testa ad angolo - McLaren,dt70782-qz,"Set avvitare con testa ad angolo - McLaren

La gamma DEWALT x McLaren F1 Team è il risultato di una volontà comune di prestazioni.\nFa parte del sistema Tough Case di DEWALT ed è pienamente compatibile con tutti i set di valigie Tough Case e i magazzini TSTAK. Questo set di 33 pezzi include un attacco ad angolo retto modulare Impact Ready, perfetto per raggiungere gli elementi di fissaggio in spazi ristretti.\nIl kit contiene: Attacco ad angolo retto Impact Ready x 1, portabit magnetico x 1, cacciavite pulibile per dadi 8 mm x 1, 10 mm x 1, 13 mm x 1, punte FLEXTORQ Impact Ready da 57 mm PH1 x 1, PZ2 x 2, T20 x 1, T25 x 3, punte FLEXTORQ Impact Ready da 25 mm, PH1 x 1, PH2 x 3, PZ1 x 1, PZ2 x 5, T15 x 1, T20 x 5, T25 x 3, T27 x 1, T30 x 1",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DT70782-QZ/DT70782_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dt70782-qz/set-avvitare-con-testa-ad-angolo-mclaren?tid=572561,N/A
SET 5 PEZZI MULTIFUNZIONE,dt20777-qz,"SET 5 PEZZI MULTIFUNZIONE

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DT20777-QZ/DT20777-QZ_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dt20777-qz/set-5-pezzi-multifunzione?tid=572561,N/A
Lama da taglio su 3 lati Bi-metal da 54 mm,dt20773-qz,"Lama da taglio su 3 lati Bi-metal da 54 mm

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DT20773-QZ/DT20773-QZ_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dt20773-qz/lama-da-taglio-su-3-lati-bi-metal-da-54-mm?tid=572561,N/A
Lama d'affondamento Bi-Metal da 32 mm,dt20774-qz,"Lama d'affondamento Bi-Metal da 32 mm

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DT20774-QZ/DT20774-QZ_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dt20774-qz/lama-daffondamento-bi-metal-da-32-mm?tid=572561,N/A
30m Laser Distance Measure,dwht77100-xj,"30m Laser Distance Measure

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT77100-XJ/DWHT77100_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht77100-xj/30m-laser-distance-measure?tid=572561,N/A
Laser multilinea con raggio rosso classe 2 (630-690nm) con ricarica USB,dcle14201rb-xj,"Laser multilinea con raggio rosso classe 2 (630-690nm) con ricarica USB

",https://bynder.sbdinc.com/m/1618fe9c181efaa9/Web_Large-DW_dewalt-product-fallbackat3x_LBL1.jpg,https://www.dewalt.it/prodotto/dcle14201rb-xj/laser-multilinea-con-raggio-rosso-classe-2-630-690nm-con-ricarica-usb?tid=572561,N/A
Laser multilinea con raggio verde classe 2 (510-530nm) con ricarica USB,dcle14201gb-xj,"Laser multilinea con raggio verde classe 2 (510-530nm) con ricarica USB

",https://bynder.sbdinc.com/m/1618fe9c181efaa9/Web_Large-DW_dewalt-product-fallbackat3x_LBL1.jpg,https://www.dewalt.it/prodotto/dcle14201gb-xj/laser-multilinea-con-raggio-verde-classe-2-510-530nm-con-ricarica-usb?tid=572561,N/A
Tracciatore Laser multilinea 3 x 360° con telecomando con raggio verde,dcle34035b-xj,"Tracciatore Laser multilinea 3 x 360° con telecomando con raggio verde

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCLE34035B-XJ/DCLE34035B_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcle34035b-xj/tracciatore-laser-multilinea-3-x-360deg-con-telecomando-con-raggio-verde?tid=572561,N/A
Tracciatore Laser multilinea 3 x 360° con telecomando con raggio verde,dcle34035d1-qw,"Tracciatore Laser multilinea 3 x 360° con telecomando con raggio verde

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCLE34035D1-QW/DCLE34035D1_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcle34035d1-qw/tracciatore-laser-multilinea-3-x-360deg-con-telecomando-con-raggio-verde?tid=572561,N/A
Laser multilinea con raggio verde classe 2 (510-530nm). Senza batterie e caricabatteria in valigetta.,dcle34031n-xj,"Laser multilinea con raggio verde classe 2 (510-530nm). Senza batterie e caricabatteria in valigetta.

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCLE34031N-XJ/DCLE34031N_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcle34031n-xj/laser-multilinea-con-raggio-verde-classe-2-510-530nm-senza-batterie-e-caricabatteria-valigetta?tid=572561,N/A
Laser multilinea con raggio verde classe 2 (510-530nm). 1 Batteria XR Litio 18V 2Ah,dcle34031d1-qw,"Laser multilinea con raggio verde classe 2 (510-530nm). 1 Batteria XR Litio 18V 2Ah

Ecco il nostro laser verde multilinea 3 x 360° con compatibilità completa delle batterie della serie di elettroutensili 18V XR. Il DCLE34031D1 offre un eccezionale raggio d'azione di 40 metri (fino a 100 metri con il rilevatore*) con la tecnologia del fascio verde leader della categoria, garantendo una visibilità eccezionale per gli ambienti di lavoro più difficili.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCLE34031D1-QW/DCLE34031D1_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcle34031d1-qw/laser-multilinea-con-raggio-verde-classe-2-510-530nm-1-batteria-xr-litio-18v-2ah?tid=572561,N/A
"Mazzetta Exocore kg 1,8.",dwht56158-1,"Mazzetta Exocore kg 1,8.

",https://bynder.sbdinc.com/m/1618fe9c181efaa9/Web_Large-DW_dewalt-product-fallbackat3x_LBL1.jpg,https://www.dewalt.it/prodotto/dwht56158-1/mazzetta-exocore-kg-18?tid=572561,N/A
"Laser multilinea con raggio verde, Proietta 2 linee verticali a squadro 90°, classe 2 (510-530nm). Autolivellamento +/-4°, Precisione +/- 3mm/10m",dcle34021n-xj,"Laser multilinea con raggio verde, Proietta 2 linee verticali a squadro 90°, classe 2 (510-530nm). Autolivellamento +/-4°, Precisione +/- 3mm/10m

Il laser a linee incrociate compatto DEWALT® offre la piena compatibilità delle batterie dell'intera serie di elettroutensili XR da 18V. Con un'impressionante portata di lavoro massima di 55 metri (fino a 100 metri con il rilevatore*) e la tecnologia del fascio verde leader della categoria, offre una visibilità eccezionale per gli ambienti di lavoro più difficili.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCLE34021N-XJ/DCLE34021_3.jpg?resize=530x530,https://www.dewalt.it/prodotto/dcle34021n-xj/laser-multilinea-con-raggio-verde-proietta-2-linee-verticali-squadro-90deg-classe-2-510-530nm-autolivellamento-4deg-precisione-3mm10m?tid=572561,N/A
Tracciatore laser raggio verde (2 linee a croce 90Â° + 5 punti,dce825d1g18-qw,"Tracciatore laser raggio verde (2 linee a croce 90Â° + 5 punti

",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCE825D1G18-QW/DCE822NG18_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dce825d1g18-qw/tracciatore-laser-raggio-verde-2-linee-croce-90adeg-5-punti?tid=572561,N/A
Laser multilinea raggio verde 12V / 18V XR 3 X 360 - Senza batterie e caricabatterie,dce089ng18-xj,"Laser multilinea raggio verde 12V / 18V XR 3 X 360 - Senza batterie e caricabatterie

Il nostro primo laser autolivellante a linee incrociate, compatibile con batterie XR da 18 Volt e 12/10 Volt. L'esclusiva regolazione millimentrica, tramite rotella di precisione, posta alla baser del laser, consente all'utlizzatotre di regolare rapidamente e accuratamente i due raggi verticali per una maggiore precisione e velocità di posizionamento. Caratterizzato da un raggio verde che garantisce una migliore visibilità, con precisione di +/- 3 mm su 10 metri, è dotato di un rivestimento in gomma e di un grado di protezione IP54 per l'utilizzo in cantieri con condizioni difficili (polvere, terra, umidità...)",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCE089NG18-XJ/DCE089NG18_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dce089ng18-xj/laser-multilinea-raggio-verde-12v-18v-xr-3-x-360-senza-batterie-e-caricabatterie?tid=572561,N/A
Tracciatore Laser 3 x 360° raggio verde 18/12V XR - 1 X 2Ah,dce089d1g18-qw,"Tracciatore Laser 3 x 360° raggio verde 18/12V XR - 1 X 2Ah

Il nostro primo Tracciatore laser compatibile con batterie XR 18 V e 12 V. L'esclusiva regolazione fine consente all'utente di regolare rapidamente e accuratamente i fasci verticali per una maggiore precisione. Laser a raggio verde per una migliore visibilità, precisione di +/- 3 mm su 10 metri, corpo ricoperto in gomma, IP54 per i cantieri più difficili.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DCE089D1G18-QW/DCE089D1G18_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dce089d1g18-qw/tracciatore-laser-3-x-360deg-raggio-verde-1812v-xr-1-x-2ah?tid=572561,N/A
Compound Action Linesman Plier,dwht0-70276,"Compound Action Linesman Plier

The DEWALT® Compound Action Linesman Pliers include induction-hardened cutting blades giving these pliers 70% more cutting power over standard cutting pliers. The bi-material handle allows for a strong grip and provides added comfort.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-70276/DWHT0-70276_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-70276/compound-action-linesman-plier?tid=572561,N/A
