marca,nome,descrizione,image url,product url
FILA Solutions,SALVATERRAZZA® ECO,"SALVATERRAZZA® ECOè il protettivo anti-infiltrazione consolidante traspirante.
A cosa serve-Protegge e ripara le terrazze e superfici esterne sia orizzontali che verticali in cotto, klinker, gres e cemento, pietre naturali e ricostruite, agglomerati dall’acqua e dall’umidità- Penetra nel materiale consolidandolo- Elimina il problema delle infiltrazioni.- Previene la percolazione dell’acqua, la formazione di muffe alghe, muschi ed efflorescenze nonché gravosi danni alle strutture- Protegge e consolida le fughe- Penetra in fessurazioni che vanno da 0,5 µm a 1 mm, conferendo loro caratteristiche idrorepellenti
Vantaggi- Non crea film superficiale e lascia trasparire il materiale.- Facile da utilizzare perché pronto all’uso.- Non ingiallisce in alcuna condizione ambientale e di invecchiamento- Ha una resa elevata- Adatto a tutte le finiture: dall’anticato al lucido- Prodotto VOC free a basso impatto ambientale con certificato Indoor Air Comfort Gold.
Materiali di applicazioneGres porcellanatoMarmo e PietraAgglomeratiCementoTufoCottoKlinker
Come si usaPronto all’uso: non serve diluire.
Applicazione1. Su superficie asciutta e pulita (per una pulizia accurata utilizzare il detergente FASE ZERO), applicare SALVATERRAZZA® ECO in modo uniforme su tutta la superficie con un vello o altro opportuno applicatore, impregnando bene le fughe e le fessurazioni.2. Prima che il prodotto asciughi, rimuovere il residuo tamponando con un panno assorbente pulito, avendo cura di non lasciare traccia di prodotto3. Si consiglia, per ampie metrature, di applicare SALVATERRAZZA® ECO pochi metri per volta, per facilitare l’operazione di rimozione del residuo. SALVATERRAZZA® ECO ha una formula ad ALTA RESA, applicare in abbondanza non ne migliora le prestazioni, soprattutto in superfici poco assorbenti. Per velocizzare le operazioni è possibile intervenire con monospazzola. La superficie è calpestabile dopo 4 ore. La protezione è attiva dopo 24 ore. Manutenzione: soluzione diluita di CLEANER PRO. SOLO PER USO PROFESSIONALE: su superfici verticali applicare a spruzzo (sistema airless) dosando il prodotto a rifiuto e utilizzando gli opportuni DPI, come da indicazioni in scheda di sicurezza.
ResaCon un litro di prodotto faccio:Cotto, Pietra: 10/20 m².Klinker: 15 m²Gres porcellanato: 30 m²Le rese sono indicative e si intendono per mano.
ConfezioniTaniche da 5 litri: cartoni da 4 pezziTaniche da 1 litro: cartoni da 6 pezzi
AttenzioneData la grande variabilità dei materiali, si consiglia di verificare su una piccola porzione di superficie eventuali cambi di colore. Non applicare il prodotto all'esterno nel caso sia prevista pioggia nelle successive 24 ore. Evitare l’applicazione del prodotto nelle ore più calde del giorno. Non protegge dalle aggressioni acide.
1 liter: box of 12 pieces5 liters: box of 4 pieces",https://img.edilportale.com/product-thumbs/b_FILA-Solutions_SALVATERRAZZA-ECO_yqo4qYvpUA.jpeg,https://www.edilportale.com/prodotti/fila-solutions/protettivo-per-pavimento/salvaterrazza-eco_662725.html
FILA Solutions,WET STONE ECO,"Wet Stone Ecoè un protettivo consolidante effetto bagnato.
A cosa serve• Dà un piacevole effetto bagnato alle superfici con finitura grezza (burattata, fiammata, a spacco)• Protegge il materiale dalle macchie e dallo sporco• Trattamento ad effetto antispolvero
Vantaggi• Trattamento ecologico: a base acqua• È particolarmente indicato per esterni ed adatto anche per interni• Azione antisporco e antimacchia• Consolidante superficiale• Elevata resistenza al traffico intenso• Resistente agli agenti atmosferici• Non ingiallisce, resiste all’azione dei raggi UV• Facilita la successiva manutenzione• Impartisce un effetto bagnato graduabile col numero di mani applicate
Materiali di applicazionePietra naturale e agglomerati grezzi (a spacco, burattata, fiammata, ecc.)Tufo
Come si usaProdotto pronto all’uso Agitare prima dell’uso.Su superficie asciutta e pulita, applicare WET STONE ECO con pennellessa o vello in modo regolare, impregnando bene anche le fughe.In caso di superficie assorbente una volta asciutta la prima mano (dopo 4 ore), per raggiungere l’effetto bagnato desiderato, applicare una seconda mano di prodotto seguendo le stesse modalità. Per esterni: è consigliato applicare il prodotto annualmente per mantenere ottimale l’effetto estetico ravvivante. Attendere almeno 8 ore prima di calpestare la superficie. Manutenzione: soluzioni diluite di CLEANER PRO.
ResaCon un litro di prodotto si copre una superficie di: 10/20 m².
1 litre: Boxes of 12 pieces5 litres: Boxes of 4 pieces",https://img.edilportale.com/product-thumbs/b_FILA-Solutions_WET-STONE-ECO_CGywRCOGxE.jpeg,https://www.edilportale.com/prodotti/fila-solutions/protettivo-consolidante-effetto-bagnato/wet-stone-eco_661266.html
FILA Solutions,FILA SALVADOCCIA,"FILA SALVADOCCIAè l’anti infiltrazione eco per docce.
A cosa serve- Blocca le infiltrazioni, proteggendo crepe e fessure fino ad 1 mm- Ostacola lo sviluppo di muffe, alghe e annerimenti- Previene l’assorbimento di acqua, evitando la comparsa di efflorescenze (sali) dalle fughe- Rallenta l’invecchiamento dell’ambiente doccia, mantenendolo salubre e pulito nel tempo- Semplifica la manutenzione della doccia- Offre una protezione antispolvero
Vantaggi- Non crea film superficiale e lascia traspirare il materiale.- Facile da utilizzare perché pronto all’uso.- Non ingiallisce in alcuna condizione ambientale e di invecchiamento- Ha una resa elevata- Prodotto VOC free a basso impatto ambientale con certificato Indoor Air Comfort Gold.
Materiali di applicazioneFuga cementiziaGres porcellanatoCeramicaMosaicoTufoPietra naturaleAgglomeratiPietra ricostruitaCemento
Come si usaPronto all’uso: non serve diluire.
ApplicazioneSu superficie asciutta e pulita, applicare in modo uniforme con un pennello o altro applicatore su tutta la superficie FILA SALVADOCCIA senza diluirlo, impregnando bene le fughe. Prima che il prodotto asciughi, rimuovere gli eventuali residui dalle piastrelle con un panno pulito. Formula ad ALTA resa: abbondare nell'applicazione causa la formazione di residuo superficiale. Si asciuga in 4 ore e la doccia può essere impiegata il giorno seguente all'applicazione. Pulizia preliminare della superficie (verificare la compatibilità del detergente con il materiale di rivestimento): DETERDEK PRO/EASYDEK per rimuovere calcare PS87 PRO / ENERGYCLEAN per sporco organico, saponi e unto in genere ACTIVE 1 per muffe e annerimenti.Manutenzione: usare CLEAN&SHINE per la pulizia ordinaria. Per una pulizia più profonda usare DEEPCLEAN (su materiali resistenti all'acido).
ResaCon 375 mL di prodotto faccio: fino a 400 m lineari o 12 m2Le rese sono indicative e si intendono per mano.
Size: 375 mlPieces per box: 6 pieces",https://img.edilportale.com/product-thumbs/b_FILA-Solutions_FILA-SALVADOCCIA_GEhUaBN8u9.jpeg,https://www.edilportale.com/prodotti/fila-solutions/anti-infiltrazione-ecologico-per-docce/fila-salvadoccia_610592.html
FILA Solutions,WET ECO,"Wet Ecoè un protettivo tonalizzante effetto bagnato.
A cosa serve•    Protettivo antimacchia e antisporco ad effetto bagnato per superfici in pietra naturale non lucida, agglomerati non lucidi e cotto•    Impedisce l’assorbimento di macchie e facilita la rimozione dello sporco•    È particolarmente indicato per esterni ed adatto anche per interni•    Impedisce lo spolverio della superficie
Vantaggi•    Trattamento ecologico: a base acqua•    Elevata resistenza al traffico intenso•    Resistente agli agenti atmosferici•    Non spellicola e non ingiallisce•    Facilita la successiva manutenzione•    Non altera l’ingelività del cotto (UNI EN ISO 10545-12)•    Prodotto plant-based: sviluppato con materie prime di origine organica e risorse rinnovabili•    Prodotto VOC free a basso impatto ambientale con certificato indoor air comfort gold
Materiali di applicazione•    Pietre naturali non lucide•    Agglomerati non lucidi•    Cotto
Come si usaNo diluizione: pronto all’uso.
ApplicazioneAgitare prima dell’uso. Su superficie asciutta e pulita, applicare WET ECO con pennellessa o vello in modo regolare sulla superficie, impregnando bene anche le fughe. Dopo 2-3 ore applicare una seconda mano di prodotto seguendo le stesse modalità. Attendere almeno 12 ore prima di calpestare la superficie. Manutenzione: soluzione diluita di CLEANER PRO.
ResaCon un litro di prodotto è possibile coprire le seguenti superfici:Pietre e agglomerati non lucidi - 10/20 m²Cotto - 7/20 m²Le rese sono indicative e si intendono per mano.
1 liter: box of 12 pieces5 liters: box of 4 pieces",https://img.edilportale.com/product-thumbs/b_FILA-Solutions_WET-ECO_Wd7zvyGLZn.jpeg,https://www.edilportale.com/prodotti/fila-solutions/protettivo-tonalizzante-effetto-bagnato/wet-eco_35129.html
FILA Solutions,ALGAENET,"ALGAENETè un detergente anti-alghe per esterni.A cosa serve- Detergente rapido per esterni: elimina alghe, muffe, licheni da pareti e pavimenti esterni.- Rimuove sporco e annerimenti dovuti a polvere, smog, macchie da ristagno di foglie...- Sanifica le superfici e pulisce a fondo.Vantaggi- Efficace dopo soli 15 minuti dall’applicazione.- Viscosità ideale per applicazione a parete.- Doppio formato per piccole e grandi superfici.Materiali di applicazionePietraCottoMattoni Faccia a VistaKlinkerIntonaco e Pitture MuraliTufoCome si usa:- Pronto all’uso: non serve diluire.- Applicazione:1. Bagnare la superficie con acqua.2. Applicare il prodotto con l’apposito spray o distribuirlo con pennello, spugna o pompa airless.3. Lasciare agire per 10-15 minuti e successivamente intervenire con spazzolone, monospazzola con disco verde o idropulitrice.4. Sciacquare con abbondante acqua. Pulire accuratamente gli attrezzi subito dopo l’uso.Resa:Con un litro di prodotto faccio: 10/20 m². Le rese sono indicative e si intendono per mano.Confezioni:Flaconi da 500 ml con erogatore a spruzzo (trigger): cartoni da 12 pezzi.5 litri: cartoni da 4 pezzi.Attenzione:Non spruzzare su piante, tessuti e metalli, in tal caso lavare immediatamente con acqua.Non utilizzare su pietre lucide nuove.Su intonaci colorati, verificare preventivamente su una piccola porzione di superficie eventuali cambiamenti di colore.Usare i biocidi con cautela. Prima dell’uso leggere sempre l’etichetta e le informazioni sul prodotto.",https://img.edilportale.com/product-thumbs/b_FILA-Solutions_ALGAENET_Dtv4ExTfin.jpeg,https://www.edilportale.com/prodotti/fila-solutions/detergente-anti-alghe-per-esterni/algaenet_230957.html
FILA Solutions,CLEANER PRO,"CLEANER PRODetergente per manutenzione professionale per superfici.A cosa serve- Pulisce delicatamente tutti i pavimenti e i rivestimenti.- Rispetta le superfici trattate e delicate.- È indispensabile per il lavaggio dopo posa dei pavimenti in pietra naturale con finitura lucida e sensibili ai detergenti forti.Vantaggi- Contiene ingredienti biodegradabili- Pulisce ma non aggredisce- A elevate diluizioni (1:200) non serve risciacquo perché non lascia residuo- Molto concentrato, può essere usato a varie diluizioni- Ideale per la manutenzione di tutte le superfici cerate- Si può utilizzare con macchina lavasciuga a diluizioni elevate (da 1:200)- Ideale per laminati- Profumazione gradevole- Prodotto idoneo all’HACCP- Pet Friendly: idoneo per ambienti in cui vivono animali domesticiIdeale perGres Porcellanato E CeramicaCementoLegnoMarmo, Granito E Pietra NaturaleLaminati Plastici E LvtLinoleum, Gomma E PvcCotto E KlinkerCome si usaDiluizione: da 1:30 a 1:200 a seconda delle necessità.Applicazione:Per la manutenzione ordinaria di tutti i tipi di superfici: Diluire CLEANER PRO 1:200 (25 ml in 5 litri d’acqua). Non occorre risciacquo. Per gli sporchi più tenaci eseguire il lavaggio con soluzioni più concentrate.Per il lavaggio dopo posa di superfici delicate (marmo, travertino, granito, agglomerati lucidi...): Diluire CLEANER PRO 1:30 e stenderlo sul pavimento con spazzolone o monospazzola con disco morbido. Raccogliere il residuo con stracci o aspiraliquidi. Risciacquare alla fine.Per macchine lavasciuga: Diluire CLEANER PRO 1:200. Versare la soluzione nel serbatoio.Per la manutenzione straordinaria di superfici molto sporche: Diluire CLEANERPRO da 1:30 a 1:50 secondo l’intensità dello sporco. Lavare con straccio e spazzolone.Raccogliere lo sporco e risciacquare.ResaRESA INDICATIVA E DILUIZIONE (1 litro):Manutenzione 1:200 1500 m²Lav. iniziale pietre 1:30 50 m²La resa è indicativa.Confezioni1 litro: cartoni da 12 pezzi.5 litri: cartoni da 4 pezzi.",https://img.edilportale.com/product-thumbs/b_FILA-Solutions_CLEANER-PRO_pvSnSKPfec.jpeg,https://www.edilportale.com/prodotti/fila-solutions/detergente-per-manutenzione-professionale-per-superfici/cleaner-pro_34923.html
FILA Solutions,POWER DEGREASER,"POWER DEGREASERè un detergente spray sgrassante.‎A cosa serve-Sgrassa, smacchia e pulisce a fondo efficacemente tutte le piccole superfici come piani di lavoro, piastrelle, forni, fornelli, barbecue, cappe e tutte le superfici lavabili degli ambienti della casa-Scioglie l’unto e sporco più difficile, come il grasso bruciato ed incrostato, rispettando le superfici-Semplifica la pulizia di zone critiche e molto incrostate, grazie alla sua schiuma attiva ad azione rapida-Rimuove efficacemente lo sporco facendo brillare le superfici in acciaio, senza lasciare tracce e aloni-Ideale anche per sgrassare superfici esterne e in garage (mobili da giardino, infissi, tapparelle, utensili, biciclette, moto, auto e cerchioni delle ruote…)Ideale perceramicaplasticavetrolegno verniciatometalloacciaio inoxVantaggi-Contiene ingredienti biodegradabili-Formula in schiuma attiva: non cola-Ad azione istantanea: agisce in pochi secondi, sciogliendo le incrostazioni e semplificando la pulizia-Risciacquo rapido-Formula sicura: non contiene solventi che possono danneggiare superfici delicate-Nuova profumazione: pulisce e deodora lasciando nell’ambiente un gradevole profumo di menta e limeCome si usaSu superfici con sporco leggero (piani cottura, mobili verniciati, lavelli ecc): spruzzare POWER DEGREASER su un panno spugna precedentemente imbevuto d’acqua.Su superfici con sporco normale o intenso (piani cottura, griglie, tapparelle, cerchioni auto, mobili da giardino, bici, etc..): spruzzare POWER DEGREASER direttamente sulla superficie tenendo il flacone in posizione verticale a circa 20-30 cm dal punto di applicazione.Lasciare agire quindi risciacquare con un panno o una spugna umida.ConfezioniFlaconi da 750 ml con erogatore a spruzzo (trigger): cartoni da 6 pezzi",https://img.edilportale.com/product-thumbs/b_FILA-Solutions_POWER-DEGREASER_IMjyrdZnCW.jpeg,https://www.edilportale.com/prodotti/fila-solutions/detergente-spray-sgrassante/power-degreaser_584879.html
FILA Solutions,DETERDEK PRO,"DETERDEK PROè il detergente per la pulizia di fine cantiere.A cosa serve:• Detergente per la pulizia di fine cantiere• Rimuove le incrostazioni del dopo posa e lo sporco inorganico tenace• Elimina le efflorescenze saline dal cotto• Elimina il calcare da pavimenti, rivestimenti (docce), sanitari• Pulisce a fondo i pavimenti esterni• Disincrosta e pulisce contemporaneamente, perché ricco di tensioattivi senza aggredire il materiale• Efficace contro tracce e depositi di ruggine• Aiuta a rimuovere i segni di ingobbio sulla ceramica e sul gres porcellanatoVantaggi• Nuova FORMULA eco advanced:1. Contiene ingredienti biodegradabili fino al 98%2. Formula innovativa priva di fosfati3. Agisce con un'azione controllata a lunga durata migliorando l'efficacia del lavaggio4. Efficace sui residui di fuganti cementizi additivati di nuova formulazione5. Contiene tensioattivi EPA compliance• Acido tamponato, non sviluppa fumi nocivi per l’operatore e per l’ambiente• Non altera l’aspetto e la colorazione dei materiali• Non rovina profili ed elementi in alluminio e acciaio (cappe, condotti...)• È multiuso: cotto, gres porcellanato, ceramica, pietre resistenti agli acidi• È multifunzione: a seconda della diluizione pulisce e disincrosta• Idoneo per la pulizia in conformità alla norma UNI 11493: 2016-1ResaRESA INDICATIVA E DILUIZIONE (1 litro):Cotto 1:5 10/20 m²Gres porcellanato 1:5-1:10 40/80 m²Pietra naturale 1:5-1:10 20/35 m²La resa è indicativa.Confezioni1 litro: cartoni da 12 pezzi.5 litri: cartoni da 4 pezzi.Come si usaDiluizione: da 1:5 a 1:10 a seconda dello sporco da rimuovere.Per il lavaggio dopo posa e per la pulizia di fine cantiere: bagnare preventivamente con acqua la superficie. Utilizzare quindi DETERDEK PRO diluito in proporzione 1:5 o 1:10 (1 litro di prodotto in 5 o 10 litri d’acqua).Stendere la soluzione pochi metri quadrati per volta, attendere alcuni minuti e quindi intervenire energicamente con monospazzola o tampone abrasivo.Raccogliere il residuo con aspiraliquidi o panni in microfibra e risciacquare con abbondante acqua. Qualora rimanessero residui di sporco tenace, ripetere il lavaggio con soluzioni più concentrate.Per la manutenzione periodica di superfici esterne con segni evidenti di invecchiamento (smog, polveri...): diluire 1 litro di prodotto in 10 litri di acqua.Seguire quindi le medesime modalità di applicazione sopra descritte.Per la rimozione di residui calcarei, ruggine e ingobbio utilizzare il prodotto concentrato.",https://img.edilportale.com/product-thumbs/b_FILA-Solutions_DETERDEK-PRO_Ok7en3IthV.jpeg,https://www.edilportale.com/prodotti/fila-solutions/detergente-per-la-pulizia-di-fine-cantiere/deterdek-pro_431767.html
FILA Solutions,CR10,"CR10è un pulitore per residui epossidici.A cosa serve- Detergente liquido ad alta viscosità per la pulizia delle superfici da residui, macchie e aloni di stucco epossidico.- Ideale per materiali non assorbenti come gres porcellanato, ceramiche smaltate e mosaici in vetro.Vantaggi- Contiene ingredienti biodegradabili- Grazie alla sua viscosità rimuove dalle superfici macchie e aloni di stucco epossidico- Efficace nel caso di residui consistenti e stagionati- Rispetta il materiale- Facile da applicare- Gradevole profumazione di mandorlaMateriali di applicazioneGres PorcellanatoCeramica SmaltataMosaico in VetroKlinker SmaltatoCome si usaNo diluizione: pronto all’uso.Applicazione: Agitare prima dell’uso.Rimozione di residuo di stucco stagionato (trascorso il tempo di messa in esercizio del fugante utilizzato): stendere il prodotto non diluito con una pennellessa, coprendo perfettamente tutti i residui. Lasciare agire per circa 30 minuti.Strofinare con una spugna abrasiva o con una spatola sui residui più consistenti. Per applicazione a pavimento è possibile intervenire con monospazzola e disco idoneo.Risciacquare con cura. In caso di residui tenaci ripetere l’applicazione lasciando il prodotto in posa più a lungo.PULIZIA DEGLI ATTREZZI: pulire con acqua subito dopo l'uso.ResaCon un litro di prodotto faccio:fino a 10 m²La resa è indicativa (a seconda della quantità di residuo e della sua stagionatura).Confezioni1 litro: cartoni da 12 pezzi.Attenzione:Effettuare sempre un test preventivo su una piccola porzione di superficie per testare la resistenza del materiale e individuare il tempo di attesa ottimale per la pulizia.Non usare su materiali assorbenti. Non usare su legno. Non usare su superfici in metacrilato. Su superfici metalliche verificare preventivamente la loro resistenza al prodotto.",https://img.edilportale.com/product-thumbs/b_FILA-Solutions_CR1_1R4pEKlhRV.jpeg,https://www.edilportale.com/prodotti/fila-solutions/pulitore-per-residui-epossidici/cr10_35000.html
FILA Solutions,EPOXY PRO,"EPOXY PROè il pulitore istantaneo per stucco epossidico fresco.A cosa serve• Elimina i residui di stucco epossidico.• Ideale per la pulizia degli attrezzi di stuccatura dopo l’uso.• Evita la formazione dell’alone opacizzante causata dalla mancata rimozione dei residui di stuccoVantaggi• TECHNOLOGIA RAPID DRY: ad azione rapida, da usare contestualmente alla posa.• Consistenza viscosa, ideale per la pulizia a parete.• Rispetta i materiali e le fughe.• Sicuro per l’operatore e per l’ambiente.• Elevata resa.• Non rovina profili in alluminio e acciaio.• Non fa schiuma.• Utilizzabile in ambienti interni e esterni, a pavimento e a pareteCome si usaNo diluizione: pronto all’uso.Rimozione di residui epossidici freschi: Asportare lo stucco in eccesso, seguendo le indicazioni del produttore. Procedere ad una prima pulizia della superficie con spugna inumidita. Procedere con la pulizia finale ovvero l’operazione di finitura a fresco. Spruzzare EPOXY PRO sulla superficie in modo omogeneo. Lasciare agire 2-3 minuti. Passare la superficie con una spugna, tipo cellulosa dura (es. ScotchBrite® bianco) senza esercitare eccessiva pressione. Risciacquare frequentemente con acqua per mantenere la spugna pulita e rimuovere ogni residuo dalla superficie.Se il lavaggio di finitura viene eseguito dopo alcune ore dalla stuccatura, lasciare agire il prodotto per circa 20 minuti. Per la pedonabilità e/o la messa in esercizio, riferirsi alle istruzioni del produttore dello stucco. La pulizia con EPOXY PRO può essere effettuata fino a un massimo di 24 ore dalla stuccatura. In caso non sia stata eseguita la pulitura entro i tempi stabiliti, si consiglia di intervenire con CR10 pulitore per residui epossidici stagionati.Resaindicativa per 750mlPiastrelle di grande formato fino a 350 metri lineariMosaico Fino a 15 m²Le rese sono indicative e si intendono per mano.ConfezioniFlacone da 750ml con erogatore a spruzzo (trigger): cartoni da 12 pezzi.Attenzione:Effettuare sempre un test preventivo su una piccola porzione di superficie per testare la resistenza del materiale e individuare il tempo di attesa ottimale per la pulizia.Non usare su materiali assorbenti. Non usare su legno.Non usare su superfici in metacrilato.Non gocciolare su aree non ancora stuccate.Su superfici metalliche verificare preventivamente la loro resistenza al prodotto.",https://img.edilportale.com/product-thumbs/b_FILA-Solutions_EPOXY-PRO_aWRIHuAKP4.jpeg,https://www.edilportale.com/prodotti/fila-solutions/pulitore-istantaneo-per-stucco-epossidico-fresco/epoxy-pro_392243.html
