marca,nome,descrizione,image url,product url
J.F. AMONN,AMOTHERM TOP WB,"AMOTHERM TOP WBè una finitura acrilica monocomponente idonea per la protezione e/o la decorazione di sistemi reattivi a base acqua posti all’interno.
Caratteristiche tecniche
Campi d’impiegoStrato di finitura per cicli di verniciatura a base di rivestimento intumescente, impiegati nella protezione dal fuoco di strutture; specifico per i cicli di verniciatura AMOTHERM STEEL / AMOTHERM BRICK / AMOTHERM CONCRETE / AMOTHERM WOOD / AMOTHERM GYPS. Idoneo per applicazioni all’interno conferisce al film applicato, discreta resistenza all’umidità. Impiegato anche per esigenze di colorazione finale del sistema intumescente applicato.
5 – 10 – 20 l",https://img.edilportale.com/product-thumbs/b_JF-AMONN_AMOTHERM-TOP-WB_87TBGtV1mP.jpeg,https://www.edilportale.com/prodotti/j.f.-amonn/finitura-protettiva-per-sistemi-intumescenti/amotherm-top-wb_730515.html
J.F. AMONN,AMOTHERM TOP SB,"AMOTHERM TOP SBè una finitura vinilica monocomponente, idonea per la protezione e/o la decorazione di sistemi reattivi a base solvente posti all’interno o in ambiente esterno semiesposto.
Caratteristiche tecniche
Campi d’impiegoStrato di finitura per cicli di verniciatura a base di rivestimento intumescente, impiegati nella protezione dal fuoco di strutture; specifico per i cicli di verniciatura AMOTHERM STEEL / AMOTHERM BRICK / AMOTHERM CONCRETE. Idoneo per applicazioni all’interno o semiesposto (ad es: tettoia), conferisce al film applicato buona resistenza all’umidità. Impiegato anche per esigenze di colorazione finale del sistema intumescen
5 – 10 – 20 kg",https://img.edilportale.com/product-thumbs/b_JF-AMONN_AMOTHERM-TOP-SB_nvOYRQPiR6.jpeg,https://www.edilportale.com/prodotti/j.f.-amonn/finitura-protettiva-per-sistemi-intumescenti/amotherm-top-sb_730527.html
J.F. AMONN,AMOTHERM TOP PU SB,"AMOTHERM TOP PU SBè una finitura poliuretanica bicomponente a solvente, idonea per la protezione di sistemi reattivi a base acqua e/o solvente posti in ambiente interno con alta umidità o in ambiente esterno semiesposto o esposto.
Caratteristiche tecniche
Campi d’impiegoStrato di finitura per cicli di verniciatura a base di rivestimento intumescente, impiegati nella protezione dal fuoco di strutture; specifico per i cicli di verniciatura AMOTHERM STEEL / AMOTHERM BRICK / AMOTHERM CONCRETE. Idoneo per applicazioni all’esterno; il film applicato presenta ottima elasticità, resistenza all’umidità e all’acqua. Protegge il trattamento intumescente anche in presenza di atmosfera particolarmente aggressiva.te applicato.
A Component 4 – 16 kgB Component 1 – 4 kg",https://img.edilportale.com/product-thumbs/b_JF-AMONN_AMOTHERM-TOP-PU-SB_Alwtfzh6ka.jpeg,https://www.edilportale.com/prodotti/j.f.-amonn/finitura-protettiva-per-sistemi-intumescenti/amotherm-top-pu-sb_730529.html
J.F. AMONN,AMOTHERM WOOD 400 SB,"AMOTHERM WOOD 400 SBè un fondo-finitura bicomponente, riempitivo ad alta trasparenza al solvente, formulato per ridurre la reazione al fuoco di manufatti di legno o derivati, quali perline poste a parete o soffitto, mobili, arredi vari, scenografie, stands, ecc. Classificato in base alla direttiva nazionale ed europea.
Caratteristiche tecniche
Campi d’impiegoPer ridurre la reazione al fuoco di manufatti di legno o derivati, quali perline poste a parete o soffitto, mobili, arredi vari, scenografie, stands, ecc.
5 + 5 Kg10 + 10 Kg",https://img.edilportale.com/product-thumbs/b_JF-AMONN_AMOTHERM-WOOD-4-SB_LQSgW71m9p.jpeg,https://www.edilportale.com/prodotti/j.f.-amonn/fondo-finitura-poliuretanico-riempitivo-al-solvente-per-legno/amotherm-wood-400-sb_730505.html
J.F. AMONN,AMOTHERM WOOD 640 WB,"AMOTHERM WOOD 640 WBè una vernice bicomponente trasparente all’acqua a basso spessore con effetto naturale impiegato per ridurre la reazione al fuoco di manufatti di legno o derivati, posti a pavimento e installati all´interno come parchetti, pedane, palchi, ecc.. Particolarmente adatto dove è richiesta una bassa emissione di solventi durante la posa del prodotto (come scuole, asili, ecc.). Classificato in base alla direttiva nazionale ed europea.
Consumo: Classe 1 a pavimento 0,15 kg/m²Euroclasse Cfl-s1,d0 (minimo 0,15 massimo 0,30 kg/m²)Catalisi fondo 100:10Disponibile opaco e opaco profondo.
Caratteristiche tecniche
Campi d’impiegoSistema protettivo antincendio, impiegato per ridurre la reazione al fuoco di pavimenti in legno posti all’interno e particolarmente adatto dove è richiesta una bassa emissione di solventi durante la posa del prodotto (come scuole, asili, ecc.).
5 + 0,5 Kg10 + 1 Kg20 + 2 Kg",https://img.edilportale.com/product-thumbs/b_JF-AMONN_AMOTHERM-WOOD-64-WB_Yb2NFOKzf.jpeg,https://www.edilportale.com/prodotti/j.f.-amonn/vernice-bicomponente-all-acqua-per-pavimenti-in-legno/amotherm-wood-640-wb_730506.html
J.F. AMONN,AMOTHERM WOOD 700 WB,"AMOTHERM WOOD 700 WBè un fondo-finitura trasparente ad effetto naturale bicomponente all’acqua per legno per ridurre la reazione al fuoco di manufatti di legno o derivati, che hanno come base pannelli in MDF ignifugo, utilizzati per mobili, arredi vari, scenografie, stands, ecc..Classificato in base alla direttiva nazionale ed europea.
Consumo: classe 1 (240 g/m²)Euroclasse B-s2,d0 (240 g/m²)Catalisi fondo 100:15.Disponibile opaco e opaco profondo.
Caratteristiche tecniche
Campi d’impiegoSistema protettivo antincendio, impiegato per ridurre la reazione al fuoco di pavimenti in legno posti all’interno e particolarmente adatto dove è richiesta una bassa emissione di solventi durante la posa del prodotto (come scuole, asili, ecc.).
10 + 1,5 Kg20 + 3 Kg",https://img.edilportale.com/product-thumbs/b_JF-AMONN_AMOTHERM-WOOD-7-WB_S2a8IsdCGh.jpeg,https://www.edilportale.com/prodotti/j.f.-amonn/fondo-finitura-bicomponente-all-acqua-per-legno/amotherm-wood-700-wb_730507.html
J.F. AMONN,AMOTHERM STEEL 400 SB,"AMOTHERM STEEL 400 SBè una pittura reattiva (intumescente) a base solvente e di colore bianco, per la protezione dal fuoco di elementi e strutture in acciaio, classificata in base alla norma europea EN 13501-2 e qualificata secondo la norma di prova EN 13381-8 e in possesso di valutazione tecnica europea ETA 24/0599.
Classe di resistenza al fuoco: da R15 a R120Consumo: definito in base all’elemento strutturale da proteggere e alle prestazioni tecniche richieste.
Caratteristiche tecniche
Campi d’impiego
Sistema protettivo specifico per la protezione dal fuoco di elementi strutturali di acciaio nei fabbricati ad uso civile o industriale.
20 Kg",https://img.edilportale.com/product-thumbs/b_JF-AMONN_AMOTHERM-STEEL-4-SB_XwOz9zJmmU.jpeg,https://www.edilportale.com/prodotti/j.f.-amonn/pittura-intumescente-base-solvente-per-la-protezione-dal-fuoco-di-elementi-in-acciaio/amotherm-steel-400-sb_730513.html
J.F. AMONN,AMOTHERM STEEL 400 SB/FD,"AMOTHERM STEEL 400 SB/FDè una pittura intumescente base solvente per la protezione dal fuoco di elementi in acciaio. Pittura reattiva (intumescente) a base solvente e di colore bianco, per la protezione dal fuoco di elementi e strutture in acciaio, classificata in base alla norma europea EN 13501-2 e qualificata secondo la norma di prova EN 13381-8 e in possesso di valutazione tecnica europea ETA 24/0599.Classe di resistenza al fuoco: da R15 a R120.Consumo: definito in base all'elemento strutturale da proteggere e alle prestazioni tecniche richieste.
Caratteristiche tecniche
Campi d’impiego
Sistema protettivo specifico per la protezione dal fuoco di elementi strutturali di acciaio nei fabbricati ad uso civile o industriale.
20 Kg",https://img.edilportale.com/product-thumbs/b_JF-AMONN_AMOTHERM-STEEL-4-SBFD_wGaKgsD1BU.jpeg,https://www.edilportale.com/prodotti/j.f.-amonn/pittura-intumescente-base-solvente-per-la-protezione-dal-fuoco-di-elementi-in-acciaio/amotherm-steel-400-sb-fd_729852.html
J.F. AMONN,CLOE CALATHEA,"CLOE CALATHEAè un impregnante all’acqua colorante del legno, a base di resine naturali ed esente da solventi e compositi organici volatili aggiunti. Penetra in profondità, non pellicola, non screpola ed evidenzia la venatura del legno con un effetto brillante. La sua speciale formula si caratterizza per la sua ottima distensione che evita antiestetici effetti di ripresa del colore.Caratteristiche• Colora il legno donando un effetto brillante• Non pellicola e non screpola• Ottima distensione anche in applicazione manuale• Evidenzia la venatura del legno• Lascia il legno a poro aperto e regola lo scambio umidità legno/aria• Contiene principi attivi per la protezione del film dai microorganismiCampi d’impiegoPer trattamenti su legno non a contatto diretto con il terreno o con l’acqua in ambiente interno ed esterno protetto. Indicato sia per applicazione manuale che con macchina impregnatrice e in particolare con machine a tecnologia air/ brush. Per legno completamente esposto alle intemperie è necessario aumentare la protezione da agenti climatici con Cloe Alicanto.EssiccazioneDopo 2 – 4 ore circa, in base al tipo di legno.Resa15 – 17 m²/l, per mano in base all’assorbimento del legno.Dichiarazione totale delle materie primeAcqua, borati, resine vegetali, oli naturali, glicerina, caseina, silice, lecitina di soia, cellulosa, gomma xantano, attapulgite, ammonio idrato, idrossido di sodio, IPBC, pigmenti minerali a seconda della tinta (terre colorate, ossidi minerali, pigmenti oltremare, nero d’ossa).ESENTE DA: resine acriliche, poliuretaniche, viniliche e alchidiche di origine petrolchimica.Dichiarazione totale COV (composti organici volatili)Impregnanti non filmogeni per legno (cat A/f) secondo la Direttiva 2004/42/CE. Il valore limite UE per questo prodotto è 130 g/l. Questo prodotto contiene 0 g/l COV.Confezioni20 l",https://img.edilportale.com/product-thumbs/b_cloe-calathea-j-f-amonn-639211-rel809bb2e1.jpg,https://www.edilportale.com/prodotti/j.f.-amonn/impregnante-colorante-a-base-acqua-e-resine-naturali/cloe-calathea_639211.html
J.F. AMONN,CLOE ZEFIRO,"CLOE ZEFIROè un impregnante all’acqua protettivo e decorativo del legno, a base di resine naturali ed esente da solventi e compositi organici volatili aggiunti. Penetra facilmente nel legno, lo colora, nutre, protegge e non pellicola; quindi, non screpola ma si consuma uniformemente nel tempo.La sua speciale formula consente di ottenere una superficie opaca ed elegante.Caratteristiche• Protegge il legno• Dona un elegante effetto opaco• Non pellicola e non screpola• Ottima distensione anche in applicazione manuale• Lascia il legno a poro aperto e regola lo scambio umidità legno/aria• Ottimizza l’aspetto estetico con una buona colorazione dei nodi• Contiene principi attivi per la protezione del film dai microorganismiCampi d’impiegoPer trattamenti su legno non a contatto diretto con il terreno o con l’acqua in ambiente interno ed esterno protetto. Indicato sia per applicazione manuale che con macchina impregnatrice. Per legno completamente esposto alle intemperie è necessario aumentare la protezione da agenti climatici con Cloe Alicanto.EssiccazioneDopo 2 – 4 ore circa, in base al tipo di legno.Resa15 – 17 m²/l, per mano in base all’assorbimento del legno.Dichiarazione totale delle materie primeAcqua, borati, resine vegetali, oli naturali, glicerina, caseina, silice, lecitina di soia, cellulosa, gomma xantano, attapulgite, ammonio idrato, idrossido di sodio, IPBC, pigmenti minerali a seconda della tinta (terre colorate, ossidi minerali, pigmenti oltremare, biossido di titanio, caolino, nero d’ossa).ESENTE DA: resine acriliche, poliuretaniche, viniliche e alchidiche di origine petrolchimica.Dichiarazione totale COV (composti organici volatili)Impregnanti non filmogeni per legno (cat A/f) secondo la Direttiva 2004/42/CE. Il valore limite UE per questo prodotto è 130 g/l. Questo prodotto contiene 0 g/l COV.Confezioni20 l",https://img.edilportale.com/product-thumbs/b_cloe-zefiro-j-f-amonn-639215-rel82f1d007.jpg,https://www.edilportale.com/prodotti/j.f.-amonn/impregnante-opaco-uniformante-a-base-acqua-e-resine-naturali/cloe-zefiro_639215.html
