marca,nome,descrizione,image url,product url
Bacchi,GASBETON® ENERGY,"ENERGYIl blocco che ottimizza le prestazioni di isolamento termico e acustico per murature di tamponamento monostrato, senza l’aggiunta di cappotti termici.E' il blocco che offre il miglior rapporto tra prestazione termica e acustica per tamponamenti esterni di edifici inclasse A.ENERGY è la soluzione che consente di avere una muratura molto isolata, grazie a valori di conduttività termica di0.07 W/mK, mantenendo al contempo prestazioni di resistenza meccanica, di isolamento acustico e di inerzia termica di alto livello.ENERGY nasce per rispondere, con una soluzione molto semplice, alle richieste di un’edilizia sempre più esigente, offrendo murature che con una sola lavorazione garantiscono il rispetto dei più stringenti requisiti in termini di prestazioni termiche, sia invernali che estive, già a partire da unospessore di soli 30 o 35 cmin funzione delle zone climatiche. L’obbiettivo è raggiunto grazie ad un sistema costruttivo che prevede l’impiego di blocchi rettificati, da posare con uno strato molto sottile di malta collante (sp. 1.5 mm), minimizzando al contempo errori di posa e ponti termici.GASBETON®è un sistema costruttivo in calcestruzzo cellulare prodotto da materie prime naturali, quindi sostenibile, e con un ciclo produttivo a basso impatto ambientale.E’ un prodottoleggero, facile da lavorare e, in linea con le politiche comunitarie in tema di energia e ambiente, garantisce eccellenti prestazioni in termini diisolamento termicoeacustico, diresistenza meccanicae diresistenza al fuoco.Variando la massa volumica è possibile creare blocchi altamente isolanti (bassa densità) e blocchi molto resistenti (alta densità). Pertanto la gamma prevede blocchi adatti a tutte le esigenze.EVOLUTIONpuò essere utilizzato per divisori interni, per grandi murature resistenti al fuoco, o per murature di tamponamento, anche con funzione portante in zona a bassa sismicità,ENERGYè adatto per murature di tamponamento monostrato che non prevedono la realizzazione del cappotto termico,SYSMICconsente di realizzare murature portanti ordinarie anche in zone ad alta sismicità,ACTIVE, leggerissimo e robusto, offre ottime prestazioni sia invernali che estive per realizzare murature esterne di edifici nzeb e passivi senza l’aggiunta di cappotti termici.Completano il sistema gliARCHITRAVI, i blocchi specialiCANALETTAe FORATO, i collanti e i rasanti.",https://img.edilportale.com/product-thumbs/b_GASBETON-ENERGY-Bacchi-320942-relc4e2183d.jpg,https://www.edilportale.com/prodotti/bacchi/blocco-isolante-in-cls-cellulare-per-tamponamenti-esterni/gasbeton-energy_320942.html
Bacchi,GASBETON® EVOLUTION,"EVOLUTIONIl blocco per divisori interni fonoisolanti, resistenti al fuoco e per murature esterne portanti in zona non sismica.EVOLUTION è un prodotto innovativo che ha anticipato nell’edilizia di ieri le prestazioni richieste oggi dalle normative in termini diisolamento termico ed acustico, resistenza meccanica eresistenza al fuococon uno sguardo al domani.EVOLUTION può essere utilizzato per divisori interni e per murature esterne di tamponamento e anche portanti (in Zona 4).EVOLUTION con unadensità a secco di 480 kg/m³offre trasmittanze termiche stazionarie inferiori a 0.3 W/m²K e trasmittanze termiche periodiche inferiori a 0.12 W/m²Kper soddisfare le richieste normative in tutte le zone climatiche, e garantisce ottime prestazioni di isolamento acustico.GASBETON®è un sistema costruttivo in calcestruzzo cellulare prodotto da materie prime naturali, quindi sostenibile, e con un ciclo produttivo a basso impatto ambientale.E’ un prodottoleggero, facile da lavorare e, in linea con le politiche comunitarie in tema di energia e ambiente, garantisce eccellenti prestazioni in termini diisolamento termicoeacustico, diresistenza meccanicae diresistenza al fuoco.Variando la massa volumica è possibile creare blocchi altamente isolanti (bassa densità) e blocchi molto resistenti (alta densità). Pertanto la gamma prevede blocchi adatti a tutte le esigenze.EVOLUTIONpuò essere utilizzato per divisori interni, per grandi murature resistenti al fuoco, o per murature di tamponamento, anche con funzione portante in zona a bassa sismicità,ENERGYè adatto per murature di tamponamento monostrato che non prevedono la realizzazione del cappotto termico,SYSMICconsente di realizzare murature portanti ordinarie anche in zone ad alta sismicità,ACTIVE, leggerissimo e robusto, offre ottime prestazioni sia invernali che estive per realizzare murature esterne di edifici nzeb e passivi senza l’aggiunta di cappotti termici.Completano il sistema gliARCHITRAVI, i blocchi specialiCANALETTAe FORATO, i collanti e i rasanti.",https://img.edilportale.com/product-thumbs/b_GASBETON-EVOLUTION-Bacchi-320943-rel4564c360.jpg,https://www.edilportale.com/prodotti/bacchi/blocco-in-cls-cellulare-per-murature-interne-esterne-e-rei/gasbeton-evolution_320943.html
Bacchi,GLAPOR,"GLAPORPannello termoisolante in vetro cellulare, impermeabile, ignifugo e resistenteE' una lastra in vetro cellulare realizzata in vetro di alta qualità 100% riciclato. Grazie alle sue cellule chiuse, la lastra in vetro cellulare GLAPOR garantisce una barriera impenetrabile al passaggio di acqua, vapore, gas.Composizione:100% vetro riciclato di alta qualitàE' commercializzata in lastre della dimensione di 80x60 cm, con resistenza a compressione media pari a 0,77-0,81 N/mmq (Lastra PG 600). A richiesta vengono fornite anche lastre con resistenza a compressione media pari a 1,13-1,19 N/mmq (Lastra PG 900.2).A completamento della gamma vengono prodotte anchelastre con pendenza integrata e blocchi d'angolo(blocchi idonei per risvoltare sulla muratura la guaina impermeabilizzante posata sui pannelli Glapor).Applicazioni:- Nell’ediliziacome perisolaretetti piani, terrazzi, muri controterra e solai su terra;- Per garantire, grazie alle sue cellule chiuse, una barriera impenetrabile al passaggio di vapore, gas radon e acqua;- Nell’ingegneria civilenellacoibentazionedi serbatoi di acqua potabile.
IlVETRO CELLULAREè un materiale usato da molto tempo in campo edile come aggregatoalleggerentee come materialeisolante. Tra le caratteristiche più importanti di questo materiale si segnalano l’impermeabilità all’acquaeal vapore,l’elevata resistenza meccanica,la resistenza al fuocoel’isolamento termico. È ricavato al 100% da vetro riciclato che viene macinato, miscelato con attivatori ecologicamente innocui e poi espanso in un forno continuo. Nella fase di raffreddamento si possono ottenere, due prodotti differenti:GLAPOR: lastre in vetro cellulare;B/GLAS:granulato in vetro cellulare.",https://img.edilportale.com/product-thumbs/b_glapor-natural-insulating-felt-and-panel-for-sustainable-building-bacchi-321089-rel2ec03160.jpg,https://www.edilportale.com/prodotti/bacchi/pannello-termoisolante-in-vetro-cellulare/glapor_321089.html
Bacchi,GLAPOR 60/30,"Blocco GLAPOR 60/30E' un sistema costituito da due lastre preassemblate in vetro cellulare GLAPOR, che consente di realizzare in modo pratico ed efficace l’isolamento termico laterale delle fondazioni a piastra o platea.Vantaggi:consente di realizzare in modo facile e veloce la fondazione a piastra soprattutto nel caso di edificazioni a confine o in presenza di pendii e protegge lo strato di B/GLAS da infiltrazioni laterali d’acqua.
IlVETRO CELLULAREè un materiale usato da molto tempo in campo edile come aggregatoalleggerentee come materialeisolante. Tra le caratteristiche più importanti di questo materiale si segnalano l’impermeabilità all’acquaeal vapore,l’elevata resistenza meccanica,la resistenza al fuocoel’isolamento termico. È ricavato al 100% da vetro riciclato che viene macinato, miscelato con attivatori ecologicamente innocui e poi espanso in un forno continuo. Nella fase di raffreddamento si possono ottenere, due prodotti differenti:GLAPOR: lastre in vetro cellulare;B/GLAS:granulato in vetro cellulare.",https://img.edilportale.com/product-thumbs/b_glapor-bacchi-321090-rel3329b2e9.jpg,https://www.edilportale.com/prodotti/bacchi/pannello-a-doppio-spessore-per-fondazioni/glapor-60-30_321090.html
Bacchi,B/GLAS,"B/GLASGranuli di vetro cellulare per isolamento vespai e riempimentiIl granulato in vetro cellulare B/GLAS è un materiale sfuso che viene steso a secco. Grazie alla sua composizione non assorbe umidità per capillarità, resiste alla compressione, è un eccezionale alleggeritore, ottimo isolante e si applica con estrema facilità riducendo notevolmente i tempo della messa in opera.Composizione:100% vetro riciclatoApplicazioni:• Nell’ediliziacomeisolamentoperimetrale sotto la platea di fondazione e nella pavimentazione,riempimentodi solette, strati di compensazione leggeri e coibentati sopra porticati a volta.• Nell’ingegneria civilecomegetto leggeroper spalle di ponte,riempimentoleggero edrenanteper costruzioni di sostegno, getto leggero su gallerie,incapsulamentie costruzioni sotterranee o serbatoi.• Insoluzioni particolaricome lamodellatura del terrenoper la creazione di paesaggi e aree sportive, come stratofiltrantee drenante.
IlVETRO CELLULAREè un materiale usato da molto tempo in campo edile come aggregatoalleggerentee come materialeisolante. Tra le caratteristiche più importanti di questo materiale si segnalano l’impermeabilità all’acquaeal vapore,l’elevata resistenza meccanica,la resistenza al fuocoel’isolamento termico. È ricavato al 100% da vetro riciclato che viene macinato, miscelato con attivatori ecologicamente innocui e poi espanso in un forno continuo. Nella fase di raffreddamento si possono ottenere, due prodotti differenti:GLAPOR: lastre in vetro cellulare;B/GLAS:granulato in vetro cellulare.",https://img.edilportale.com/product-thumbs/b_b-glas-bacchi-321091-rel99bc3038.jpg,https://www.edilportale.com/prodotti/bacchi/ghiaia-granuli-di-vetro-cellulare-per-vespai-e-riempimenti/b-glas_321091.html
Bacchi,FRATTAZZO,Frattazzo con carta abrasiva per levigare e ripianare i blocchi in calcestruzzo cellulare.,https://img.edilportale.com/product-thumbs/b_frattazzo-bacchi-321614-reldaa119c7.jpg,https://www.edilportale.com/prodotti/bacchi/frattazzo-abrasivo-per-levigare-blocchi-in-cls-cellulare/frattazzo_321614.html
Bacchi,PIETRISCO,"PIETRISCO SPACCATOComposizione:Pietrisco selezionato proveniente dalla frantumazione di rocce naturali di cava.Impiego:• Realizzazione di sottofondi drenanti per posa pavimenti autobloccanti;• Completamento per miscela cementizia.Caratteristiche:- Granulometria: 3 ÷ 6 mm- Peso in mucchio: 1600 kg/m³ c.a- Conservazione: Riparare da luce solare diretta.- Marcatura CE: UNI EN 13242 – UNI EN 12620PIETRISCO SPACCATOComposizione:Pietrisco selezionato proveniente dalla frantumazione di rocce naturali di cava.Impiego:• Completamento per miscele cementizie, CLS e bituminose;• Realizzazione di cortili e vialetti drenanti naturali.Caratteristiche:- Granulometria: 6 ÷ 12 mm- Peso in mucchio: 1600 kg/m³ c.a- Conservazione: Riparare da luce solare diretta.- Marcatura CE: UNI EN 12620 – UNI EN 13043 – UNI EN 13242
Inerti umidi sfusi: Le sabbie sono silicee naturali, lavate e vagliate, provenienti solo da cave di sabbia finalizzate alla riqualificazione delle aree golenali del fiume Po.",https://img.edilportale.com/product-thumbs/b_PIETRISCO-Bacchi-321184-rel4dbfe7c9.jpg,https://www.edilportale.com/prodotti/bacchi/brecciolino-di-natura-calcarea-e-breccia/pietrisco_321184.html
Bacchi,PRONTOMALT FACCIAVISTA,"Malta idraulica predosata idrofugata pronta all’uso ideale per la realizzazione di murature in laterizio o calcestruzzo faccia a vista.Impiego:• Realizzazione di murature in laterizio faccia a vista e di manufatti in cls con finitura faccia a vista ove sia necessaria una maggior resistenza alla permeazione delle acque meteoriche.Caratteristiche:- Composizione: Calce idraulica, cemento portland, sabbia silicea 0 ÷ 2 mm e idonei additivi.- Prestazioni: Classe M5- Consumo/Resa: Come cls circa 68 sacchi per 1 m³.- Avvertenze: Non aggiungere altri prodotti estranei ed utilizzare acqua pulita.- Conservazione: Preferibilmente riparare da luce solare diretta, durata fino a 12 mesi all’aperto vincolati all’integrità della confezione (D.M. 10/05/2004) - Marcatura CE: EN 998-2Acqua di impasto: 3,0 - 3,5 litri per sacco",https://img.edilportale.com/product-thumbs/b_PRONTOMALT-FACCIAVISTA-Bacchi-332871-rel64a0a3f3.jpg,https://www.edilportale.com/prodotti/bacchi/malta-idrofobizzata-per-murature-a-vista/prontomalt-facciavista_332871.html
Bacchi,SCANALATORE MANUALE,Scanalatore manuale per l'esecuzione delle tracce impiantistiche sui blocchi GASBETON®.,https://img.edilportale.com/product-thumbs/b_scanalatore-manuale-bacchi-321615-rel7f39ab29.jpg,https://www.edilportale.com/prodotti/bacchi/scanalatore-manuale-per-tracce-su-murature-in-cls-cellulare/scanalatore-manuale_321615.html
Bacchi,PRONTOMALT,"PRONTOMALT MALTA BASTARDA PREDOSATAMalta idraulica predosata pronta all’uso per interni ed esterni composta da sabbie silicee e da leganti naturali.Impiego:• Realizzazione di murature;• Realizzazione d’intonaci grezzi;• Realizzazione di tamponature;• Realizzazione di stuccature;• Sigillatura tubazioni idrauliche ed elettriche.Caratteristiche:- Composizione: Calce idraulica, cemento portland, sabbia silicea 0 ÷ 4 mm e additivi speciali.- Prestazioni: Classe M10- Consumo/Resa:• Muratura in Doppio UNI 1 sacco ogni 1.5 m²,• Intonaco 1 sacco ogni 1.5 m² per cm di spessore,• Malta circa 68 sacchi per 1 m³.- Avvertenze: Non aggiungere altri prodotti estranei ed utilizzare acqua pulita.- Conservazione: Preferibilmente riparare da luce solare diretta, durata fino a 12 mesi all’aperto vincolati all’integrità della confezione (D.M. 10/05/2004)- Marcatura CE: EN 998-1 (GP) CS IV - EN 998-2Acqua di impasto: 2,5 - 3,0 litri per saccoPRONTOMALT MALTA BASTARDA FIBRATA PREDOSATAMalta idraulica predosata pronta all’uso per interni ed esterni composta da sabbie silicee, leganti naturali e fibre sintetiche che limitano la formazione di fessurazioni e cavillature durante la presa.Impiego:• Realizzazione di murature;• Realizzazione d’intonaci grezzi;• Realizzazione di tamponature;• Realizzazione di stuccature;• Sigillatura tubazioni idrauliche ed elettriche.Caratteristiche:- Composizione: Calce idraulica, cemento portland, fibre sintetiche, sabbia silicea 0 ÷ 4 mm e additivi speciali.- Prestazioni: Classe M10- Consumo/Resa: Per muratura in Doppio UNI un sacco ogni 1.5 m², come intonaco un sacco ogni 1.5 m² per cm di spessore, come malta circa 68 sacchi per 1 m³.- Avvertenze: Non aggiungere altri prodotti estranei ed utilizzare acqua pulita.- Conservazione: Preferibilmente riparare da luce solare diretta, durata fino a 12 mesi all’aperto vincolati all’integrità della confezione (D.M. 10/05/2004)- Marcatura CE: EN 998-1 (GP) CS IV - EN 998-2Acqua di impasto: 2,5 - 3,0 litri per sacco",https://img.edilportale.com/product-thumbs/b_PRONTOMALT-MALTA-BASTARDA-PREDOSATA-Bacchi-332856-rel62fa0c6.jpg,https://www.edilportale.com/prodotti/bacchi/malta-multiuso-in-sacco-predosata/prontomalt_332856.html
