marca,nome,descrizione,image url,product url
CVR,PLANOCEL,"Planocelè un sottofondo cellulare cementizio autolivellante a bassissimo peso specifico progettato per realizzare getti di riempimento intermedi tra la caldana del solaio e il massetto di posa finale. Spessore tecnico che ingloba e protegge gli impianti idrici ed elettrici evitando inutili sovraccarichi alla struttura. Sottofondo planare, leggero, compatto, isolante e con ottima stabilità dimensionale, idoneo per nuovi edifici e negli interventi di ristrutturazione, rende possibili spessori sino a 20 cm in unico getto. Prodotto per uso professionale.
SOTTOFONDIProdotti per la preparazione dei supporti prima della posa di pavimenti e rivestimenti.Getti di riempimento, massetti cementizi, autolivellanti, rasanti, primer e consolidanti.
Legante: sfuso in silos, o in sacchi da 25 kgAdditivo liquido: taniche da 20 kg",https://img.edilportale.com/product-thumbs/b_CVR_PLANOCEL_fPqgQpAB6.jpeg,https://www.edilportale.com/prodotti/cvr/sottofondo-cellulare-cementizio/planocel_116589.html
CVR,ISOLPLAN CAM 15,"Isolplanè un massetto leggero e isolante a base di perle di polistirene espanso (EPS) ottenuto mediante l’impiego di miscele di materiali da riciclo da raccolta differenziata e/o scarto industriale con materiale vergine nella misura del 15%Certificato n°2116/2022 rilasciato da IIP (Istituto Italiano dei Plastici S.r.l.)Contenuto di riciclato certificato pari al 15%.Prodotto rispondente ai criteri dei CAM edilizia.
Massetto pronto all’uso superleggero e termoisolante a base di perle di polistirene espanso idoneo per la posa diretta di piastrelle ceramiche.Sottofondo a presa normale e veloce asciugatura, specifico per la realizzazione di massetti estremamente leggeri su solai, coperture piane o a falda inclinata, lastrici solari e per l’isolamento di vani sottotetto.Prodotto a ritiro idraulico controllato, permette di realizzare piani di calpestio perfettamente stabili e a ridotto contenuto di umidità, abbreviando i tempi di posa in opera dei successivi rivestimenti. Prodotto per uso professionale.
SOTTOFONDIProdotti per la preparazione dei supporti prima della posa di pavimenti e rivestimenti.Getti di riempimento, massetti cementizi, autolivellanti, rasanti, primer e consolidanti.
sacchi carta da 70 lt. su pianale da 40 sacchi",https://img.edilportale.com/product-thumbs/b_CVR_ISOLPLAN_pVuczshpS2.jpeg,https://www.edilportale.com/prodotti/cvr/massetto-leggero-e-isolante-a-base-di-eps/isolplan-cam-15_70479.html
CVR,PIANO ZERO,"PIANO ZEROè un massetto cementizio tradizionale a presa normale per la realizzazione di spessori tecnici necessari per inglobare impianti a pavimento e per portare in quota i piani di calpestio. Ottima lavorabilità, buone resistenze meccaniche, attenta e costante dosatura dei componenti, garantiscono l’esecuzione di sottofondi perfetti.Massetto cementizio a consistenza terra umida a ridotto contenuto di umidità, permette di preparare piani di calpestio perfettamente planari, assolutamente stabili, facilitando le fasi esecutive del sottofondo e migliorando la qualità di posa di piastrelle ceramiche, pietre naturali, legno, moquette e resilienti
SOTTOFONDIProdotti per la preparazione dei supporti prima della posa di pavimenti e rivestimenti.Getti di riempimento, massetti cementizi, autolivellanti, rasanti, primer e consolidanti.",https://img.edilportale.com/product-thumbs/b_PIANO-ZERO-CVR-393654-rel1ac10da7.jpg,https://www.edilportale.com/prodotti/cvr/massetto-cementizio-tradizionale-a-presa-normale/piano-zero_393654.html
CVR,MASS7 LEGANTE,"Mass7 LegantediCVRè una miscela di leganti idraulici ad elevate prestazioni appositamente progettati per il confezionamento in cantiere di massetti tradizionali a presa normale e rapida essiccazione ove occorra portare in quota i piani di calpestio. Elevate resistenze meccaniche, rapido asciugamento ed eccellente  lavorabilità garantiscono l’esecuzione di sottofondi di posa perfetti. Legante per il confezionamento di malte a consistenza terra umida, esente da ritiro idraulico e a ridotta richiesta di acqua di impasto. Mass7 legante permette di realizzare piani di calpestio perfettamente stabili e a ridotto contenuto di umidità abbreviando i tempi di posa in opera di piastrelle ceramiche,  pietre naturali, legno, moquette e resilienti.  Mass7 legante è consigliato per la realizzazione di massetti ove sia previsto il riscaldamento mediante tubi radianti a pavimento.
SOTTOFONDIProdotti per la preparazione dei supporti prima della posa di pavimenti e rivestimenti.Getti di riempimento, massetti cementizi, autolivellanti, rasanti, primer e consolidanti.",https://img.edilportale.com/product-thumbs/b_MASS7-LEGANTE-CVR-70474-rel7a65953e.jpg,https://www.edilportale.com/prodotti/cvr/massetto-e-sottofondo-di-pavimentazione/mass7-legante_70474.html
CVR,MASS7 PRONTO,"Mass7 ProntodiCVRè il massetto tradizionale a presa normale e rapida essiccazione appositamente progettato  per la realizzazione di spessori tecnici necessari per inglobare impianti a pavimento e per portare in quota i piani di calpestio. Elevate resistenze meccaniche, attenta e costante dosatura dei componenti, alta stabilità  dimensionale, rapido asciugamento ed eccellente lavorabilità garantiscono l’esecuzione di sottofondi di posa perfetti. Massetto cementizio a consistenza terra umida, esente da ritiro idraulico e a ridotta richiesta di acqua di impasto.  Mass7 Pronto permette di preparare piani di calpestio perfettamente stabili e a ridotto contenuto di umidità abbreviando i tempi di posa in opera di piastrelle ceramiche, pietre naturali, legno, moquette e resilienti. Mass7 Pronto è idoneo per la realizzazione di massetti ove sia previsto il riscaldamento mediante tubi radianti a pavimento.
SOTTOFONDIProdotti per la preparazione dei supporti prima della posa di pavimenti e rivestimenti.Getti di riempimento, massetti cementizi, autolivellanti, rasanti, primer e consolidanti.",https://img.edilportale.com/product-thumbs/b_MASS7-PRONTO-CVR-70476-reld517fc1f.jpg,https://www.edilportale.com/prodotti/cvr/massetto-e-sottofondo-di-pavimentazione/mass7-pronto_70476.html
CVR,MASS7 FIBRATO,"MASS7 Fibratoè il massetto fibro rinforzato a presa normale e veloce asciugatura appositamente progettato per la realizzazione di spessori tecnici necessari per inglobare impianti a pavimento e per portare in quota i piani di calpestio. Elevate resistenze meccaniche, attenta e costante dosatura dei componenti, alta stabilità dimensionale ed eccellente lavorabilità garantiscono l’esecuzione di sottofondi di posa perfetti.Massetto cementizio a consistenza terra umida armato con fibre polipropileniche alcali resistenti, a ritiro idraulico controllato, dimensionalmente stabile e con prestazioni meccaniche migliorate. Mass7 Fibrato permette di preparare piani di calpestio perfettamente planari, senza cavillature e a ridotto contenuto di umidità, facilitando le fasi di realizzazione del sottofondo e riducendo i tempi per la posa di piastrelle ceramiche, pietre naturali, legno, moquette e resilienti. Prodotto per uso professionale.
SOTTOFONDIProdotti per la preparazione dei supporti prima della posa di pavimenti e rivestimenti.Getti di riempimento, massetti cementizi, autolivellanti, rasanti, primer e consolidanti.",https://img.edilportale.com/product-thumbs/b_mass7-fibrato-cvr-393630-rela6988443.jpg,https://www.edilportale.com/prodotti/cvr/massetto-cementizio-fibrorinforzato/mass7-fibrato_393630.html
CVR,MASS7 RADIANTE,"Mass7 Radianteè il massetto ad elevata conducibilità termica contenente innovative fibre metalliche inossidabili e speciali inerti conduttivi, appositamente progettato per realizzare massetti radianti ad alta efficienza energetica. Elevata stabilità dimensionale, ottime resistenze meccaniche, veloce asciugatura ed eccellente lavorabilità, garantiscono l’esecuzione di sottofondi perfetti, ideali per la posa di piastrelle ceramiche, pietre naturali o legno.Massetto fibro armato, a consistenza terra umida, esente da ritiro idraulico e a ridotta richiesta di acqua di impasto specifico per la realizzazione di pavimentazioni radianti ad elevata conducibilità termica. Mass7 Radiante permette di preparare massetti conduttivi perfettamente stabili e a ridotto contenuto di umidità abbreviando i tempi di posa in opera di piastrelle ceramiche, pietre naturali o legno.
SOTTOFONDIProdotti per la preparazione dei supporti prima della posa di pavimenti e rivestimenti.Getti di riempimento, massetti cementizi, autolivellanti, rasanti, primer e consolidanti.",https://img.edilportale.com/product-thumbs/b_mass7-radiante-cvr-393631-relc1c7795b.jpg,https://www.edilportale.com/prodotti/cvr/massetto-ad-elevata-efficienza-energetica/mass7-radiante_393631.html
CVR,MASS7 LIGHT,"MASS7 Lightè il massetto leggero fibrorinforzato esclusivamente a base minerale, consistenza terra umida e veloce asciugatura, specifico per interventi su edifici storici e per tutti i lavori di ristrutturazione ove occorra realizzare massetti a medio alto spessore evitando inutili e dannosi sovraccarichi alla struttura. Basso peso specifico, elevate resistenze meccaniche, costante dosatura dei componenti, ottima stabilità dimensionale ed eccellente lavorabilità, garantiscono la realizzazione di sottofondi leggeri a perfetta regola d’arte.Massetto minerale a base di speciali granuli di vetro espanso che conferiscono al prodotto eccellente leggerezza finale ed elevate resistenze meccaniche. Ottima stabilità dimensionale, ridotto ritiro idraulico, eccellente lavorabilità, rendono il massetto particolarmente indicato per getti di alto spessore, compatti, resistenti, privi di cavillature e perfettamente planari, ideali per la posa diretta tutti i tipi di piastrelle ceramiche, pietre naturali, legno, moquette e resilienti.
SOTTOFONDIProdotti per la preparazione dei supporti prima della posa di pavimenti e rivestimenti.Getti di riempimento, massetti cementizi, autolivellanti, rasanti, primer e consolidanti.",https://img.edilportale.com/product-thumbs/b_mass7-light-cvr-393632-rel74d4dedd.jpg,https://www.edilportale.com/prodotti/cvr/massetto-leggero-isolante-e-resistente/mass7-light_393632.html
CVR,LIVELPLAN L10,"Livelplan L10diCVRè l’autolivellante ad elevata tecnologia studiato per la preparazione dei piani di posa al fine di lisciare e livellare massetti irregolari con dislivelli da 1 sino a 10 mm.. Alte resistenze meccaniche, elevata fluidità, ottima adesione al sottofondo, garantiscono l’esecuzione di sottofondi perfettamente planari. Autolivellante cementizio, polimero modificato, a rapido indurimento e veloce essiccazione, non segregabile, esente da ritiro idraulico e resistente all’abrasione. Livelplan L10 permette di preparare piani di calpestio perfettamente orizzontali e ben rasati agevolando le operazioni di posa in opera di piastrelle ceramiche, pietre naturali, legno, moquette e resilienti.
SOTTOFONDIProdotti per la preparazione dei supporti prima della posa di pavimenti e rivestimenti.Getti di riempimento, massetti cementizi, autolivellanti, rasanti, primer e consolidanti.",https://img.edilportale.com/product-thumbs/b_LIVELPLAN-L10-CVR-70484-relc9fc89dc.jpg,https://www.edilportale.com/prodotti/cvr/sottofondo-autolivellante/livelplan-l10_70484.html
CVR,LIVELPLAN L35,"Livelplan L35diCVRè l’autolivellante di ultima generazione ad elevata tecnologia studiato per la preparazione dei piani di posa al fine di lisciare e livellare massetti irregolari con dislivelli da 3 sino a 35 mm. Alte resistenze meccaniche, elevata fluidità, ottima adesione al  sottofondo,  garantiscono  l’esecuzione  di  sottofondi  perfettamente planari. Autolivellante cementizio fibrorinforzato, polimero modificato , a rapido indurimento e veloce essiccazione, non segregabile, esente da ritiro idraulico e resistente all’abrasione. Livelplan L35 permette di preparare piani di calpestio perfettamente orizzontali e ben rasati agevolando le operazioni di posa in opera di piastrelle ceramiche, pietre naturali, legno, moquette e resilienti. Livelplan L35 è idoneo per la realizzazione di massetti riscaldati.
SOTTOFONDIProdotti per la preparazione dei supporti prima della posa di pavimenti e rivestimenti.Getti di riempimento, massetti cementizi, autolivellanti, rasanti, primer e consolidanti.",https://img.edilportale.com/product-thumbs/b_LIVELPLAN-L35-CVR-70481-rel767783a.jpg,https://www.edilportale.com/prodotti/cvr/sottofondo-autolivellante/livelplan-l35_70481.html
