marca,nome,descrizione,image url,product url
EDILFERRO TRAVEST,ART. 2011 - 2011.I,"Paraspigolo per intonaco rasante.- art. 2011 - paraspigolo per intonaco rasante interno adatto per rasature sottili in lamiera zincata gr. 200/m² spessore mm 0,40- art. 2011.I - paraspigolo per intonaco rasante esterno adatto per rasature sottili in acciaio inox",https://img.edilportale.com/product-thumbs/b_ART-2011-2011-I-Edge-protector-EDILFERRO-TRAVEST-360346-rel20e2537d.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2011-2011.i_360346.html
EDILFERRO TRAVEST,ART. 2025,"Paraspigolo retinato da mm 35 x 15 per intonaco interno in lamiera zincata gr. 200/m² spessore mm 0,50",https://img.edilportale.com/product-thumbs/b_ART-2025-Edge-protector-EDILFERRO-TRAVEST-142760-relb96893cc.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2025_142760.html
EDILFERRO TRAVEST,ART. 2001 - 2001.I,"Paraspigolo retinato lato mm 35 per intonaco interno.art. 2001 - paraspigolo retinato lato mm 35 per intonaco interno in lamiera zincata gr. 200/m² spessore mm 0,50art. 2001.P - paraspigolo retinato lato mm 35 per intonaco interno in lamiera zincata gr. 200/m² spessore mm 0,60art. 2001.L - paraspigolo retinato lato mm 35 per intonaco interno in lamiera zincata gr. 200/m² spessore mm 0,45art. 2001.R - paraspigolo retinato lato mm 35 per intonaco interno in lamiera zincata gr. 200/m² spessore mm 0,50art. 2001LR - paraspigolo retinato lato mm 35 per intonaco interno in lamiera zincata gr. 200/m² spessore mm 0,45art. 2001.A - paraspigolo retinato lato mm 35 per intonaco interno a base di gesso in alluminio naturaleart. 2001.I - paraspigolo retinato lato mm 35 per intonaco esterno in acciaio inox",https://img.edilportale.com/product-thumbs/b_ART-2001-2001-I-Edge-protector-EDILFERRO-TRAVEST-360336-rel55e65f6a.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2001-2001.i_360336.html
EDILFERRO TRAVEST,ART. 2002 - 2002.A,"Profilo a ""T"" per intonaco interno da mm 6.- art. 2002 profilo a ""T"" per intonaco interno da mm 6 in lamiera zincata gr. 200/m² spessore mm 0,50- art. 2002.E profilo a ""T"" per intonaco interno da mm 6 in lamiera zincata gr. 200/m² spessore mm 0,40- art. 2002.A profilo a ""T"" per intonaco interno da mm 6 in alluminio naturale",https://img.edilportale.com/product-thumbs/b_ART-2002-2002-A-Edge-protector-EDILFERRO-TRAVEST-360339-rel78f531ab.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2002-2002.a_360339.html
EDILFERRO TRAVEST,ART. 2032 - 2032.I,"Profilo a ""T"" per intonaco da mm 10.art. 2032 - profilo a ""T"" per intonaco interno da mm 10 in lamiera zincata gr. 200/m² spessore mm 0,50art. 2032.I - profilo a ""T"" per intonaco esterno da mm 10 in acciaio inox",https://img.edilportale.com/product-thumbs/b_ART-2032-2032-I-Edge-protector-EDILFERRO-TRAVEST-360340-rel876375c4.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2032-2032.i_360340.html
EDILFERRO TRAVEST,ART. 2005 - 2005.I,"Paraspigolo retinato lato mm 45.- art. 2005 - paraspigolo retinato lato mm 45 molto robusto in lamiera zincata gr.275/m² spessore mm 0,50NB: se usato all'esterno, oltre allo spessore minimo dell'intonaco espresso in tabella, ricoprire completamente lo spigolo con almeno mm 4 d'intonaco di finitura, in ogni caso non si garantisce il tempo di durata alla aggressione corrosiva- art. 2005.A - paraspigolo retinato lato mm 45 in alluminio naturale adatto per intonaco a base di gesso- art. 2005.I - paraspigolo retinato lato mm 45 molto robusto in acciaio inox per uso esterno",https://img.edilportale.com/product-thumbs/b_ART-2005-2005-I-Edge-protector-EDILFERRO-TRAVEST-360342-rel55b37559.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2005-2005.i_360342.html
EDILFERRO TRAVEST,ART. 2005/135°,"Paraspigolo retinato lato mm 42 a 135° molto robusto in lamiera zincata gr. 275/m² spessore mm 0,50NB: se usato all'esterno, oltre allo spessore minimo dell'intonaco espresso in tabella, ricoprire completamente lo spigolo con almeno mm 4 d'intonaco di finitura, in ogni caso non si garantisce il tempo di durata alla aggressione corrosiva",https://img.edilportale.com/product-thumbs/b_ART-2005-135-Edge-protector-EDILFERRO-TRAVEST-360344-rel5e90f97.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2005-135_360344.html
EDILFERRO TRAVEST,ART. 2015 - 2015.L,"Paraspigolo alettato con spigolo vivo.art. 2015 - paraspigolo alettato con spigolo vivo molto robusto per intonaco interno in lamiera zincata gr. 275/m² spessore mm 0,50art. 2015.L - paraspigolo alettato con spigolo vivo per intonaco interno in lamiera zincata gr. 200/m² spessore mm 0,40",https://img.edilportale.com/product-thumbs/b_ART-2015-2015-L-Edge-protector-EDILFERRO-TRAVEST-360347-relc97cef25.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2015-2015.l_360347.html
EDILFERRO TRAVEST,ART. 2021 - 2021.L,"Paraspigolo alettato con spigolo tondo.art. 2021 - paraspigolo alettato con spigolo tondo molto robusto per intonaco interno in lamiera zincata gr. 275/m² spessore mm 0,50art. 2021.L - paraspigolo alettato con spigolo tondo per intonaco interno in lamiera zincata gr. 200/m² spessore mm 0,40",https://img.edilportale.com/product-thumbs/b_ART-2021-2021-L-Edge-protector-EDILFERRO-TRAVEST-360353-rel2ecad6fb.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2021-2021.l_360353.html
EDILFERRO TRAVEST,ART. 2016 - 2019,"Paraspigolo alettato per intonaco interno.art. 2016 - paraspigolo alettato per intonaco interno da mm 10 con spigolo tondo in lamiera zincata gr. 275/m² spessore mm 0,50art. 2019 - paraspigolo alettato per intonaco interno da mm 14 con spigolo tondo in lamiera zincata gr. 275/m² spessore mm 0,50",https://img.edilportale.com/product-thumbs/b_ART-2016-2019-Edge-protector-EDILFERRO-TRAVEST-360354-rele737e13f.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2016-2019_360354.html
EDILFERRO TRAVEST,ART. 2017 - 2020,"Paraspigolo alettato con protezione spigolo in P.V.C. in lamiera zincata gr.275/m² spessore mm 0,50 adatto per intonaci esterni colorati.art. 2017 - paraspigolo alettato con protezione spigolo in P.V.C. in lamiera zincata gr.275/m² spessore mm 0,50 adatto per intonaci esterni colorati da mm 10art. 2020 - paraspigolo alettato con protezione spigolo in P.V.C. in lamiera zincata gr. 275/m² spessore mm 0,50 adatto per intonaci esterni colorati da mm 14NB: non intonacare le protezioni in p.v.c.in ogni caso non si garantisce il tempo di durata all'aggressione corrosiva per quanto riguarda la lamiera zincata",https://img.edilportale.com/product-thumbs/b_ART-2017-2020-Edge-protector-EDILFERRO-TRAVEST-360355-rel59e7db3a.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2017-2020_360355.html
EDILFERRO TRAVEST,ART. 5100 - 5100.I,Paraspigolo ad arco per intonaco.art. 5100 - paraspigolo ad arco per intonaco interno in lamiera zincata gr. 200/m²art. 5100.I - paraspigolo ad arco per intonaco esterno in acciaio inox,https://img.edilportale.com/product-thumbs/b_ART-5100-5100-I-Edge-protector-EDILFERRO-TRAVEST-360357-relccb5d45f.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-5100-5100.i_360357.html
EDILFERRO TRAVEST,ART. 2100,"Profilo di delimitazione o di zoccolo per intonaco interno in lamiera zincata gr. 275/m² spessore mm 0,60.questo profilo delimita l'intonaco presso altri elementi della costruzione",https://img.edilportale.com/product-thumbs/b_ART-2100-EDILFERRO-TRAVEST-360358-relb06d8e3e.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-di-delimitazione-o-di-zoccolo-per-intonaco/art.-2100_360358.html
EDILFERRO TRAVEST,art. 2110 - 2130.I,"Profilo di delimitazione o di zoccolo per intonaco.art. 2110 / 2120 / 2130 - profilo di delimitazione o di zoccolo per intonaco interno in lamiera zincata gr. 275/m² spessore mm 0,60art. 2110.I / 2120.I / 2130.I - profilo di delimitazione o di zoccolo per intonaco esterno in acciaio inoxusati in coppia contrapposti si ottiene un giunto di dilatazione",https://img.edilportale.com/product-thumbs/b_art-2110-2130-I-EDILFERRO-TRAVEST-360361-rel8b2b64b1.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-di-delimitazione-o-di-zoccolo-per-intonaco/art.-2110-2130.i_360361.html
EDILFERRO TRAVEST,ART. 2210 - 2220.I,"Profilo di dilatazione o di giunzione per intonaco.art. 2210 / art. 2210.I -  profilo di dilatazione o di giunzione per intonaco interno in lamiera zincata gr. 275/m² spessore mm 0,60art. 2220 / art. 2220.I  - profilo di dilatazione o di giunzione per intonaco esterno in acciaio inoxUsati in coppia contrapposti si ottiene un giunto di dilatazione",https://img.edilportale.com/product-thumbs/b_ART-2210-2220-I-EDILFERRO-TRAVEST-360362-rel697e94bd.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-di-dilatazione-o-di-giunzione-per-intonaco/art.-2210-2220.i_360362.html
EDILFERRO TRAVEST,ART. 2230 - 2240,Giunto di dilatazione per intonaco interno.art. 2230 - giunto di dilatazione per intonaco interno da mm 10 in lamiera zincata piu' P.V.C.art. 2240 - giunto di dilatazione per intonaco interno da mm 15 in lamiera zincata piu' P.V.C.,https://img.edilportale.com/product-thumbs/b_ART-2230-2240-EDILFERRO-TRAVEST-360364-rel54a7cad9.jpg,https://www.edilportale.com/prodotti/edilferro-travest/giunto-di-dilatazione-per-intonaco-interno/art.-2230-2240_360364.html
EDILFERRO TRAVEST,ART. 2014 - 2014.I,"Paraspigolo per intonaco termoisolante.art. 2014 - paraspigolo per intonaco termoisolante in lamiera zincata gr. 275/m² spessore mm 0,50NB: si raccomanda di coprire completamente lo spigolo con uno strato d'intonaco minerale di finutura di almeno mm 6in ogni caso non si garantisce il tempo di durata all'aggressione corrosivaart. 2014.I - paraspigolo per intonaco termoisolante in acciaio inox  le ampie maglie facilitano la penetrazione all'interno dell'intonaco termico",https://img.edilportale.com/product-thumbs/b_ART-2014-2014-I-Edge-protector-EDILFERRO-TRAVEST-360366-rel5ff8bd87.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2014-2014.i_360366.html
EDILFERRO TRAVEST,ART. 1430 - 1450.I,"Profili d'angolo per intonaco termoisolante.art. 1430 / 1440 / 1450 - profili d'angolo per intonaco termoisolante in lamiera zincata gr. 275/m² spessore mm 0,70NB:si raccomanda di coprire completamente lo spigolo con uno strato d'intonaco minerale di finutura di almeno mm6in ogni caso non si garantisce il tempo di durata all'aggressione corrosivaart. 1430.I / art. 1440.I / art. 1450.I - profili d'angolo per intonaco termoisolante in acciaio inox",https://img.edilportale.com/product-thumbs/b_ART-1430-1450-I-Edge-protector-EDILFERRO-TRAVEST-360368-relbaaabecb.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-1430-1450.i_360368.html
EDILFERRO TRAVEST,ART. 9430 - 9450.I,"Profili di zoccolo per intonaco termoisolanteart. 9430 / 9440 / 9450 / 9460 / 9480 / 9500 / 9520 - profili di zoccolo per intonaco termoisolante in lamiera zincata gr. 275/m² spessore mm 0,70art. 9430.I / 9440.I / 9450.I / 9460.I / 9480.I / 9500.I / 9520.I - profili di zoccolo per intonaco termoisolante in acciaio inoxNB: se usati in verticale possono fungere da profili di delimitazione - se usati in coppia contrapposti fungono da giunti di dilatazione - in ogni caso per gli art. in lamiera zincata non si garantisce il tempo di durata all'aggressione corrosiva",https://img.edilportale.com/product-thumbs/b_ART-9430-9450-I-Profilo-paraspigolo-EDILFERRO-TRAVEST-360370-rela6db418b.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-9430-9450.i_360370.html
EDILFERRO TRAVEST,ART. 2003/A - 2011.I,"Paraspigolo per sistemi a ""cappotto""art. 2003/A paraspigolo per sistemi a ""cappotto"" in alluminio naturale con lati nervatiart. 2003/AL paraspigolo per sistemi a ""cappotto"" in alluminio naturale con lati lisciart. 2003.B paraspigolo per sistemi a ""cappotto"" in alluminio preverniciato biancoart. 2011.I paraspigolo per sistemi a ""cappotto"" in acciaio inox",https://img.edilportale.com/product-thumbs/b_ART-2003-A-2011-I-Edge-protector-EDILFERRO-TRAVEST-10923-rela90b1efe.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2003-a-2011.i_10923.html
EDILFERRO TRAVEST,ART. 3035,Edilferroproduce giunti di dilatazione (ART. 3035) per sistemi a cappotto in PVC con rete in fibra di vetro (gr 160/m²).,https://img.edilportale.com/product-thumbs/b_prodotti-10924-rel21cb0a47b0e14da8b79396fe1742afdf.jpg,https://www.edilportale.com/prodotti/edilferro-travest/giunto-di-dilatazione-in-pvc/art.-3035_10924.html
EDILFERRO TRAVEST,ART. 3071 - 3079,Edilferroproduce profili cornice per sistema a cappottoin alluminio preverniciato.ART. 3071ART. 3075ART. 3073ART. 3076ART. 3077ART. 3074ART. 3078ART. 3079,https://img.edilportale.com/product-thumbs/b_prodotti-10925-rel870f38724d2c418b8064a6c372a23feb.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profili-per-sistema-a-cappotto/art.-3071-3079_10925.html
EDILFERRO TRAVEST,ART. 2006 / 2007,"Edilferroproduce profili di copertina con gocciolatoio per sistemi a ""cappotto"" in alluminio preverniciato (ART. 2006/A -ART. 2006/B -ART. 2006/C).E' disponibile anche la versione dei profili copertina con ripresa (ART. 2007/C -ART. 2007/D -ART. 2007/E).",https://img.edilportale.com/product-thumbs/b_prodotti-10926-rel24c3a38ff5ce488c95c41d34d91755a6.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profili-di-copertina/art.-2006-2007_10926.html
EDILFERRO TRAVEST,ART. 4050,Edilferroproduce paraspigoli per cartongesso inlamiera zincata gr. 200/m² conangoli a gradi variabili.,https://img.edilportale.com/product-thumbs/b_prodotti-10927-relea5dfa336ab241cbbce0b5f70e0d5864.jpg,https://www.edilportale.com/prodotti/edilferro-travest/paraspigolo-per-cartongesso/art.-4050_10927.html
EDILFERRO TRAVEST,ART. APF2422,Edilferroproduce angolari di connessione alla colonnarotonda in lamiera zincata preverniciata e PVC per controsoffitti in fibra minerale (ART. APF2422).,https://img.edilportale.com/product-thumbs/b_prodotti-10928-reld744a2d7489e4727b3fb21d2644da4a5.jpg,https://www.edilportale.com/prodotti/edilferro-travest/angolare-di-connessione/art.-apf2422_10928.html
EDILFERRO TRAVEST,ART. UF283006 - LF754006,Edilferroproduce profili guida ad U flessibiliper pareti in cartongesso  (ART. UF283006 -ART. UF504006 -ART. UF754006) e profili guida ad L flessibiliper controsoffitti in cartongesso (ART. LF504006 -ART. LF754006).,https://img.edilportale.com/product-thumbs/b_ART-UF283006-LF754006-EDILFERRO-TRAVEST-10929-rel24d2e6d1.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profili-guida/art.-uf283006-lf754006_10929.html
EDILFERRO TRAVEST,ART. 551 - 552.R,Edilferroproduce raschiatori a denti accoppiati e triangolari in lamiera zincata o  lamiera zincata e P.V.C.ART. 551- raschiatore a denti accoppiatiART. 551/R - ricambio raschiatore a denti accoppiatiART. 552 -raschiatore a denti triangolariART. 552/R -ricambio raschiatore a denti triangolari,https://img.edilportale.com/product-thumbs/b_ART-551-552-R-EDILFERRO-TRAVEST-10930-rel1eb70f26.jpg,https://www.edilportale.com/prodotti/edilferro-travest/raschiatori/art.-551-552.r_10930.html
EDILFERRO TRAVEST,Fissaggio per pannelli fotovoltaici,"Il sistema di fissaggio per pannelli fotovoltaiciEDILFERRO TRAVESTè solido,  pratico, versatile, economico e semplicissimo per il montaggio, solo tre componenti formano la base della struttura progettata per adattarsi ai moduli fotovoltaici più diffusi.La lunghezza del profilato è a richiesta del cliente e la qualità dei materiali è resistente alla corrosione.
Applicazioni
Vantaggi",https://img.edilportale.com/product-thumbs/b_prodotti-20037-rel954c8ff9509b4e3ab99583ecda546045.jpg,https://www.edilportale.com/prodotti/edilferro-travest/supporto-per-fotovoltaico/fissaggio-per-pannelli-fotovoltaici_20037.html
EDILFERRO TRAVEST,ART. 1010 - 1011,Edilferroproduce reti portaintonaco in lamiera zincata.ART. 1010Rete portaintonaco in lamiera zincata in foglida mm 600x2500.ART. 1011Rete portaintonaco in lamiera zincata in foglida mm 600x2500confezionata in pacchi da 20 fogli.,https://img.edilportale.com/product-thumbs/b_prodotti-10922-rel2d807aa1567a4106a5b5415d50576e39.jpg,https://www.edilportale.com/prodotti/edilferro-travest/rete-porta-intonaco/art.-1010-1011_10922.html
EDILFERRO TRAVEST,ART. 2003.F - 2003.M,"Paraspigolo per ""cappotto"" in alluminio.art. 2003.F - paraspigolo per ""cappotto"" in alluminio naturale con rete in fibra di vetro preincollata (gr 160/m²) da cm 8 x 12art. 2003.G - paraspigolo per ""cappotto"" in alluminio naturale con rete in fibra di vetro preincollata (gr 160/m²) da cm 10 x 15art. 2003.L - paraspigolo per ""cappotto"" in alluminio preverniciato con rete in fibra di vetro preincollata (gr 160/m²) da cm 8 x 12art. 2003.M - paraspigolo per ""cappotto"" in alluminio preverniciato con rete in fibra di vetro preincollata (gr 160/m²) da cm 10 x 15",https://img.edilportale.com/product-thumbs/b_ART-2003-F-2003-M-Edge-protector-EDILFERRO-TRAVEST-360371-reld234ecab.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2003.f-2003.m_360371.html
EDILFERRO TRAVEST,ART. 3018 - 3020,"Paraspigolo per sistemi a ""cappotto"" in P.V.C. con rete in fibra di vetro preincollataart. 3018 - paraspigolo per sistemi a ""cappotto"" in P.V.C. con rete in fibra di vetro preincollata (gr 160/m²) da cm 8 x 12art. 3020 - paraspigolo per sistemi a ""cappotto"" in P.V.C. con rete in fibra di vetro preincollata (gr 160/m²) da cm 10 x 15",https://img.edilportale.com/product-thumbs/b_ART-3018-3020-Edge-protector-EDILFERRO-TRAVEST-360372-rel492e151b.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-3018-3020_360372.html
EDILFERRO TRAVEST,ART. 3030,Paraspigolo per sistemi a “cappotto” in P.V.C. più rete in fibra di vetro (gr 160/m²) con gocciolatoio,https://img.edilportale.com/product-thumbs/b_ART-3030-Edge-protector-EDILFERRO-TRAVEST-360373-rel9ef37daf.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo-in-pvc/art.-3030_360373.html
EDILFERRO TRAVEST,ART. 5300,"Paraspigolo ad arco per sitemi a ""cappotto"" in acciaio inox",https://img.edilportale.com/product-thumbs/b_ART-5300-Edge-protector-EDILFERRO-TRAVEST-360375-relf8767069.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-5300_360375.html
EDILFERRO TRAVEST,ART. 2009 - 2009/T,"Profili di partenza con gocciolatoio per sistemi a ""cappotto"" in alluminio naturaleart. 2009art. 2009/Aart. 2009/Bart. 2009/Cart. 2009/Hart. 2009/Iart. 2009/Lart. 2009/Mart. 2009/Rart. 2009/Sart. 2009/T",https://img.edilportale.com/product-thumbs/b_ART-2009-2009-T-Edge-protector-EDILFERRO-TRAVEST-360377-relf13937bc.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2009-2009-t_360377.html
EDILFERRO TRAVEST,ART. 2010 - 2010/L,"Profili di chiusura per sistemi a ""cappotto"" in alluminio preverniciatoart. 2010art. 2010/Aart. 2010/Bart. 2010/Cart. 2010/Dart. 2010/Eart. 2010/Fart. 2010/Gart. 2010/Hart. 2010/Iart. 2010/L",https://img.edilportale.com/product-thumbs/b_ART-2010-2010-L-Edge-protector-EDILFERRO-TRAVEST-360379-reld1e2eeef.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2010-2010-l_360379.html
EDILFERRO TRAVEST,ART. 2004,"Paraspigolo per cartongesso in lamiera zincata gr. 200/m² spessore mm 0,50",https://img.edilportale.com/product-thumbs/b_ART-2004-Profilo-paraspigolo-EDILFERRO-TRAVEST-360381-rel36fa9aa2.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2004_360381.html
EDILFERRO TRAVEST,ART. 2004/135°,"Paraspigolo per cartongesso in lamiera zincata gr. 200/m² spessore mm 0,50 con angolo interno a 135°",https://img.edilportale.com/product-thumbs/b_ART-2004-135-Profilo-paraspigolo-EDILFERRO-TRAVEST-360382-rel9d53a182.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2004-135_360382.html
EDILFERRO TRAVEST,ART. 4030,"Paraspigolo per cartongesso o intonaco rasante interno microstirato in lamiera zincata gr. 200/m² spessore mm 0,60",https://img.edilportale.com/product-thumbs/b_ART-4030-Edge-protector-EDILFERRO-TRAVEST-360385-rel56a0c02.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-4030_360385.html
EDILFERRO TRAVEST,ART. 2011 - 2003/AL,"art. 2011 - paraspigolo per cartongesso in lamiera zincata gr. 200/m² spessore mm 0,40art. 2003/AL - paraspigolo per cartongesso in alluminio naturale",https://img.edilportale.com/product-thumbs/b_ART-2011-2003-AL-Edge-protector-EDILFERRO-TRAVEST-360386-rel419560f0.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-2011-2003-al_360386.html
EDILFERRO TRAVEST,ART. 5400,Paraspigolo ad arco per cartongesso in lamiera zincata gr. 200/m²,https://img.edilportale.com/product-thumbs/b_ART-5400-Profilo-paraspigolo-EDILFERRO-TRAVEST-360388-rel23efd17d.jpg,https://www.edilportale.com/prodotti/edilferro-travest/profilo-paraspigolo/art.-5400_360388.html
