marca,nome,descrizione,image url,product url
Ediltec,POLIISO® AIR INDOOR,"POLIISO® AIR INDOORè un pannello sandwich costituito da una schiuma polyiso (poliuretano espanso) rigida a celle chiuse, di colore giallo, espansa fra due supporti di alluminio goffrato da 80-200 μm. I pannelli hanno dimensioni standard pari a 1200 x 4000 mm e sono Disponibili nello spessore 20,5 mm.
I pannelliPOLIISO®, in schiuma polyiso (PIR), sono prodotti con espandenti che non intaccano lo strato di ozono e senza l’impiego di CFC e HCFC. La schiuma è rigida, a celle chiuse, imputrescibile, resistente alla maggior parte degli addittivi chimici e alle alte temperature (fino a 110 °C). I pannelli, disponibili con diverse finiture superficiali, sono tra i migliori isolanti termici in commercio, dichiarando infatti un valore di conducibilità termica λD, fino a 0,022 W/mK secondo la normativa europea EN 13165. Alcune tipologie di pannelli, essendo rivestiti in alluminio, consentono in copertura una totale rifrazione dei raggi solari ultravioletti, incrementando ulteriormente le performances termiche dei pannelli e, in parete, costituiscono un’ottima barriera al vapore. POLIISO® è particolarmente indicato per l’isolamento termico nei tetti caldi, nelle intercapedini, ecc...
4000 × 1200 mmThickness: 20.5/30.5 mm",https://img.edilportale.com/product-thumbs/b_POLIISO-AIR-Ediltec-426800-rel1cd4830f.jpg,https://www.edilportale.com/prodotti/ediltec/pannelli-per-sistema-pre-isolato-per-il-trasporto-dell-aria/poliiso-air-indoor_426800.html
Ediltec,POLIISO® AIR OUTDOOR,"POLIISO® AIRè un pannello sandwich costituito da una schiuma polyiso (poliuretano espanso) rigida a celle chiuse, di colore giallo, espansa fra due supporti di alluminio goffrato da 80-200 μm. I pannelli hanno dimensioni standard pari a 1200 x 4000 mm e sono disponibili nello spessore 20,5 mm.Applicazioni con POLIISO AIR OUTDOOR: Outdoor
I pannelliPOLIISO®, in schiuma polyiso (PIR), sono prodotti con espandenti che non intaccano lo strato di ozono e senza l’impiego di CFC e HCFC. La schiuma è rigida, a celle chiuse, imputrescibile, resistente alla maggior parte degli addittivi chimici e alle alte temperature (fino a 110 °C). I pannelli, disponibili con diverse finiture superficiali, sono tra i migliori isolanti termici in commercio, dichiarando infatti un valore di conducibilità termica λD, fino a 0,022 W/mK secondo la normativa europea EN 13165. Alcune tipologie di pannelli, essendo rivestiti in alluminio, consentono in copertura una totale rifrazione dei raggi solari ultravioletti, incrementando ulteriormente le performances termiche dei pannelli e, in parete, costituiscono un’ottima barriera al vapore. POLIISO® è particolarmente indicato per l’isolamento termico nei tetti caldi, nelle intercapedini, ecc...
4000 × 1200 mmThickness: 20.5 / 30.5  mm",https://img.edilportale.com/product-thumbs/b_poliiso-air-outdoor-ediltec-426806-relef7ea7ac.jpg,https://www.edilportale.com/prodotti/ediltec/pannelli-per-sistema-pre-isolato-per-il-trasporto-dell-aria/poliiso-air-outdoor_426806.html
Ediltec,POLIISO® AIR CARE,"POLIISO AIR è un sistema pre-isolato per il trasporto dell’aria. I pannelli sono costituiti da una schiuma polyiso (poliuretano espanso) rigida a celle chiuse, di colore giallo, espansa fra due supporti di alluminio goffrato o liscio di spessore variabile tra i 60 ed i 400 micron. I pannelli hanno dimensioni standard pari a 4000×1200 mm e sono disponibili negli spessori 20,5 e 30,5 mm.Varianti:Poliiso Air Care GA080Poliiso Air Care GA200Poliiso Air Care AG200Poliiso Air Care GL400Poliiso Air Care GA080Poliiso Air Care GA200Poliiso Air Care AG200Poliiso Air Care GA400
I pannelliPOLIISO®, in schiuma polyiso (PIR), sono prodotti con espandenti che non intaccano lo strato di ozono e senza l’impiego di CFC e HCFC. La schiuma è rigida, a celle chiuse, imputrescibile, resistente alla maggior parte degli addittivi chimici e alle alte temperature (fino a 110 °C). I pannelli, disponibili con diverse finiture superficiali, sono tra i migliori isolanti termici in commercio, dichiarando infatti un valore di conducibilità termica λD, fino a 0,022 W/mK secondo la normativa europea EN 13165. Alcune tipologie di pannelli, essendo rivestiti in alluminio, consentono in copertura una totale rifrazione dei raggi solari ultravioletti, incrementando ulteriormente le performances termiche dei pannelli e, in parete, costituiscono un’ottima barriera al vapore. POLIISO® è particolarmente indicato per l’isolamento termico nei tetti caldi, nelle intercapedini, ecc...",https://img.edilportale.com/product-thumbs/b_poliiso-air-care-ediltec-426805-rel2f8f2eb0.jpg,https://www.edilportale.com/prodotti/ediltec/pannelli-per-sistema-pre-isolato-per-il-trasporto-dell-aria/poliiso-air-care_426805.html
Ediltec,X-FOAM® EASY PIL,"X-FOAM® EASY PILè una lastra per l'isolamento termico costituita da polistirene estruso di colore indaco, senza pelle di estrusione e con i 4 bordi dritti. Le lastre dichiarano valori di resistenza alla compressione ≥ 200 kPa, ed hanno una larghezza pari a 600 mm, lunghezza 3000 mm e spessori disponibili da 25 a 100 mm. Le lastre, classificate al fuoco EUROCLASSE E secondo la normativa europea EN 13501-1, e certificate ai Criteri Ambientali Minimi (CAM). Sono fresate sulle due facce per ottenere la migliore adattabilità alle superfici ed un facile aggrappaggio dell’intonaco.APPLICAZIONI CON X-FOAM® EASY  PIL: isolamento dei ponti termici.
600 x 3000 mmThickness: from 25 to 100 mm",https://img.edilportale.com/product-thumbs/b_prodotti-1795-reld80e9849-89c6-4420-8bb6-a4639cfdd8f2.jpg,https://www.edilportale.com/prodotti/ediltec/pannello-in-xps-per-isolamento-di-ponti-termici/x-foam-easy-pil_1795.html
Ediltec,POLIISO® VV,"Codice Prodotto:EDILTEC_POLIISO_VV
POLIISO® VVè un pannello per l'isolamento termico costituito da una schiuma polyiso (poliuretano espanso) rigida a celle chiuse, di colore giallo, espansa fra due supporti di velovetro saturato. I pannelli dichiarano valori di λD pari a 0,027 W/mK per spessori fino a 40 mm, λD pari a 0,026 W/mK per spessori da 50 mm a 90 mm e λD pari a 0,025 W/mK per spessori superiori secondo la norma europea EN 13165.  POLIISO® VV dichiara valori di resistenza alla compressione ≥ 150 kPa ed è idoneo all'applicazione sotto guaina bituminosa, resistendo a temperature massime di esercizio fino a 110 °C. I pannelli hanno dimensioni standard pari a 600 x 1200 mm e sono disponibili negli spessori da 20 a 140 mm.APPLICAZIONI CON POLIISO VV: tetto caldo sotto membrana bituminosa (a freddo), tetto caldo sotto membrana sintetica, tetto caldo giardino, tetto metallico (metal deck), tetto a falde sotto membrana ventilato.
I pannelliPOLIISO®, in schiuma polyiso (PIR), sono prodotti con espandenti che non intaccano lo strato di ozono e senza l’impiego di CFC e HCFC. La schiuma è rigida, a celle chiuse, imputrescibile, resistente alla maggior parte degli addittivi chimici e alle alte temperature (fino a 110 °C). I pannelli, disponibili con diverse finiture superficiali, sono tra i migliori isolanti termici in commercio, dichiarando infatti un valore di conducibilità termica λD, fino a 0,022 W/mK secondo la normativa europea EN 13165. Alcune tipologie di pannelli, essendo rivestiti in alluminio, consentono in copertura una totale rifrazione dei raggi solari ultravioletti, incrementando ulteriormente le performances termiche dei pannelli e, in parete, costituiscono un’ottima barriera al vapore. POLIISO® è particolarmente indicato per l’isolamento termico nei tetti caldi, nelle intercapedini, ecc...
600 x 1200 mmThickness: from 30 to 40 mm",https://img.edilportale.com/product-thumbs/b_Ediltec_POLIISO-VV_ZzfUsc7Si.jpeg,https://www.edilportale.com/prodotti/ediltec/pannello-termoisolante-in-schiuma-polyiso/poliiso-vv_82272.html
Ediltec,POLIISO® CURVO,"POLIISO® CURVOè un pannello per l’isolamento termico costituito da schiuma polyiso rigida a celle chiuse, con intagli ad interassi regolari che permettono di adeguarsi perfettamente alla conformazione del manufatto su cui deve essere installato. La realizzazione POLIISO CURVO è compatibile con tutti i pannelli POLIISO, ovvero con tutti i rivestimenti superficiali disponibili. Le caratteristiche tecniche sono le seguenti: passo fresature 50 mm; larghezza fresatura 3 mm; profondità fresatura 3/4 dello spessore. POLIISO CURVO nasce dall’esigenza di risolvere le problematiche applicative delle coperture in elementi prefabbricati in calcestruzzo, ma può essere impiegato in tutti i casi che prevedono l’applicazione dello strato isolante su superfici non complanari. I pannelli hanno dimensioni standard pari a 1200 x 1200 mm e sono disponibili negli spessori da 20 mm a 100 mm.
I pannelliPOLIISO®, in schiuma polyiso (PIR), sono prodotti con espandenti che non intaccano lo strato di ozono e senza l’impiego di CFC e HCFC. La schiuma è rigida, a celle chiuse, imputrescibile, resistente alla maggior parte degli addittivi chimici e alle alte temperature (fino a 110 °C). I pannelli, disponibili con diverse finiture superficiali, sono tra i migliori isolanti termici in commercio, dichiarando infatti un valore di conducibilità termica λD, fino a 0,022 W/mK secondo la normativa europea EN 13165. Alcune tipologie di pannelli, essendo rivestiti in alluminio, consentono in copertura una totale rifrazione dei raggi solari ultravioletti, incrementando ulteriormente le performances termiche dei pannelli e, in parete, costituiscono un’ottima barriera al vapore. POLIISO® è particolarmente indicato per l’isolamento termico nei tetti caldi, nelle intercapedini, ecc...
Thickness: from 20 to 100 mm",https://img.edilportale.com/product-thumbs/b_Ediltec_POLIISO-CURVO_gylF6ssh5K.jpeg,https://www.edilportale.com/prodotti/ediltec/pannello-termoisolante/poliiso-curvo_693224.html
Ediltec,POLIISO® VV HD,"Codice Prodotto:EDILTEC_POLIISO_VV_HD
POLIISO® VV HDè un pannello per l'isolamento termico costituito da una schiuma polyiso (poliuretano espanso) rigida a celle chiuse, di colore giallo, espansa fra due supporti di velovetro saturato. I pannelli dichiarano valori di λD pari a 0,027 W/mK per spessori fino a 40 mm, λD pari a 0,026 W/mK per spessori da 50 mm a 90 mm e λD pari a 0,025 W/mK per spessori superiori secondo la norma europea EN 13165.   POLIISO® VV HD dichiara valori di resistenza alla compressione ≥ 200 kPa ed è idoneo all'applicazione sotto guaina bituminosa, resistendo a temperature massime di esercizio fino a 110 °C. I pannelli hanno dimensioni standard pari a 600 x 1200 mm e sono disponibili negli spessori da 30 a 140 mm.APPLICAZIONI CON POLIISO VV HD: tetto caldo sotto membrana bituminosa (a freddo), tetto caldo sotto membrana sintetica, tetto caldo giardino, tetto metallico (metal deck), tetto a falde sotto membrana ventilato.
I pannelliPOLIISO®, in schiuma polyiso (PIR), sono prodotti con espandenti che non intaccano lo strato di ozono e senza l’impiego di CFC e HCFC. La schiuma è rigida, a celle chiuse, imputrescibile, resistente alla maggior parte degli addittivi chimici e alle alte temperature (fino a 110 °C). I pannelli, disponibili con diverse finiture superficiali, sono tra i migliori isolanti termici in commercio, dichiarando infatti un valore di conducibilità termica λD, fino a 0,022 W/mK secondo la normativa europea EN 13165. Alcune tipologie di pannelli, essendo rivestiti in alluminio, consentono in copertura una totale rifrazione dei raggi solari ultravioletti, incrementando ulteriormente le performances termiche dei pannelli e, in parete, costituiscono un’ottima barriera al vapore. POLIISO® è particolarmente indicato per l’isolamento termico nei tetti caldi, nelle intercapedini, ecc...
600 x 1200 mmThickness: from 30 to 40 mm",https://img.edilportale.com/product-thumbs/b_Ediltec_POLIISO-VV-HD_2NMGW4mq3B.jpeg,https://www.edilportale.com/prodotti/ediltec/pannello-termoisolante-in-schiuma-polyiso/poliiso-vv-hd_69080.html
Ediltec,POLIISO® FB,"Codice Prodotto:EDILTEC_POLIISO_FB
POLIISO® FBè un pannello per l’isolamento termico costituito da una schiuma polyiso rigida a celle chiuse, espansa senza l'impiego di CFC o HCFC fra due supporti: quello della faccia superiore in velovetro addizionato con fibre minerali (da posizionare sul lato maggiormente esposto al rischio incendi) e quello della faccia inferiore in velovetro saturato.  I pannelli dichiarano valori di λD pari a 0,027 W/mK per spessori fino a 40 mm, λD pari a 0,026 W/mK per spessori da 50 a 90 mm e λD pari a 0,025 W/mK per spessori superiori, secondo la norma europea EN 13165. I pannelli hanno dimensioni standard pari a 600 x 1200 mm e sono disponibili negli spessori da 60 a 160 mm. La reazione al fuoco è la migliore per un isolante organico ovvero B s1 d0.APPLICAZIONI CON POLIISO® FB:parete ventilata, copertura con fotovoltaico
I pannelliPOLIISO®, in schiuma polyiso (PIR), sono prodotti con espandenti che non intaccano lo strato di ozono e senza l’impiego di CFC e HCFC. La schiuma è rigida, a celle chiuse, imputrescibile, resistente alla maggior parte degli addittivi chimici e alle alte temperature (fino a 110 °C). I pannelli, disponibili con diverse finiture superficiali, sono tra i migliori isolanti termici in commercio, dichiarando infatti un valore di conducibilità termica λD, fino a 0,022 W/mK secondo la normativa europea EN 13165. Alcune tipologie di pannelli, essendo rivestiti in alluminio, consentono in copertura una totale rifrazione dei raggi solari ultravioletti, incrementando ulteriormente le performances termiche dei pannelli e, in parete, costituiscono un’ottima barriera al vapore. POLIISO® è particolarmente indicato per l’isolamento termico nei tetti caldi, nelle intercapedini, ecc...
600 x 1200 mmThickness: from 30 to 70 mm",https://img.edilportale.com/product-thumbs/b_POLIISO-FB-Thermal-insulation-panel-EDILTEC-263699-relf5b47e70.jpg,https://www.edilportale.com/prodotti/ediltec/pannello-termoisolante-in-schiuma-polyiso/poliiso-fb_263699.html
Ediltec,POLIISO® ED,"Codice Prodotto:EDILTEC_POLIISO_ED
POLIISO® EDè un pannello per l'isolamento termico costituito da una schiuma polyiso (poliuretano espanso) rigida a celle chiuse, di colore giallo, espansa fra due supporti di velovetro saturato. I pannelli dichiarano valori di λD pari a 0,027 W/mK per gli spessori fino a 40 mm, λD pari a 0,026 W/mK per spessori da 50 mm a 90 mm e λD pari a 0,025 W/mK per spessori superiori secondo la norma europea EN 13165.  POLIISO® ED dichiara valori di resistenza alla compressione ≥ 150 kPa ed è idoneo all'applicazione a cappotto. I pannelli hanno dimensioni standard pari a 600 x 1200 mm e sono disponibili negli spessori da 30 a 160 mm.APPLICAZIONI CON POLIISO® ED:Cappotto, tetto caldo sotto guaina sintetica, tetto metallico (metal deck).
I pannelliPOLIISO®, in schiuma polyiso (PIR), sono prodotti con espandenti che non intaccano lo strato di ozono e senza l’impiego di CFC e HCFC. La schiuma è rigida, a celle chiuse, imputrescibile, resistente alla maggior parte degli addittivi chimici e alle alte temperature (fino a 110 °C). I pannelli, disponibili con diverse finiture superficiali, sono tra i migliori isolanti termici in commercio, dichiarando infatti un valore di conducibilità termica λD, fino a 0,022 W/mK secondo la normativa europea EN 13165. Alcune tipologie di pannelli, essendo rivestiti in alluminio, consentono in copertura una totale rifrazione dei raggi solari ultravioletti, incrementando ulteriormente le performances termiche dei pannelli e, in parete, costituiscono un’ottima barriera al vapore. POLIISO® è particolarmente indicato per l’isolamento termico nei tetti caldi, nelle intercapedini, ecc...
600 x 1200 mmThickness: from 30 to 40 mm",https://img.edilportale.com/product-thumbs/b_Ediltec_POLIISO-ED_EBYrGmvRh4.jpeg,https://www.edilportale.com/prodotti/ediltec/pannello-termoisolante-in-schiuma-polyiso/poliiso-ed_82277.html
Ediltec,POLIISO® CC,"POLIISO® CCè un pannello per l'isolamento termico costituito da una schiuma polyiso (poliuretano espanso) rigida a celle chiuse, di colore giallo, espansa senza l'impiego di CFC o HCFC fra due supporti di cartonfeltro bitumato. I pannelli dichiarano valori di λD pari a 0,027 W/mK per spessori fino a 40 mm, 0,026 W/mK per spessori da 50 mm a 80 mm e 0,025 W/mK per spessori superiori, secondo la norma europea EN 13165. I pannelli hanno valori di resistenza alla compressione ≥ 130 kPa e hanno dimensioni 600x1200 mm. I pannelli sono disponibili negli spessori da 30 a 100 mm. POLIISO® CC è conforme ai Criteri Ambientali Minimi (CAM).APPLICAZIONI CON POLIISO® CC: Tetto caldo sotto membrana bituminosa in coperture zavorrate o pavimentate.
I pannelliPOLIISO®, in schiuma polyiso (PIR), sono prodotti con espandenti che non intaccano lo strato di ozono e senza l’impiego di CFC e HCFC. La schiuma è rigida, a celle chiuse, imputrescibile, resistente alla maggior parte degli addittivi chimici e alle alte temperature (fino a 110 °C). I pannelli, disponibili con diverse finiture superficiali, sono tra i migliori isolanti termici in commercio, dichiarando infatti un valore di conducibilità termica λD, fino a 0,022 W/mK secondo la normativa europea EN 13165. Alcune tipologie di pannelli, essendo rivestiti in alluminio, consentono in copertura una totale rifrazione dei raggi solari ultravioletti, incrementando ulteriormente le performances termiche dei pannelli e, in parete, costituiscono un’ottima barriera al vapore. POLIISO® è particolarmente indicato per l’isolamento termico nei tetti caldi, nelle intercapedini, ecc...",https://img.edilportale.com/product-thumbs/b_Ediltec_POLIISO-CC_P81kHKwnkT.jpeg,https://www.edilportale.com/prodotti/ediltec/pannello-termoisolante-in-schiuma-polyiso/poliiso-cc_349925.html
