marca,nome,descrizione,image url,product url
INDEX,THERMOCAP,"Intonaco termoisolante, traspirante e fibrorinforzato, a base di calce e leganti idraulici, per isolamenti a cappotto.",https://img.edilportale.com/product-thumbs/b_THERMOCAP-INDEX-2842-rele2bb68e2.jpg,https://www.edilportale.com/prodotti/index/intonaco-termoisolante/thermocap_2842.html
INDEX,BioSTONE REPAIR,"Malta da restauro a base di calce idraulica naturale, a basso modulo elastico e ad adesione maggiorata, per la riparazione di particolari in pietra, intonaci e fregi murali.",https://img.edilportale.com/product-thumbs/b_BioSTONE-REPAIR-INDEX-233786-reld0e686b.jpg,https://www.edilportale.com/prodotti/index/malta-da-restauro/biostone-repair_233786.html
INDEX,MUROSTUK,"Malta da muratura per stuccature faccia a vista, idrofugata e fibrorinforzata, a base di calce idraulica e leganti idraulici, per mattoni, pietre, pietre ricostruite.",https://img.edilportale.com/product-thumbs/b_MUROSTUK-INDEX-233791-rel5a9e2775.jpg,https://www.edilportale.com/prodotti/index/malta-da-muratura-per-stuccature-faccia-a-vista/murostuk_233791.html
INDEX,INJECTIONMUR,"Malta per iniezioni iperfluida a ridottissima perdita d'acqua, a base di calce idraulica naturale, per il consolidamento e la riaggregazione delle murature.",https://img.edilportale.com/product-thumbs/b_INJECTIONMUR-INDEX-233667-rel59cd76eb.jpg,https://www.edilportale.com/prodotti/index/malta-per-iniezioni-iperfluida/injectionmur_233667.html
INDEX,BioFONDOCAL,"Rinzaffo aggrappante, a base calce, per migliorare l’adesione degli intonaci, per applicazioni esterne ed interne.",https://img.edilportale.com/product-thumbs/b_BioFONDOCAL-INDEX-233681-reld49fd894.jpg,https://www.edilportale.com/prodotti/index/rinzaffo-aggrappante-a-base-di-calce-idraulica-naturale/biofondocal_233681.html
INDEX,BioINTOCAL,"Intonaco traspirante fibrorinforzato, a base di calce idraulica naturale, per applicazioni esterne ed interne.
Colori: bianco, grigio",https://img.edilportale.com/product-thumbs/b_BioINTOCAL-INDEX-233683-relf472187.jpg,https://www.edilportale.com/prodotti/index/intonaco-traspirante-a-base-di-calce-idraulica-naturale/biointocal_233683.html
INDEX,INTOPLAN,"Intonaco traspirante di fondo multiuso fibrorinforzato a base di calce e leganti idraulici, per applicazioni esterne ed interne.",https://img.edilportale.com/product-thumbs/b_INTOPLAN-INDEX-233685-relac918a6a.jpg,https://www.edilportale.com/prodotti/index/intonaco-traspirante-di-fondo-multiuso/intoplan_233685.html
INDEX,THERMOMALT,"Malta termoisolante per murature, per applicazioni esterne ed interne",https://img.edilportale.com/product-thumbs/b_THERMOMALT-INDEX-233693-rel7cb9feb.jpg,https://www.edilportale.com/prodotti/index/malta-termoisolante/thermomalt_233693.html
INDEX,MUROMALT M15,"Malta per muratura e intonaco armato, per il rinforzo strutturale armato con rete in fibra di vetro AR: REINFORCE NET, per applicazioni esterne ed interne.",https://img.edilportale.com/product-thumbs/b_MUROMALT-M15-INDEX-233695-relaa589c4d.jpg,https://www.edilportale.com/prodotti/index/malta-per-muratura-e-intonaco-armato/muromalt-m15_233695.html
INDEX,MUROMALT M10,"Malta per muratura e intonaco armato, per il rinforzo strutturale armato con rete in fibra di vetro AR: REINFORCE NET, per applicazioni esterne ed interne.",https://img.edilportale.com/product-thumbs/b_MUROMALT-M10-INDEX-233700-rel99037b02.jpg,https://www.edilportale.com/prodotti/index/malta-per-muratura-e-intonaco-armato/muromalt-m10_233700.html
INDEX,BioMUROMALT M5,"Malta per muratura e intonaco armato, per il rinforzo strutturale armato con rete in fibra di vetro AR: REINFORCE NET, per applicazioni esterne ed interne.",https://img.edilportale.com/product-thumbs/b_BioMUROMALT-M5-INDEX-233704-relc37d7a67.jpg,https://www.edilportale.com/prodotti/index/malta-per-muratura-e-intonaco-armato/biomuromalt-m5_233704.html
INDEX,REINFORCE NET,"Rete F. R. P. (Fiber Reinforced Polymer) in fibra di vetro AR, per il rinforzo strutturale di manufatti in muratura.",https://img.edilportale.com/product-thumbs/b_REINFORCE-NET-INDEX-233715-rel7c0f9850.jpg,https://www.edilportale.com/prodotti/index/rete-di-rinforzo-strutturale/reinforce-net_233715.html
INDEX,PRIMER FIX,"Primer fissativo all’acqua, a base di microemulsioni acriliche, per murature, intonaci, massetti e pietre sfarinanti.",https://img.edilportale.com/product-thumbs/b_PRIMER-FIX-INDEX-233801-rel9ad060c7.jpg,https://www.edilportale.com/prodotti/index/primer-fissativo/primer-fix_233801.html
INDEX,STONE 1200,"Consolidante idrorepellente, a base solvente, per il restauro di terrecotte, intonaci e pietre assorbenti quali arenaria, tufo, trachite.",https://img.edilportale.com/product-thumbs/b_STONE-1200-INDEX-233804-rel4f06b2df.jpg,https://www.edilportale.com/prodotti/index/consolidante-idrorepellente/stone-1200_233804.html
INDEX,BLOCKYBOND,"BLOCKYBOND è una malta adesiva premiscelata in polvere composta da cemento, sabbie selezionate fibre sintetiche e speciali additivi che garantiscono un’ottima lavorabilità e adesione.
Campi d'impiego:
BLOCKYBOND viene utilizzato in interni ed esterni per l’esecuzione di murature leggere in blocchi di cemento cellulare e termo laterizio.
Viene utilizzato inoltre per rasature su pareti interne ed esterne.
Vantaggi:
• Facilità d’impiego.
• Duplice utilizzo come malta adesiva e rasante.
Colori: grigio, bianco.",https://img.edilportale.com/product-thumbs/b_BLOCKYBOND-INDEX-396666-rel26287a13.jpg,https://www.edilportale.com/prodotti/index/malta-adesiva-e-rasante/blockybond_396666.html
