marca,nome,descrizione,image url,product url
Isolmant,ISOLMANT SPECIAL PLUS,"ISOLMANT SPECIAL PLUSè uno strato resiliente di alta gamma, composto da polietilene Isolmant Special sp. 5 mm di seconda generazione, caratterizzato da una migliore e calibrata qualità della cellulazione del polietilene accoppiato a FIBTEC XT1 (tessuto serigrafato FIBRORINFORZATO con funzione antilacerazione).Garantisce nel tempo costanza di prestazioni grazie alla sua qualità intrinseca e alle sue caratteristiche fisiche. Permette di migliorare le prestazioni di isolamento ai rumori da calpestio e al rumore aereo relativamente ai divisori orizzontali senza avere il rischio di danneggiare il prodotto.Isolmant Special Plus è specifico per la realizzazione di “massetti galleggianti” in accordo alla UNI 11516:2013, in presenza di qualunque tipologia di solaio.Oltre a poter essere impiegato in soluzioni bistrato, lo strato superiore FIBRORINFORZATO con funzione antilacero, che garantische al prodotto alta resistenza alla pedonabilità e allalacerazione, lo rende particolarmente indicato per la realizzazione di massetti galleggianti in soluzioni monostrato.Sistema pavimento: specifico per le strutture orizzontali con spessore del massetto > di 5 cm.",https://img.edilportale.com/product-thumbs/b_ISOLMANT-SPECIAL-PLUS-Isolmant-618157-rel918b6e68.jpg,https://www.edilportale.com/prodotti/isolmant/isolamento-acustico-sotto-massetto/isolmant-special-plus_618157.html
Isolmant,ISOLMANT UNDERPLUS BLACK.E RADIANTE BV,"ISOLMANT UNDERPLUS BLACK.E RADIANTE BVè uno strato resiliente composto da polietilene Isolmant accoppiato sul lato superiore ad un film alluminio riflettente con funzione di barriera vapore e sul lato inferiore a FIBTEC XF1 (speciale fibra agugliata prodotta su specifiche calibrate per un migliore abbattimento acustico). Permette di ottenere un buon isolamento ai rumori da calpestio e al rumore aereo relativamente ai divisori orizzontali in presenza di impianti radianti sottomassetto.Spessore nominale 7 mm.Isolmant UnderPlus Black.E Radiante BV è specifico per la realizzazione di “massetti galleggianti” in accordo alla UNI 11516:2013, in presenza di qualunque tipologia di solaio.Sistema pavimento: specifico per le strutture orizzontali con spessore di massetto compreso tra 3 e 5 cm.",https://img.edilportale.com/product-thumbs/b_isolmant-underplus-black-e-radiante-bv-isolmant-tecnasfalti-618159-relec95c09a.jpg,https://www.edilportale.com/prodotti/isolmant/isolamento-acustico-sotto-massetto/isolmant-underplus-black.e-radiante-bv_618159.html
Isolmant,ISOLMANT SPECIAL 2MM SERIE R FOSSIL FREE,"ISOLMANT SPECIAL 2MM SERIE R FOSSIL FREEè uno strato resiliente in polietilene Isolmant Special Serie R, completamente sostenibile e proveniente da fonti rinnovabili, goffrato e serigrafato sul lato superiore, caratterizzato da una migliore e calibrata qualità della cellulazione del polietilene. La colorazione marrone legno richiama alla mente la tipologia di pavimentazione per la quale è pensato e i materiali bio-circular da cui è composto.Garantisce nel tempo costanza di prestazioni grazie alla sua qualità intrinseca e alla sua elevata densità che permette di migliorare le prestazioni di isolamento ai rumori da calpestio e al rumore di riverbero RWS quando utilizzato per la posa flottante di parquet e laminati.",https://img.edilportale.com/product-thumbs/b_ISOLMANT-SPECIAL-2MM-SERIE-R-FOSSIL-FREE-Isolmant-618160-rel757760d9.jpg,https://www.edilportale.com/prodotti/isolmant/isolamento-acustico-sotto-pavimentazione-flottante/isolmant-special-2mm-serie-r-fossil-free_618160.html
Isolmant,ISOLMANT POLIFIBRE BLOCCARUMORE,"ISOLMANT POLIFIBRE BLOCCARUMOREè un prodotto composto da polietilene Isolmant 3 mm di colore rosso, posizionato tra due pannelli in ISOLFIBTEC FLC di circa 2 cm l’uno (fibra riciclata in tessile tecnico di poliestere). Di durata illimitata, atossico, ecologico.Isolmant Polifibre Bloccarumore è un prodotto versatile indicato per l’isolamento acustico e termico delle partizioni verticali, sia perimetrali che divisorie interne e tra diverse unità immobiliari. Isolmant Polifibre Bloccarumore si installa a secco nell’intercapedine d’aria  dell’orditura metallica relativamente alle pareti, alle contropareti e ai controsoffitti in cartongesso.",https://img.edilportale.com/product-thumbs/b_ISOLMANT-POLIFIBRE-BLOCCARUMORE-Isolmant-618163-relb3100b91.jpg,https://www.edilportale.com/prodotti/isolmant/isolamento-acustico-di-pareti-divisorie-e-perimetrali/isolmant-polifibre-bloccarumore_618163.html
Isolmant,ISOLDRUM HD RED,"Materassino isolante in polietilene di tipo NPE ad elevatissima densità rivestito con film PE con funzione di barriera vapore. Prodotto fornito di cimosa adesiva per la sovrapposizione e sigillatura dei teli.L’utilizzo diIsolDrum HDpermette di ottenere elevate prestazioni acustiche e meccaniche. E’ particolarmente indicato nei casi in cui vi sia presenza o risalita di umidità dagli strati sottostanti.Il prodotto è idoneo anche nelle applicazioni con sistema di riscaldamento a pavimento. Verificare che Rt (pavimento + materassino) ≤ 0,15 m2K/W.",https://img.edilportale.com/product-thumbs/b_ISOLDRUM-HD-RED-Isolmant-TECNASFALTI-367271-rela2c90274.jpg,https://www.edilportale.com/prodotti/isolmant/sistema-di-isolamento-al-calpestio/isoldrum-hd-red_367271.html
Isolmant,ISOLGYPSUM DUO,"ISOLGYPSUM DUOè la soluzione di isolmant4you con la massima resa acustica e versatilità di posa, ideale per migliorare significativamente il potere fonoisolante delle pareti interne grazie all’accoppiamento di materiali di diversa composizione e densità. Si tratta infatti di una lastra in cartongesso accoppiata a Isolmant Telogomma, speciale manto massivo elasto-dinamico a base di gomma EPDM a mescola speciale con cariche minerali unito alla speciale fibra Fibtec di Isolmant, una fibra riciclata in tessile tecnico a densità crescente lungo lo spessore, dalle elevate prestazioni acustiche e termiche, totalmente ecologica, anallergica e riciclabile. Applicabile in placcaggio diretto tramite incollaggio oppure avvitato su orditura metallica.Isolante acustico e termico dalle elevate prestazioni, da utilizzare a placcaggio diretto su pareti interne, sia divisorie che perimetrali o da avvitare all'orditura metallica come singola lastra nelle strutture per controparete o controsoffitto.Pannello fonoisolante e fonoassorbente per controsoffitto",https://img.edilportale.com/product-thumbs/b_ISOLGYPSUM-DUO-Isolmant-618164-rel3d9a05e5.jpg,https://www.edilportale.com/prodotti/isolmant/isolamento-pareti-o-contropareti/isolgypsum-duo_618164.html
Isolmant,ISOLGYPSUM GOMMA XL,"Prodotto composto da una lastra di gesso rivestito (spessore 12,5 mm) accoppiata ad uno strato di gomma (massa superficiale 14 kg/ m2) in spessore 20 mm. Da posizionare con la gomma in aderenza alla parete esistente.Aree applicazioneIsolGypsum Gomma XL è un prodotto studiato per il risanamento acustico di divisori verticali mediante placcaggio in aderenza alla parete esistente. Il prodotto viene montato mediante colla, lasciando la gomma in aderenza alla parete. È specifico nelle applicazioni in cui sia richiesto un apporto di massa per incrementare la prestazione acustica.Pannello fonoisolante e fonoassorbente per controsoffitto",https://img.edilportale.com/product-thumbs/b_ISOLGYPSUM-GOMMA-XL-Isolmant-TECNASFALTI-39386-relb75f66ea.jpg,https://www.edilportale.com/prodotti/isolmant/lastra-in-cartongesso-pannello-fonoisolante-e-fonoassorbente-in-gomma/isolgypsum-gomma-xl_39386.html
Isolmant,ISOLGYPSUM SPECIAL SUPER GREEN,"ISOLGYPSUM SPECIAL SUPER GREENè la soluzione specifica per il risanamento termico e acustico in basso spessore delle pareti, composto da una lastra in cartongesso accoppiata ad uno strato di polietilene.La lastra di cartongesso è un’innovativa lastra di cartongesso attenta all’ambiente, infatti possiede una percentuale di riciclato di 35%. Grazie alla tecnologia Activ’Air®, la lastra è in grado di assorbire e neutralizzare fino al 70% della formaldeide presente nell’aria degli ambienti interni. Il polietilene è Isolmant Special Serie R Fossil Free, completamente sostenibile e proveniente da fonti rinnovabili, caratterizzato da una migliore e calibrata qualità della cellulazione del polietilene.Isolante acustico e termico dalle elevate prestazioni, da utilizzare a placcaggio diretto o su orditura, con specifiche colle su pareti interne, sia divisorie che perimetrali. Può anche essere applicato a soffitto.",https://img.edilportale.com/product-thumbs/b_isolgypsum-special-super-green-isolmant-tecnasfalti-618169-rel250e2fa0.jpg,https://www.edilportale.com/prodotti/isolmant/isolamento-termico-e-acustico-per-pareti/isolgypsum-special-super-green_618169.html
Isolmant,ISOLGYPSUM SPECIAL,"IsolGypsum Special è un pannello di Isolmant Special con spessore 10 mm, nell’inconfondibile colore #rossoisolmant e rivestito da una specifica teletta in tessuto, accoppiato a quattro differenti tipologie di lastra in cartongesso.Un prodotto dalle caratteristiche uniche, considerato un “salvamuro” universale, che risana le pareti sia acusticamente che termicamente. Un’unica soluzione per una ristrutturazione globale a basso spessore, che garantisce non solo un miglioramento del potere fonoisolante della parete, ma anche un significativo efficientamento energetico dei locali.Gli accoppiati con le lastre in cartongesso:ISOLGYPSUM SPECIAL STANDARD: Isolmant Special 10 mm accoppiato a una lastra di tipo A, costituita da un nucleo in gesso emidrato reidratato, rivestito su entrambi i lati da materiale cellulosico con funzione di armatura esterna.ISOLGYPSUM SPECIAL IDRO:Isolmant Special 10 mm accoppiato a una lastra di tipo H2, utilizzabile negli ambienti umidi come i bagni. La lastra si caratterizza per un bassissimo assorbimento d’acqua e per un’eccellente tenuta in presenza di elevati livelli di umidità. Rivestimento in cartone di colore verde sulla faccia a vista.ISOLGYPSUM SPECIAL D+SALUS:Isolmant Special 10 mm accoppiato a una lastra di tipo D, con nucleo di maggiore densità e gesso additivato con fibre di vetro, che conferiscono al prodotto un elevato grado di durezza superficiale e di resistenza meccanica. Grazie alla tecnologia Activ’Air®, la lastra è in grado di assorbire e neutralizzare fino al 70% della formaldeide presente nell’aria degli ambienti interni.ISOLGYPSUM SPECIAL D+RESISTO:Isolmant Special 10 mm accoppiato a una lastra di tipo D, con nucleo di maggiore densità e gesso additivato con fibre di vetro che conferiscono al prodotto un elevato grado di durezza superficiale e di resistenza meccanica. Ideale nei casi in cui sia richiesta un’elevata resistenza meccanica, portata ai carichi e resistenza agli urti. Contribuisce a  incrementare la resistenza al fuoco e il potere fonoisolante.Per le caratteristiche di tutti gli accoppiati scaricare la scheda tecnicaPannello fonoisolante e fonoassorbente per controsoffitto",https://img.edilportale.com/product-thumbs/b_ISOLGYPSUM-Special-Isolmant-TECNASFALTI-11918-rel644c7801.jpg,https://www.edilportale.com/prodotti/isolmant/pannello-fonoisolante-per-divisori-verticali/isolgypsum-special_11918.html
Isolmant,UNDERSPECIAL BIPLUS R FOSSIL FREE,"Isolmant UnderSpecial BiPlus Serie R Fossil Freeè uno strato resiliente di alta gamma composto da polietilene Isolmant Special Serie R Fossil Free (completamente sostenibile e proveniente da fonti rinnovabili, di colore verde, caratterizzato da una migliore e calibrata qualità della cellulazione del polietilene) accoppiato sul lato superiore a FIBTEC XT1 (tessuto serigrafato FIBRORINFORZATO con funzione antilacerazione) e sul lato inferiore a FIBTEC XF3 (speciale fibra agugliata di seconda generazione, prodotta su specifiche calibrate per un migliore abbattimento acustico). Permette di ottenere un ottimo isolamento ai rumori da calpestio e al rumore aereo relativamente ai divisori orizzontali.Spessore nominale 11 mm.Isolmant UnderSpecial BiPlus Serie R Fossil Free è specifico per la realizzazione di “massetti galleggianti” in accordo alla UNI 11516:2013, in presenza di qualunque tipologia di solaio. Lo strato superiore fibrorinforzato con funzione antilacero lo rende particolarmente indicato per l’applicazione in caso di massetto monostrato con passaggio di impianti sopra il materassino, o in tutti i casi in cui è richiesta maggiore resistenza alla pedonabilità e alla lacerazione; può essere utilizzato anche in soluzioni bistrato.Sistema pavimento: specifico per le strutture orizzontali con spessore del massetto > di 5 cm.",https://img.edilportale.com/product-thumbs/b_underspecial-biplus-r-fossil-free-isolmant-tecnasfalti-618180-rel72d0e324.jpg,https://www.edilportale.com/prodotti/isolmant/isolamento-acustico-sotto-massetto/underspecial-biplus-r-fossil-free_618180.html
