marca,nome,descrizione,image url,product url
Saint-Gobain - ISOVER,ISOVER R,"Isover R
è un pannello in lana di roccia, trattata con speciali leganti a base di resine termoindurenti, senza rivestimenti, con buone prestazioni meccaniche.
Stoccaggio: il prodotto deve essere immagazzinato al coperto, in ambienti ben ventilati e lontano da fonti di calore dirette
- Resistenza a compressione e al carico puntuale
- Reazione al fuoco in classe A1
- Stabilità dimensionale
- Il prodotto possiede certificati di sostenibilità.",https://img.edilportale.com/product-thumbs/b_ISOVER-R-Saint-Gobain-ISOVER-558762-relbfc32f22.png,https://www.edilportale.com/prodotti/saint-gobain-isover/pannello-termoisolante-in-lana-di-roccia/isover-r_558762.html
Saint-Gobain - ISOVER,ISOVER XH,"Isover XH
è un pannello in lana di roccia, trattata con speciali leganti a base di resine termoindurenti, senza rivestimenti.
Straordinarie prestazioni di resistenza al carico e alla compressione.
Vantaggi
- Elevatissima resistenza a compressione e al carico puntuale
- Isolamento acustico
- Isolamento termico
- Reazione al fuoco in classe A1
- Stabilità dimensionale",https://img.edilportale.com/product-thumbs/b_isover-xh-saint-gobain-italia-s-p-a-isover-558771-rel28c0cb54.jpg,https://www.edilportale.com/prodotti/saint-gobain-isover/pannello-termoisolante-in-lana-di-roccia/isover-xh_558771.html
Saint-Gobain - ISOVER,ISOVER S,"Isover S
è un pannello in lana di roccia, trattata con speciali leganti a base di resine termoindurenti, senza rivestimenti, con eccellenti prestazioni meccaniche.
Stoccaggio: Il prodotto deve essere immagazzinato al coperto, in ambienti ben ventilati e lontano da fonti di calore dirette
- Resistenza a compressione e al carico puntuale
- Reazione al fuoco in classe A1
- Stabilità dimensionale
- Il prodotto possiede certificati di sostenibilità",https://img.edilportale.com/product-thumbs/b_isover-s-saint-gobain-italia-s-p-a-isover-558764-rel52368cf2.jpg,https://www.edilportale.com/prodotti/saint-gobain-isover/pannello-termoisolante-in-lana-di-roccia/isover-s_558764.html
Saint-Gobain - ISOVER,BITUVER ECOPRIVER BS,N/A,https://img.edilportale.com/product-thumbs/b_bituver-ecopriver-bs-saint-gobain-italia-s-p-a-isover-558824-rel36ff5105.jpg,https://www.edilportale.com/prodotti/saint-gobain-isover/primer/bituver-ecopriver-bs_558824.html
Saint-Gobain - ISOVER,ISOVER C-MAX VV,"Isover C-MAX VV
è un pannello isolante costituito da una schiuma fenolica a cellule chiuse, espansa senza l’impiego di CFC e HCFC, rivestito su entrambe le facce da uno strato di velo vetro saturato.
Il prodotto deve essere immagazzinato al coperto, in ambienti ben ventilati e lontano da fonti di calore dirette.
Impieghi
- Isolamento di coperture piane sotto manti sintetici a vista;
- Isolamento di coperture piane sotto membrane bitume-polimero applicate a freddo;
- Isolamento di coperture a falde;
- Isolamento di pavimenti (solaio controterra, pavimento con riscaldamento radiante, isolamento di pavimenti industriali);
- Isolamento per sistemi a cappotto.
Vantaggi
- Eccellenti valori di conducibilità termica
- Resistenza a compressione
- Reazione al fuoco in classe B-s1,d0
- Stabilità dimensionale
- Il prodotto possiede il seguente certificato di sostenibilità:",https://img.edilportale.com/product-thumbs/b_isover-c-max-vv-saint-gobain-italia-s-p-a-isover-558770-rele9110df4.jpg,https://www.edilportale.com/prodotti/saint-gobain-isover/pannello-termoisolante-in-schiuma/isover-c-max-vv_558770.html
Saint-Gobain - ISOVER,ISOVER T,"Isover T
è un pannello in lana di roccia, trattata con speciali leganti a base di resine termoindurenti, senza rivestimenti con ottime prestazioni meccaniche.
Stoccaggio: il prodotto deve essere immagazzinato al coperto, in ambienti ben ventilati e lontano da fonti di calore dirette
- Resistenza a compressione e al carico puntuale
- Reazione al fuoco in classe A1
- Stabilità dimensionale
- Il prodotto possiede certificati di sostenibilità.",https://img.edilportale.com/product-thumbs/b_isover-t-saint-gobain-italia-s-p-a-isover-558765-rel5c65c554.jpg,https://www.edilportale.com/prodotti/saint-gobain-isover/pannello-termoisolante-in-lana-di-roccia/isover-t_558765.html
Saint-Gobain - ISOVER,BITUVER BITUMASTIC,"Bituver Bitumastic
è un collante per pannelli.
Mastice bituminoso in emulsione acquosa, sostitutivo del bitume ossidato a caldo.
Disponibile in secchi da 20 Kg.
Impieghi
- Fissaggi dei pannelli isolanti a superfici bituminose
- Fissaggi tra pannelli (es., Isover SUPERBAC G3 ROOFINE)
Vantaggi
- Approvvigionamento insieme a isolanti e membrane
- Fissaggio ottimale dei pannelli isolanti a superfici bituminose e fibrose
·
Bituver Bitumastic – S Classic
: Pasta tixotropica fibrata adesiva e sigillante a base di bitume e polimeri in solvente. Ideale per l’incollaggio a freddo di membrane bitume polimero Bituver Total-Tex, per l’applicazione sia su vecchie membrane che nell’impermeabilizzazione di superfici costituite da calcestruzzo, legno, superfici metalliche, pannelli isolanti in lana di vetro e lana di roccia, pannelli poliuretanici, pannelli costituiti schiuma fenolica a cellule chiuse.
Pronto all’uso. Disponibile in latte da 25 kg.
·
Bituver Bitumastic – S Premium
: Adesivo bituminoso fibrato a base solvente, formulato con bitume, resine elastomeriche selezionate e speciali additivi.
Idoneo per l’incollaggio a freddo di pannelli isolanti quali EPS, XPS, poliuretano espanso, pannelli costituiti schiuma fenolica a cellule chiuse, lana di vetro/roccia su: calcestruzzo, cemento, metallo, legno e membrane bitume polimero.
All’interno del sistema Bituver Total-Tex viene consigliato per l’incollaggio a freddo delle membrane sulle parti verticali del tetto qualora non sia possibile l’applicazione a fiamma.
Pronto all’uso. Disponibile in latte da 25 kg.
·
Bituver Bitumastic – S Universal
: Collante e sigillante a base solvente, formulato con bitume, resine elastomeriche selezionate e speciali additivi.Impermeabilizza istantaneamente.
Prodotto multiuso e di facilissima applicazione.
All’interno del sistema Bituver Total-Tex viene consigliato per l’incollaggio a freddo delle sormontetra le membrane qualora non sia possibile la saldatura a fiamma o ad aria calda.
Disponibile in cartucce da 280 ml.",https://img.edilportale.com/product-thumbs/b_Saint-Gobain---ISOVER_BITUVER-BITUMASTIC_gmLbURBLmM.jpeg,https://www.edilportale.com/prodotti/saint-gobain-isover/collante-per-pannelli/bituver-bitumastic_558825.html
Saint-Gobain - ISOVER,BITUVER ELAVER MAT,"Bituver Elaver Mat
è un'armatura di rinforzo in fibra di vetro, costituita da fibre a orientamento casuale.
Utilizzabile in combinazione con le membrane impermeabilizzanti poliuretaniche della gamma Maris Polymers® e con l’impermeabilizzante liquido elasto-bituminoso Bituver Elaver Black.
Vantaggi
- Bituver Elaver Mat si applica su tutta la superficie da impermeabilizzare, oppure localmente su:Giunzioni parete-parete e parete-pavimento, angoli a 90°
- Intorno a scarichi e canne fumarie
- Lucernari e unità di climatizzazione
- Nelle fessure e nei giunti di dilatazione
Consumo: 1,05 - 1,1 m2 per ogni m2 con una sovrapposizione di 5 - 10 cm tra le strisce.",https://img.edilportale.com/product-thumbs/b_bituver-elaver-mat-saint-gobain-italia-s-p-a-isover-558835-rel4a70fe4a.jpg,https://www.edilportale.com/prodotti/saint-gobain-isover/fibre-di-rinforzo-in-fibra-di-vetro/bituver-elaver-mat_558835.html
Saint-Gobain - ISOVER,ISOVER ROLLO N,"Isover Rollo N 4+
è un feltro in lana di vetro 4+.
Prodotto in Italia con almeno l'80% di vetro riciclato e con un esclusivo legante brevettato di origine naturale, che garantisce la massima qualità dell’aria.
Disponibile nelle seguenti tipologie:
Rollo K 4+: rivestito su una faccia con carta kraft bitumata con funzione di freno al vapore
Rollo N 4+: senza rivestimento
Impieghi
Isolamento termico e acustico di coperture industriali e civili (sottotetti non praticabili, mansarde, ecc.). Il corretto utilizzo del prodotto prevede la posa in opera con il lato rivestito con carta kraft bitumata applicato verso la parete riscaldata
Vantaggi
- Isolamento termico e acustico - λ 0.044
- Reazione al fuoco in classe A1 (versione “N”)
- Velocità di posa e facilità di movimentazione",https://img.edilportale.com/product-thumbs/b_Saint-Gobain---ISOVER_ISOVER-ROLLO-N_InzImAhlq.jpeg,https://www.edilportale.com/prodotti/saint-gobain-isover/feltro-termoisolante-in-lana-di-vetro/isover-rollo-n_558802.html
Saint-Gobain - ISOVER,BITUVER RENOVER XTRA,"Le membrane impermeabilizzanti
Bituver Renover Xtra
sono appositamente progettate per i rifacimenti di coperture con membrana bitume polimero a vista.
Certificata per impiego monostrato. Flessibilità a freddo –20°C
Il lato inferiore è realizzato con una specifica mescola elastomerica SBS che assicura altissima adesione (non necessita di altri promotori di adesione per fare da fissativo dell’ardesia e uniformare la superficie di posa). Il lato superiore in mescola innovativa APAO, invece, è messo a punto per consentire un’alta efficienza applicativa, forte riduzione degli inestetismi delle impronte in posa e un’ottima resistenza ai raggi UV.
L’armatura è costituita da tessuto non tessuto di poliestere a filo continuo.
Le membrane sono disponibili anche nella versione California con ardesia bianca riflettente SRI medium wind 55 Solar Reflectance 0,48
Impieghi
Le membrane Bituver Renover Xtra versione Mineral trovano impiego come impermeabilizzazione monostrato e in strato a finire.
Varie
Applicazione
- Utilizzare i DPI previsti dalla legge;
- Pulire adeguatamente il supporto e valutarne le condizioni;
- Bituver Renover Xtra è progettata per ripristinare l’impermeabilizzazione di membrane bitume polimero a fine ciclo, in coperture dove gli strati inferiori sono ben saldati al solaio e non presentano infiltrazioni interstiziali. La fattibilità di questa operazione va valutata caso per caso dopo un’attenta analisi della copertura e degli strati sottostanti, eventualmente mediante carotaggi campione;
- Bituver Renover Xtra è idonea per essere applicata a fiamma mediante riscaldamento con cannello a gas propano della faccia inferiore rivestita di uno speciale film termofusibile;
- Applicare sempre tra +5° C e + 35° C.
Stoccaggio
Tenere i rotoli in magazzino, al riparo da raggi solari e ad una temperatura non inferiore a +5°C. Mantenere i rotoli in posizione verticale. Evitare, se possibile, la sovrapposizione dei pallet. Si consiglia di utilizzare il prodotto entro 2/3 mesi dalla consegna.",https://img.edilportale.com/product-thumbs/b_Saint-Gobain---ISOVER_BITUVER-RENOVER-XTRA_9XRNJDmxmM.jpeg,https://www.edilportale.com/prodotti/saint-gobain-isover/membrana-impermeabilizzante/bituver-renover-xtra_558828.html
