marca,nome,descrizione,image url,product url
MAPEI,DURSILITE EQUILIBRA,"DURSILITE EQUILIBRAè un'idropittura per interni, pareti e soffitti, anticondensa resistente alle muffe, con speciali microsfere polimeriche a effetto traspirante e termoregolatore, DURSILITE EQUILIBRA è a base di resine sintetiche in dispersione acquosa ed ha un effetto vellutato che valorizza gli ambienti.
La pittura murale professionale DURSILITE EQUILIBRA è traspirante, facile da applicare, protegge le pareti da condensa e muffa, grazie alla Tecnologia BIOBLOCK che ne impedisce la formazione, ed è in classe A+ in relazione alle emissioni COV (Composti Organici Volatili) per la tutela della qualità dell’aria interna.
1, 4, 10 L",https://img.edilportale.com/product-thumbs/b_MAPEI_DURSILITE-EQUILIBRA_1OtdnLlaSf.jpeg,https://www.edilportale.com/prodotti/mapei/idropittura-anticondensa-resistente-alle-muffe/dursilite-equilibra_738208.html
MAPEI,MAPELASTIC ZERO,"MAPELASTIC ZEROè una malta cementizia bicomponente elastica fino a -20°C, per l'impermeabilizzazione di balconi, terrazze, bagni e piscine a emissioni residue di CO interamente compensate per l’intero ciclo di vita.
PRODOTTI A CO2 INTERAMENTE COMPENSATAMapelastic Zero fa parte della linea di prodotti CO Fully Offset in the Entire Life Cycle. Le emissioni di CO misurate lungo il ciclo di vita dei prodotti della linea Zero per l’anno 2024 tramite la metodologia LCA, verificate e certificate con le EPD, sono compensate con l’acquisto di crediti di carbonio certificati per supportare progetti di protezione delle foreste. Un impegno per il pianeta, le persone e la biodiversità. Per maggiori dettagli sul calcolo delle emissioni e sui progetti di mitigazione climatica, finanziati tramite i crediti di carbonio certificati.
CAMPI DI APPLICAZIONEImpermeabilizzazione e protezione di strutture in calcestruzzo, intonaci, massetti cementizi.
Alcuni esempi di applicazione
VANTAGGI
CARATTERISTICHE TECNICHEMapelastic Zero è una malta bicomponente a base di leganti cementizi, aggregati selezionati a grana fine, additivi speciali e polimeri sintetici in dispersione acquosa, secondo una formula sviluppata nei laboratori di ricerca MAPEI. Miscelando i due componenti si ottiene un impasto scorrevole facilmente applicabile anche in verticale fino a 2 mm di spessore in una sola mano. Grazie all’elevato contenuto di resine sintetiche e alla loro qualità, lo strato indurito di Mapelastic Zero si mantiene stabilmente elastico in tutte le condizioni ambientali e non subisce l’aggressione chimica di sali disgelanti, solfati, cloruri e anidride carbonica. L’adesione di Mapelastic Zero, inoltre, è eccellente su tutte le superfici in calcestruzzo, muratura, ceramica e marmo, purché solide e adeguatamente pulite. Queste proprietà, insieme alla resistenza all’effetto degradante dei raggi U.V. propria di questo prodotto, fanno sì che le strutture protette e impermeabilizzate con Mapelastic Zero, anche se poste in climi particolarmente rigidi oppure in zone costiere ricche di salsedine o in aree industriali dove l’aria è particolarmente inquinata, siano durevoli. Mapelastic Zero risponde ai principi definiti nella EN 1504-9 (“Prodotti e sistemi per la protezione e la riparazione delle strutture in calcestruzzo: definizioni, requisiti, controllo di qualità e valutazione della conformità. Principi generali per l’uso dei prodotti e sistemi”) e ai requisiti richiesti dalla EN 1504-2 rivestimento (C) secondo i principi PI, MC e IR (“Sistemi di protezione della superficie di calcestruzzo”)
Units of 32 kg:",https://img.edilportale.com/product-thumbs/b_MAPEI_MAPELASTIC-ZERO_zTScCyjHxQ.jpeg,https://www.edilportale.com/prodotti/mapei/malta-cementizia-bicomponente-elastica/mapelastic-zero_696358.html
MAPEI,MAPE-ANTIQUE NHL ECO RASO FIX,"MAPE-ANTIQUE NHL ECO RASO FIXè un adesivo, rasante e malta da muratura, a base di pura calce idraulica naturale, esente da cemento, per blocchi e pannelli in fibra di legno, calce canapulo, calcio-silicato o altri materiali naturali e/o minerali, indicato in bioedilizia e nell’edilizia storica.Mape-Antique NHL ECO Raso Fix fa parte della linea di prodotti CO Fully Offset in the Entire Life Cycle. Le emissioni di CO misurate lungo il ciclo di vita dei prodotti della linea Zero per l’anno 2024 tramite la metodologia LCA, verificate e certificate con le EPD, sono compensate con l’acquisto di crediti di carbonio certificati per supportare progetti di protezione delle foreste. Un impegno per il pianeta, le persone e la biodiversità.
CAMPI DI APPLICAZIONEMape-Antique NHL ECO Raso Fix è una malta traspirante a base di pura calce idraulica naturale e materiale riciclato, esente da cemento, per la rasatura e l’incollaggio di blocchi in fibra di legno, calce canapulo e pannelli in calcio-silicato o altri materiali naturali e/o minerali, sia per il settore della bioedilizia sia per edifici di pregio storico e architettonico, sotto la tutela della Soprintendenza Archeologica, Belle Arti e Paesaggio.
CARATTERISTICHE TECNICHEMape-Antique NHL ECO Raso Fix è una malta monocomponente premiscelata da rasatura e da muratura, nonché una malta da incollaggio, a base di pura calce idraulica naturale e materiale riciclato, esente da cemento, sabbie calcaree selezionate, speciali additivi e microfibre, secondo una formula sviluppata nei laboratori di Ricerca & Sviluppo MAPEI.Mape-Antique NHL ECO Raso Fix è in accordo alla norma EN 998-1 ed è classificata come GP: “Malta per scopi generali per intonaci interni/esterni”, di Categoria CS IV. Inoltre, secondo la norma EN 998-2, il prodotto è classificato come T: “Malta da muratura a strato sottile”, di Classe M5. Mape-Antique NHL ECO Raso Fix, una volta impastato con acqua, si trasforma in una malta a bassa viscosità ed elevata tissotropia, quindi facilmente lavorabile anche in verticale senza colare. Il prodotto può essere utilizzato sia per rasare tutti i tipi di intonaci alleggeriti e isolanti oppure termo-intonaci sia per l’incollaggio di qualsiasi tipo di blocco, per esempio quelli in fibra di legno, calce canapulo, termo-laterizi ecc…, in ambito della bioedilizia. Inoltre, è idoneo per l’incollaggio di pannelli in fibra di legno, calcio-silicato, sughero o altri materiali naturali e minerali. Le malte confezionate con Mape-Antique NHL ECO Raso Fix possiedono caratteristiche molto simili, in termini di resistenza meccanica, modulo elastico e permeabilità al vapore, a quelle delle malte da rasatura e da muratura a base di calce, calce-pozzolana o calce idraulica, impiegate originariamente nella costruzione degli edifici. Nella tabella dei dati tecnici (nelle sezioni Dati Applicativi e Prestazioni Finali) sono riportati alcuni valori tipici, legati alle principali caratteristiche sia allo stato fresco sia indurito di Mape-Antique NHL.
23 kg",https://img.edilportale.com/product-thumbs/b_MAPEI_MAPE-ANTIQUE-NHL-ECO-RASO-FIX_BZAYHAg6Uj.jpeg,https://www.edilportale.com/prodotti/mapei/adesivo-rasante-e-malta-da-muratura-a-base-di-pura-calce-idraulica/mape-antique-nhl-eco-raso-fix_696313.html
MAPEI,KERAFLEX MAXI S1 ZERØ,"KERAFLEX MAXI S1 ZEROè un adesivo cementizio grigio o bianco ad alte prestazioni, a scivolamento verticale nullo, a tempo aperto allungato, deformabile, con tecnologia Low Dust, speciale per piastrelle in ceramica e materiale lapideo di grandi formati, a bassissima emissione di sostanze organiche volatili e a emissioni di Gas a Effetto Serra interamente compensate.Keraflex Maxi S1 Zero fa parte della linea di prodotti CO Fully Offset in the Entire Life Cycle. Le emissioni di CO misurate lungo il ciclo di vita dei prodotti della linea Zero per l’anno 2023 tramite la metodologia LCA, verificate e certificate con le EPD, sono compensate con l’acquisto di crediti di carbonio certificati per supportare progetti di energia rinnovabile e protezione delle foreste. Un impegno per il pianeta, le persone e la biodiversità.
CAMPI DI APPLICAZIONE",https://img.edilportale.com/product-thumbs/b_MAPEI_KERAFLEX-MAXI-S1-ZERO_lDyHaoGkOe.jpeg,https://www.edilportale.com/prodotti/mapei/adesivo-cementizio-grigio-ad-alte-prestazioni/keraflex-maxi-s1-zer%C3%B8_14241.html
MAPEI,MAPEFER 1K ZERO,"MAPEFER 1K ZEROè una malta cementizia anticorrosiva monocomponente per la protezione dei ferri di armatura.
CAMPI DI APPLICAZIONE
Alcuni esempi di applicazioneProtezione anticorrosiva rialcalinizzante dei ferri di armatura, nel ripristino del calcestruzzo effettuato con malte a ritiro compensato della linea Mapegrout o con malte cementizie tradizionali modificate con lattici a base di resine sintetiche, sia su strutture interrate che fuori terra.
CARATTERISTICHE TECNICHEMapefer 1K Zero è una malta monocomponente, a base di leganti cementizi, polimeri in polvere e inibitori di corrosione, da applicare sui ferri d’armatura per prevenire la formazione di ruggine, secondo una formulazione sviluppata nei laboratori di Ricerca & Sviluppo MAPEI.Mapefer 1K Zero, a seguito della miscelazione con acqua, si trasforma in una malta di facile lavorabilità ed applicabilità.Dopo l’indurimento è resistente alla nebbia salina secondo normativa EN 15183 e impermeabile all’acqua e ai gas aggressivi presenti nell’atmosfera.
L’azione anticorrosiva di Mapefer 1K Zero si esplica attraverso questi principali fattori:
Mapefer 1K Zero è a bassissime emissioni di VOC (Composti Organici Volatili), nell’ottica di tutela della salute sia degli applicatori che degli utilizzatore finali, ed è certificato EC1 Plus dall’associazione tedesca GEV. Mapefer 1K Zero contribuisce all’ottenimento di importanti crediti LEED ed è conforme ai CAM (Criteri Ambientali Minimi).Mapefer 1K Zero risponde ai principi definiti nella EN 1504-9 (“Prodotti e sistemi per la protezione e la riparazione delle strutture in calcestruzzo: definizioni, requisiti, controllo di qualità e valutazione della conformità. Principi generali per l’uso dei prodotti e sistemi”) e ai requisiti minimi richiesti dalla EN 1504-7 (“Protezione contro la corrosione delle armature”).
5 kg",https://img.edilportale.com/product-thumbs/b_MAPEI_MAPEFER-1K-ZERO_f6XGtGGZmx.jpeg,https://www.edilportale.com/prodotti/mapei/malta-anticorrosione-per-ferri-d-armatura/mapefer-1k-zero_15412.html
MAPEI,MAPEFILL ZERO,"MAPEFILL ZEROè una malta fluida a tensione interna positiva.
CAMPI DI APPLICAZIONEAncoraggio di precisione di macchinari o strutture metalliche.Ripristino di strutture degradate che richiedono l’impiego di malte colabili.
Alcuni esempi di applicazione
CARATTERISTICHE TECNICHEMapefill Zero è una malta premiscelata in polvere composta da cementi ad alta resistenza, aggregati selezionati e speciali additivi tra cui un agente espansivo secondo una formulazione sviluppata nei Laboratori di Ricerca MAPEI.Grazie alla sua particolare formulazione, il prodotto possiede un eccellente comportamento a fatica, fino ad almeno 300000 cicli, che conferisce agli elementi ripristinati un’elevata resistenza alla fessurazione anche in presenza di sollecitazioni dinamiche indotte dalle normali condizioni di esercizio.Questa particolare caratteristica, in aggiunta ai requisiti previsti dalla EN 1504 contribuisce ad incrementare la durabilità degli elementi ripristinati con Mapefill Zero.Mapefill Zero impastato con acqua si trasforma in una malta fluida esente da segregazioni capace di scorrere anche in spazi di conformazione intricata.Mapefill Zero è un prodotto a stato di coazione interna positiva. In ancoraggi confinati, le tensioni indotte da cause esterne risultano inferiori a quelle generate dallo stato di autotensione interna positiva.",https://img.edilportale.com/product-thumbs/b_MAPEI_MAPEFILL-ZERO_MTmRn8Jz1t.jpeg,https://www.edilportale.com/prodotti/mapei/malta-fluida-a-tensione-interna-positiva/mapefill-zero_15139.html
MAPEI,MAPEGROUT TISSOTROPICO ZERO,"MAPEGROUT TISSOTROPICO ZEROè una malta a ritiro compensato fibrorinforzata per il risanamento del calcestruzzo.
PRODOTTI A CO INTERAMENTE COMPENSATAMapegrout Tissotropico Zero fa parte della linea di prodotti CO Fully Offset in the Entire Life Cycle. Le emissioni di CO misurate lungo il ciclo di vita dei prodotti della linea Zero per l’anno 2023 tramite la metodologia LCA, verificate e certificate con le EPD, sono compensate con l’acquisto di crediti di carbonio certificati per supportare progetti di energia rinnovabile e protezione delle foreste. Un impegno per il pianeta, le persone e la biodiversità. Per maggiori dettagli sul calcolo delle emissioni e sui progetti di mitigazione climatica, finanziati tramite i crediti di carbonio certificati.
CAMPI DI APPLICAZIONERipristino corticale di strutture in calcestruzzo ammalorato su superfici verticali o orizzontali.
Alcuni esempi di applicazione
CARATTERISTICHE TECNICHEMapegrout Tissotropico Zero è una malta premiscelata in polvere composta da cementi ad alta resistenza, aggregati selezionati, speciali additivi e fibre sintetiche secondo una formulazione sviluppata nei laboratori di Ricerca & Sviluppo MAPEI. Grazie alla sua particolare formulazione, il prodotto possiede un eccellente comportamento a fatica, fino ad almeno 300000 cicli, che conferisce agli elementi ripristinati un’elevata resistenza alla fessurazione anche in presenza di sollecitazioni dinamiche indotte dalle normali condizioni di esercizio. Questa particolare caratteristica, in aggiunta ai requisiti previsti dalla EN 1504 contribuisce ad incrementare la durabilità degli elementi ripristinati con Mapegrout Tissotropico Zero. Mapegrout Tissotropico Zero, impastato con acqua, si trasforma in una malta di facile lavorabilità e può essere applicato in verticale senza colare anche in forti spessori e senza bisogno di casserature. Al fine di consentire il corretto e completo sviluppo dei fenomeni espansivi, Mapegrout Tissotropico Zero, se preparato con l’aggiunta della sola acqua, deve essere stagionato in ambiente umido, condizione che è purtroppo difficile da garantire in cantiere. Per permettere invece lo svolgersi dei fenomeni espansivi all’aria, Mapegrout Tissotropico Zero può essere vantaggiosamente additivato con lo 0,25% di Mapecure SRA, speciale additivo in grado di ridurre sia il ritiro plastico, sia il ritiro idraulico. Mapecure SRA infatti svolge un’importantissima funzione garantendo una migliore stagionatura della malta e, miscelato con Mapegrout Tissotropico Zero, può essere considerato un sistema tecnologicamente avanzato in quanto l’additivo è in grado di ridurre l’evaporazione rapida dell’acqua dalla malta e di favorire lo sviluppo delle reazioni di idratazione. Mapecure SRA si comporta in sostanza come uno stagionante interno e, grazie all’interazione con alcuni componenti principali del cemento, consente di ottenere ritiri finali dal 20 al 50% inferiori rispetto ai valori standard del prodotto non additivato con un’evidente minor incidenza di possibili fenomeni fessurativi.Mapegrout Tissotropico Zero, una volta indurito, possiede le seguenti qualità:
Mapegrout Tissotropico Zero è a bassissime emissioni di VOC (Composti Organici Volatili), nell’ottica di tutela della salute sia degli applicatori che degli utilizzatore finali, ed è certificato EC1 Plus dall’associazione tedesca GEV. Mapegrout Tissotropico Zero contribuisce all’ottenimento di importanti crediti LEED ed è conforme ai CAM (Criteri Ambientali Minimi). Mapegrout Tissotropico Zero risponde ai principi definiti nella EN 1504-9 (“Prodotti e sistemi per la protezione e la riparazione delle strutture in calcestruzzo: definizioni, requisiti, controllo di qualità e valutazione della conformità. Principi generali per l’uso dei prodotti e sistemi”) e ai requisiti minimi richiesti dalla EN 1504-3 (“Riparazione strutturale e non strutturale”) per le malte strutturali di classe R4.",https://img.edilportale.com/product-thumbs/b_MAPEI_MAPEGROUT-TISSOTROPICO-ZERO_wjhx4emtza.jpeg,https://www.edilportale.com/prodotti/mapei/malta-tissotropica/mapegrout-tissotropico-zero_15783.html
MAPEI,PLANITOP RASA & RIPARA ZERO,"PLANITOP RASA & RIPARA ZERO è una malta cementizia tissotropica di classe R2, fibrorinforzata a presa rapida e a ritiro compensato, per il ripristino e la rasatura del calcestruzzo, da applicare in uno spessore compreso tra 3 e 40 mm, in una sola mano.
Planitop Rasa & Ripara Zero fa parte della linea di prodotti CO Fully Offset in the Entire Life Cycle. Le emissioni di CO misurate lungo il ciclo di vita dei prodotti della linea Zero per l’anno 2024 tramite la metodologia LCA, verificate e certificate con le EPD, sono compensate con l’acquisto di crediti di carbonio certificati per supportare progetti di protezione delle foreste. Un impegno per il pianeta, le persone e la biodiversità. Per maggiori dettagli sul calcolo delle emissioni e sui progetti di mitigazione climatica, finanziati tramite i crediti di carbonio certificati, visita la pagina zero.mapei.it.
CAMPI DI APPLICAZIONERipristino non strutturale e rasatura di superfici in calcestruzzo, orizzontali e verticali, interne ed esterne;idoneo per il ripristino di strutture esposte all’aria e in contatto permanente con acqua.
Alcuni esempi tipici di applicazione
CARATTERISTICHE TECNICHEPlanitop Rasa & Ripara Zero è una malta cementizia tissotropica monocomponente, costituita da leganti idraulici speciali, aggregati selezionati di granulometria fine, fibre sintetiche in poliacrilonitrile, polimeri sintetici e speciali additivi, secondo una formula sviluppata nei laboratori di ricerca MAPEI. Grazie alla sua particolare formulazione, il prodotto possiede un eccellente comportamento a fatica, fino ad almeno 300000 cicli, che conferisce agli elementi ripristinati un’elevata resistenza alla fessurazione anche in presenza di sollecitazioni dinamiche indotte dalle normali condizioni di esercizio. Questa particolare caratteristica contribuisce a incrementare la durabilità degli elementi ripristinati con Planitop Rasa & Ripara Zero. Il prodotto dopo la miscelazione, si trasforma in una malta facilmente lavorabile, con tempi di presa e indurimento modulabili mediante l’aggiunta di Mapetard ES, da applicare a cazzuola o a spatola, per eseguire ripristini e rasature da 3 a 40 mm di spessore in una sola mano. Planitop Rasa & Ripara Zero indurisce senza ritiri ed è caratterizzato da un’eccellente adesione sui supporti in calcestruzzo.
Planitop Rasa & Ripara Zero, dopo l’indurimento, possiede le seguenti caratteristiche:
Planitop Rasa & Ripara Zero è a bassissime emissioni di VOC (Composti Organici Volatili), nell’ottica di tutela della salute sia degli applicatori che degli utilizzatori finali, ed è certificato EC1 Plus dall’associazione tedesca GEV. Planitop Rasa & Ripara Zero contribuisce all’ottenimento di importanti crediti LEED ed è conforme ai CAM (Criteri Ambientali Minimi). Planitop Rasa & Ripara Zero risponde ai principi definiti nella EN 1504-9 (“Prodotti e sistemi per la protezione e la riparazione delle strutture in calcestruzzo: definizioni, requisiti, controllo di qualità e valutazione della conformità. Principi generali per l’uso dei prodotti e sistemi”) e ai requisiti minimi richiesti dalla EN 1504-3 (“Riparazione strutturale e non strutturale”) per le malte non strutturali di classe R2 e ai requisiti richiesti dalla EN 1504-2 rivestimento (C) secondo i principi MC e IR (“Sistemi di protezione della superficie di calcestruzzo”).
25 kg4 bags x 5 kg",https://img.edilportale.com/product-thumbs/b_MAPEI_PLANITOP-RASA--RIPARA-ZERO_kS4syCNKTj.jpeg,https://www.edilportale.com/prodotti/mapei/malta-cementizia-tissotropica-fibrorinforzata/planitop-rasa-ripara-zero_15795.html
MAPEI,KERAFLEX EASY S1 ZERO,"KERAFLEX EASY S1 ZERO è un adesivo cementizio grigio o bianco ad alte prestazioni, a tempo aperto allungato, deformabile, con alta capacità bagnante e di facile applicazione, a bassissima emissione di sostanze organiche volatili e a emissioni di Gas a Effetto Serra interamente compensate. Particolarmente indicato per la posa di grandi formati su grandi superfici.
CAMPI DI APPLICAZIONEIncollaggio all’esterno ed all’interno di piastrelle ceramiche di ogni tipo (grès porcellanato, monocottura, cotto, bicottura, klinker, ecc.) e formato, materiale lapideo (purché dimensionalmente stabile e non sensibile a umidità e macchiature) e mosaici di ogni tipo. Specifico per grandi superfici a pavimento e grandi formati, quindi particolarmente indicato per pavimentazioni ad uso commerciale e industriale oltre che civile. Idoneo per l’applicazione in facciata. Spessore massimo di applicazione 10 mm.
Alcuni esempi di applicazione",https://img.edilportale.com/product-thumbs/b_MAPEI_KERAFLEX-EASY-S1-ZERO_tSo5O5IO11.jpeg,https://www.edilportale.com/prodotti/mapei/adesivo-cementizio-per-pavimento/keraflex-easy-s1-zero_640703.html
MAPEI,MAPEGROUT COLABILE ZERO,"MAPEGROUT COLABILE ZEROè una malta a ritiro compensato fibrorinforzata per il risanamento del calcestruzzo.PRODOTTI A CO INTERAMENTE COMPENSATAMapegrout Colabile Zero fa parte della linea di prodotti CO Fully Offset in the Entire Life Cycle. Le emissioni di CO misurate lungo il ciclo di vita dei prodotti della linea Zero per l’anno 2023 tramite la metodologia LCA, verificate e certificate con le EPD, sono compensate con l’acquisto di crediti di carbonio certificati per supportare progetti di energia rinnovabile e protezione delle foreste. Un impegno per il pianeta, le persone e la biodiversità. Per maggiori dettagli sul calcolo delle emissioni e sui progetti di mitigazione climatica, finanziati tramite i crediti di carbonio certificati.
CAMPI DI APPLICAZIONERipristino di strutture dove particolari spessori e conformazioni di degrado impongono l’impiego di malte colabili.Alcuni esempi di applicazione
CARATTERISTICHE TECNICHEMapegrout Colabile Zero è una malta premiscelata in polvere composta da cementi ad alta resistenza, aggregati selezionati, speciali additivi e fibre sintetiche secondo una formulazione sviluppata nei Laboratori di Ricerca & Sviluppo MAPEI. Grazie alla sua particolare formulazione, il prodotto possiede un eccellente comportamento a fatica, fino ad almeno 300000 cicli, che conferisce agli elementi ripristinati un’elevata resistenza alla fessurazione anche in presenza di sollecitazioni dinamiche indotte dalle normali condizioni di esercizio. MAPEGROUT COLABILE ZERO Malta a ritiro compensato fibrorinforzata per il risanamento del calcestruzzo 2 2 2 Questa particolare caratteristica, in aggiunta ai requisiti previsti dalla EN 1504 contribuisce a incrementare la durabilità degli elementi ripristinati con Mapegrout Colabile Zero. Mapegrout Colabile Zero impastato con acqua si trasforma in una malta a elevata fluidità, idonea per l’applicazione mediante colatura entro casseri senza rischio di segregazione, anche se applicata in forti spessori. Al fine di consentire il corretto e completo sviluppo dei fenomeni espansivi, Mapegrout Colabile Zero, se preparato con l’aggiunta della sola acqua, deve essere stagionato in ambiente umido, condizione che è purtroppo difficile da garantire in cantiere. Per permettere invece lo svolgersi dei fenomeni espansivi all’aria, Mapegrout Colabile Zero può essere vantaggiosamente additivato con lo 0,25% di Mapecure SRA, speciale additivo in grado di ridurre sia il ritiro plastico, sia il ritiro idraulico. Mapecure SRA, infatti, svolge un’importantissima funzione garantendo una migliore stagionatura della malta e, miscelato con Mapegrout Colabile Zero, può essere considerato un sistema tecnologicamente avanzato, in quanto l’additivo è in grado di ridurre l’evaporazione rapida dell’acqua dalla malta e di favorire lo sviluppo delle reazioni di idratazione. Mapecure SRA si comporta, in sostanza, come uno stagionante interno e, grazie all’interazione con alcuni componenti principali del cemento, consente di ottenere ritiri finali dal 20 al 50% inferiori rispetto ai valori standard del prodotto non additivato, con un’evidente minor incidenza di possibili fenomeni fessurativi. Il prodotto può essere utilizzato anche senza l’impiego di Mapecure SRA, nel caso in cui le condizioni ambientali ne consentono una stagionatura ottimale.Mapegrout Colabile Zero, una volta indurito, possiede le seguenti qualità:
Mapegrout Colabile Zero è a bassissime emissioni di VOC (Composti Organici Volatili), nell’ottica di tutela della salute sia degli applicatori che degli utilizzatore finali, ed è certificato EC1 Plus dall’associazione tedesca GEV. Mapegrout Colabile Zero contribuisce all’ottenimento di importanti crediti LEED ed è conforme ai CAM (Criteri Ambientali Minimi). Mapegrout Colabile Zero risponde ai principi definiti nella EN 1504-9 (“Prodotti e sistemi per la protezione e la riparazione delle strutture in calcestruzzo: definizioni, requisiti, controllo di qualità e valutazione della conformità. Principi generali per l’uso dei prodotti e sistemi”) e ai requisiti minimi richiesti dalla EN 1504-3 (“Riparazione strutturale e non strutturale”) per le malte strutturali di classe R4. Mapegrout Colabile Zero è consigliato per spessori fino a 4 cm; per spessori maggiori si raccomanda l’aggiunta di aggregati dal 30 al 50% sul peso di Mapegrout Colabile Zero, di appropriata granulometria, previa consultazione del nostro servizio di Assistenza Tecnica.",https://img.edilportale.com/product-thumbs/b_MAPEI_MAPEGROUT-HI-FLOW-ZERO_pNFDdsEc41.jpeg,https://www.edilportale.com/prodotti/mapei/malta-a-ritiro-compensato-fibrorinforzata-per-risanamento/mapegrout-colabile-zero_15717.html
