marca,nome,descrizione,image url,product url
PROFILITEC,SHOWERTEC LINEAR,"Codice Prodotto:STL-BS, STL-BL, STL-BV, STL-BL
Canaline lineari con scarico orizzontale (versioni con altezza LOW e STANDARD) e verticale centrato o decentrato.Canaline lineari con scarico orizzontale, versioni con altezza LOW e STANDARD.Showertec STL - Bsono una famiglia di canaline lineari in acciaio inox 316 per il drenaggio dell'acqua disponibili nelle misure 600-700-800-900-1000-1200 mm. Realizzate con un pezzo unico in acciaio inox AISI 316, senza saldature; presentano un sifone con scarico orizzontale in PVC con diametro 40/50 mm ed un ingombro di soli 56 mm per la versione LOW (STL-BL) e di 73 mm per la versione STANDARD (STL-BS).La canalina viene fornita con la membrana impermeabilizzante Foiltec preapplicata.Il corpo, DRAIN, del sistema Showertec Linear può essere abbinato a differenti tipi di COVER (STL-CT, STL-CTF, STL-C ) e cornici di finitura che consentono di abbinare alla funzionalità del prodotto un'estetica unica.Canaline lineari con scarico verticaleShowertec STL - BVsono una famiglia di canaline lineari in acciaio inox 316 per il drenaggio dell'acqua disponibili nelle misure 600-700-800-900-1000-1200 mm. Realizzati con un pezzo unico in acciaio inox AIS 316 senza saldature presentano uno scarico verticale senza sifone con diametro 50 mm che le rendono compatibili con i piatti pendenzati ed impermeabilizzati della linea showertec STC-TRAY. Le canaline vengono fornite con preapplicata una membrana impermeabilizzante Foiltec che consente di connetterle in modo sicuro e veloce al piatto doccia STL-TRAY pendenzato piuttosto che al piano doccia realizzato in opera. La canaletta può essere abbinata a differenti tipi di COVER (STL-CT, STL-CTF, STL-C ) e cornici di finitura che consentono di abbinare alla funzionalità del prodotto un'estetica unica.La gestione delle acque di scarico in ambienti interni o esterni è un elemento chiave sia nella progettazione che durante la vita di un edificio e che riguarda sia questioni di natura tecnica che scelte di tipo estetico.Linear Showertecè un sistema doccia modulare che permette di combinare diversi elementi in modo da creare la soluzione migliore per praticamente qualsiasi tipologia di doccia piastrellata filopavimento. Questa gamma elimina l’ultima barriera del bagno moderno: liberando lo spazio doccia dalle dimensioni e dai concetti standard, permette di ampliare le possibilità estetiche con una scelta e una personalizzazione finora impensabili. Grazie ad una serie di canaline ad installazione ribassata, con scarico orizzontale o verticale, cover e cornici in molteplici finiture, materiali, forme, colorazioni e combinazioni oltre ad una serie di piatti prependenzati pronti per essere piastrellati, si possono realizzare dei progetti che fondono insieme funzionalità di alto livello e design d’avanguardia.La gamma di profili doccia pendenzati è pensata per realizzare una profonda cura del dettaglio dell’area doccia, andando a completare il sistema Linear Showertec ma non solo. Sono presenti profili in diverse forme, finiture e funzionalità per ogni esigenza e garantiscono il perfetto completamento dell’ambiente.",https://img.edilportale.com/product-thumbs/b_SHOWERTEC-LINEAR-PROFILITEC-469195-relbefc4941.png,https://www.edilportale.com/prodotti/profilitec/canalina-di-drenaggio/showertec-linear_469195.html
PROFILITEC,UPTEC,"Uptec è un innovativo sistema di posa per pavimenti esterni sopraelevati. É la soluzione completa e brevettata per la realizzazione di terrazze e balconi.Il sistema vanta della CERTIFICAZIONE EPD, assegnata ai prodotti che rispettano i canoni di riduzione dell’impatto ambientale.Attraverso numerosi studi è stato dimostrato che Uptec presenta un beneficio di oltre il 70% sull’impatto ambientale calcolato in termini di anidride carbonica equivalente, rispetto ad una soluzione tradizionale con piastrelle incollate su massetto alleggerito.Uptec è un sistema completo e rivoluzionario 3 in 1 che permette la realizzazione di pavimenti sopraelevati utilizzando solamente 3 codici base: SUPAL, SUPAS E SUPAR.‎A questi 3 prodotti si aggiungono 3 alette intercambiabili  con sistema di abbattimento del rumore:SUPA2 – per creare fughe da 2 mmSUPA4 – per creare fughe da 4 mm e per l’installazione di piastrelle o deck su magatello (SUPAAN)SUPAW - per l’installazione di  legno su travetto in legno.Uptec vanta un sistema brevettato che permette di passare da testa fissa a testa autolivellante attraverso un semplice meccanismo, permettendo di compensare fino al 5% di pendenza. Inoltre, è stato testato ad un carico di rottura di 14 kN a temperatura ambiente.I vantaggi logistici nell’avere sempre a disposizione uno stock unico per ogni misura, uso e applicazione si traducono in un risparmio di spazio di oltre l’ 80% rispetto ai sistemi tradizionali.‎Il vantaggio del posatore è invece quello di poter accomodare, con soli 3 prodotti, tutte le situazioni di cantiere in cui le misure rilevate non corrispondono a quelle effettive e quindi poter intervenire facilmente aggiungendo o togliendo un componente.‎Il sistema è corredato da accessori complementari per l’installazione: SUPACLPB - clip base, SUPACLPT - clip testa, SUPCLPP - distanziatore perimetrale, SUPAAN – magatello completo di accessori, SUPAF59X59 - membrana antiframmentazione, e una serie completa di profili perimetrali (BORDERTEC BSJ e BORDERTEC  BSR) che permettono di finire i pavimenti sopraelevati in modo elegante e sicuro attraverso profili e bordi perimetrali.‎
Dimensioni
SUPAL: regolabile da 28 a 43 mm.Sulla testa è possibile applicare gli accessori SUPA2, SUPA4 o SUPAW.SUPAS: regolabile da 43 a 58 mm.Sulla testa è possibile applicare gli accessori SUPA2, SUPA4 o SUPAW.SUPAR: + 30 mm. Anello impilabile utilizzato in combinazione con il supporto standard, SUPAS dai 58 mm. Consente un aumento dell’altezza complessiva pari a 30 mm ad ogni anello montato.
Il sistema per pavimento sopraelevato UPTEC è disponibile in vari kit preassemblati:
Kit supporto 28/43 disco 2 mm (1CF= 24 supporti + 24 alette con fuga 2mm)Kit supporto 43/58MM CON disco 2 mm ( 1CF= 24 supporti + 24 alette con fuga 2mm)Kit supporto 58/88MM CON disco mm (1CF= 24 supporti + 24 anelli + 24 alette con fuga 2mm)Kit piedino 88/118MM CON disco 2 mm (1CF= 24 supporti+48 anelli + 24 alette con fuga 2mm)Kit piedino 118/148MM CON disco 2 mm (1CF= 24 supporti + 72 anelli + 24 alette con fuga 2mm)Kit supporto 28/43  disco 2 mm (1CF= 24 supporti + 24 alette con fuga 4mm)Kit supporto 43/58MM disco 4 mm (1CF= 24 supporti + 24 alette con fuga 4mm)Kit piedino 58/88MM disco 4 mm (1CF= 24 supporti+24 anelli+24 alette con fuga 4mm)Kit piedino 88/118MM disco 4 mm (1CF= 24 supporti + 48 anelli + 24 alette con fuga 4mm)Kit piedino 118/148MM disco 4 mm (1CF= 24 supporti+ 72 anelli + 24 alette con fuga 4mm)",https://img.edilportale.com/product-thumbs/b_UPTEC-PROFILITEC-433092-rel104b5d50.jpg,https://www.edilportale.com/prodotti/profilitec/pavimento-sopraelevato/uptec_433092.html
PROFILITEC,UPTEC GROUND,"Uptec Ground è una serie di supporti per la realizzazione di pavimenti sopraelevati di altezza ridotta, per esterni. Due modelli di supporti regolabili da 10 a 15mm, SUPT (per fughe da 2mm) o SUPT4 (per fughe da 4mm).L’altezza può essere estesa grazie all’accessorio SUPB (+5mm) impilabile. (Max 3 SUPB).Il sistema è regolabile manualmente e non necessita dell’utilizzo di alcuna chiave di regolazione.I vantaggi di un pavimento sopraelevato.La posa di pavimenti sopraelevati offre vantaggi che superano la semplice funzione estetica. Essi sono infatti ideali per nascondere tubi e impianti elettrici, favoriscono il deflusso delle acque piovane, offrono una resistenza ai carichi fuori dal comune e la facilità di ispezione rende il sistema versatile e sicuro. I supporti sono ideali per la realizzazione di pavimentazioni sopraelevate per esterni come terrazze, giardini, bordi piscina, verande e luoghi pubblici.",https://img.edilportale.com/product-thumbs/b_UPTEC-GROUND-PROFILITEC-366911-relae9975e1.jpg,https://www.edilportale.com/prodotti/profilitec/supporti-per-la-realizzazione-di-pavimenti-sopraelevati/uptec-ground_366911.html
PROFILITEC,UPTEC SET,"Supporti in polipropilene per la posa di pavimenti e quadrotti galleggianti prefabbricati. Buona resistenza al gelo e agli agenti atmosferici. Un sistema veloce ed efficace con l’ausilio degli eventuali spessori. Ideali per balconi, terrazze, camminatoi, giardini pensili. Posabili direttamente sulla guaina isolante, in pendenza creano un sistema sopraelevato drenante, grazie alla loro superficie d’appoggio allargata garantiscono il mantenimento nel tempo della membrana isolante.I vantaggi di un pavimento sopraelevato.La posa di pavimenti sopraelevati offre vantaggi che superano la semplice funzione estetica. Essi sono infatti ideali per nascondere tubi e impianti elettrici, favoriscono il deflusso delle acque piovane, offrono una resistenza ai carichi fuori dal comune e la facilità di ispezione rende il sistema versatile e sicuro. I supporti sono ideali per la realizzazione di pavimentazioni sopraelevate per esterni come terrazze, giardini, bordi piscina, verande e luoghi pubblici.",https://img.edilportale.com/product-thumbs/b_UPTEC-SET-PROFILITEC-433094-rel2f46df1b.jpg,https://www.edilportale.com/prodotti/profilitec/accessori-per-la-posa-di-pavimenti-sopraelevati/uptec-set_433094.html
PROFILITEC,BORDERTEC BD 20,"Codice Prodotto:BD 20
Bordertec BD20è un profilo perimetrale di finitura e protezione del bordo in cemento esposto di balconi e terrazze per pavimentazioni drenanti da 20 mm di spessore. Dalle forme semplici e minimaliste, il profilo è dotato di fori ovali per lo scolo dell’acqua e dell'apposito rompigoccia per agevolare il deflusso ed evitare di rovinare le pareti sottostanti.Disponibile nelle colorazioni grigio pastello (A22) e grigio micaceo goffrato (A50).Una gamma completa di profili perimetrali multifunzione per balconi e terrazze, in Alluminio verniciato con differenti colorazioni e in acciaio, ideati per sostituire le comuni soglie in marmo e gli elementi a “L” in ceramica.Tali profili possono rivestire numerose funzioni tra cui quelle di raccordo, contenimento, protezione, scolo dell’acqua o anche solo come dettaglio estetico. Si tratta di sistemi semplici da posare e i raccordi e le giunzioni disponibili sono stati studiati per integrarsi alla perfezione con il resto del profilo.Inoltre alcuni si prestano alla funzione di finitura del bordo, in abbinata ai supporti per pavimenti sopraelevati.",https://img.edilportale.com/product-thumbs/b_BORDERTEC-BD-20-PROFILITEC-469179-rel8fa83298.jpg,https://www.edilportale.com/prodotti/profilitec/profilo-per-terrazze-e-pavimenti-sopraelevati/bordertec-bd-20_469179.html
PROFILITEC,BORDERTEC BHO,"Codice Prodotto:BHO
Bordertec BHOè un profilo perimetrale di finitura e protezione del bordo in cemento esposto di balconi e terrazze per piastrelle ceramiche di spessore 20 mm, con dentino superiore di finitura e contenimento del rivestimento piastrellato. La sezione del profilo definisce una canalina forata di drenaggio sul bordo inferiore del profilo per facilitare lo scarico dell'acqua e dell'umidità residua. Il profilo possiede inoltre un dentino rompigoccia sulla parte inferiore.La sezione del profilo BHO definisce una canalina forata di drenaggio sul bordo orizzontale inferiore del profilo per facilitare lo scarico dell’acqua e dell’umidità residua. Lasciare uno spazio idoneo tra i diversi elementi per la dilatazione termica mascherando la fuga con l’elemento di giunzione.Una gamma completa di profili perimetrali multifunzione per balconi e terrazze, in Alluminio verniciato con differenti colorazioni e in acciaio, ideati per sostituire le comuni soglie in marmo e gli elementi a “L” in ceramica.Tali profili possono rivestire numerose funzioni tra cui quelle di raccordo, contenimento, protezione, scolo dell’acqua o anche solo come dettaglio estetico. Si tratta di sistemi semplici da posare e i raccordi e le giunzioni disponibili sono stati studiati per integrarsi alla perfezione con il resto del profilo.Inoltre alcuni si prestano alla funzione di finitura del bordo, in abbinata ai supporti per pavimenti sopraelevati.",https://img.edilportale.com/product-thumbs/b_bordertec-bho-profilitec-469183-rel7acd5eca.jpg,https://www.edilportale.com/prodotti/profilitec/profilo-per-terrazze-e-pavimenti-sopraelevati/bordertec-bho_469183.html
PROFILITEC,BORDERTEC BHS,"Codice Prodotto:BHS
Bordertec BHSè un profilo perimetrale di finitura e protezione del bordo esposto di balconi e terrazze per pavimentazioni di spessore 20 mm, con dentino superiore di finitura e contenimento anche del rivestimento piastrellato, laddove questo sia posato a filo con il massetto. Disegnato con specifico dentino rompigoccia inferiore.Il profilo BHS è dotato di angolo di scolo inclinato verso l’esterno, a protezione anche della membrana di drenaggio Draintec 8 posata sotto il massetto e al di sopra della guaina impermeabilizzante. Lasciare uno spazio idoneo tra i diversi elementi per la dilatazione termica mascherando la fuga con l’elemento di giunzione.Una gamma completa di profili perimetrali multifunzione per balconi e terrazze, in Alluminio verniciato con differenti colorazioni e in acciaio, ideati per sostituire le comuni soglie in marmo e gli elementi a “L” in ceramica.Tali profili possono rivestire numerose funzioni tra cui quelle di raccordo, contenimento, protezione, scolo dell’acqua o anche solo come dettaglio estetico. Si tratta di sistemi semplici da posare e i raccordi e le giunzioni disponibili sono stati studiati per integrarsi alla perfezione con il resto del profilo.Inoltre alcuni si prestano alla funzione di finitura del bordo, in abbinata ai supporti per pavimenti sopraelevati.",https://img.edilportale.com/product-thumbs/b_bordertec-bhs-profilitec-469184-rel37979e76.jpg,https://www.edilportale.com/prodotti/profilitec/profilo-per-terrazze-e-pavimenti-sopraelevati/bordertec-bhs_469184.html
PROFILITEC,ZEROTEC ZRN 60,"Codice Prodotto:ZRN60
Zerotec ZRN60è stato progettato per ottimizzare le transizioni da piastrelle a moquette, tappeti o altri rivestimenti a pavimento come legno, PVC e laminato; situazione che si presenta spesso in ambienti pubblici come hotel e ristoranti.La sua linea delicata e la sua decisa inclinazione, permettono di ottimizzare il passaggio tra diverse altezze: da piastrelle da 8, 10 o 12,5 mm di spessore ad un altro pavimento di 6 mm di spessore, dando un tocco moderno ed elegante all’ambiente.Questa sua particolare forma protegge e nasconde la porzione di rivestimento sottostante (di 6 mm di spessore) da urti e colpi meccanici impedendone la possibile rottura.Accostamenti tra pavimenti di diversa natura, compensazioni di differenti spessori, definizione ottica di superfici diverse, rifinitura dei bordi del rivestimento con materiali classici per finiture intramontabili od innovative per un look moderno.Una linea completa di profili per pavimenti, creati in particolare per la posa della ceramica e del marmo ed una serie di profili polivalenti, per applicazioni su rivestimenti di ogni genere. Giunzioni tecniche o decorative.Sezioni semplici per finiture essenziali, minimali per uno stile discreto od elementi importanti, per caratterizzare le superfici in maniera più decisa, impreziosendole, con materiali e forme in perfetto abbinamento con gli arredi od accostati alla ceramica.Una gamma vastissima di soluzioni da prevedere in fase progettuale, per applicazioni durante la posa, o da installare su pavimenti già esistenti, ideali quindi per ripristini e ristrutturazioni a regola d’arte.",https://img.edilportale.com/product-thumbs/b_zerotec-zrn-60-profilitec-421271-rele990cba5.jpg,https://www.edilportale.com/prodotti/profilitec/profilo-per-pavimento-in-alluminio-anodizzato/zerotec-zrn-60_421271.html
PROFILITEC,ZEROTEC ZR 60,"Codice Prodotto:ZR60
Zerotec ZR60è stato progettato per ottimizzare le transizioni da piastrelle a moquette, tappeti o altri rivestimenti a pavimento come legno, PVC e laminato; situazione che si presenta spesso in ambienti pubblici come hotel e ristoranti.La sua linea delicata e la sua graduale inclinazione, permettono di ottimizzare il passaggio tra diverse altezze: da piastrelle da 8, 10 o 12,5 mm di spessore ad un altro pavimento di 6 mm di spessore, dando un tocco moderno ed elegante all’ambiente.Questa sua particolare forma protegge e nasconde la porzione di rivestimento sottostante (di 6 mm di spessore) da urti e colpi meccanici impedendone la possibile rottura.Accostamenti tra pavimenti di diversa natura, compensazioni di differenti spessori, definizione ottica di superfici diverse, rifinitura dei bordi del rivestimento con materiali classici per finiture intramontabili od innovative per un look moderno.Una linea completa di profili per pavimenti, creati in particolare per la posa della ceramica e del marmo ed una serie di profili polivalenti, per applicazioni su rivestimenti di ogni genere. Giunzioni tecniche o decorative.Sezioni semplici per finiture essenziali, minimali per uno stile discreto od elementi importanti, per caratterizzare le superfici in maniera più decisa, impreziosendole, con materiali e forme in perfetto abbinamento con gli arredi od accostati alla ceramica.Una gamma vastissima di soluzioni da prevedere in fase progettuale, per applicazioni durante la posa, o da installare su pavimenti già esistenti, ideali quindi per ripristini e ristrutturazioni a regola d’arte.",https://img.edilportale.com/product-thumbs/b_zerotec-zr-60-profilitec-421272-relad1bc3ad.jpg,https://www.edilportale.com/prodotti/profilitec/profilo-per-pavimento-in-alluminio-anodizzato/zerotec-zr-60_421272.html
PROFILITEC,BAS | Battiscopa,"Codice Prodotto:BAS
BAS 800è un innovativo battiscopa in alluminio studiato per soddisfare il moderno design minimalista. BAS 800 svolge al meglio le funzioni di progettazione integrandosi nell’arredamento in forma raffinata ma allo stesso tempo efficace.- Sezione squadrata- Altezza di 80 mmIl profilo presenta inoltre una cava nella parte non a vista per facilitarne l‘incollaggio.Un programma completo di battiscopa tecnici in alternativa ai comuni battiscopa in legno delicati e sensibili all’umidità e ai battiscopa in ceramica non sempre disponibili come pezzi speciali.I battiscopa in alluminio, oltre ad un moderno e pregevole effetto estetico, risultano resistenti nel tempo ed idonei al passaggio di cavi di servizio quali telefono, TV e computer. Da sottolineare l’innovativo battiscopa “bicolor design” che permette un effetto cromatico e di abbinamento con materiali fuori dal comune.La gamma si completa con un sistema coordinato “bicolor design” di protezioni murali in materiale plastico antibatterico da applicare qualora si vogliano salvaguardare i muri negli ambienti pubblici in genere.L’ultima realizzazione “plano design” rivoluziona l’applicazione del battiscopa integrandolo alla parete.Il battiscopa diventa in questo modo un reale elemento di “design integrato”.",https://img.edilportale.com/product-thumbs/b_bas-800-profilitec-421163-relef10297c.jpg,https://www.edilportale.com/prodotti/profilitec/battiscopa/bas-battiscopa_421163.html
