marca,nome,descrizione,image url,product url
URSA,URSA XPS ECO NIII E,"URSA XPS ECO NIII Eè un pannello di polistirene estruso URSA XPS ECO, con superfici lisce e bordi ad incastro su tutti i lati, marcato CE in conformità alla norma EN 13164. 70% di materia prima riciclata.
URSA XPS ECOè la nuova frontiera dell’isolamento sostenibile in polistirene estruso: prestazioni tecniche top e la massima attenzione alle persone e all’ambiente.Alle eccellenti performance tecniche URSA XPS ECO unisce oggi caratteristiche di sostenibilità senza precedenti, con un contenuto medio del 70% di materia riciclata nel prodotto finito.I pannelli in polistirene estruso XPS ECO sono prodotti in assenza di HBCD, CFC, HCFC, gas a effetto serra e sostanze nocive, in osservanza alle recenti normative europee, a garanzia del minimo impatto ambientale; inoltre l’intera produzione dello stabilimento di Bondeno è certificata Indoor AirComfort (IAC) GOLD di Eurofins, che ne attesta le ridottissime emissioni a garanzia di una eccellente qualità dell’aria interna.URSA XPS ECO è la soluzione indicata per realizzare interventi di isolamento di strutture in cui venga richiesta una elevata resistenza meccanica e ottimo comportamento all’acqua.Con URSA XPS ECO è possibile isolare solai e pavimenti, anche particolarmente sollecitati, senza che il prodotto riduca i suoi valori prestazionali.La sua impermeabiltà all’acqua assicura peraltro un’ottima tenuta in presenza di umidità o infiltrazioni d’acqua dal terreno.Nell’isolamento termico di solai, pareti, coperture piane e inclinate URSA XPS ECO si dimostra affidabile e duraturo. Trova applicazione anche nei “tetti alla rovescia”, sistemi che prevedono la posa dell’isolante sopra il manto impermeabile.Leggero, facile da trasportare, semplice da tagliare e sagomare, veloce da installare, URSA XPS ECO garantisce la realizzazione di interventi di isolamento in tempi ridotti anche nelle condizioni di applicazione più critiche e mostra la massima versatilità in funzione delle diverse esigenze applicative.
Panel: 2.50 x 0.60 mThickness: 30 / 40 / 50 / 60 / 80 / 100 mm",https://img.edilportale.com/product-thumbs/b_URSA_URSA-XPS-ECO-NIII-E_fEFfsSu8J3.jpeg,https://www.edilportale.com/prodotti/ursa/pannello-isolante-in-xps-per-coperture-e-pavimenti/ursa-xps-eco-niii-e_681720.html
URSA,URSA XPS ECO NIII EI,"URSA XPS ECO NIII EIè un pannello di polistirene estruso URSA XPS ECO, con superfici lisce, bordi lunghi ad incastro e bordi corti diritti, marcato CE in conformità alla norma EN 13164. 70% di materia prima riciclata.
URSA XPS ECOè la nuova frontiera dell’isolamento sostenibile in polistirene estruso: prestazioni tecniche top e la massima attenzione alle persone e all’ambiente.Alle eccellenti performance tecniche URSA XPS ECO unisce oggi caratteristiche di sostenibilità senza precedenti, con un contenuto medio del 70% di materia riciclata nel prodotto finito.I pannelli in polistirene estruso XPS ECO sono prodotti in assenza di HBCD, CFC, HCFC, gas a effetto serra e sostanze nocive, in osservanza alle recenti normative europee, a garanzia del minimo impatto ambientale; inoltre l’intera produzione dello stabilimento di Bondeno è certificata Indoor AirComfort (IAC) GOLD di Eurofins, che ne attesta le ridottissime emissioni a garanzia di una eccellente qualità dell’aria interna.URSA XPS ECO è la soluzione indicata per realizzare interventi di isolamento di strutture in cui venga richiesta una elevata resistenza meccanica e ottimo comportamento all’acqua.Con URSA XPS ECO è possibile isolare solai e pavimenti, anche particolarmente sollecitati, senza che il prodotto riduca i suoi valori prestazionali.La sua impermeabiltà all’acqua assicura peraltro un’ottima tenuta in presenza di umidità o infiltrazioni d’acqua dal terreno.Nell’isolamento termico di solai, pareti, coperture piane e inclinate URSA XPS ECO si dimostra affidabile e duraturo. Trova applicazione anche nei “tetti alla rovescia”, sistemi che prevedono la posa dell’isolante sopra il manto impermeabile.Leggero, facile da trasportare, semplice da tagliare e sagomare, veloce da installare, URSA XPS ECO garantisce la realizzazione di interventi di isolamento in tempi ridotti anche nelle condizioni di applicazione più critiche e mostra la massima versatilità in funzione delle diverse esigenze applicative.
Panel: 2.80 x 0.6 mThickness: 30 / 40 / 50 / 60 / 80 / 100 / 120 mm",https://img.edilportale.com/product-thumbs/b_URSA_URSA-XPS-ECO-NIII-EI_ADtpkxlv7.jpeg,https://www.edilportale.com/prodotti/ursa/pannello-isolante-in-xps-per-coperture-e-pavimenti/ursa-xps-eco-niii-ei_681722.html
URSA,URSA XPS ECO NIII I,"URSA XPS ECO NIII Iè un pannello di polistirene estruso URSA XPS ECO, con superfici lisce e bordi laterali dritti, marcato CE in conformità alla norma EN 13164. 70% di materia prima riciclata.
URSA XPS ECOè la nuova frontiera dell’isolamento sostenibile in polistirene estruso: prestazioni tecniche top e la massima attenzione alle persone e all’ambiente.Alle eccellenti performance tecniche URSA XPS ECO unisce oggi caratteristiche di sostenibilità senza precedenti, con un contenuto medio del 70% di materia riciclata nel prodotto finito.I pannelli in polistirene estruso XPS ECO sono prodotti in assenza di HBCD, CFC, HCFC, gas a effetto serra e sostanze nocive, in osservanza alle recenti normative europee, a garanzia del minimo impatto ambientale; inoltre l’intera produzione dello stabilimento di Bondeno è certificata Indoor AirComfort (IAC) GOLD di Eurofins, che ne attesta le ridottissime emissioni a garanzia di una eccellente qualità dell’aria interna.URSA XPS ECO è la soluzione indicata per realizzare interventi di isolamento di strutture in cui venga richiesta una elevata resistenza meccanica e ottimo comportamento all’acqua.Con URSA XPS ECO è possibile isolare solai e pavimenti, anche particolarmente sollecitati, senza che il prodotto riduca i suoi valori prestazionali.La sua impermeabiltà all’acqua assicura peraltro un’ottima tenuta in presenza di umidità o infiltrazioni d’acqua dal terreno.Nell’isolamento termico di solai, pareti, coperture piane e inclinate URSA XPS ECO si dimostra affidabile e duraturo. Trova applicazione anche nei “tetti alla rovescia”, sistemi che prevedono la posa dell’isolante sopra il manto impermeabile.Leggero, facile da trasportare, semplice da tagliare e sagomare, veloce da installare, URSA XPS ECO garantisce la realizzazione di interventi di isolamento in tempi ridotti anche nelle condizioni di applicazione più critiche e mostra la massima versatilità in funzione delle diverse esigenze applicative.
Panel: 1.25 x 0.6 mThickness: 30 / 40 / 50 / 60 / 80 / 100 mm",https://img.edilportale.com/product-thumbs/b_URSA_URSA-XPS-ECO-NIII-I_kqkvJLALMe.jpeg,https://www.edilportale.com/prodotti/ursa/pannello-isolante-in-xps-per-coperture-e-pavimenti/ursa-xps-eco-niii-i_681724.html
URSA,URSA XPS ECO NR,"URSA XPS ECO NRè un pannello di polistirene estruso URSA XPS ECO, con superfici ruvide, senza pelle e bordi laterali diritti, marcato CE in conformità alla norma EN 13164. 70% di materia prima riciclata.
URSA XPS ECOè la nuova frontiera dell’isolamento sostenibile in polistirene estruso: prestazioni tecniche top e la massima attenzione alle persone e all’ambiente.Alle eccellenti performance tecniche URSA XPS ECO unisce oggi caratteristiche di sostenibilità senza precedenti, con un contenuto medio del 70% di materia riciclata nel prodotto finito.I pannelli in polistirene estruso XPS ECO sono prodotti in assenza di HBCD, CFC, HCFC, gas a effetto serra e sostanze nocive, in osservanza alle recenti normative europee, a garanzia del minimo impatto ambientale; inoltre l’intera produzione dello stabilimento di Bondeno è certificata Indoor AirComfort (IAC) GOLD di Eurofins, che ne attesta le ridottissime emissioni a garanzia di una eccellente qualità dell’aria interna.URSA XPS ECO è la soluzione indicata per realizzare interventi di isolamento di strutture in cui venga richiesta una elevata resistenza meccanica e ottimo comportamento all’acqua.Con URSA XPS ECO è possibile isolare solai e pavimenti, anche particolarmente sollecitati, senza che il prodotto riduca i suoi valori prestazionali.La sua impermeabiltà all’acqua assicura peraltro un’ottima tenuta in presenza di umidità o infiltrazioni d’acqua dal terreno.Nell’isolamento termico di solai, pareti, coperture piane e inclinate URSA XPS ECO si dimostra affidabile e duraturo. Trova applicazione anche nei “tetti alla rovescia”, sistemi che prevedono la posa dell’isolante sopra il manto impermeabile.Leggero, facile da trasportare, semplice da tagliare e sagomare, veloce da installare, URSA XPS ECO garantisce la realizzazione di interventi di isolamento in tempi ridotti anche nelle condizioni di applicazione più critiche e mostra la massima versatilità in funzione delle diverse esigenze applicative.
Panel: 1.25 x 0.6 mThickness: 20 mm",https://img.edilportale.com/product-thumbs/b_URSA_URSA-XPS-ECO-NR_MHUPQpvGBG.jpeg,https://www.edilportale.com/prodotti/ursa/pannello-isolante-in-xps-per-coperture-e-pavimenti/ursa-xps-eco-nr_681725.html
URSA,URSA XPS ECO NIII L,"ERSA XPS ECO NIII Lè un pannello di polistirene estruso URSA XPS ECO, con superfici lisce e bordi laterali a battente, marcato CE in conformità alla norma EN 13164. 70% di materia prima riciclata.
URSA XPS ECOè la nuova frontiera dell’isolamento sostenibile in polistirene estruso: prestazioni tecniche top e la massima attenzione alle persone e all’ambiente.Alle eccellenti performance tecniche URSA XPS ECO unisce oggi caratteristiche di sostenibilità senza precedenti, con un contenuto medio del 70% di materia riciclata nel prodotto finito.I pannelli in polistirene estruso XPS ECO sono prodotti in assenza di HBCD, CFC, HCFC, gas a effetto serra e sostanze nocive, in osservanza alle recenti normative europee, a garanzia del minimo impatto ambientale; inoltre l’intera produzione dello stabilimento di Bondeno è certificata Indoor AirComfort (IAC) GOLD di Eurofins, che ne attesta le ridottissime emissioni a garanzia di una eccellente qualità dell’aria interna.URSA XPS ECO è la soluzione indicata per realizzare interventi di isolamento di strutture in cui venga richiesta una elevata resistenza meccanica e ottimo comportamento all’acqua.Con URSA XPS ECO è possibile isolare solai e pavimenti, anche particolarmente sollecitati, senza che il prodotto riduca i suoi valori prestazionali.La sua impermeabiltà all’acqua assicura peraltro un’ottima tenuta in presenza di umidità o infiltrazioni d’acqua dal terreno.Nell’isolamento termico di solai, pareti, coperture piane e inclinate URSA XPS ECO si dimostra affidabile e duraturo. Trova applicazione anche nei “tetti alla rovescia”, sistemi che prevedono la posa dell’isolante sopra il manto impermeabile.Leggero, facile da trasportare, semplice da tagliare e sagomare, veloce da installare, URSA XPS ECO garantisce la realizzazione di interventi di isolamento in tempi ridotti anche nelle condizioni di applicazione più critiche e mostra la massima versatilità in funzione delle diverse esigenze applicative.
Panel: 1.25 x 0.6 mThickness: 30 / 40 / 50 / 60 / 80 / 100 / 120 / 140 / 160 / 180 / 200 / 220 / 240 mm",https://img.edilportale.com/product-thumbs/b_URSA_URSA-XPS-ECO-NIII-L_tH42lZOyw5.jpeg,https://www.edilportale.com/prodotti/ursa/pannello-isolante-in-xps-per-coperture-e-pavimenti/ursa-xps-eco-niii-l_681726.html
URSA,URSA XPS ECO PLUS,"URSA XPS ECO PLUSè un pannello di polistirene estruso URSA XPS ECO, con superfici ruvide waferate e bordi laterali diritti, marcato CE in conformità alla norma EN 13164. 70% di materia prima riciclata.
URSA XPS ECOè la nuova frontiera dell’isolamento sostenibile in polistirene estruso: prestazioni tecniche top e la massima attenzione alle persone e all’ambiente.Alle eccellenti performance tecniche URSA XPS ECO unisce oggi caratteristiche di sostenibilità senza precedenti, con un contenuto medio del 70% di materia riciclata nel prodotto finito.I pannelli in polistirene estruso XPS ECO sono prodotti in assenza di HBCD, CFC, HCFC, gas a effetto serra e sostanze nocive, in osservanza alle recenti normative europee, a garanzia del minimo impatto ambientale; inoltre l’intera produzione dello stabilimento di Bondeno è certificata Indoor AirComfort (IAC) GOLD di Eurofins, che ne attesta le ridottissime emissioni a garanzia di una eccellente qualità dell’aria interna.URSA XPS ECO è la soluzione indicata per realizzare interventi di isolamento di strutture in cui venga richiesta una elevata resistenza meccanica e ottimo comportamento all’acqua.Con URSA XPS ECO è possibile isolare solai e pavimenti, anche particolarmente sollecitati, senza che il prodotto riduca i suoi valori prestazionali.La sua impermeabiltà all’acqua assicura peraltro un’ottima tenuta in presenza di umidità o infiltrazioni d’acqua dal terreno.Nell’isolamento termico di solai, pareti, coperture piane e inclinate URSA XPS ECO si dimostra affidabile e duraturo. Trova applicazione anche nei “tetti alla rovescia”, sistemi che prevedono la posa dell’isolante sopra il manto impermeabile.Leggero, facile da trasportare, semplice da tagliare e sagomare, veloce da installare, URSA XPS ECO garantisce la realizzazione di interventi di isolamento in tempi ridotti anche nelle condizioni di applicazione più critiche e mostra la massima versatilità in funzione delle diverse esigenze applicative.
Panel: 1.25 x 0.60 mThickness: 30 / 40 / 50 / 60 / 80 / 100 / 120 / 140 / 160 / 180 / 200 / 220 / 240 mm",https://img.edilportale.com/product-thumbs/b_URSA_URSA-XPS-ECO-PLUS_fcLSt2rbZV.jpeg,https://www.edilportale.com/prodotti/ursa/pannello-isolante-in-xps-per-coperture-e-pavimenti/ursa-xps-eco-plus_681727.html
URSA,URSA PUREONE ZERO 31,"URSA Pureone Zero 31è un pannello arrotolato idrorepellente in lana minerale marcato CE in conformità alla norma EN 13162, realizzato con l’innovativo legante Natural  Performance.
8.00 / 2.80 x 0.6 mThickness: 45 / 70 / 95 / 140 mm",https://img.edilportale.com/product-thumbs/b_URSA_URSA-PUREONE-ZERO-31_bfabAsEnSQ.jpeg,https://www.edilportale.com/prodotti/ursa/pannello-arrotolato-in-lana-minerale-per-isolamento-termoacustico/ursa-pureone-zero-31_671493.html
URSA,URSA TECTONIC FP,"URSA Tectonic FPè un prodotto innovativo, realizzato in lana minerale con fibra direzionata ad alte prestazioni meccaniche, marcato CE in conformità alla norma EN 13162, prodotto con tecnologia URSA BiOnic Performance.
I prodotti della nuova famigliaUrsa Tectonicsono realizzati con un’innovativa lana minerale a fibra direzionata, in grado di garantire elevate prestazioni di resistenza meccanica, isolamento termico estivo e invernale, elevato isolamento acustico e resistenza al fuoco. Con la gamma Tectonic, Ursa offre al mercato delle soluzioni per l’isolamento versatili, ideali per essere impiegate negli interventi di coibentazione delle diverse porzioni dell’edificio. Le applicazioni preferenziali, ma non esclusive, che ne esaltano al meglio le performance, sono:
Ursa Tectonic coniuga alle elevate prestazioni termiche ed acustiche un ottimo comportamento al fuoco (Euroclasse A1 e A2-s1,d0), a garanzia della massima efficienza e sicurezza.
FP: 1.20 x 0.6 m - Thickness: 40 / 50 / 60 mmFP Basic: 1.20 x 0.6 m - Thickness: 80 / 100 / 120 / 140 mmFP Advanced: 1.20 x 0.6 m - Thickness: 150 / 160 / 180 mm",https://img.edilportale.com/product-thumbs/b_URSA_URSA-TECTONIC-FP_mOoEgpz79.jpeg,https://www.edilportale.com/prodotti/ursa/pannello-termoisolante-in-lana-minerale/ursa-tectonic-fp_671510.html
URSA,URSA TERRA 64R - SUPER 76,"URSA TERRA 64R - “SUPER 76”è un pannello arrotolato in lana minerale marcato CE in conformità alla norma EN 13162, realizzato con tecnologia di produzione URSA BiOnic Performance.",https://img.edilportale.com/product-thumbs/b_URSA-TERRA-64R-SUPER-76-URSA-461498-rel360095b5.jpg,https://www.edilportale.com/prodotti/ursa/pannello-arrotolato-idrofobo-in-lana-minerale/ursa-terra-64r-super-76_461498.html
URSA,URSA TECTONIC HT Advance,"URSA TECTONIC HT Advanceè un prodotto innovativo realizzato in lana minerale con fibra direzionata ad alte prestazioni meccaniche, marcato CE in conformità alla norma EN 13162, prodotto con tecnologia URSA BiOnic Performance.
I prodotti della nuova famigliaUrsa Tectonicsono realizzati con un’innovativa lana minerale a fibra direzionata, in grado di garantire elevate prestazioni di resistenza meccanica, isolamento termico estivo e invernale, elevato isolamento acustico e resistenza al fuoco. Con la gamma Tectonic, Ursa offre al mercato delle soluzioni per l’isolamento versatili, ideali per essere impiegate negli interventi di coibentazione delle diverse porzioni dell’edificio. Le applicazioni preferenziali, ma non esclusive, che ne esaltano al meglio le performance, sono:
Ursa Tectonic coniuga alle elevate prestazioni termiche ed acustiche un ottimo comportamento al fuoco (Euroclasse A1 e A2-s1,d0), a garanzia della massima efficienza e sicurezza.
1.20 x 2.00 mThickness: 80 / 100 / 120 mm",https://img.edilportale.com/product-thumbs/b_URSA_URSA-TECTONIC-HT-Advance_pGBq7q76j.jpeg,https://www.edilportale.com/prodotti/ursa/pannello-termoisolante-in-lana-minerale/ursa-tectonic-ht-advance_671513.html
