marca,nome,descrizione,image url,product url
Saint-Gobain - Weber,WEBERTHERM RENOVETICS INTO,"webertherm renovETICS intoè una soluzione per ripristinare difetti e danni di grave entità senza la rimozione del cappotto, sistema con intonaco fibrato e idrofugato webertherm into e rasante webertherm into finitura.  Il sistema webertherm renovETICS into conferisce alle superfici sulle quali è applicato tutta la robustezza, la resistenza e la solidità tipiche delle facciate intonacate in modo tradizionale. Inoltre, supera anche i vincoli decorativi dei sistemi standard, come ad esempio l’utilizzo esclusivo di rivestimenti colorati a spessore a base sintetica, ecc.
Da sapere prima dell'utilizzoTutti i componenti dei sistemi sono stati studiati e testati per soddisfare le norme vigentiConsultare il Manuale di ripristino dei sistemi ETICS
Caratteristiche e vantaggiRipristina sistemi a cappotto con difetti e danni di grave entitàEvita la rimozione del cappotto danneggiatoPossiede la solidità della muratura tradizionaleConsente l'utilizzo di finiture con pitture o rivestimentiAssicurabile
Non applicare suNon applicare con temperature inferiori ai 5°C e superiori ai 35°Non applicare in presenza di forte vento, pioggia battente o geloNon applicare su supporti umidi o soggetti ad umidità di risalitaConsultare il Manuale di pristino dei sistemi ETICS
I sistemi di isolamento a cappotto nel corso della propria vita possono andare incontro a diverse problematiche:
Saint-Gobain fornisce le soluzioni tecniche per risolvere i problemi restituendo funzionalità e rinnovando l’estetica del sistema d’isolamento. In caso di difetti e danni di grave entità - dovuti ad esempio a impatti da grandine e urti accidentali, lesioni maggiori o crepe, distacchi dei pannelli, gravi errori di posa in opera o progettazione - il ciclo di riparazione risolutivo prevede l’applicazione del sistema webertherm renovETICS, un sistema senza rimozione del cappotto, certificato e assicurabile.",https://img.edilportale.com/product-thumbs/b_8f1fb1d0-d3b7-0db9-ff28-402e3bd6d3f9.jpeg,https://www.edilportale.com/prodotti/saint-gobain-weber/sistema-per-il-ripristino-dell-isolamento-a-cappotto/webertherm-renovetics-into_646612.html
Saint-Gobain - Weber,WEBERTHERM RENOVETICS LIGHT,"webertherm renovETICS lightè una soluzione per ripristinare difetti e danni di grave entità senza la rimozione del cappotto, sistema con intonaco termoisolante alleggerito con microsfere di EPS webertherm x-light042 e rasante webertherm AP60 TOP.
Da sapere prima dell'utilizzoTutti i componenti dei sistemi sono stati studiati e testati per soddisfare le norme vigentiConsultare il Manuale di ripristino dei sistemi ETICS
Caratteristiche e vantaggiRipristina sistemi a cappotto con difetti e danni di grave entitàEvita la rimozione del cappotto danneggiatoImpiega l'intonaco termico alleggerito con microsfere di EPS con potere isolante (λ = 0,042)Assicurabile
Non applicare suNon applicare con temperature inferiori ai 5°C e superiori ai 35°Non applicare in presenza di forte vento, pioggia battente o geloNon applicare su supporti umidi o soggetti ad umidità di risalitaConsultare il Manuale di pristino dei sistemi ETICS
I sistemi di isolamento a cappotto nel corso della propria vita possono andare incontro a diverse problematiche:
Saint-Gobain fornisce le soluzioni tecniche per risolvere i problemi restituendo funzionalità e rinnovando l’estetica del sistema d’isolamento. In caso di difetti e danni di grave entità - dovuti ad esempio a impatti da grandine e urti accidentali, lesioni maggiori o crepe, distacchi dei pannelli, gravi errori di posa in opera o progettazione - il ciclo di riparazione risolutivo prevede l’applicazione del sistema webertherm renovETICS, un sistema senza rimozione del cappotto, certificato e assicurabile.",https://img.edilportale.com/product-thumbs/b_1e1ad92a-6d91-692f-ce5f-012e7f6d78d0.jpeg,https://www.edilportale.com/prodotti/saint-gobain-weber/sistema-per-il-ripristino-dell-isolamento-a-cappotto/webertherm-renovetics-light_646617.html
Saint-Gobain - Weber,WEBERCOLOR SILICONE,"Webercolor siliconeè un sigillante elastico colorato di natura siliconica a reticolazione neutra, inodore, resistente alla formazione delle muffe. Per la sigillatura elastica di giunti di dilatazione e perimetrali di pavimenti interni ed esterni soggetti a traffico pedonale anche intenso e veicolare leggero e per giunti di rivestimento in facciata.- Resistente ai raggi UV- Antialga antimuffa- Impermeabilizzante- Resistenza chimica- Alta deformabilità- Pedonabile- Alta adesioneSupporto: Calcestruzzo, Calcestruzzo prefabbricato, Massetto base anidrite, Massetto cementizio, Piastrelle / Gres, Klinker, Marmo, Cartongesso, Intonaco, Lastre in cemento, Legno, Predalles, Mattoni, Termolaterizio, MetalloCaratteristiche e vantaggi- Interno ed esterno- Elevata resistenza ai raggi UV- Permanentemente elastico- Ottima adesione su supporti assorbenti e inassorbenti- Certificato EC1 Plus- Tempo formazione pelle (a 23° C, 50% UR): ca. 20 minuti- Velocità di reticolazione (23° C, 50% UR) : > 2 mm/24h- Temperatura di applicazione: da +5 a +40 °C",https://img.edilportale.com/product-thumbs/b_webercolor-silicone-saint-gobain-italia-s-p-a-weber-559013-rel200f5932.jpg,https://www.edilportale.com/prodotti/saint-gobain-weber/sigillante-siliconico/webercolor-silicone_559013.html
Saint-Gobain - Weber,WEBERFLOOR 4610 INDUSTRY TOP,"Weberfloor 4610 Industry Topè un'autolivellante cementizio di finitura a rapida essiccazione, per interni, ad elevate resistenze meccaniche ed elevata capacità livellante, consente di ottenere pavimentazioni ad alta planarità. Ha un'elevata resistenza all'abrasione e può essere applicato anche in caso di pavimentazioni industriali soggetti a carichi elevati.- Autolivellante- Ritiro compensato- Alta resistenza meccanica-Monocomponente- Pedonabile- Presa rapida- Rapida messa in esercizio- Resistente agli urtiSupporto: Calcestruzzo, Calcestruzzo prefabbricato, Massetto cementizio, Massetto base anidrite, Piastrelle / Gres, Klinker, MarmoCaratteristiche e vantaggi- Ideale per pavimentazioni industriali- Elevata resistenza all’usura- Realizza pavimentazioni ad elevata planarità- Applicabile a macchina- Spessore minimo 4 mm- Spessore massimo 20 mm- Temperatura di applicazione: sottofondo +10°C fino a +25°C- Temperatura di applicazione: aria +10°C fino a +35°C- Pedonabilità 2-4 ore- Traffico leggero 1 giorno- Traffico normale 1 settimana",https://img.edilportale.com/product-thumbs/b_weberfloor-4610-industry-top-saint-gobain-italia-s-p-a-weber-559012-rel1acca4fb.jpg,https://www.edilportale.com/prodotti/saint-gobain-weber/sottofondo-autolivellante/weberfloor-4610-industry-top_559012.html
Saint-Gobain - Weber,WEBERPLAN MR81,"Weberplan MR81è un massetto pronto ad essiccazione medio-rapida idoneo per ricevere qualsiasi tipologia di ceramica, marmo e legno.- Monocomponente- Pedonabile- Rapida messa in esercizio- Resistente agli urti- Alti spessoriSupporto: Calcestruzzo, Calcestruzzo prefabbricato, Guaine bituminose, LegnoCaratteristiche e vantaggi- Idoneo per pavimenti riscaldanti- Essiccazione in tempi certi- Ottima lavorabilità anche con pompa a pressione- Per applicazioni in interno ed esterno- Temperatura di applicazione: +5°C ÷ +35°C- Pedonabilità: 12 ore- Tempo di ricopertura ceramica: 24 ore- Tempo di ricopertura cotto, pietre naturali: 3 gg- Tempo di ricopertura legno, gomma, moquette, vinilici: 7 gg- In caso di posa di parquet, gomma, vinilici e resine verificare con igrometro a carburo, umidità residua inferiore al 2%",https://img.edilportale.com/product-thumbs/b_weberplan-mr81-saint-gobain-italia-s-p-a-weber-559011-rel136a82d4.jpg,https://www.edilportale.com/prodotti/saint-gobain-weber/massetto-pronto/weberplan-mr81_559011.html
Saint-Gobain - Weber,WEBEREPOX EASY,"Weberepox easyè uno stucco decorativo e adesivo epossidico con quarzo colorato, impermeabile e antimacchia. Facile da pulire. Resiste alla formazione di funghi e muffe. Colori inalterabili nel tempo e resistenti ai raggi UV.- Resistente ai raggi UV- Alta resistenza meccanica- Antialga antimuffa- Resistenza chimica- Pedonabile- Alta adesione- Resistente al lavaggio- Esente da cementoSupporto: Calcestruzzo, Calcestruzzo prefabbricato, Piastrelle / Gres, Klinker, Marmo, Cartongesso, Intonaco, Massetto base anidrite, Massetto cementizioCaratteristiche e vantaggi- Impermeabile e antimacchia- Resiste alla formazione di funghi e muffe- Elevata resistenza chimico-meccanica-Colori inalterabili nel tempo, resistenti ai raggi UV- Facile da pulire- Larghezza giunti da 2 a 15 mm- Temperatura di applicazione da + 10°C a + 30°C- Resistenza alle temperature da -30°C a + 100°C- Pedonabile dopo 12-24 ore (se usato come adesivo) - dopo 4-8 ore ( se usato come sigillante)- Messa in esercizio 4 gg (+ 20°C)- Riempimento piscine o vasche : dopo 7 gg",https://img.edilportale.com/product-thumbs/b_weberepox-easy-saint-gobain-italia-s-p-a-weber-558919-relfc30e892.jpg,https://www.edilportale.com/prodotti/saint-gobain-weber/stucco-decorativo-e-adesivo-epossidico/weberepox-easy_558919.html
Saint-Gobain - Weber,WEBERCOLOR PREMIUM,"Webercolor premiumè uno stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi.- Idrofugato- Monocomponente- Presa rapida- Rapida messa in esercizio- Resistenza chimica- Resistente al lavaggio- Resistente ai raggi UV- Alta resistenza meccanica- Antialga antimuffa- AntifessurazioneSupporto: Calcestruzzo, Piastrelle / Gres, Klinker, Marmo, Intonaco, Massetto base anidrite, Massetto cementizioCaratteristiche e vantaggi- Tecnologia PROTECT3® : con ioni d'argento, resistente a batteri, muffe, funghi, alghe- Tecnologia PURE-CLEAN®: resistente a macchie e sporco- Flessibile e impermeabile- Colore stabile e uniforme- Resistente agli attacchi chimici e all’usura- Presa e indurimento rapidi",https://img.edilportale.com/product-thumbs/b_webercolor-premium-saint-gobain-italia-s-p-a-weber-558918-relcc393628.jpg,https://www.edilportale.com/prodotti/saint-gobain-weber/stucco-decorativo-cementizio/webercolor-premium_558918.html
Saint-Gobain - Weber,WEBERSAN EVOCALCE,"Webersan evocalceè un'intonaco da risanamento a base di calce idraulica naturale NHL. Intonaco premiscelato per la deumidificazione di murature affette da umidità di risalita, adatto in esterno, interno ed interrato.- Alleggerito- Fibrato- Alti spessori- NaturaleSupporto: Mattoni, Pietra mista, Tufo / arenariaCaratteristiche e vantaggi- Monoprodotto applicabile a mano e a macchina intonacatrice- Elevata compatibilità chimico-fisica con murature storiche- Idoneo per tutti i casi di salinità e condensa superficiale- Rispetta e controlla l’equilibrio termo-igrometrico della muratura- Fibrato per prevenire le cavillature e favorire la stabilità dimensionale- Soluzione integrabile con i sistemi di isolamento termico webertherm- Temperatura di impiego +5°C ÷ +30°C.- Applicare prodotti di finitura e decorazione idonei al risanamento.- Tempo di attesa per applicazione finiture minimo 2 - 7 giorni- Tempo di attesa per applicazione finiture colorate minimo 21 giorni",https://img.edilportale.com/product-thumbs/b_webersan-evocalce-saint-gobain-italia-s-p-a-weber-558910-rel85a94a0e.jpg,https://www.edilportale.com/prodotti/saint-gobain-weber/intonaco-da-risanamento-a-base-di-calce-idraulica-naturale/webersan-evocalce_558910.html
Saint-Gobain - Weber,WEBERSAN EVOLUZIONE TOP,"Webersan evocalceè un'intonaco da risanamento polivalente a base cementizia. Intonaco premiscelato per la deumidificazione di murature affette da umidità di risalita, adatto in esterno, interno ed interrato.- Alleggerito- Fibrato- Alti spessoriSupporto: Calcestruzzo, Mattoni, Pietra mista, Tufo / arenariaCaratteristiche e vantaggi- Monoprodotto applicabile a mano e a macchina intonacatrice- Idoneo per tutti i casi di salinità- Limita e controlla i fenomeni di condensa superficiale- Rispetta l’equilibrio termo-igrometrico della muratura- Fibrato per prevenire le cavillature- Elevata stabilità dimensionale sul supporto murario- Soluzione integrabile con i sistemi di isolamento termico webertherm- Temperatura di impiego +5°C ÷ +30°C.- Applicare prodotti di finitura e decorazione idonei al risanamento.- Differenti assorbimenti o disomogeneità dei supporti condizionano il risultato estetico finale delle finiture minerali colorate.- Tempo di attesa per applicazione finiture minimo:  2 - 7 giorni- Tempo di attesa per applicazione finiture colorate minimo: 21 giorni",https://img.edilportale.com/product-thumbs/b_webersan-evoluzione-top-saint-gobain-italia-s-p-a-weber-558909-rela309159a.jpg,https://www.edilportale.com/prodotti/saint-gobain-weber/intonaco-da-risanamento-polivalente-a-base-cementizia/webersan-evoluzione-top_558909.html
Saint-Gobain - Weber,WEBERPAINT PROTECT,"Weberpaint protectè una idropittura traspirante idrorepellente resistente a muffe e funghi.- A base acqua- Traspirante- Antialga antimuffaSupporto: Intonaco, Cartongesso, Rasatura, Blocchi in cemento, Calcestruzzo, Lastre in cementoCaratteristiche e vantaggi- Idonea per superfici esposte all'attacco di muffe ed alghe, dopo idoneo trattamento- Per ambienti interni ed esterni protetti- Ideale per cucine e bagni- Elevata copertura- Finitura molto opaca- Idrorepellente, non altera l'equilibrio igrometrico della muratura- Bassa odorosità- Ridotta tendenza allo schizzo- Temperatura d’impiego +5°C ÷ +35°C.- Resistente a muffe e funghi.",https://img.edilportale.com/product-thumbs/b_weberpaint-protect-saint-gobain-italia-s-p-a-weber-558896-rel98aad3fa.jpg,https://www.edilportale.com/prodotti/saint-gobain-weber/idropittura-traspirante-idrorepellente/weberpaint-protect_558896.html
