name,brand,description,price,image_url,product_page_url
BIO-MALTA DI ALLETTAMENTO M5,Fassa Bortolo,"Bio-malta di allettamento M5 a base di calce aerea ed eco-pozzolane, priva di cemento, per interni ed esterni",N/A,https://www.fassabortolo.it/documents/10179/4177444/BIO_MALTA_DI_ALLETTAMENTO_M5.jpg/88ccdbfc-bcd5-413f-84b2-6bebfedc3201,https://www.fassabortolo.it/it/prodotti/-/p/6/5130/linea-novantica/bio-malta-di-allettamento-m5-bio-malta-di-allettamento-m5-a-base-di-calce-aerea-ed-eco-pozzolane-priva-di-cemento-per-interni-ed-esterni
BIO-RINZAFFO,Fassa Bortolo,"Bio-rinzaffo a base di calce aerea ed eco-pozzolana, privo di cemento per interni ed esterni",N/A,https://www.fassabortolo.it/documents/10179/3427825/BIO_RINZAFFO.jpg/b3b9794b-10b9-4658-9cd4-4984a084700d,https://www.fassabortolo.it/it/prodotti/-/p/6/4969/linea-novantica/bio-rinzaffo-bio-rinzaffo-a-base-di-calce-aerea-ed-eco-pozzolana-privo-di-cemento-per-interni-ed-esterni
BIO-INIEZIONE M10,Fassa Bortolo,"Bio-Malta strutturale per iniezioni M10 a base di calce aerea ed eco-pozzolane, priva di cemento",N/A,https://www.fassabortolo.it/documents/10179/4116766/BIO_INIEZIONE_M10.jpg/9475d10d-cec1-4a29-aadc-855dd5ea4827,https://www.fassabortolo.it/it/prodotti/-/p/6/5128/linea-novantica/bio-iniezione-m10-bio-malta-strutturale-per-iniezioni-m10-a-base-di-calce-aerea-ed-eco-pozzolane-priva-di-cemento
BIO-INTONACO DI FONDO,Fassa Bortolo,"Bio-intonaco di fondo a base di calce aerea ed eco-pozzolana, privo di cemento per interni ed esterni",N/A,https://www.fassabortolo.it/documents/10179/3428044/BIO_INTONACO_DI_FONDO.jpg/2c333337-b366-4fcf-9f71-201af22460e3,https://www.fassabortolo.it/it/prodotti/-/p/6/4970/linea-novantica/bio-intonaco-di-fondo-bio-intonaco-di-fondo-a-base-di-calce-aerea-ed-eco-pozzolana-privo-di-cemento-per-interni-ed-esterni
BIO-MALTA STRUTTURALE M10,Fassa Bortolo,"Bio-malta fibrorinforzata strutturale M10 a base di calce aerea ed eco-pozzolane, priva di cemento per interni ed esterni",N/A,https://www.fassabortolo.it/documents/10179/3893411/BIO_MALTA_STRUTTURALE_M10.jpg/e3beb15e-5837-467b-8bb4-63066ff01fa9,https://www.fassabortolo.it/it/prodotti/-/p/6/5077/linea-novantica/bio-malta-strutturale-m10-bio-malta-fibrorinforzata-strutturale-m10-a-base-di-calce-aerea-ed-eco-pozzolane-priva-di-cemento-per-interni-ed-esterni
BIO-INTONACO FINE,Fassa Bortolo,"Bio-intonaco fine a base di calce aerea ed eco-pozzolana, privo di cemento per interni ed esterni",N/A,https://www.fassabortolo.it/documents/10179/3428299/BIO_INTONACO_FINE.jpg/c796dcb9-dacd-4119-85a6-ebd925ff56dc,https://www.fassabortolo.it/it/prodotti/-/p/6/4971/linea-novantica/bio-intonaco-fine-bio-intonaco-fine-a-base-di-calce-aerea-ed-eco-pozzolana-privo-di-cemento-per-interni-ed-esterni
LC7 BIOLISCIO,Fassa Bortolo,Intonaco di finitura liscio a base di calce e pozzolana privo di cemento,N/A,https://www.fassabortolo.it/documents/10179/1063834/LC7_Bioliscio.jpg/53ddc153-f982-4805-997b-84eea1956d7d,https://www.fassabortolo.it/it/prodotti/-/p/6/4975/linea-novantica/lc7-bioliscio-intonaco-di-finitura-liscio-a-base-di-calce-e-pozzolana-privo-di-cemento
MB 60,Fassa Bortolo,Bio-malta per muratura faccia a vista bianca per interni ed esterni,N/A,https://www.fassabortolo.it/documents/10179/235508/MB_60.jpg/c391d68a-17ab-46b7-a8d6-edce0ab8ee1f,https://www.fassabortolo.it/it/prodotti/-/p/6/2/linea-puracalce/mb-60-bio-malta-per-muratura-faccia-a-vista-bianca-per-interni-ed-esterni
MB 60 COLORATA,Fassa Bortolo,Malta per muratura faccia a vista colorata da utilizzare a mano per interni ed esterni,N/A,https://www.fassabortolo.it/documents/10179/2071833/MB_60_COLORATO.jpg/8c986ecc-c50e-404b-aeb4-15f8184b5be1,https://www.fassabortolo.it/it/prodotti/-/p/6/3475/linea-puracalce/mb-60-colorata-malta-per-muratura-faccia-a-vista-colorata-da-utilizzare-a-mano-per-interni-ed-esterni
KB 13 EVOLUTION,Fassa Bortolo,"Bio-intonaco di fondo bianco fibrorinforzato a base di calce aerea, per interni ed esterni",N/A,https://www.fassabortolo.it/documents/10179/4325749/KB_13_EVOLUTION.jpg/a2ece779-0526-4563-91ac-05a4fc46597b,https://www.fassabortolo.it/it/prodotti/-/p/6/5151/linea-puracalce/kb-13-evolution-bio-intonaco-di-fondo-bianco-fibrorinforzato-a-base-di-calce-aerea-per-interni-ed-esterni
