nome,descrizione,colori,immagine,marca
Griglia tonda Dentro Fuori,"Pratica, sicura, robusta e innovativa, consente la posa in opera dall’interno senza alcun utilizzo di scale o ponteggi Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DFR160B_0.jpg,First Corporation
Griglia rettangolare Dentro Fuori,"Pratica, sicura, robusta e innovativa, consente la posa in opera dall’interno senza alcun utilizzo di scale o ponteggi Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DF1817B.jpg,First Corporation
Griglia tonda Dentro Fuori,"Pratica, sicura, robusta e innovativa, consente la posa in opera dall’interno senza alcun utilizzo di scale o ponteggi Materiale: METALLO.","Alluminio Bianco, Rame",https://www.firstcorporation.it/wp-content/uploads/2023/12/GRADF125R_01.jpg,First Corporation
Griglia rettangolare Dentro Fuori,"Pratica, sicura, robusta e innovativa, consente la posa in opera dall’interno senza alcun utilizzo di scale o ponteggi Materiale: METALLO.","Alluminio Bianco, Rame",https://www.firstcorporation.it/wp-content/uploads/2023/12/LBDFR1916RA_01.jpg,First Corporation
Griglia estetica universale FUTUR125B,"Design elegante con possibilità, rimuovendo la sicura premontata, di regolare il passaggio aria fino a chiusura Materiale: ASA.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/FUTUR125_0.jpg,First Corporation
Griglia estetica universale QUTUR125B,"Design elegante con possibilità, rimuovendo la sicura premontata, di regolare il passaggio aria fino a chiusura Materiale: ASA.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/QUTUR125B_0.jpg,First Corporation
Griglia tonda universale per fori da ø 40 a 160 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Cromato Satinato, Marrone, Ramato, Sabbia",https://www.firstcorporation.it/wp-content/uploads/2023/12/TU100B_01.jpg,First Corporation
Griglia tonda universale per fori da ø 165 a 260 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Cromato Satinato, Marrone, Ramato, Sabbia",https://www.firstcorporation.it/wp-content/uploads/2024/02/TU250_01.jpg,First Corporation
Griglia tonda universale ad alette dritte per fori da ø 80 a 220 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",https://www.firstcorporation.it/wp-content/uploads/2023/12/TUO125_01.jpg,First Corporation
Griglia Unica universale,Super-universale si adatta a tutti i fori da ⌀ 80 mm a 160 mm Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/TUP816RB.jpg,First Corporation
Griglia quadra e rettangolare universale,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AMR200_01.jpg,First Corporation
Griglia quadra universale tipo “G” ad alette inclinate,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",https://www.firstcorporation.it/wp-content/uploads/2023/12/G15MR2424_0.jpg,First Corporation
Griglia quadra universale tipo “G” ad alette dritte,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",https://www.firstcorporation.it/wp-content/uploads/2023/12/G1NMOR1919.jpg,First Corporation
Placca a muro universale,Soluzione pratica ed estetica per chiudere un foro già esistente Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CPU1616B_01-1.jpg,First Corporation
Diffusore aria universale,Diffonde l’aria lungo i 4 lati della griglia e non frontalmente Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CPU1616AB_01-1.jpg,First Corporation
Griglia tonda da incasso per foro ø 60 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",https://www.firstcorporation.it/wp-content/uploads/2023/12/t63rb_01.jpg,First Corporation
Griglia tonda da incasso per foro ø 80 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero, Ramato",https://www.firstcorporation.it/wp-content/uploads/2023/12/T8B_01.jpg,First Corporation
