nome,descrizione,colori,immagine,marca
Tubo Tondo in PVC Ø 100 mm per aerazione canalizzata,Consente una rapida evacuazione di vapori ed odori sgradevoli da ambienti come cucina e bagni favorendo un salubre ricambio aria Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CTR1100B.jpg,First Corporation
Tubo Tondo in PVC Ø 100 mm per aerazione canalizzata,Consente una rapida evacuazione di vapori ed odori sgradevoli da ambienti come cucina e bagni favorendo un salubre ricambio aria Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CTR100AC-1.jpg,First Corporation
Tubo Tondo in PVC Ø 125 mm per aerazione canalizzata,Consente una rapida evacuazione di vapori ed odori sgradevoli da ambienti come cucina e bagni favorendo un salubre ricambio aria Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CTR1125B.jpg,First Corporation
Tubo Tondo in PVC Ø 125 mm per aerazione canalizzata,Consente una rapida evacuazione di vapori ed odori sgradevoli da ambienti come cucina e bagni favorendo un salubre ricambio aria Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CTR100AC-1.jpg,First Corporation
Tubo Tondo in PVC Ø 150 mm per aerazione canalizzata,Consente una rapida evacuazione di vapori ed odori sgradevoli da ambienti come cucina e bagni favorendo un salubre ricambio aria Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CTR1125B.jpg,First Corporation
Tubo rettangolare in PVC 120×60 mm per aerazione canalizzata,Consente una rapida evacuazione di vapori ed odori sgradevoli da ambienti come cucina e bagni favorendo un salubre ricambio aria Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CT126AC-1.jpg,First Corporation
Tubo rettangolare in PVC 120×60 mm per aerazione canalizzata,Consente una rapida evacuazione di vapori ed odori sgradevoli da ambienti come cucina e bagni favorendo un salubre ricambio aria Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CT1126B-1.jpg,First Corporation
Tubo rettangolare in PVC 150×70 mm per aerazione canalizzata,Consente una rapida evacuazione di vapori ed odori sgradevoli da ambienti come cucina e bagni favorendo un salubre ricambio aria Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CT1157B.jpg,First Corporation
Tubo rettangolare in PVC 150×70 mm per aerazione canalizzata,Consente una rapida evacuazione di vapori ed odori sgradevoli da ambienti come cucina e bagni favorendo un salubre ricambio aria Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CT126AC-1.jpg,First Corporation
Tubo rettangolare in PVC 220×90 mm per aerazione canalizzata,Consente una rapida evacuazione di vapori ed odori sgradevoli da ambienti come cucina e bagni favorendo un salubre ricambio aria Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CT1157B.jpg,First Corporation
