nome,descrizione,colori,immagine,marca
Aeratore a membrana per colonne di scarico,Indispensabile per il corretto funzionamento e per un salubre utilizzo delle colonne di scarico Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/AMG40.jpg,First Corporation
Angolo a salire,"Gli accessori del sistema contribuiscono a nascondere e proteggere i tubi e i cavi di riscaldamento e idrosanitari lungo il battiscopa, garantendo un aspetto estetico e funzionale Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AS49-2.jpg,First Corporation
Angolo esterno,"Gli accessori del sistema contribuiscono a nascondere e proteggere i tubi e i cavi di riscaldamento e idrosanitari lungo il battiscopa, garantendo un aspetto estetico e funzionale Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AE49-1.jpg,First Corporation
Angolo interno,"Gli accessori del sistema contribuiscono a nascondere e proteggere i tubi e i cavi di riscaldamento e idrosanitari lungo il battiscopa, garantendo un aspetto estetico e funzionale Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AI49.jpg,First Corporation
Barattolo colla saldante per PVC,Ideale per unire tubi e raccordi Materiale: Metiletilchetone / cicloesanone.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/cola.jpg,First Corporation
Barattolo colla saldante tangit per PVC-U,Ideale per unire tubi e raccordi Materiale: Tetraidrofurano / Butanone / Cicloesanone.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/COT250.jpg,First Corporation
Cassetta di ispezione GAS per foro 320×420 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,"Bianco, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/CIG3040.jpg,First Corporation
Cassetta di ispezione per foro 320×420 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,"Bianco, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/CI3040_1.jpg,First Corporation
Curva 45° FF,L’aspirazione centralizzata nasce per garantire una pulizia totale degli ambienti interni rendendo le pulizie semplici e leggere Materiale: PVC.,"Azzurro, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/CEAZ45050F-1.jpg,First Corporation
Curva 45° MF,L’aspirazione centralizzata nasce per garantire una pulizia totale degli ambienti interni rendendo le pulizie semplici e leggere Materiale: PVC.,"Azzurro, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/CEAZ45050M-1.jpg,First Corporation
Curva 90° FF,L’aspirazione centralizzata nasce per garantire una pulizia totale degli ambienti interni rendendo le pulizie semplici e leggere Materiale: PVC.,"Azzurro, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/CEAZ90050LF.jpg,First Corporation
Derivazione 45° FF,L’aspirazione centralizzata nasce per garantire una pulizia totale degli ambienti interni rendendo le pulizie semplici e leggere Materiale: PVC.,"Azzurro, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/DEAZ45050F-1.jpg,First Corporation
Derivazione a “T”,"Gli accessori del sistema contribuiscono a nascondere e proteggere i tubi e i cavi di riscaldamento e idrosanitari lungo il battiscopa, garantendo un aspetto estetico e funzionale Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DT49-2.jpg,First Corporation
Derivazione con aeratore a membrana,Indispensabile per il corretto funzionamento e per un salubre utilizzo delle colonne di scarico Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/TAVG40.jpg,First Corporation
Detergente First,Ideale per pulire la superficie dalle impurità Materiale: Acetone/Metiletilchetone.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/DEF1000.jpg,First Corporation
Detergente tangit per PVC-U,Utilizzabile sia per esterno che per interno è ideale per pulire in profondità le superfici in PVC-U Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/DET820.jpg,First Corporation
Estrattore statico,Favorisce il tiraggio della colonna di ventilazione anche in condizioni atmosferiche avverse Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/ES100RT-1024x920.jpg,First Corporation
Giunto,"Gli accessori del sistema contribuiscono a nascondere e proteggere i tubi e i cavi di riscaldamento e idrosanitari lungo il battiscopa, garantendo un aspetto estetico e funzionale Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/GT49-1.jpg,First Corporation
Guaina corrugata per tubi gas,"Utile per rivestire il tubo del gas, proteggendolo dalla corrosione e dall’usura nel tempo Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/GC2550G-1.jpg,First Corporation
Guaina spiralata per tubi gas,"Utile per rivestire il tubo del gas, proteggendolo dalla corrosione e dall’usura nel tempo Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/GG2025G-1.jpg,First Corporation
Kit Piegatubo,Mai più tubi schiacciati durante l’installazione Materiale: Plastica.,"Blu, Giallo, Rosso, Verde",https://www.firstcorporation.it/wp-content/uploads/2023/12/KCUR1-1.jpg,First Corporation
Lavello in plastica con griglia,Pratico e resistente per applicazioni interne ed esterne Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/LAVPL.jpg,First Corporation
Lavello in resina bianca,Pratico e resistente per applicazioni interne ed esterne Materiale: Resina.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/LAVSG50.jpg,First Corporation
Manicotto,L’aspirazione centralizzata nasce per garantire una pulizia totale degli ambienti interni rendendo le pulizie semplici e leggere Materiale: PVC.,"Azzurro, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/MEAZ050-1.jpg,First Corporation
Profilo estruso,"Utilizzato per nascondere e proteggere i tubi e i cavi di riscaldamento e idrosanitari lungo il battiscopa, garantendo un aspetto estetico e funzionale Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/PTC2000-1.jpg,First Corporation
Sportello di ispezione da sovrapporre,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,"Bianco, Cromato Satinato, Grigio, Ramato",https://www.firstcorporation.it/wp-content/uploads/2023/12/SIS2020_0.jpg,First Corporation
Sportello di ispezione GAS per foro 320×420 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’esterno di una casa Materiale: ABS.,"Bianco, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/SIG3040_0-1.jpg,First Corporation
Sportello di ispezione GAS per foro 420×620 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’esterno di una casa Materiale: ABS.,"Bianco, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/SIG4060_0.jpg,First Corporation
Sportello di ispezione GAS per foro 620×420 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’esterno di una casa Materiale: ABS.,"Bianco, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/SIG6040_0-1.jpg,First Corporation
Sportello di ispezione per foro 200×200 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,"Bianco, Cromato Satinato, Grigio, Ramato",https://www.firstcorporation.it/wp-content/uploads/2023/12/SI2020_0.jpg,First Corporation
Sportello di ispezione per foro 200×300 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,"Bianco, Grigio, Ramato",https://www.firstcorporation.it/wp-content/uploads/2023/12/SI2030_0.jpg,First Corporation
Sportello di ispezione per foro 300×200 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,"Bianco, Grigio, Ramato",https://www.firstcorporation.it/wp-content/uploads/2023/12/SI3020_0.jpg,First Corporation
Sportello di ispezione per foro 300×300 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,"Bianco, Grigio, Ramato",https://www.firstcorporation.it/wp-content/uploads/2023/12/SI3030_01.jpg,First Corporation
Sportello di ispezione per foro 320×420 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/SIT3040G-1.jpg,First Corporation
Sportello di ispezione per foro 320×420 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,"Bianco, Grigio, Ramato",https://www.firstcorporation.it/wp-content/uploads/2023/12/SI3040_0.jpg,First Corporation
Sportello di ispezione per foro 420×620 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/SI4060G_0-1.jpg,First Corporation
Sportello di ispezione per foro 620×420 mm,Utilizzato per proteggere e coprire impianti ispezionabili e cavità in genere all’interno e all’esterno di una casa Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/SI6040G_0-1.jpg,First Corporation
Staffa fermatubo,"Gli accessori del sistema contribuiscono a nascondere e proteggere i tubi e i cavi di riscaldamento e idrosanitari lungo il battiscopa, garantendo un aspetto estetico e funzionale Materiale: PVC antiurtizzato.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/ST28_0.jpg,First Corporation
Terminale destro,"Gli accessori del sistema contribuiscono a nascondere e proteggere i tubi e i cavi di riscaldamento e idrosanitari lungo il battiscopa, garantendo un aspetto estetico e funzionale Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/TD49_0.jpg,First Corporation
Terminale sinistro,"Gli accessori del sistema contribuiscono a nascondere e proteggere i tubi e i cavi di riscaldamento e idrosanitari lungo il battiscopa, garantendo un aspetto estetico e funzionale Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/TS49_0.jpg,First Corporation
Testa esalatore,Si installa nella parte terminale della colonna di scarico fuori dal tetto. L’articolo consente la dispersione degli odori sgradevoli provenienti dallo svuotamento dei sifoni intermedi degli impianti di scarico. Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CDVM-T-1024x920.jpg,First Corporation
Tubetto colla saldante per PVC,Ideale per unire tubi e raccordi Materiale: Metiletilchetone / cicloesanone.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/COF125-1-scaled-1-1.jpg,First Corporation
Tubetto colla saldante tangit per PVC-U,Ideale per unire tubi e raccordi Materiale: Tetraidrofurano / Butanone / Cicloesanone.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/COT125.jpg,First Corporation
Tubo aspirazione senza bicchiere,L’aspirazione centralizzata nasce per garantire una pulizia totale degli ambienti interni rendendo le pulizie semplici e leggere Materiale: PVC.,"Azzurro, Grigio",https://www.firstcorporation.it/wp-content/uploads/2023/12/TASP5030.jpg,First Corporation
Valvola di non ritorno Airstop,Evita il ritorno di cattivi odori dalla rete fognaria Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/03/AIRSB.jpg,First Corporation
Vite di fissaggio,Linea ProfilTop gli accessori professionali per il condizionamento Materiale: METALLO.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/t545-3.jpg,First Corporation
