nome,descrizione,colori,immagine,marca
Grondaia in PVC Modello 116,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC.,"Grigio, Marrone, Sabbia",https://www.firstcorporation.it/wp-content/uploads/2023/12/GRN116N-1024x920.jpg,First Corporation
Grondaia in PVC Modello 100,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC.,"Grigio, Marrone",https://www.firstcorporation.it/wp-content/uploads/2024/01/GR100GN-1024x920.jpg,First Corporation
Grondaia Cupraelite Modello 100,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC + rivestimento acrilico.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/GR100R2-scaled.jpg,First Corporation
Grondaia in PVC Modello 125,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC.,"Bianco, Grigio, Marrone Coestruso, Sabbia",https://www.firstcorporation.it/wp-content/uploads/2024/01/GRN125N-1024x920.jpg,First Corporation
Grondaia Effetto Metallizzato Modello 125,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC + Rivestimento acrilico.,"Effetto Acciaio, Effetto Ramato, Effetto Ramato Antico",https://www.firstcorporation.it/wp-content/uploads/2023/12/GRN125AC-1-1024x920.jpg,First Corporation
Grondaia in PVC Modello 133,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC.,"Grigio, Sabbia",https://www.firstcorporation.it/wp-content/uploads/2023/12/GRN133S-1-1024x920.jpg,First Corporation
Grondaia Cupraelite Modello 133,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/GRN133R-scaled.jpg,First Corporation
Grondaia in PVC Modello 145,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC.,"Grigio, Marrone",https://www.firstcorporation.it/wp-content/uploads/2024/01/GR145MC-1024x920.jpg,First Corporation
Grondaia Cupraelite Modello 145,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC + Rivestimento acrilico.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/01/GR145R3-scaled.jpg,First Corporation
Grondaia in PVC Modello Best,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC.,"Effetto Ramato, Marrone Coestruso, Sabbia",https://www.firstcorporation.it/wp-content/uploads/2024/02/GRB120MC-1024x920.jpg,First Corporation
Grondaia in PVC Modello G86,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/GRG8640-scaled.jpg,First Corporation
Grondaia in PVC Modello G2,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/GRG240-scaled.jpg,First Corporation
Grondaia in PVC Modello Best Cupraelite,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC + Rivestimento ASA.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/GRB120R-scaled.jpg,First Corporation
Grondaia in PVC Modello 100×110,Soluzione estetica per lo smaltimento delle acque pluviali Materiale: PVC.,"Grigio, Marrone",https://www.firstcorporation.it/wp-content/uploads/2024/02/GRQM-1024x920.jpg,First Corporation
