nome,descrizione,colori,immagine,marca
Anello di prolunga universale per pozzetti,Gli anelli si possono impilati verticalmente quando la condotta si trova ad una profondità maggiore rispetto al pozzetto Materiale: Polipropilene.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/APZ1020-3-1024x920.jpg,First Corporation
Angolo destro in PVC per canale 200 alto – h 185 mm,Ideale per personalizzare la posa Materiale: PVC anti-shock.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CAAND200-scaled.jpg,First Corporation
Angolo destro in PVC per canale 200 basso – h 115 mm,Ideale per personalizzare la posa Materiale: PVC anti-shock.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CBAND200-scaled.jpg,First Corporation
Angolo sinistro in PVC per canale 200 alto – h 185 mm,Ideale per personalizzare la posa Materiale: PVC anti-shock.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CAANS200-scaled.jpg,First Corporation
Angolo sinistro in PVC per canale 200 basso – h 115 mm,Ideale per personalizzare la posa Materiale: PVC anti-shock.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CBANS200-scaled.jpg,First Corporation
Bloccaggio in metallo per fissaggio griglie,Bloccaggio in metallo per il fissaggio delle griglie sui canali Materiale: Metallo.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/BGP130-scaled.jpg,First Corporation
Canale modulare in PP  modello 130XL alto con griglia B-TECH Classe B125,Il prodotto è composto da:– 1 canale modulare 130 alto in PP– 2 griglie B-TECH classe B125– 2 fissaggi in metallo BGP130 Materiale: Canale in Polipropilene e Griglia in B-TECH.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/KA125XL-1-scaled.jpg,First Corporation
Canale modulare in PP modello 100 basso Easy con griglia zincata,"Il prodotto è composto da:– 1 canale modulare 100 basso in PP– 1 griglia zincata classe A15 Materiale: Canale in Polipropilene, Griglia Zincata.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CSBGSZ10999PP-scaled.jpg,First Corporation
Canale modulare in PP modello 100 Easy alto con griglia in PP,Il prodotto è composto da:– 1 canale modulare 100 alto in PP– 1 griglia zincata classe A15 Materiale: Canale e Griglia in Polipropilene.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CSASGR100PP-scaled.jpg,First Corporation
Canale modulare in PP modello 100 Easy alto con griglia zincata,"Il prodotto è composto da:– 1 canale modulare 100 alto in PP– 1 griglia zincata classe A15 Materiale: Canale in Polipropilene, Griglia Zincata.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CSAGSZ10999PP-scaled.jpg,First Corporation
Canale modulare in PP modello 100 Easy basso con griglia in PP,Il prodotto è composto da:– 1 canale modulare 100 basso in PP– 2 griglie in PP classe A15 Materiale: Canale e Griglia in Polipropilene.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CSBSGR100PP-scaled.jpg,First Corporation
Canale modulare in PP modello 130 Easy alto con griglia in PP,Il prodotto è composto da:– 1 canale modulare 130 alto in PP– 2 griglie in PP classe A15 Materiale: Canale e Griglia in Polipropilene.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CSASGN130PP-3-scaled.jpg,First Corporation
Canale modulare in PP modello 130 Easy alto con griglia zincata,"Il prodotto è composto da:– 1 canale modulare 130 alto in PP– 1 griglia zincata classe A15 Materiale: Canale in Polipropilene, Griglia Zincata.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CSAGSZ13999PP-scaled.jpg,First Corporation
Canale modulare in PP modello 130 Easy basso con griglia in PP,Il prodotto è composto da:– 1 canale modulare 130 basso in PP– 2 griglie in PP classe A15 Materiale: Canale e Griglia in Polipropilene.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CSBSGN130PP-1-scaled.jpg,First Corporation
Canale modulare in PP modello 130 Easy basso con griglia zincata,"Il prodotto è composto da:– 1 canale modulare 130 alto in PP– 1 griglia zincata classe A15 Materiale: Canale in Polipropilene, Griglia Zincata.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CSBGSZ13999PP-3-scaled.jpg,First Corporation
Canale modulare in PP modello 130XL alto con griglia in B-TECH Classe C250,Il prodotto è composto da:– 1 canale modulare 130 alto in PP– 2 griglie carrabili B-TECH Classe C250– 2 fissaggi in metallo BGP130 Materiale: Canale in Polipropilene e Griglia in B-TECH.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/PKA250XL-scaled.jpg,First Corporation
Canale modulare in PP modello 130XL alto con griglia in PVC Classe C250,Il prodotto è composto da:– 1 canale modulare 130 alto in PP– 2 griglie carrabili in PVC Classe C250– 2 fissaggi in metallo BGP130 Materiale: Canale in Polipropilene e Griglia in PVC.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/KA250XLG-scaled.jpg,First Corporation
Canale modulare in PP modello 130XL alto con griglia zincata,Il prodotto è composto da:– 1 canale modulare alto Pratiko XL130– 1 griglia zincata classe A15– 2 fissaggi BGP130 Materiale: Canale in Polipropilene e Griglia zincata.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/KAZ15XLG-scaled.jpg,First Corporation
