nome,descrizione,colori,immagine,marca
Anello per curva WC Grigio – Gamma completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AWC100-5-scaled.jpg,First Corporation
Aumento conico eccentrico Arancio Gamma completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AES-arancio-2-scaled.jpg,First Corporation
Curva 45° Arancio – Gamma Base,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CS45315-3-scaled.jpg,First Corporation
Curva 45° Arancio – Gamma completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CS45250-4-1024x920.jpg,First Corporation
Curva 45° con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/COA45-scaled.jpg,First Corporation
Curva 45° con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CSOG45-scaled.jpg,First Corporation
Curva 45° con tappo di ispezione destro Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CSTVD45XXX-2-scaled.jpg,First Corporation
Curva 45° con tappo di ispezione sinistro Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CSTVS45XXX-2-scaled.jpg,First Corporation
Curva 67°30′ Arancio – Gamma completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CS67040-1-1024x920.jpg,First Corporation
Curva 87° con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/COA87-scaled.jpg,First Corporation
Curva 87°30′ Arancio – Gamma Base,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotta di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CS87-4-scaled.jpg,First Corporation
Curva 87°30′ Arancio – Gamma completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CS87-4-scaled.jpg,First Corporation
Curva 87°30′ con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CSOG87-scaled.jpg,First Corporation
Curva 87°30′ con tappo di ispezione destro Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CSTVD87XXX-2-scaled.jpg,First Corporation
Curva 87°30′ con tappo di ispezione sinistro Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CSTVS87XXX-2-scaled.jpg,First Corporation
Curva 87°30′ ridotta con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/COA87110100-scaled.jpg,First Corporation
Curva WC alta Arancio – Gamma Completamento, Materiale: PVC-U.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CWCS10-4-scaled.jpg,First Corporation
Curva WC alta con due attacchi laterali Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CWCS-2-scaled.jpg,First Corporation
Curva WC bassa Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CWCBS100-4-scaled.jpg,First Corporation
Curva WC bassa con due attacchi laterali Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CWCBS-1-scaled.jpg,First Corporation
Derivazione 45° Arancio – Gamma Base,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DS45-3-scaled.jpg,First Corporation
Derivazione 45° Arancio – Gamma completamento,"AcRosso RAL 8023nti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DS45032-4-scaled.jpg,First Corporation
Derivazione 45° con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/DSOG45-scaled.jpg,First Corporation
Derivazione 45° con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/DOA45-scaled.jpg,First Corporation
Derivazione 45° con tappo di ispezione destro Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DSTVD45-2-scaled.jpg,First Corporation
Derivazione 45° con tappo di ispezione sinistro Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DSTVS45-2-scaled.jpg,First Corporation
Derivazione 45° ridotta Arancio – Gamma completamento,"Accessorio adatto alla costruzione di impianto fognario, scarico per acque sporche o per condotta di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DRS-1-scaled.jpg,First Corporation
Derivazione 45° ridotta doppia Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DRS10D44-4-scaled.jpg,First Corporation
Derivazione 45° ridotta doppia Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DRS10044-4-scaled.jpg,First Corporation
Derivazione 45° ridotta tripla Arancio – Gamma Completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DRS10444-4-scaled.jpg,First Corporation
Derivazione 87°30′ Arancio – Gamma base,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DS87250-3-scaled.jpg,First Corporation
Derivazione 87°30′ Arancio RAL8023 – Gamma completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/TS87032-4-scaled.jpg,First Corporation
Derivazione 87°30′ con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/DOA87-scaled.jpg,First Corporation
Derivazione 87°30′ con O’Ring,"Sistema di raccordi completo di o’ring con guarnizione, oltre a permettere una perfetta tenuta anche per movimenti del suolo, garantisce tempi di posa in opera rapidi. Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/DSOG87-scaled.jpg,First Corporation
Derivazione 87°30′ con tappo di ispezione Arancio – Gamma completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DTIS-2-scaled.jpg,First Corporation
Derivazione 87°30′ con tappo di ispezione destro Arancio – Gamma completamento,"Accessorio adatto alla costruzione di impianti fognari, scarico per acque sporche o per condotte di ventilazione Materiale: PVC-U.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/DSTVD87-1-scaled.jpg,First Corporation
