nome,descrizione,colori,immagine,marca
Aumento eccentrico,"Accessorio del sistema BI-BI KOLL system, ed è indicato per le reti di scarico dell’acqua Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/ASG-scaled.jpg,First Corporation
Braga a scagno 45°,"Accessorio del sistema BI-BI KOLL system, è indicato per le reti di scarico dell’acqua Materiale: PVC.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/DSG100-scaled.jpg,First Corporation
Canale in ABS con griglia inox e protezione,"Elegante, pratico e modulare Materiale: corpo in ABS, griglia in acciaio Inox304.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/06/PRBCAN2010-scaled.jpg,First Corporation
Canale sifonato in ABS Pratiko Bagno 1 con griglia inox piastrellabile,Una perfetta integrazione fra possibilità di scarico e personalizzazione del rivestimento Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/PRBR-1024x920.jpg,First Corporation
Canale sifonato in ABS Pratiko Bagno 2 con griglia inox,"Elegante, pratico e con griglia disponibile in diversi stili Materiale: corpo in ABS, griglia in acciaio Inox304.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/PRBP606IN-1024x920.jpg,First Corporation
Canale sifonato in ABS Pratiko Bagno 3 con griglia inox,"Elegante, pratico e disponibile in varie lunghezze Materiale: corpo in ABS, griglia in acciaio Inox304.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/PRBS403IN-1024x920.jpg,First Corporation
Canale sifonato in ABS Pratiko Bagno con griglia inox,"Elegante, pratico e disponibile in varie lunghezze Materiale: corpo in ABS, griglia in acciaio Inox304.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/05/PRB4010-1024x920.jpg,First Corporation
Chiusino sifonato, Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/06/PRBCH1050-scaled.jpg,First Corporation
Chiusino sifonato in ABS ad angolo e griglia inox,"Consente l’evacuazione delle acque e nel contempo salvaguardano l’ambiente dai cattivi odori con una speciale valvola anti-ritorno. Materiale: ABS, griglia inox.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CHABST2517IN-1024x920.jpg,First Corporation
Chiusino sifonato in ABS con griglia e rete per supporto guaina e griglia in inox,"Consente l’evacuazione delle acque e nel contempo salvaguardano l’ambiente dai cattivi odori con una speciale valvola anti-ritorno. Materiale: ABS, griglia inox.",N/A,https://www.firstcorporation.it/wp-content/uploads/2024/02/CHABS10BOXIN-1024x920.jpg,First Corporation
