nome,descrizione,colori,immagine,marca
Cappellotto con guarnizione per colmo lastra Piana,Sistema di fissaggio con guarnizione per accessori lastra Piana Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CO00NBA-1024x920.jpg,First Corporation
Cappellotto con guarnizione per fianco scossalina lastra Tegola,Sistema di fissaggio con guarnizione per lastra Rustica Materiale: .,"Blu Ardesia, Marrone Scuro, Terracotta",https://www.firstcorporation.it/wp-content/uploads/2024/04/CU00NTC-1-1024x920.jpg,First Corporation
Cappellotto con guarnizione per lastra Coppo,Sistema di fissaggio con guarnizione per lastra Coppo e i suoi accessori Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CP00NTC-1024x920.jpg,First Corporation
Cappellotto con guarnizione per lastra Etruria, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CE00NVF-1024x920.jpg,First Corporation
Cappellotto con guarnizione per lastra Greca, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CEU00NVO-1024x920.jpg,First Corporation
Cappellotto con guarnizione per lastra Latina,Sistema di fissaggio con guarnizione per lastra Latina Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CR00NTN-1024x920.jpg,First Corporation
Cappellotto con guarnizione per lastra Olandese,Sistema di fissaggio con guarnizione per lastra Olandese Materiale: .,"Blu Ardesia, Firenze Antica, Marrone Scuro, Terra Naturale, Venezia Antica",https://www.firstcorporation.it/wp-content/uploads/2024/04/CO00NTC-1024x920.jpg,First Corporation
Cappellotto con guarnizione per lastra Onda Romana, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CR00NGS-1024x920.jpg,First Corporation
Cappellotto con guarnizione per lastra Romana Egeo, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CR00NGS-1024x920.jpg,First Corporation
Cappellotto con guarnizione per lastra Rustica,Sistema di fissaggio con guarnizione per lastra Rustica Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CP00NTN-1-1024x920.jpg,First Corporation
Cappellotto con guarnizione per lastra Tegola,Sistema di fissaggio con guarnizione per lastra Rustica Materiale: .,"Blu Ardesia, Marrone Scuro, Terracotta, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CT00NTC-1024x920.jpg,First Corporation
Cappellotto con guarnizione per lastre Ondina e Grekina, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CN00NTN-1024x920.jpg,First Corporation
Cappellotto con guarnizione per scossalina lastra Tegola,Sistema di fissaggio con guarnizione per lastra Rustica Materiale: .,"Blu Ardesia, Marrone Scuro, Terracotta",https://www.firstcorporation.it/wp-content/uploads/2024/04/CO00NTC-1024x920.jpg,First Corporation
Cappellotto piano con guarnizione per colmo lastra Greca, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CU00NGS-1024x920.jpg,First Corporation
Cappellotto piano con guarnizione per colmo lastra Latina, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CU00NTN-1-1024x920.jpg,First Corporation
Cappellotto piano con guarnizione per colmo lastra Olandese, Materiale: .,"Blu Ardesia, Firenze Antica, Marrone Scuro, Terra Naturale, Venezia Antica",https://www.firstcorporation.it/wp-content/uploads/2024/04/CU00NTN-1-1024x920.jpg,First Corporation
Cappellotto piano con guarnizione per colmo lastra Onda Romana, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CU00NGS-1024x920.jpg,First Corporation
Cappellotto piano con guarnizione per colmo lastra Rustica, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CU00NANS-1024x920.jpg,First Corporation
Cappellotto piano con guarnizione per colmo per lastra Ondina e Grekina, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CU00NBA-1024x920.jpg,First Corporation
Cappellotto piano con guarnizione per lastra Piana, Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CU00NBA-1024x920.jpg,First Corporation
Colmo a cerniera liscio per lastra Etruria,E’ composto da un unico elemento che permette il raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CLETVF-1024x920.jpg,First Corporation
Colmo a cerniera liscio per lastra Romana Egeo,E’ composto da due elementi che permettono l raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo. L’angolo è variabile da 90° a 170°. Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CLREVF-1024x920.jpg,First Corporation
Colmo a tre vie per lastra Coppo,Accessorio che permette il raccordo tra il colmo superiore e i colmi diagonali Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CYCPTOP-1024x920.jpg,First Corporation
Colmo a tre vie per lastra Latina,Accessorio che permette il raccordo tra il colmo superiore e i colmi diagonali Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CYCPTC-1024x920.jpg,First Corporation
Colmo a tre vie per lastra Olandese,Accessorio che permette il raccordo tra il colmo superiore e i colmi diagonali Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CYCPANF-1024x920.jpg,First Corporation
Colmo a tre vie per lastra Piana,Accessorio che permette il raccordo tra il colmo superiore e i colmi diagonali Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CYCPBA-1024x920.jpg,First Corporation
Colmo a tre vie per lastra Rustica,Accessorio che permette il raccordo tra il colmo superiore e i colmi diagonali Materiale: .,"Firenze Antica, Siena Antica, Terra Naturale, Venezia Antica",https://www.firstcorporation.it/wp-content/uploads/2024/04/CYCPANS-1024x920.jpg,First Corporation
Colmo a tre vie per lastra Tegola,Accessorio che permette il raccordo tra il colmo superiore e i colmi diagonali Materiale: .,"Blu Ardesia, Marrone Scuro, Terracotta, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CYCPTC-1024x920.jpg,First Corporation
Colmo diagonale per lastra Coppo,Elemento che permette il raccordo tra le diverse falde laterali o frontali in corrispondenza della linea di Colmo inclinata dal tetto Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CDCPTOP-1024x920.jpg,First Corporation
Colmo diagonale per lastra Latina,Elemento che permette il raccordo tra le diverse falde laterali o frontali in corrispondenza della linea di Colmo inclinata dal tetto Materiale: .,"Terra Naturale, Terracotta",https://www.firstcorporation.it/wp-content/uploads/2024/04/CDCPTN-1024x920.jpg,First Corporation
Colmo diagonale per lastra Olandese,Elemento che permette il raccordo tra le diverse falde laterali o frontali in corrispondenza della linea di Colmo inclinata dal tetto Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CDCPTN-1024x920.jpg,First Corporation
Colmo diagonale per lastra Piana,Elemento che permette il raccordo tra le diverse falde laterali o frontali in corrispondenza della linea di Colmo inclinata dal tetto Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CDCPBA-1024x920.jpg,First Corporation
Colmo diagonale per lastra Rustica,Elemento che permette il raccordo tra le diverse falde laterali o frontali in corrispondenza della linea di Colmo inclinata dal tetto Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CDCPTN-1024x920.jpg,First Corporation
Colmo diagonale per lastra Tegola,Elemento che permette il raccordo tra le diverse falde laterali o frontali in corrispondenza della linea di Colmo inclinata dal tetto Materiale: .,"Blu Ardesia, Marrone Scuro, Terracotta, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CDCPTC-1024x920.jpg,First Corporation
Colmo per lastra Coppo,E’ composto da un unico elemento che permette il raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CSCPLFRT-1024x920.jpg,First Corporation
Colmo per lastra Greca,E’ composto da un unico elemento che permette il raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CSAMLFVO-1024x920.jpg,First Corporation
Colmo per lastra Latina,E’ composto da un unico elemento che permette il raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CSAMTC-1024x920.jpg,First Corporation
Colmo per lastra Olandese,E’ composto da un unico elemento che permette il raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo Materiale: .,"Blu Ardesia, Firenze Antica, Marrone Scuro, Terra Naturale, Venezia Antica",https://www.firstcorporation.it/wp-content/uploads/2024/04/CSAMTN-1-1024x920.jpg,First Corporation
Colmo per lastra Onda Romana,E’ composto da un unico elemento che permette il raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CSAMLFVO-1024x920.jpg,First Corporation
Colmo per lastra Piana,E’ composto da un unico elemento che permette il raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo Materiale: .,Blu Ardesia,https://www.firstcorporation.it/wp-content/uploads/2024/04/CSAMBA-1024x920.jpg,First Corporation
Colmo per lastra Rustica,E’ composto da un unico elemento che permette il raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo Materiale: .,"Firenze Antica, Siena Antica, Terra Naturale, Venezia Antica",https://www.firstcorporation.it/wp-content/uploads/2024/04/CSAMTN-1-1024x920.jpg,First Corporation
Colmo per lastra Tegola,E’ composto da un unico elemento che permette il raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CSTETC-1024x920.jpg,First Corporation
Colmo per lastre Ondina e Grekina,E’ composto da un unico elemento che permette il raccordo tra le due falde contrapposte del tetto che arriveranno ad un’intersezione in corrispondenza della linea di Colmo Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CSAMTC-1024x920.jpg,First Corporation
Colmo terminale per lastra Coppo,Accessorio di rifinitura che permette la chiusura finale del colmo superiore e/o del colmo diagonale Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CTCPTOP-1-1024x920.jpg,First Corporation
Colmo terminale per lastra Latina,Accessorio di rifinitura che permette la chiusura finale del colmo superiore e/o del colmo diagonale Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CTCPTC-1-1024x920.jpg,First Corporation
Colmo terminale per lastra Olandese,Accessorio di rifinitura che permette la chiusura finale del colmo superiore e/o del colmo diagonale Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CTCPTN-1024x920.jpg,First Corporation
Colmo terminale per lastra Piana,Accessorio di rifinitura che permette la chiusura finale del colmo superiore e/o del colmo diagonale Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CTCPBA-1024x920.jpg,First Corporation
Colmo terminale per lastra Rustica,Accessorio di rifinitura che permette la chiusura finale del colmo superiore e/o del colmo diagonale Materiale: .,"Cenere Antica, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CTCPTN-1024x920.jpg,First Corporation
Colmo terminale per lastra Tegola,Accessorio di rifinitura che permette la chiusura finale del colmo superiore e/o del colmo diagonale Materiale: .,"Blu Ardesia, Marrone Scuro, Terracotta, Terracotta Opaco",https://www.firstcorporation.it/wp-content/uploads/2024/04/CTCPTC-1-1024x920.jpg,First Corporation
