nome,descrizione,colori,immagine,marca
Recuperatore di calore entalpico EVO-ECO,"Sistema evoluto ed ecologico di ricambio d’aria da interni che, grazie alla presenza di un filtro purificatore, elimina pollini, polveri, aria viziata e altre sostanze inquinanti rinnovando e purificando l’aria in casa, eliminando l’umidità e ostacolando la formazione di muffa. Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/evp-eco-1.jpg,First Corporation
Recuperatore di calore a doppio flusso V-ECO100,"Idoneo per essere installato in piccoli ambienti quali camere da letto, bagni, locali di servizio, per fornire un’estrazione continua dell’aria calda viziata ed immissione di aria nuova esterna preriscaldata. Materiale: ABS.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/evo-100.jpg,First Corporation
Barriera d’aria BASIC,"Prodotto indicato per bloccare polveri, gas di scarico, insetti, fumo e cattivi odori assicurando però l’isolamento della temperatura in modo efficace Materiale: .",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/BV90.jpg,First Corporation
Barriera d’aria PLUS,"Prodotto molto valido per bloccare polveri, gas di scarico, insetti, fumo e cattivi odori assicurando l’isolamento della temperatura in modo efficace Materiale: .",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/BV90PLUS.jpg,First Corporation
Griglia di ventilazione tonda con valvola termostatica AIRCONTROL,E’ un dispositivo brevettato con valvola termostatica che regola il flusso dell’aria in fuzione della temperatura esterna Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/ACT10CB.jpg,First Corporation
Griglia di ventilazione quadrata con valvola termostatica AIRCONTROL,E’ un dispositivo brevettato con valvola termostatica che regola il flusso dell’aria in fuzione della temperatura esterna Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/ACQ10CB.jpg,First Corporation
Aspiratore elicoidale da parete,Completo di placca frontale in elegante vetro satinato Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AA10VE_01-1.jpg,First Corporation
Aspiratore elicoidale da parete GIOTTO,Design extrapiatto e moderno Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/GIOTTO12B-1.jpg,First Corporation
Aspiratore elicoidale da parete,Dal design elegante e idoneo per espulsioni dirette o piccole canalizzazioni.‎ Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AA12B-1.jpg,First Corporation
Aspiratore elicoidale da parete,Aspiratore elicoidale da parete incassabile a muro Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AA12E-1.jpg,First Corporation
Aspiratore elicoidale da parete,Completo di comando a infrarosso e timer Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AA12PIR-1.jpg,First Corporation
Aspiratore elicoidale da parete per foro ø 80 mm, Materiale: .,N/A,https://www.firstcorporation.it/wp-content/uploads/2024/04/AA8E_1.jpg,First Corporation
Aspiratore elicoidale da parete,Completo di interruttore tirante (on-off) Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AA15FS_01-1.jpg,First Corporation
Aspiratore elicoidale con serranda da parete,Completo di serranda automatica a comando elettronico Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AA12G-1.jpg,First Corporation
Aspiratore elicoidale per condotti,Può essere installato all’interno di tubi rigidi o flessibili Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AA100T_01.jpg,First Corporation
Aspiratore elettrico assiale per cappe,Versatile e di semplice installazione Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/AS1012B-1.jpg,First Corporation
Aspiratore centrifugo CENTRIX,Idoneo per essere installato a parete o soffitto in ambienti in cui è necessaria l’espulsione dell’aria in canalizzazioni lunghe diversi metri Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/CENTRIX10-1.jpg,First Corporation
Aspiratore centrifugo per condotti, Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/LINEAV12-1.jpg,First Corporation
Silenziatore per fori di ventilazione PHONOBOX,"Da installare in edifici di nuova costruzione o in fori di ventilazione esistenti, con passaggio d’aria certificato secondo norma UNI-CIG-GAS 7129 Materiale: Elemento scatolato: plastica ABS, Materiale fonoassorbente interno al silenziatore: poliuretano espanso.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/PH160_0.jpg,First Corporation
Silenziatore per fori di ventilazione HELIX43,"Da installare in edifici di nuova costruzione o in fori di ventilazione esistenti, con passaggio d’aria certificato secondo norma UNI-CIG-GAS 7129 Materiale: Tubo: plastica ABS, Materiale interno al tubo fonoassorbente:  poliuretano espanso.",N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/HE4330_0.jpg,First Corporation
Riduttore acustico per fori di ventilazione esistenti HELIX34,Il prodotto è di facile installazione ed è utile per attenuare i rumori che provengono dai fori di ventilazione Materiale: Tubo: plastica ABS Materiale interno al tubo fonoassorbente:  poliuretano espanso.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/HE3430_0.jpg,First Corporation
Riduttore acustico per fori di ventilazione esistenti UFO,Il prodotto è di facile installazione ed è utile per attenuare i rumori che provengono dai fori di ventilazione Materiale: ABS.,N/A,https://www.firstcorporation.it/wp-content/uploads/2023/12/UFOB_0-1.jpg,First Corporation
