name,brand,description,price,image_url,product_page_url
Resina epossidica FIS EM Plus,Fischer,Ancorante chimico epossidico ad alte prestazioni per ferri di ripresa e per ancoraggi strutturali pesanti con carichi sismici C1 e C2 con vita utile in esercizio certificata fino a 100 anni.,N/A,https://media.fischer.group/v7/_pim-media-prod_/Product%20Pictures/Product%20Pictures%20Big%20fischer/W1_P_G_FIS_EM_PLUS.jpg?func=fit&bg_colour=white&trim=5&func=fit&w=1140&h=1140,https://www.fischer.it/it-it/prodotti/ancoranti-chimici/ancoranti-chimici-in-cartuccia/resina-epossidica-fis-em-plus
Ancorante chimico FIS SB Superbond,Fischer,Resina a iniezione in vinilestere ibrido con silani per installazioni con temperature del supporto a partire da -15°C.,N/A,https://media.fischer.group/v7/_pim-media-prod_/Product%20Pictures/Product%20Pictures%20Big%20fiit/W1_P_G_1573737049_FIS_SB.jpg?func=fit&bg_colour=white&trim=5&func=fit&w=1140&h=1140,https://www.fischer.it/it-it/prodotti/ancoranti-chimici/ancoranti-chimici-in-cartuccia/ancorante-chimico-fis-sb-superbond
Ancorante chimico FIS VS,Fischer,"Resina a iniezione in vinilestere ibrido certificata per ancoraggi in calcestruzzo fessurato, riprese di getto e applicazioni sismiche (categoria di prestazione sismica C1 e C2)",N/A,https://media.fischer.group/v7/_pim-media-prod_/Product%20Pictures/Product%20Pictures%20Big%20fiit/W1_P_G_FIS_VS_ALL.jpg?func=fit&bg_colour=white&trim=5&func=fit&w=1140&h=1140,https://www.fischer.it/it-it/prodotti/ancoranti-chimici/ancoranti-chimici-in-cartuccia/ancorante-chimico-fis-vs
Ancorante chimico FIS V Plus,Fischer,"Ancorante chimico per applicazioni antisismiche (C1 e C2), riprese di getto e fissaggi su muratura. Alte prestazioni garantite 100 anni.",N/A,https://media.fischer.group/v7/_pim-media-prod_/Product%20Pictures/Product%20Pictures%20Big%20fischer/W1_P_G_FIS_V_PLUS.jpg?func=fit&bg_colour=white&trim=5&func=fit&w=1140&h=1140,https://www.fischer.it/it-it/prodotti/ancoranti-chimici/ancoranti-chimici-in-cartuccia/ancorante-chimico-fis-v-plus
Ancorante chimico FIS VW Plus,Fischer,Ancorante chimico vinilestere ibrido prestazioni per applicazioni invernali garantite 100 anni.,N/A,https://media.fischer.group/v7/_pim-media-prod_/Product%20Pictures/Product%20Pictures%20Big%20fischer/W1_P_G_FIS_VW_PLUS.jpg?func=fit&bg_colour=white&trim=5&func=fit&w=1140&h=1140,https://www.fischer.it/it-it/prodotti/ancoranti-chimici/ancoranti-chimici-in-cartuccia/ancorante-chimico-fis-vw-plus
Resina a iniezione senza sostanze pericolose FIS V Zero,Fischer,Massima sicurezza per le persone e l‘ambiente. Ancorante chimico strutturale FIS V Zero per ancoraggi su calcestruzzo e muratura e per riprese di getto con resistenza al fuoco.,N/A,https://media.fischer.group/v7/_pim-media-prod_/Product%20Pictures/Product%20Pictures%20fischer/W1_P_P_558953-FIS-V-ZERO-300T-SM-DE-EN-NL-FR-IT-ES-PT_V1.jpg?func=fit&bg_colour=white&trim=5&func=fit&w=1140&h=1140,https://www.fischer.it/it-it/prodotti/ancoranti-chimici/ancoranti-chimici-in-cartuccia/resina-a-iniezione-senza-sostanze-pericolose-fis-v-zero
Ancorante chimico FIS C700 HP PRO.1 / T-BOND PRO.1,Fischer,Ancorante chimico vinilestere ibrido PRO.1 per il fissaggio in calcestruzzo fessurato e in muratura piena e forata di barre filettate soggette a carichi medio-pesanti e per la connessione di ferri di ripresa.,N/A,https://media.fischer.group/v7/_pim-media-prod_/Product%20Pictures/Product%20Pictures%20Big%20fischer/W1_P_G_TBOND-FAM-IT.jpg?func=fit&bg_colour=white&trim=5&func=fit&w=1140&h=1140,https://www.fischer.it/it-it/prodotti/ancoranti-chimici/ancoranti-chimici-in-cartuccia/ancorante-chimico-fis-c700-hp-pro-1-t-bond-pro-1
Ancorante chimico FIS VE,Fischer,Resina vinilestere ibrida senza stirene per il fissaggio in calcestruzzo non fessurato e muratura piena e forata di barre filettate soggette a carichi medi.,N/A,https://media.fischer.group/v7/_pim-media-prod_/Product%20Pictures/Product%20Pictures%20Big%20fischer/W1_P_G_1573737064_FIS_VE.jpg?func=fit&bg_colour=white&trim=5&func=fit&w=1140&h=1140,https://www.fischer.it/it-it/prodotti/ancoranti-chimici/ancoranti-chimici-in-cartuccia/ancorante-chimico-fis-ve
Ancorante chimico FIS P PLUS,Fischer,Resina a iniezione in poliestere ibrido senza stirene certificata per ancoraggi in muratura e calcestruzzo non fessurato per carichi leggeri,N/A,https://media.fischer.group/v7/_pim-media-prod_/Product%20Pictures/Product%20Pictures%20Big%20fiit/W1_P_G_FIS_P-PLUS_IT.jpg?func=fit&bg_colour=white&trim=5&func=fit&w=1140&h=1140,https://www.fischer.it/it-it/prodotti/ancoranti-chimici/ancoranti-chimici-in-cartuccia/ancorante-chimico-fis-p-plus
Sistema chimico Highbond FIS HB + FHB dyn,Fischer,Resina vinilestere a iniezione FIS HB da combinare con barre multicono FHB-A dyn per fissaggi soggetti a carichi dinamici.,N/A,https://media.fischer.group/v7/_pim-media-prod_/Product%20Pictures/Product%20Pictures%20Big%20fiit/W1_P_G_FIS-HB_IT_V1.jpg?func=fit&bg_colour=white&trim=5&func=fit&w=1140&h=1140,https://www.fischer.it/it-it/prodotti/ancoranti-chimici/ancoranti-chimici-in-cartuccia/sistema-chimico-highbond-fis-hb-fhb-dyn
