name,brand,description,price,image_url,product_page_url
Perforatore TE 2-M,Hilti,Martello perforatore SDS Plus (TE-C) compatto multifunzione a tre modalità - per perforazione con e senza percussione,N/A,https://productdata.hilti.com/APQ_HC_f600/12335.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r3684
Perforatore a batteria TE 2-22,Hilti,Perforatore a batteria SDS compatto e leggero con impugnatura pistola per una migliore maneggevolezza in caso di applicazioni di perforazione sopraelevata (piattaforma della batteria Nuron),N/A,https://productdata.hilti.com/APQ_HC_f600/L127971_v1.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r13250310
Perforatore TE 3-C,Hilti,"Potente perforatore elettrico SDS plus a tre modalità per perforazione a percussione, perforazione solo rotante e scalpellatura",N/A,https://productdata.hilti.com/APQ_HC_f600/L076965_V1.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r5269003
Perforatore TE 3-M,Hilti,Potente perforatore multifunzione con impugnatura a pistola e a triplice modalità SDS Plus (TE-C) con funzione di scalpellatura,N/A,https://productdata.hilti.com/APQ_HC_f600/L076962_V1.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r5269167
Perforatore a batteria TE 4-22,Hilti,Perforatore a batteria SDS Plus compatto con il miglior rapporto prestazioni/peso per la perforazione sopratesta (piattaforma a batteria Nuron),N/A,https://productdata.hilti.com/APQ_HC_f600/L126028.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r13250308
Perforatore a batteria TE 5-22,Hilti,"Potente trapano perforatore a percussione rotante SDS Plus con corpo lungo e impugnatura a vanga, ideale per la foratura verso il basso (piattaforma a batteria Nuron)",N/A,https://productdata.hilti.com/APQ_HC_f600/L147409.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r17816054
Perforatore a batteria TE 6-22,Hilti,"Perforatore a batteria versatile SDS Plus con ampio raggio di foratura, funzione di scalpellatura e mandrino a cambio rapido (piattaforma a batteria Nuron)",N/A,https://productdata.hilti.com/APQ_HC_f600/L126047.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r13250305
Perforatore TE 6-CL,Hilti,Potente perforatore con impugnatura a D SDS Plus (TE-C) con funzione di scalpellatura,N/A,https://productdata.hilti.com/APQ_HC_f600/L124747.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r12818102
Perforatore a batteria TE 30-22,Hilti,3.9 kg,N/A,https://productdata.hilti.com/APQ_HC_f600/L126015_v1.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r10481228
Combinato TE 30-ATC/AVR,Hilti,"Perforatore SDS plus (TE-C) potente per forature intense e scalpellature correttive nel calcestruzzo, con Active Torque Control (ATC, regolazione attiva della coppia) e Active Vibration Reduction (AVR, Sistema di Riduzione delle Vibrazioni)",N/A,https://productdata.hilti.com/APQ_HC_f600/L062670.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r2856406
Combinato te 30 AVR,Hilti,"Potente perforatore SDS Plus (TE-C) per foratura intensiva e scalpellatura correttiva nel calcestruzzo, con Active Vibration Reduction (AVR)",N/A,https://productdata.hilti.com/APQ_HC_f600/L093129.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r6848759
Combinato TE30,Hilti,Potente perforatore combinato SDS Plus (TE-C) per perforazioni intense nel calcestruzzo,N/A,https://productdata.hilti.com/APQ_HC_f600/L093120.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r6848760
Perforatore a batteria TE 50-22,Hilti,"Perforatore compatto e cordless SDS Max (TE-Y) con peso ridotto, maggiore potenza e minori vibrazioni per la foratura e la scalpellatura nel calcestruzzo (batteria Nuron)",N/A,https://productdata.hilti.com/APQ_HC_f600/L600146.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r17417546
Perforatore a batteria TE 60-22,Hilti,Potente perforatore cordless SDS Max (TE-Y) con AVR - Sistema di Riduzione delle Vibrazioni e ATC - Regolazione Attiva della Coppia per la perforazione e la scalpellatura ad uso intensivo del calcestruzzo (Nuron),N/A,https://productdata.hilti.com/APQ_HC_f600/L125199.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r13250315
Perforatore TE 60-AVR,Hilti,"Perforatore SDS Max (TE-Y) versatile e potente per la foratura e scalpellatura intensiva nel calcestruzzo, con Active Vibration Reduction (AVR)",N/A,https://productdata.hilti.com/APQ_HC_f600/L086709.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r5715159
Combinato TE 60-ATC-AVR,Hilti,"Perforatore SDS Max (TE-Y) versatile e potente per forature e scalpellature nel cemento armato, con Active Vibration Reduction (AVR, regolazione attiva della coppia) e Active Torque Control (ATC, sistema di riduzione delle vibrazioni)",N/A,https://productdata.hilti.com/APQ_HC_f600/L086705.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r5731031
Combinato TE 70/ATC,Hilti,Perforatore molto potente SDS Max (TE-Y) per foratura e scalpellatura intensiva nel calcestruzzo,N/A,https://productdata.hilti.com/APQ_HC_f600/L117618.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r6851673
Perforatore a batteria TE 2-A22,Hilti,"Perforatore cordless compatto, leggero, da 22 V per una maneggevolezza superiore",N/A,https://productdata.hilti.com/APQ_HC_f600/79364.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r5405
Perforatore a batteria TE 4-A22,Hilti,Perforatore cordless da 22 V compatto con maniglia a D per una superiore maneggevolezza nelle applicazioni in serie,N/A,https://productdata.hilti.com/APQ_HC_f600/L63554.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r3159232
Perforatore a batteria TE 6-A22,Hilti,"Potente perforatore a batteria da 22V con impugnatura a D, per maggiori prestazioni di foratura in calcestruzzo e di scalpellatura leggera",N/A,https://productdata.hilti.com/APQ_HC_f600/L096767.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r6881579
Perforatore a batteria TE 6-A36,Hilti,Perforatore cordless da 36 V versatile e per prestazioni superiori,N/A,https://productdata.hilti.com/APQ_HC_f600/L083721.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r4694033
Combinato a batteria TE 30-A36,Hilti,"Perforatore combinato a batteria ad elevate prestazioni, provvisto di motore brushless e ATC (Controllo attivo della coppia)",N/A,https://productdata.hilti.com/APQ_HC_f600/L097056.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r7492564
Combinato te 50 AVR,Hilti,"Il nostro perforatore SDS Max (TE-Y) più compatto, per un comfort e un controllo leggeri durante la foratura o la scalpellatura di calcestruzzo, pietra e muratura",N/A,https://productdata.hilti.com/APQ_HC_f600/L086730.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r4902202
Combinato  TE 70-AVR,Hilti,"Potentissimo perforatore SDS Max (TE-Y) per foratura e scalpellatura intensiva nel calcestruzzo, con Active Vibration Reduction (AVR)",N/A,https://productdata.hilti.com/APQ_HC_f600/L059823.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125/r1021413
Martello demolitore TE 300-AVR SDS-Plus,Hilti,Martello demolitore SDS Plus (TE-C) molto leggero per correzioni di superfici nel calcestruzzo e muratura,N/A,https://productdata.hilti.com/APQ_HC_f600/24962.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_DEMOLITION_HAMMER_BREAKER_SUB_7125/r1038488
Martello demolitore cordless TE 500-22 SDS-Max,Hilti,"Martello demolitore cordless SDS Max (TE-Y) per la scalpellatura in calcestruzzo o muratura, con Sistema di Riduzione delle Vibrazioni (Active Vibration Reduction) (piattaforma batteria Nuron)",N/A,https://productdata.hilti.com/APQ_HC_f600/L125974.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_DEMOLITION_HAMMER_BREAKER_SUB_7125/r13250321
Martello demolitore TE 500-AVR SDS-Max,Hilti,"Martello demolitore versatile SDS Max (TE-Y) per una scalpellatura leggera nel calcestruzzo e muratura, con Sistema di Riduzione delle Vibrazioni (AVR, Active Vibration Reduction)",N/A,https://productdata.hilti.com/APQ_HC_f600/L104291.jpg,https://www.hilti.it/c/CLS_POWER_TOOLS_7125/CLS_DEMOLITION_HAMMER_BREAKER_SUB_7125/r7770032
