name,brand,description,price,image_url,product_page_url
Pantalone Corto Jeans da Lavoro elasticizzati Nimes Colore Grigio Taglia M - Kapriol,Kapriol,"Il Pantalone Corto Jeans da Lavoro Elasticizzati Nimes di Kapriol, taglia M e colore grigio, è progettato per offrire comfort e praticità nei mesi più caldi o durante attività lavorative intense. Questi pantaloni sono realizzati in tessuto jeans elasticizzato, che fornisce una libertà di movimento eccezionale e adatta a varie attività lavorative. Il colore grigio è scelto per la sua capacità di mascherare efficacemente sporco e macchie, mantenendo un aspetto più pulito per tutta la giornata. Dotati di tasche spaziose, questi pantaloni corti sono ideali per chi necessita di avere strumenti a portata di mano, migliorando l'efficienza sul lavoro.",N/A,https://adipietro.it/3272-large_default/pantalone-jeans-nimes-corto-grigio-m.jpg,https://adipietro.it/bermuda/4622-pantalone-jeans-nimes-corto-grigio-m-8019190368908.html
Kit Anticaduta per Ponteggio con Imbracatura tutta la dotazione di base per il lavoro in quota e su ponteggi - Kapriol,Kapriol,"Il Kit Anticaduta per Ponteggio di Kapriol è un sistema completo di sicurezza per lavori in altezza, ideale per la protezione individuale nei cantieri. Il kit include un casco di protezione per la testa, una imbracatura ergonomicamente progettata per distribuire il peso in modo sicuro, una fettuccia anticaduta con dissipatore di energia per mitigare gli effetti di una caduta, e un pratico zaino per trasportare e conservare l'equipaggiamento. Questo kit è essenziale per garantire la massima sicurezza del lavoratore, combinando comfort e protezione in situazioni di rischio.",N/A,https://adipietro.it/855-large_default/kit-per-ponteggi-casco-cintura-cordino-zaino.jpg,https://adipietro.it/imbracature-di-sicurezza/4393-kit-per-ponteggi-casco-cintura-cordino-zaino-8019190279709.html
Pile da Lavoro Wolf Colore Nero Taglia M - Kapriol,Kapriol,"Il Pile Wolf di Kapriol, in taglia M e colore Nero, combina stile e funzionalità per offrire un indumento essenziale per chi lavora all'aperto o per chi desidera comfort nel tempo libero. Questo pile è realizzato con un tessuto morbido e caldo che offre eccellente isolamento termico, ideale per mantenere la temperatura corporea nelle giornate fredde. Il design sobrio e il colore nero lo rendono facilmente abbinabile con altri capi di abbigliamento, sia casual che da lavoro. Durevole e pratico, è dotato di finiture di qualità che garantiscono una lunga durata e resistenza all'usura quotidiana.",N/A,https://adipietro.it/603-large_default/pile-da-lavoro-wolf-colore-nero-taglia-m-kapriol.jpg,https://adipietro.it/pile/4425-pile-da-lavoro-wolf-colore-nero-taglia-m-kapriol.html
Pantalone da Lavoro Slick Colore Grigio/Nero Taglia L - Kapriol,Kapriol,"Il Pantalone Slick di Kapriol in colore Grigio/Nero taglia L è progettato per offrire comfort e durabilità nel lavoro quotidiano. Realizzato con tessuti resistenti e cuciture rinforzate, questo pantalone è ideale per professionisti in vari settori come l'edilizia, la manutenzione e il giardinaggio. La combinazione di colore grigio e nero non solo aggiunge uno stile versatile ma aiuta anche a mascherare lo sporco e l'usura giornaliera. Dotato di numerose tasche funzionali, permette di tenere gli strumenti sempre a portata di mano. La vestibilità è studiata per garantire la massima mobilità e comfort durante le attività lavorative intense.",N/A,https://adipietro.it/3984-large_default/pantalone-slick-grigio-nero-l.jpg,https://adipietro.it/pantaloni-da-lavoro/11796-pantalone-slick-grigio-nero-l-8019190366621.html
Coppia Soletta Sottopiede Gel Taglie da  45/47 - Kapriol,Kapriol,"Scopri il massimo del comfort con le Solette Sottopiede in Gel taglia 45/47 di Kapriol. Progettate per assicurare un supporto eccellente e alleviare lo stress sui piedi durante lunghe ore di attività, queste solette in gel sono ideali per chiunque abbia bisogno di un extra comfort. Perfette per l'uso quotidiano, riducono l'impatto su talloni, caviglie e ginocchia, migliorando la distribuzione del peso e la postura. Adatte a qualsiasi tipo di scarpa, le solette Kapriol offrono una soluzione duratura per mantenere i tuoi piedi freschi e riposati.",N/A,https://adipietro.it/1617-large_default/coppia-sottopiede-gel-45-47.jpg,https://adipietro.it/scarpe/4672-coppia-sottopiede-gel-45-47-8019190421153.html
Mazzetta  da Muratore manico fisso 1200 gr - Kapriol,Kapriol,"La mazzetta da muratore con manico fisso da 1200 gr di Kapriol è lo strumento ideale per tutti i lavoratori edili e muratori che necessitano di un utensile resistente e di alta qualità per svolgere le proprie attività con precisione e sicurezza.
Realizzata con materiali di prima scelta, questa mazzetta garantisce una durata nel tempo e una robustezza eccellente. Il manico fisso assicura una presa salda e comoda durante l'uso, facilitando così il lavoro dell'utente.
Con un peso di 1200 gr, questa mazzetta è perfetta per piccoli interventi di muratura e per la posa di mattoni e cemento. Grazie al marchio Kapriol, sinonimo di affidabilità e competenza nel settore degli utensili da lavoro, potrai essere sicuro di acquistare un prodotto di altissima qualità.",N/A,https://adipietro.it/4880-large_default/mazzetta-da-muratore-fissa-1200-gr-kapriol.jpg,https://adipietro.it/martelli-e-mazzette/12115-mazzetta-da-muratore-fissa-1200-gr-kapriol-8019190101512.html
Cordino Anticaduta un Connettore con Assorbitore - Kapriol,Kapriol,"Il Cordino Anticaduta di Kapriol è equipaggiato con un connettore e un assorbitore di energia, progettato per offrire massima sicurezza durante il lavoro in altezza. Questo dispositivo è essenziale per prevenire infortuni gravi in caso di caduta, riducendo significativamente le forze d'impatto trasmesse all'utente. Il cordino è realizzato con materiali di alta qualità che assicurano durabilità e resistenza agli agenti atmosferici. L'assorbitore di energia integrato si attiva in caso di caduta, estendendosi per dissipare l'energia e minimizzare il rischio di lesioni. Il connettore, compatibile con vari punti di ancoraggio, garantisce un aggancio sicuro e rapido, facilitando l'uso in diverse situazioni lavorative.",N/A,https://adipietro.it/3182-large_default/cordino-con-assorbitorecon-1-connettore.jpg,https://adipietro.it/imbracature-di-sicurezza/4382-cordino-con-assorbitorecon-1-connettore-8019190279488.html
Pantaloni da lavoro lunghi Leggeri Kavir Colore Grigio - Nero Taglia M - Kapriol,Kapriol,"Il Pantalone da Lavoro Kavir di Kapriol, in taglia M e colore Grigio/Nero, è progettato per professionisti che richiedono durabilità e comfort. Questi pantaloni sono ideali per ambienti lavorativi esigenti grazie alla loro resistenza all'usura e alle numerose tasche funzionali che offrono spazio ampio per strumenti e accessori. Il design bicolore non solo aggiunge un tocco estetico ma migliora anche la visibilità del lavoratore. Realizzati con materiali di alta qualità, i pantaloni Kavir assicurano libertà di movimento e sono adatti per un uso prolungato in diverse condizioni lavorative.",N/A,https://adipietro.it/2717-large_default/pantalone-kavir-grigio-nero-m.jpg,https://adipietro.it/pantaloni-da-lavoro/8588-pantalone-kavir-grigio-nero-m-8019190355717.html
Cannello Bruciatore a Gas Professionale Standard - Kapriol,Kapriol,"Kit cannello professionale basic
CANNELLO BRUCIATORE A GAS
Cannello bruciatore a gas per l'applicazione di membrane bitumose in grado di garantire un'ottima resa grazie alla leva di apertura rapida con rubinetto pilota per la corretta regolazione del gas.
Il kit basic con cannello professionale è dotato di molla salva tubo per evitare pieghe che possono causare rotture. La valvola di regolazione della pressione del sistema di impermeabilizzazione in ottone va da 0 a 4 bar e ha una portata di 10 kg/h.",N/A,https://adipietro.it/3240-large_default/cannello-profstandard.jpg,https://adipietro.it/utensili-manuali/4586-cannello-profstandard-8019190326328.html
Pantalone da Lavoro Lungo con Tasche Smart Colore Beige - Nero Taglia XXL - Kapriol,Kapriol,"Il Pantalone da Lavoro Lungo con Tasche Smart di Kapriol, in taglia XXL e nei colori beige con dettagli nero, combina funzionalità avanzata e stile per i professionisti che cercano efficienza e comfort. Questi pantaloni sono realizzati con un tessuto resistente e durevole, ideali per ambienti di lavoro impegnativi o per attività all'aperto. La taglia XXL offre una vestibilità comoda e spaziosa, permettendo una libertà di movimento ottimale. Le tasche smart sono progettate per un accesso facile e sicuro a strumenti e accessori, migliorando l'organizzazione e la produttività sul lavoro. Il design elegante in beige e nero offre un look professionale e versatile, facile da abbinare con altre attrezzature da lavoro.",N/A,https://adipietro.it/2587-large_default/pantalone-smart-beige-nero-tg-xxl.jpg,https://adipietro.it/pantaloni-da-lavoro/4554-pantalone-smart-beige-nero-tg-xxl-8019190317531.html
