name,brand,description,price,image_url,product_page_url
Keracem Eco,Kerakoll,"Legante idraulico minerale certificato, a presa normale e asciugamento rapido per massetti e piastre radianti ad alta resistenza.",N/A,https://products.kerakoll.com/yep-repository/kerakoll/media/transform/K-Keracem_Eco-19-fnt-IT.jpg?w=880&h=880,https://products.kerakoll.com/it-IT/p/keracem-eco
Keracem Eco Pronto,Kerakoll,"Massetto pronto minerale certificato, a presa normale e rapido asciugamento per la posa con adesivi.",N/A,https://products.kerakoll.com/yep-repository/kerakoll/media/transform/K-Keracem-Pronto-22-IT.jpg?w=880&h=880,https://products.kerakoll.com/it-IT/p/keracem-eco-pronto
Keracem Eco Prontoplus,Kerakoll,"Massetto pronto minerale certificato, fibrorinforzato a presa normale e rapido asciugamento per la posa con adesivi.",N/A,https://products.kerakoll.com/yep-repository/kerakoll/media/transform/K-Keracem_Eco_Prontoplus-19-fnt-IT.jpg?w=880&h=880,https://products.kerakoll.com/it-IT/p/keracem-eco-prontoplus
Massetto Premix,Kerakoll,"Massetto pronto minerale a consistenza terra umida, a presa normale e rapido asciugamento per la posa con adesivi.",N/A,https://products.kerakoll.com/yep-repository/kerakoll/media/transform/K-Massetto-Premix-19-IT.jpg?w=880&h=880,https://products.kerakoll.com/it-IT/p/massetto-premix
Keralevel Eco LR,Kerakoll,"Livellante minerale certificato, rapido per la rettifica ad alta resistenza ed elevato spessore di fondi irregolari.",N/A,https://products.kerakoll.com/yep-repository/kerakoll/media/transform/K-Keralev-Eco-LR-20-IT.jpg?w=880&h=880,https://products.kerakoll.com/it-IT/p/keralevel-eco-lr
Keralevel Eco Ultra,Kerakoll,"Livellante minerale certificato, ultrarapido per la rettifica ad alta resistenza ed elevato spessore di fondi irregolari.",N/A,https://products.kerakoll.com/yep-repository/kerakoll/media/transform/K-Keralev_Eco_Ultra-19-fnt-IT.jpg?w=880&h=880,https://products.kerakoll.com/it-IT/p/keralevel-eco-ultra
Keralevel Eco,Kerakoll,"Livellante minerale certificato, tixotropico a presa normale per la rettifica ad alta resistenza e lavorabilità prolungata, di fondi irregolari.",N/A,https://products.kerakoll.com/yep-repository/kerakoll/media/transform/K-Keralevel_Eco-19-fnt-IT.jpg?w=880&h=880,https://products.kerakoll.com/it-IT/p/keralevel-eco
Keralevel Eco RP,Kerakoll,Rasante organico minerale per fondi assorbenti compatti e inassorbenti.,N/A,https://products.kerakoll.com/yep-repository/kerakoll/media/transform/K-Keralevel-Eco-RP-19-fnt-IT.jpg?w=880&h=880,https://products.kerakoll.com/it-IT/p/keralevel-eco-rp
Planogel Rheo,Kerakoll,Gel‑autolivellante a reologia e viscosità variabili. Lavorabilità prolungata e tempi di attesa per la posa ridotti.,N/A,https://products.kerakoll.com/yep-repository/kerakoll/media/transform/K-Planogel-Rheo-21-IT.jpg?w=880&h=880,https://products.kerakoll.com/it-IT/p/planogel-rheo
Flowtech Klima,Kerakoll,"Fondo di posa autolivellante per il comfort termico, ideale per qualsiasi tipologia di impianto radiante.",N/A,https://products.kerakoll.com/yep-repository/kerakoll/media/transform/K-Flowtech-Klima-21-IT.jpg?w=880&h=880,https://products.kerakoll.com/it-IT/p/flowtech-klima
