name,brand,description,price,image_url,product_page_url
"Aquapanel Outdoor 12,5 mm",Knauf,"Lastra in cemento fibrorinforzato per pareti esterne, facciate ventilate e ambienti a diretto contatto con acqua.",N/A,https://s7g10.scene7.com/is/image/knauf/468634-Lastra-Aquapanel-Outdoor?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/aquapanel-outdoor-12-5-mm-11077_0081
Danotile R.U.,Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T a vista,N/A,https://s7g10.scene7.com/is/image/knauf/56511-Danotile-R-U-Soffitti?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/danotile-r.u.-10866_0081
"Lastra Diamant (DFHIR) 12,5 mm",Knauf,Lastra in gesso rivestito con fibre minerali per altissima resistenza meccanica,N/A,https://s7g10.scene7.com/is/image/knauf/515940-Lastra-Diamant?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/lastra-diamant-dfhir-12-5-mm-10027_0081
"Lastra GKB Advanced 12,5 mm",Knauf,"Lastra in gesso rivestito leggera, con innovativa tecnologia Li-Tek",N/A,https://s7g10.scene7.com/is/image/knauf/683188-Lastra-GKB-Advanced?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/lastra-gkb-advanced-12-5-mm-23940_0081
CLT C1 THERMAL,Knauf,Doga rigida isolante in lana minerale di roccia lamellare con primer su un lato e bordi smussati,N/A,https://s7g10.scene7.com/is/image/knauf/CLT_C1_Thermal?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/clt-c1-thermal-23148_4062
FKD RS,Knauf,Pannello rigido in lana minerale di roccia senza rivestimento,N/A,https://s7g10.scene7.com/is/image/knauf/FKD_RS?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/fkd-rs-26240_4062
SmartRoof XTRA,Knauf,Pannello rigido isolante in lana minerale senza rivestimento,N/A,https://s7g10.scene7.com/is/image/knauf/KI_SMARTROOF_XTRA?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/smartroof-xtra-29500_4062
TP 432 KD,Knauf,Pannello isolante in lana minerale rivestito con velo vetro bio-based su un lato,N/A,https://s7g10.scene7.com/is/image/knauf/TP_432_KD?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/tp-432-kd-21540_4062
TOPIQ Efficient Pro Hygena 20,Knauf,Pannello in lana di roccia per controsoffitti modulari,N/A,https://s7g10.scene7.com/is/image/knauf/721739-Topiq-Efficent-PRO-Hygena-Soffitti?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/topiq-efficient-pro-hygena-20-13777_0081
AQUAPANEL® Basecoat,Knauf,Rasante cementizio per lastre Aquapanel,N/A,https://s7g10.scene7.com/is/image/knauf/545329-Aquapanel-Exteriori-Basecoat-Cappotto?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/aquapanel-r-basecoat-11086_0081
Tribon,Knauf,Massetto fluido premiscelato per interni,N/A,https://s7g10.scene7.com/is/image/knauf/705040-Massetto-Autolivellante-Tribon-Sottofondi?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/tribon-22070_0081
Fugenfüller Advanced,Knauf,"Stucco in polvere a base di gesso per la stuccatura dei giunti. Spiccato punto di bianco, livello Q4",N/A,https://s7g10.scene7.com/is/image/knauf/715872-Stucco-Fugenfuller-Advanced?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/fugenfuller-advanced-21626_0081
"Profilo montante C 50/75/50 sp. 0,6 mm",Knauf,"Orditura metallica per la realizzazione di pareti, contropareti e controsoffitti autoportanti",N/A,https://s7g10.scene7.com/is/image/knauf/24587-Profilo-Montante-C-50-75-50?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/profilo-montante-c-50-75-50-sp.-0-6-mm-10096_0081
Serie KS38 Profilo portante T 24/38,Knauf,Orditura metallica per la realizzazione di controsoffitti modulari ispezionabili,N/A,https://s7g10.scene7.com/is/image/knauf/453222-Profilo-Portante-KS38-Linea-24-A-Soffitti?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/serie-ks38-profilo-portante-t-24-38-11982_0081
Autolivellina NE 425 Advanced,Knauf,Massetto autolivellante a basso spessore per impianti radianti,N/A,https://s7g10.scene7.com/is/image/knauf/Massetti-Advanced-Poduct-NE425-Livellina-IMG-2?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/autolivellina-ne-425-advanced-10215_0081
Massetto fluido FE 80 Termico Advanced,Knauf,Massetto fluido premiscelato per interni ad alta conducibilità termica,N/A,https://s7g10.scene7.com/is/image/knauf/Massetti-Advanced-Poduct-FE80-IMG-2?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/massetto-fluido-fe-80-termico-advanced-10211_0081
Lastra Fireboard 25 mm,Knauf,Lastra antifuoco in gesso rinforzato con fibre di vetro,N/A,https://s7g10.scene7.com/is/image/knauf/52457-Lastra-Fireboard?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/lastra-fireboard-25-mm-10085_0081
"Lastra Kasa 12,5 mm",Knauf,Lastra in gesso rivestito per neutralizzazione degli agenti inquinanti nell'aria,N/A,https://s7g10.scene7.com/is/image/knauf/499434-Lastra-Kasa?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/lastra-kasa-12-5-mm-22493_0081
"Lastra Silentboard 12,5 mm",Knauf,Lastra in gesso rivestito per isolamento acustico,N/A,https://s7g10.scene7.com/is/image/knauf/413483-Lastra-Silentboard?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/lastra-silentboard-12-5-mm-10033_0081
"Lastra Vidiwall 12,5 mm",Knauf,Lastra in gessofibra per la massima resistenza meccanica e isolamento acustico,N/A,https://s7g10.scene7.com/is/image/knauf/545812-Lastra-Vidiwall-XL?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/lastra-vidiwall-12-5-mm-10091_0081
Deciwool,Knauf,Pannello arrotolato in lana minerale di vetro senza rivestimento con ECOSE® Technology,N/A,https://s7g10.scene7.com/is/image/knauf/vetro-NUDO-Ecose-Ultracoustic-R-13?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/deciwool-29004_4062
Naturoll PLUS,Knauf,Rotolo isolante in lana minerale di vetro senza rivestimento con ECOSE® Technology,N/A,https://s7g10.scene7.com/is/image/knauf/vetro-NUDO-Ecose-Naturoll-6?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/naturoll-plus-26561_4062
SmartWall N C1,Knauf,Pannello rigido isolante in lana minerale di roccia con primer su un lato,N/A,https://s7g10.scene7.com/is/image/knauf/ETICS-con-primer-SmartWall-SC1-7?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/smartwall-n-c1-26789_4062
Venti Pro,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,N/A,https://s7g10.scene7.com/is/image/knauf/roccia-nudo-%28NO-ECOSE%29-SrmarRoof-thermal-3?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/venti-pro-26569_4062
THERMATEX® Alpha One 24,Knauf,Pannello in fibra minerale per controsoffitti modulari,N/A,https://s7g10.scene7.com/is/image/knauf/713577-Alpha-One-Soffitti?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/thermatex-r-alpha-one-24-27107_0081
SM 700,Knauf,Rasante collante per sistema cappotto termico,N/A,https://s7g10.scene7.com/is/image/knauf/545325-Rasante-SM-700-Cappotto?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/sm-700-10297_0081
Super finish,Knauf,Stucco pronto in pasta a base gesso per la rasatura delle lastre in cartongesso,N/A,https://s7g10.scene7.com/is/image/knauf/634078-Stucco-Super-Finish?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/super-finish-11410_0081
Uniflott,Knauf,Stucco in polvere per la stuccatura dei giunti tra le lastre in cartongesso,N/A,https://s7g10.scene7.com/is/image/knauf/Empty%20space%20-%20PDP%20and%20Product%20Catalogue%20-%20white%20background?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/uniflott-10132_0081
Superlivellina NE 499 Advanced,Knauf,Massetto autolivellante a bassissimo spessore per impianti radianti,N/A,https://s7g10.scene7.com/is/image/knauf/Massetti-Advanced-product-NE-499-IMG-2?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/superlivellina-ne-499-advanced-22753_0081
Ganci e clip,Knauf,Accessori per orditure metalliche,N/A,https://s7g10.scene7.com/is/image/knauf/529520-Gancio-Unione-Ortogonale-Accessori?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/ganci-e-clip-10316_0081
Pendini e ganci Nonius,Knauf,Accessori per sistema di sospensioni Nonius,N/A,https://s7g10.scene7.com/is/image/knauf/805618-Raccordo-a-Croce-Sismico-Accessori?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/pendini-e-ganci-nonius-12571_0081
Nastro microforato Kurt,Knauf,Accessori per la stuccatura dei giunti,N/A,https://s7g10.scene7.com/is/image/knauf/99381-Nastro-Microforato-Kurt-Accessori?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/nastro-microforato-kurt-10435_0081
"Idrolastra GKI (H) 12,5 mm",Knauf,Lastra in gesso rivestito a ridotto assorbimento di umidità,N/A,https://s7g10.scene7.com/is/image/knauf/207305-Lastra-GKI?fit=wrap&fmt=webp&wid=771,/it-IT/p/prodotto/idrolastra-gki-h-12-5-mm-10004_0081
