name,brand,description,price,image_url,product_page_url
MANDRINI AUTOSERRANTI - RIVESTITI NYLON,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_0820_0101280001.jpg,N/A
MANDRINI AUTOSERRANTI - METALLO/NYLON,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_7298_93801_cat_.jpg,N/A
MANDRINI A CREMAGLIERA - CON CHIAVE,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_0822_0101280003.jpg,N/A
CHIAVI PER MANDRINI,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_0823_0101280004.jpg,N/A
MANDRINI A CREMAGLIERA CON ADATTATORE SDS-PLUS - CON CHIAVE,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_7081_93808-cat.jpg,N/A
MANDRINO AUTOSERRANTE ATTACCO 1/4,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_5914_82880_cat.jpg,N/A
SCALPELLI SDS-PLUSPunta,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/WEB/MOD_15492_88536_img _web.jpg,N/A
SCALPELLI SDS-PLUSTaglio,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/WEB/MOD_15493_88538_img _web.jpg,N/A
SCALPELLI SDS-PLUSTaglio piegato,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/WEB/MOD_15496_89115_img _web.jpg,N/A
SCALPELLI SDS-PLUS - SET 3 PEZZI,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_15500_88713_cat.jpg,N/A
ADATTATORI SDS-PLUS,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_7296_88535_cat.jpg,N/A
SCALPELLI SDS-MAXPunta,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/WEB/MOD_15506_88540_img _web.jpg,N/A
SCALPELLI SDS-MAXTaglio,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/WEB/MOD_15507_88542_img _web.jpg,N/A
SCALPELLI SDS-MAXTaglio piegato,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/WEB/MOD_15505_89120_img _web.jpg,N/A
ADATTATORE DA ATTACCO SDS-MAX A SDS-PLUS,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_15502_89123_cat.jpg,N/A
ASSORTIMENTI PUNTE HSS - 19 PEZZISELECTOR,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_0387_0101310002.jpg,N/A
ASSORTIMENTI PUNTE HSS+WIDIA - 19 PEZZISELECTOR,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_0388_0101310003.jpg,N/A
MECCHIA A SPADA,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6842_50399-cat.jpg,N/A
SET MINISMERIGLIATRICE,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_5341_99851_CAT.jpg,N/A
SET MINISMERIGLIATRICE,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_5342_99852_CAT.jpg,N/A
FRESA CONICA IN ACCIAIO HSS,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6548_50383_cat.jpg,N/A
LIMA ROTATIVA CILINDRICA,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6669_50424_cat.jpg,N/A
LIMA ROTATIVA CONICA,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6670_50425_cat.jpg,N/A
LIMA ROTATIVA CILINDRICA PUNTA BOMBATA,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6671_50426_cat.jpg,N/A
LIMA ROTATIVA SFERICA,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6672_50427_cat.jpg,N/A
LIMA ROTATIVA CON PUNTA HSS,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6560_50428_cat.jpg,N/A
RASPA ROTATIVA CILINDRICA,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6673_50429_cat.jpg,N/A
RASPA ROTATIVA CONICA,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6674_50430_cat.jpg,N/A
RASPA ROTATIVA SFERICA,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6675_50431_cat.jpg,N/A
RASPA ROTATIVA PER SVASARE,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6676_50432_cat.jpg,N/A
RASPA ROTATIVA CON PUNTA HSS,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6565_50433_cat.jpg,N/A
ASSORTIMENTO LIME E RASPE ROTATIVE,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6677_50434_cat.jpg,N/A
SVASATORE IN ACCIAIO HSS,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6553_50384_cat.jpg,N/A
CUFFIA CON LACCIO DI CHIUSURA,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6647_50391_cat.jpg,N/A
CUFFIA CON FISSAGGIO A STRAPPO,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6559_50393_cat.jpg,N/A
RUOTA IN TESSUTO,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6571_50394_cat.jpg,N/A
RUOTA IN TESSUTO,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6743_50395-cat.jpg,N/A
TAMPONE IN SPUGNA,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6654_50396_cat.jpg,N/A
TAMPONE IN SPUGNA CON FISSAGGIO A STRAPPO,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_6655_50397_cat.jpg,N/A
SEGHE A TAZZA HSS-BIMETAL,Maurer,N/A,N/A,https://www.maurer.ferritalia.it/archivio/CAT/MOD_1975_ART_0688_0101330001.jpg,N/A
