name,brand,description,price,image_url,product_page_url
SEGONCINI AD ARCO - TELAIO TUBOLARE,Papillon,"attacco portalama girevole
2 lame - metallo e legno",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_16494_91643_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/1131/desc/
SEGONCINI AD ARCO - TELAIO TUBOLARE,Papillon,attacco portalama girevole,N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_16490_91641_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/1132/desc/
SEGONCINI AD ARCO - TELAIO TUBOLARE,Papillon,"attacco portalama fisso
telaio tubolare con leva di tensione",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_16493_91642_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/1135/desc/
LAME DENTATURA CASTELLO - PER TAGLIO LEGNA VERDE,Papillon,N/A,N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_16497_91648_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/1133/desc/
LAME DENTATURA TRIANG. - PER TAGLIO LEGNA SECCA,Papillon,N/A,N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_16498_91653_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/1136/desc/
APPLIQUE DA PARETE PER ESTERNOGLAMOUR DUO,Papillon,"luce bidirezionale, la luce è diffusa nella parte superiore e inferiore della lampada
per esterni
alluminio pressofuso
diffusore in vetro
doppio portalampada: GU10
accessori per il fissaggio inclusi
lampada esclusa
colore Nero
grado di protezione: IP65
dimensione: 8x10,7x17,3 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_16549_86310_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/6009/desc/
APPLIQUE DA PARETE PER ESTERNOGRACE DUO,Papillon,"luce bidirezionale, la luce è diffusa nella parte superiore e inferiore della lampada
per esterni
alluminio pressofuso
diffusore in vetro
doppio portalampada: GU10
accessori per il fissaggio inclusi
lampada esclusa
colore Bianco
grado di protezione: IP65
dimensione: 6,8x7,8x16 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_16553_86312_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/6011/desc/
APPLIQUE DA PARETE PER ESTERNOELEGANT DUO,Papillon,"luce bidirezionale, la luce è diffusa nella parte superiore e inferiore della lampada
per esterni
alluminio pressofuso
diffusore in vetro
doppio portalampada: GU10
accessori per il fissaggio inclusi
lampada esclusa
colore Bianco
grado di protezione: IP65
dimensione: 6,8x7,8x16 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_16552_86311_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/6010/desc/
APPLIQUE DA SOFFITTO PER ESTERNOFINE,Papillon,"per esterni
alluminio pressofuso
diffusore policarbonato opalino
portalampada: GU10
accessori per il fissaggio inclusi
lampada esclusa
colore Nero
grado di protezione: IP65
dimensione: Ø6x10 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_15409_83858_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5769/desc/
APPLIQUE DA PARETE PER ESTERNODISTINCT,Papillon,"per esterni
alluminio pressofuso
diffusore in vetro
portalampada: GU10
accessori per il fissaggio inclusi
lampada esclusa
colore Grigio
grado di protezione: IP44
dimensione: 8,5x9,6x14,4 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_15416_83863_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5773/desc/
PLAFONIERAMEZZA LUNA,Papillon,"per esterni
alluminio pressofuso
diffusore policarbonato opalino
portalampada in ceramica: E27
accessori per il fissaggio inclusi
lampada esclusa
colore grigio scuro
grado di protezione: IP54
dimensione: 22x10,8x12,1 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_15420_83817_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5753/desc/
PLAFONIERA,Papillon,"portalampada in ceramica: E27
dimensioni: Ø27x9,5 mm
grado di protezione: IP54
corpo materiale plastico",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_15421_83856_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5768/desc/
PLAFONIERATUSCIA,Papillon,"per esterni a parete/soffitto, con gabbia
struttura in termoplastico
diffusore in vetro stampato trasparente
portalampada in ceramica: E27
accessori di montaggio inclusi
lampada esclusa
colore bianco
grado di protezione: IP44
dimensioni: 18,5x12,5x10 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_15426_83823_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5758/desc/
PLAFONIERAOVALE,Papillon,"Per esterni a parete/soffitto, con gabbia
alluminio pressofuso
diffusore in vetro stampato trasparente
portalampada in ceramica: E27
accessori per il fissaggio inclusi
lampada esclusa
colore bianco
grado di protezione: IP44
dimensione: 21,3x9,5x10,7 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_15427_83824_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5760/desc/
PLAFONIERAOVALE,Papillon,"Per esterni a parete/soffitto, con gabbia
alluminio pressofuso
diffusore in vetro stampato trasparente
portalampada in ceramica: E27
accessori per il fissaggio inclusi
lampada esclusa
colore bianco
grado di protezione: IP44
dimensione: 21,3x9,5x10,7 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_15431_83825_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5761/desc/
PLAFONIERA OVALEPALPEBRA,Papillon,"per esterni a parete/soffitto
alluminio pressofuso
diffusore in vetro stampato trasparente
portalampada in ceramica: E27
controbase e accessori di montaggio inclusi
lampada esclusa
colore nero
grado di protezione: IP44
dimensione: 21,5x10x11 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_15435_83818_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5755/desc/
PLAFONIERA OVALEPALPEBRA,Papillon,"per esterni a parete/soffitto
alluminio pressofuso
diffusore in vetro stampato trasparente
portalampada in ceramica: E27
controbase e accessori di montaggio inclusi
lampada esclusa
colore bianco
grado di protezione: IP44
dimensione: 21,5x10x11 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_15442_83819_cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5756/desc/
LANTERNA - MINI-ALTOCHARME,Papillon,"alluminio pressofuso
portalampada in ceramica: E27
controbase e accessori di montaggio inclusi
lampada non inclusa
colore nero
grado di protezione: IP43
dimensione: 14,1x18,9x31,2 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_14571_83815-cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5751/desc/
LANTERNA - MINI-BASSOCHARME,Papillon,"alluminio pressofuso
portalampada in ceramica: E27
controbase e accessori di montaggio inclusi
lampada non inclusa
colore nero
grado di protezione: IP43
dimensione: 14,1x19,1x31,2 cm",N/A,https://papillon.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_14567_83814-cat.jpg,https://papillon.ferritalia.it/dettaglio-prodotto/modello/5749/desc/
