nome,Marca,descrizione,immagine,link
Leca CLS 1400: calcestruzzo leggero strutturale,Leca,premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/LECA-CLS-1400.jpeg,https://www.leca.it/prodotti/calcestruzzi-leggeri-e-microcalcestruzzi/lecacls-1400/
Leca CLS 1600: calcestruzzo leggero strutturale,Leca,premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/LECA-CLS-1600.jpeg,https://www.leca.it/prodotti/calcestruzzi-leggeri-e-microcalcestruzzi/lecacls-1600/
Leca CLS 1800: Calcestruzzo fibrato leggero,Leca,premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/LECA-CLS-1800.jpeg,https://www.leca.it/prodotti/calcestruzzi-leggeri-e-microcalcestruzzi/lecacls-1800/
Leca Inject-L Leggero: malta premiscelata leggera,Leca,Leca Inject-L Leggero: malta premiscelata leggera per riempimenti di vuoti e intercapedini murarie,https://www.leca.it/wp-content/uploads/2024/10/LECA-INJECT-L.jpeg,https://www.leca.it/prodotti/malte-fluide-alleggerite/leca-inject-l-leggero/
Leca Inject-R Rapido: malta premiscelata leggera a rapido indurimento,Leca,Leca Inject-R Rapido: malta premiscelata leggera a rapido indurimento per riempimenti di vuoti e cavità,https://www.leca.it/wp-content/uploads/2024/10/LECA-INJECT-R.jpeg,https://www.leca.it/prodotti/malte-fluide-alleggerite/leca-inject-r-rapido/
Leca Inject-S Strutturale: malta premiscelata leggera ad alte prestazioni,Leca,Leca Inject-S Strutturale: malta premiscelata leggera ad alte prestazioni (in classe R3) per riempimenti di vuoti e cavità,https://www.leca.it/wp-content/uploads/2024/10/LECA-INJECT-S.jpeg,https://www.leca.it/prodotti/malte-fluide-alleggerite/leca-inject-s-strutturale-malta-premiscelata/
Connettore Legno Doppia Orditura: rinforzo solai in legno,Leca,connettore meccanico per consolidamento statico,https://www.leca.it/wp-content/uploads/2024/09/Connettore-Legno-Doppia-Orditura-4.png,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/connettore-legno-doppia-orditura-rinforzo-solai-in-legno/
Leca CLS 1800 CAM: calcestruzzo leggero strutturale conforme ai CAM,Leca,Premiscelato in sacco,https://www.leca.it/wp-content/uploads/2024/04/Sacco-CLS-1800-CAM-RB.jpeg,https://www.leca.it/prodotti/prodotti-cam/leca-cls-1800-cam-calcestruzzo-leggero-strutturale-conforme-ai-cam/
Mini connettore calcestruzzo,Leca,connettore meccanico per consolidamento statico,https://www.leca.it/wp-content/uploads/2024/06/Mini-Connettore-Centro-Storico.jpg.png,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/mini-connettore-calcestruzzo-rinforzo-in-basso-spessore-di-solai-latero-cemento-e-calcestruzzo/
Leca CLS 1600 CAM: calcestruzzo leggero strutturale conforme ai CAM,Leca,Premiscelato in sacco,https://www.leca.it/wp-content/uploads/2024/04/Sacco-CLS-1600-CAM-RB.jpeg,https://www.leca.it/prodotti/prodotti-cam/leca-cls-1600-cam/
