nome,marca,descrizione,immagine,link
UNIMARC SMALTO MURALE LUCIDO,San Marco,"Smalto murale superlavabile e smacchiabile a base acqua, ad effetto lucido; asciuga in fretta ed è facile da stendere, speciale per superfici soggette a frequenti pulizie.",https://egress.storeden.net/jpg/67f38d1be39ee19547383739,/product/31802939/unimarc-smalto-murale-lucido
UNIMARC DUO LEGNO,San Marco,"Impregnante cerato a base acqua, inodore e a rapida essiccazione, per interni ed esterni; protegge il tuo legno dagli agenti atmosferici e dai raggi uv, in profondità e in superficie.",https://egress.storeden.net/jpg/67f38bdbe39ee1eb2f38377e,/product/21763757/unimarc-duo-legno
SILVER CONFORT,San Marco,"Pittura lavabile, igienizzante e antimuffa, a base di ioni d'argento che creano una barriera che previene la proliferazione del 99,9% dei batteri; esente da cov e formaldeide.",https://egress.storeden.net/jpg/6808c52ee39ee1d9cbece47c,/product/21758270/silver-confort
ANTICA CALCE,San Marco,"Pittura alla calce antistatica, tiene lontano polvere e sporco, non cola ed è facile da applicare; a zero emissioni di cov, riproduce l'effetto opaco tipico della calce naturale.",https://egress.storeden.net/jpg/67ff782cbe7ea061b487b51e,/product/20248538/antica-calce
UNIMARC IMPREGNANTE LEGNO,San Marco,"Impregnante per legno a base acqua, inodore e ad alta protezione, per interni ed esterni.",https://egress.storeden.net/jpg/67f38db1be7ea07fc908009e,/product/20248452/unimarc-impregnante-legno
UNIMARC FINITURA CERATA,San Marco,"Finitura cerata per legno a base acqua; protegge il legno in superficie e lo rende impermeabile, conferendogli un gradevole effetto satinato al tatto.",https://egress.storeden.net/jpg/67f38d87be7ea05b0307ff5a,/product/20248453/unimarc-finitura-cerata
UNIMARC SMALTO MURALE SEMILUCIDO,San Marco,"Smalto murale superlavabile e smacchiabile a base acqua, ad effetto semilucido; asciuga in fretta ed è facile da stendere, speciale per superfici soggette a frequenti pulizie.",https://egress.storeden.net/jpg/67f38c86e39ee1053a383792,/product/20248672/unimarc-smalto-murale-semilucido
UNIMARC SMALTO MURALE OPACO,San Marco,"Smalto murale superlavabile e smacchiabile a base acqua, ad effetto opaco; asciuga in fretta ed è facile da stendere, speciale per superfici soggette a frequenti pulizie.",https://egress.storeden.net/jpg/67f38ccebe7ea08ded08021f,/product/20248675/unimarc-smalto-murale-opaco
SUPERCONFORT,San Marco,"Pittura traspirante, termica, anticondensa e antimuffa, a base acqua per interni; le sue microsfere di vetro cave mantengono le pareti trattate più asciutte e prive di condensa superficiale.",https://egress.storeden.net/jpg/682af8e1e39ee17bbf944d0e,/product/20777674/superconfort
MAESTRO PLUS,San Marco,"Pittura traspirante a base acqua per interni, ad elevata resa ed alta copertura; asciuga rapidamente, è facile da stendere e non schizza: ideale per applicazioni a rullo.",https://egress.storeden.net/jpg/6808c133be7ea0392150d4e8,/product/20248702/maestro-plus
