name,brand,description,price,image_url,product_page_url
SAITOR-F   3A,SAIT,"Ruota abrasiva lamellare con flangia.Corindone filled.Specifico per acciaio inox, ideale anche per acciai, acciai legati, metalli non ferrosi e loro leghe.",N/A,https://www.sait-abr.com/76055-large_default/sait-saitor-ruote-abrasive-lamellari-3a.jpg,https://www.sait-abr.com/it/saitor-f-con-flangia/456-41017-sait-saitor-ruote-abrasive-lamellari-3a.html#/34557-imballo-5/35483-grana-60/39274-prodotto-saitor_f_3a/39289-dimensioni-165_x_30
SAITAC-RL 4S,SAIT,"Carta con corindone e additivo anti-intasante, doppia resina, supporto C - al lattice - cosparsione aperta.Per lavorazioni manuali e con macchine orbitali a secco.
- Scarso effetto impanante.",N/A,https://www.sait-abr.com/76387-large_default/sait-rotolo-largo-carta-abrasiva-saitac-4s.jpg,https://www.sait-abr.com/it/gamma-completa/2464-sait-rotolo-largo-carta-abrasiva-saitac-4s.html
SAITLAM-PE   S,SAIT,"Disco abrasivo lamellare con supporto in polimero.Tela con abrasivo ceramico.
- Utilizzo professionale, lunga durata.
Consigliato utilizzo con elettroutensili ad elevata potenza.",N/A,https://www.sait-abr.com/75716-large_default/sait-topceramic-saitlam-pe.jpg,https://www.sait-abr.com/it/ceramic/380-40764-sait-topceramic-saitlam-pe.html#/34896-imballo-20/35481-grana-40/39237-dimensioni-115_x_2223/39260-prodotto-saitlam_pe_s
SAITAC-RL 6S,SAIT,"Carta con abrasivo ceramico e additivo anti-intasante, doppia resina, supporto C - al lattice - cosparsione aperta.Per lavorazioni manuali e con macchine orbitali a secco.
- Basso intasamento.",N/A,https://www.sait-abr.com/76299-large_default/sait-rotolo-largo-carta-abrasiva-saitac-6s.jpg,https://www.sait-abr.com/it/gamma-completa/2466-sait-rotolo-largo-carta-abrasiva-saitac-6s.html
SAITDIAM PAD,SAIT,N/A,N/A,https://www.sait-abr.com/76195-large_default/sait-pad-dischi-diamantati-autogrip-saitdiam-pad.jpg,https://www.sait-abr.com/it/saitdiam-pad/2765-45204-sait-pad-dischi-diamantati-autogrip-saitdiam-pad.html#/39451-diametro-100/39655-note-hard/39695-attacco-m14/40026-prodotto-saitdiam_pad
SE-FR FILO ONDULATO,SAIT,"Spazzola frontale (pennello) con filo ondulato, per utilizzo con trapano idonea per operazioni leggere di sbavatura, rimozione di scorie, ruggini in punti difficili da raggiungere.",N/A,https://www.sait-abr.com/68875-large_default/sait-spazzola-frontale-gambo-fr.jpg,https://www.sait-abr.com/it/con-gambo-per-trapano/362-45250-sait-spazzola-frontale-gambo-fr.html#/34896-imballo-20/39440-diametro_filo-030/39444-materiale_filo-acciaio/39469-dimensioni-25_x_6/40059-prodotto-se_fr_ac_30_o
SAITLAM-FK Z,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.",N/A,https://www.sait-abr.com/75872-large_default/sait-winner-saitlam-fkz.jpg,https://www.sait-abr.com/it/winner/368-40732-sait-winner-saitlam-fkz.html#/34896-imballo-20/35481-grana-40/39237-dimensioni-115_x_2223/39240-prodotto-saitlam_fk_z
PORTAROTOLI ROTOLISSIMO,SAIT,"Espositore portarotoli adatto a contenere n° 8 rotoli in grane differenti, nelle dimensioni in altezza 115/120 mm x lunghezza 50/25 m.Importante dispositivo di misurazione e strappo alla lunghezza desiderata.
Dimensioni H x L x P (cm): 174 x 40 x 45.",N/A,https://www.sait-abr.com/76224-large_default/sait-espositore-portarotoli-rotolissimo.jpg,https://www.sait-abr.com/it/espositori-e-portarotoli/2944-sait-espositore-portarotoli-rotolissimo.html
SAITLAM-FU A,SAIT,Disco abrasivo lamellare con supporto in fibra di vetro.Tela con corindone.,N/A,https://www.sait-abr.com/75868-large_default/sait-winner-saitlam-fua.jpg,https://www.sait-abr.com/it/winner/370-40742-sait-winner-saitlam-fua.html#/34896-imballo-20/35481-grana-40/39237-dimensioni-115_x_2223/39241-prodotto-saitlam_fu_a
GHIERE MOLE,SAIT,Ghiere di fissaggio per mole.,N/A,https://www.sait-abr.com/75760-large_default/sait-ghiere-fissaggio-mole.jpg,https://www.sait-abr.com/it/ghiere-mole-sait/2762-32587-sait-ghiere-fissaggio-mole.html#/34604-prodotto-kit_2_flange_per_sait_tm
SAITDIAM-CT CR CORONA CONTINUA,SAIT,"Disco professionale a corona continua di livello PREMIUM per il taglio estremamente preciso e privo di scheggiature di ceramiche smaltate, piastrelle e gres.",N/A,https://www.sait-abr.com/68352-large_default/sait-saitdiam-disco-diamantato-taglio-corona-continua-cr.jpg,https://www.sait-abr.com/it/premium/2630-45115-sait-saitdiam-disco-diamantato-taglio-corona-continua-cr.html#/34655-imballo-3/39319-diametro-115/39374-prodotto-saitdiam_ct_cr/39500-foro_centrale-2223/39504-spessore-16
SAITLAM-FU Z,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.",N/A,https://www.sait-abr.com/75869-large_default/sait-winner-saitlam-fuz.jpg,https://www.sait-abr.com/it/winner/371-40745-sait-winner-saitlam-fuz.html#/34896-imballo-20/35481-grana-40/39237-dimensioni-115_x_2223/39242-prodotto-saitlam_fu_z
SAITVEL-TP Aeromax,SAIT,"L’Aeromax System Saitvel-TP è un utensile per carteggiare a mano superfici sagomate e piane con dischi Ø 150 mm. (qualsiasi foro).Molto curati la qualità, il design ma anche e soprattutto il sistema di aspirazione delle polveri.Tutti gli adattatori sono concepiti con una multi foratura per l’aspirazione delle polveri e provvisti di attacco autogrip.La sostituzione degli adattatori è veloce, intuibile, sicura e duratura.
È composto da:
- una calotta con impugnatura ergonomica.- un adattatore piano 150 x 75 F MICRO.- un adattatore convesso 150 x 75 F MICRO.- un adattatore concavo 150 x 75 F MICRO.- una valvola di regolazione aspirazione.",N/A,https://www.sait-abr.com/76135-large_default/sait-utensili-carteggiare-mano-tp-aeromax.jpg,https://www.sait-abr.com/it/tamponi/2937-44528-sait-utensili-carteggiare-mano-tp-aeromax.html#/34538-imballo-1/39940-prodotto-saitvel_tp/39943-dimensioni-150_x_75/39944-note-fm
