name,brand,description,price,image_url,product_page_url
Aquadrain-550,Sika,N/A,N/A,N/A,https://ita.sika.com/it/edilizia/sistemi-per-coperture/accessori-per-coperture/aquadrain-550.html
Bandella rl 120,Sika,Nastro impermeabilizzante per la sigillatura di giunti perimetrali e raccordi in zone soggette a presenza di umidità,N/A,N/A,https://ita.sika.com/it/edilizia/posa-di-ceramicaepietrenaturali/nuove-costruzionieripristini/terrazzi-e-balconinuovacostruzione/bandella-rl-120.html
Ethafoam,Sika,Cordone di preriempimento per giunti,N/A,N/A,https://ita.sika.com/it/edilizia/sigillatura-e-incollaggio/trattamento-dei-giunti/giunti-in-copertura/ethafoam.html
Purigo® I-100,Sika,Impregnazione superficiale antipolvere incolore per pavimentazioni in calcestruzzo,N/A,N/A,https://ita.sika.com/it/edilizia/pavimentazioni-epareti/aree-di-stoccaggiologisticheecommerciali/antievaporanti-eantipolvere/purigo-i-100.html
Sarnafil® G 410-15 EL,Sika,MANTO SINTETICO IN PVC PER IMPERMEABILIZZAZIONE DI COPERTUREZAVORRATE E A VISTA MEDIANTE INCOLLAGGIO,N/A,N/A,https://ita.sika.com/it/edilizia/sistemi-per-coperture/coperture-praticabili/manti-sintetici-incollati/sarnafil-g-410-15el.html
Sarnafil® G 410-15 EL Felt,Sika,MANTO SINTETICO IN PVC PER L'IMPERMEABILIZZAZIONE DI COPERTURE A VISTAMEDIANTE INCOLLAGGIO TOTALE,N/A,N/A,https://ita.sika.com/it/edilizia/sistemi-per-coperture/rifacimento-coperture/coperture-in-guainabituminosa/manti-incollati/sarnafil-g-410-15elfelt.html
Sarnafil® G 410-18 EL,Sika,Manto sintetico in PVC per impermeabilizzazione di coperture zavorrate e a vista mediante incollaggio,N/A,N/A,https://ita.sika.com/it/edilizia/sistemi-per-coperture/coperture-praticabili/manti-sintetici-incollati/sarnafil-g-410-18el.html
Sarnafil® G 410-18 EL Felt,Sika,MANTO SINTETICO IN PVC PER L'IMPERMEABILIZZAZIONE DI COPERTURE A VISTA MEDIANTE INCOLLAGGIO TOTALE,N/A,N/A,https://ita.sika.com/it/edilizia/sistemi-per-coperture/rifacimento-coperture/coperture-in-guainabituminosa/manti-incollati/sarnafil-g-410-18elfelt.html
Sarnafil® S 327-15 EL,Sika,MANTO SINTETICO PER L'IMPERMEABILIZZAZIONE DI COPERTURE A VISTAFISSATE MECCANICAMENTE,N/A,N/A,https://ita.sika.com/it/edilizia/sistemi-per-coperture/rifacimento-coperture/coperture-in-mantosintetico/manti-fissati-meccanicamente/sarnafil-s-327-15el.html
Sarnafil® S 327-18 EL,Sika,MANTO SINTETICO PER L'IMPERMEABILIZZAZIONE DI COPERTURE A VISTAFISSATE MECCANICAMENTE,N/A,N/A,https://ita.sika.com/it/edilizia/sistemi-per-coperture/rifacimento-coperture/coperture-in-mantosintetico/manti-fissati-meccanicamente/sarnafil-s-327-18el.html
Sarnafil® TG 66-15,Sika,MANTO SINTETICO PER L'IMPERMEABILIZZAZIONE DI COPERTURE ZAVORRATE,N/A,N/A,https://ita.sika.com/it/edilizia/sistemi-per-coperture/coperture-praticabili/manti-sintetici-incollati/sarnafil-tg-66-15.html
