name,brand,description,price,image_url,product_page_url
Aquadrain-550,Sika,Aquadrain 550 è  uno strato di drenaggio realizzato con fibre di polipropilene (PP) ad elevata resistenza meccanica.,N/A,N/A,https://ita.sika.com/it/edilizia/sistemi-per-coperture/accessori-per-coperture/aquadrain-550.html
Bandella rl 120,Sika,Bandella rl 120 è un nastro impermeabilizzante per trattare le discontinuità durante l’applicazione di malte impermeabilizzanti cementizie.,N/A,https://sika.scene7.com/is/image/sikacs/it-02-it-IT-taperls120-01-1x1-00658815?wid=960&fit=crop%2C1&fmt=webp-alpha,https://ita.sika.com/it/edilizia/posa-di-ceramicaepietrenaturali/nuove-costruzionieripristini/terrazzi-e-balconinuovacostruzione/bandella-rl-120.html
Ethafoam,Sika,"Ethafoam è un cordone plastico preformato a sezione circolare in polietilene espanso a cellule chiuse, per il preriempimento di giunti o interstizi soggetti al successivo riempimento con prodotti sigillanti.",N/A,https://sika.scene7.com/is/image/sikacs/it-02-it-IT-ethafoam-01-1x1-00575659?wid=960&fit=crop%2C1&fmt=webp-alpha,https://ita.sika.com/it/edilizia/sigillatura-e-incollaggio/trattamento-dei-giunti/giunti-in-copertura/ethafoam.html
Purigo® I-100,Sika,"Purigo® I-100 è un prodotto base di resina acrilica e silicati in emulsione acquosa, monocomponente, pronto all’uso. Per il trattamento superficiale di supporti cementizi orizzontali..",N/A,https://sika.scene7.com/is/image/sikacs/it-02-it-IT-purigoi100-01-1x1-00730541?wid=960&fit=crop%2C1&fmt=webp-alpha,https://ita.sika.com/it/edilizia/pavimentazioni-epareti/aree-di-stoccaggiologisticheecommerciali/antievaporanti-eantipolvere/purigo-i-100.html
Sarnafil® G 410-15 EL,Sika,"Sarnafil® G 410-15 EL (spessore 1.5 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di polivinilcloruro plastificato (PVC-p) di elevata qualità, con armatura interna in velo vetro, conforme alla norma di prodotto EN 13956.Sarnafil® G 410-15 EL è un manto impermeabile saldabile ad aria calda, contenente stabilizzatori alla luce ultravioletta e ritardanti di fiamma, provvisto di esclusiva laccatura superficiale, per una minore manutenzione e maggiore durabilità nel tempo.",N/A,https://sika.scene7.com/is/image/sikacs/it-02-it-IT-sarnafilg41015el-01-1x1-00673146?wid=960&fit=crop%2C1&fmt=webp-alpha,https://ita.sika.com/it/edilizia/sistemi-per-coperture/coperture-praticabili/manti-sintetici-incollati/sarnafil-g-410-15el.html
Sarnafil® G 410-15 EL Felt,Sika,"Sarnafil® G 410-15 EL Felt (spessore 1.5 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di polivinilcloruro plastificato (PVC-p) dielevata qualità, con armatura interna in velo vetro e pre-laminato sulla faccia inferiore a tessuto non tessuto in poliestere, conforme alla norma di prodottoEN 13956.Sarnafil® G 410-15 EL Felt è un manto impermeabile saldabile ad aria calda, contenente stabilizzatori alla luce ultravioletta e ritardanti di fiamma, provvisto diesclusiva laccatura superficiale, per una minore manutenzione e maggiore durabilità nel tempo.",N/A,https://sika.scene7.com/is/image/sikacs/it-02-it-IT-sarnafilg41015elfelt-01-1x1-00642124?wid=960&fit=crop%2C1&fmt=webp-alpha,https://ita.sika.com/it/edilizia/sistemi-per-coperture/rifacimento-coperture/coperture-in-guainabituminosa/manti-incollati/sarnafil-g-410-15elfelt.html
Sarnafil® G 410-18 EL,Sika,"Sarnafil® G 410-18 EL (spessore 1.8 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di polivinilcloruro plastificato (PVC-p) di elevata qualità, con armatura interna in velo vetro, conforme alla norma di prodotto EN 13956. 
  Sarnafil® G 410-18 EL è un manto impermeabile saldabile ad aria calda, contenente stabilizzatori alla luce ultravioletta e ritardanti di fiamma, provvisto di esclusiva laccatura superficiale, per una minore manutenzione e maggiore durabilità nel tempo.",N/A,https://sika.scene7.com/is/image/sikacs/it-02-it-IT-sarnafilg41018el-01-1x1-00175147?wid=960&fit=crop%2C1&fmt=webp-alpha,https://ita.sika.com/it/edilizia/sistemi-per-coperture/coperture-praticabili/manti-sintetici-incollati/sarnafil-g-410-18el.html
Sarnafil® G 410-18 EL Felt,Sika,"Sarnafil® G 410-18 EL Felt (spessore 1.8 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di polivinilcloruro plastificato (PVC-p) di elevata qualità, con armatura interna in velo vetro e pre-laminato sulla faccia inferiore a tessuto non tessuto in poliestere, conforme alla norma di prodottoEN 13956.Sarnafil® G 410-18 EL Felt è un manto impermeabile saldabile ad aria calda, contenente stabilizzatori alla luce ultravioletta e ritardanti di fiamma, provvisto di esclusiva laccatura superficiale, per una minore manutenzione e maggiore durabilità nel tempo.",N/A,https://sika.scene7.com/is/image/sikacs/it-02-it-IT-sarnafilg41018elfelt-01-1x1-00214839?wid=960&fit=crop%2C1&fmt=webp-alpha,https://ita.sika.com/it/edilizia/sistemi-per-coperture/rifacimento-coperture/coperture-in-guainabituminosa/manti-incollati/sarnafil-g-410-18elfelt.html
Sarnafil® S 327-15 EL,Sika,"Sarnafil® S 327-15 EL (spessore 1.5 mm) è un manto sintetico, armato con rete di poliestere a base di polivinilcloruro (PVC) di elevata qualità, per l'impermeabilizzazione di coperture, contenente stabilizzatori alla luce ultravioletta e ritardanti di fiamma, prodotto secondo la norma EN 13956. 
  Sarnafil® S 327-15 EL è un manto impermeabile saldabile ad aria calda, formulato per esposizione diretta ai raggi UV, progettato per l’utilizzo in tutte le condizioni climatiche.",N/A,https://sika.scene7.com/is/image/sikacs/it-02-it-IT-sarnafils32715el-01-1x1-00913994?wid=960&fit=crop%2C1&fmt=webp-alpha,https://ita.sika.com/it/edilizia/sistemi-per-coperture/rifacimento-coperture/coperture-in-mantosintetico/manti-fissati-meccanicamente/sarnafil-s-327-15el.html
Sarnafil® S 327-18 EL,Sika,"Sarnafil® S 327-18 EL (spessore 1.8 mm) è un manto sintetico, armato con rete di poliestere a base di polivinilcloruro (PVC) di elevata qualità, per l'impermeabilizzazione di coperture, contenente stabilizzatori alla luce ultravioletta e ritardante di fiamma, prodotto secondo la norma EN 13956.Sarnafil® S 327-18 EL è un manto impermeabile saldabile ad aria calda, formulato per esposizione diretta ai raggi UV, progettato per l’utilizzo in tutte le condizioni climatiche.",N/A,https://sika.scene7.com/is/image/sikacs/it-02-it-IT-sarnafils32718el-01-1x1-00922161?wid=960&fit=crop%2C1&fmt=webp-alpha,https://ita.sika.com/it/edilizia/sistemi-per-coperture/rifacimento-coperture/coperture-in-mantosintetico/manti-fissati-meccanicamente/sarnafil-s-327-18el.html
