name,description,url,image_url
Ancoraggio invisibile per tra…,"Ancoraggio invisibile per travi tipo pesante - in acciaio zincato a fuoco certificato ETA-09/0301
idonea per fissaggi a scomparsa in ambienti esterni ed interni classe di servizio 2
il fissaggio dei due componenti metallici agli elementi in legno avviene per mezzo di viti a tutto filetto, si consigliano le nostre viti VG 5x80 (cod.art.0685 109 480)",https://www.unishop.it/150/0685-109-412-01,https://www.unishop.it/media/91/5e/d8/1742241892/0685-109-410_MAINPIC_high.webp
Dima per ancoraggi invisibili,Dima per ancoraggi invisibili - in materiale plastico,https://www.unishop.it/0685-109-415-01,https://www.unishop.it/media/38/bb/5b/1742241905/0685-109-415_MAINPIC_high.webp
Supporto a T da avvitare con…,"Supporto a T da avvitare con anima piena - in acciaio zincato a fuoco idoneo per il fissaggio a scomparsa di montanti e travi in legno su calcestruzzo.
Fissaggio del trave mediante viti autoforanti SAF e relativi tappi in legno.",https://www.unishop.it/90x110/0685-050-002-01,https://www.unishop.it/media/6c/c1/36/1742241910/0685-050-002_MAINPIC_high.webp
Supporto a T da avvitare con…,"Supporto a T da avvitare con anima forata - in acciaio zincato a fuoco idoneo per il fissaggio a scomparsa di montanti e travi in legno su calcestruzzo.
Fissaggio del trave mediante viti zincate a caldo come da DIN 601.
Foro ovale 20 x 70.",https://www.unishop.it/90x110/0685-109-302-01,https://www.unishop.it/media/d4/2b/3f/1742241916/0685-109-302_MAINPIC_high.webp
Supporto da avvitare con perno,"Supporto da avvitare con perno - in acciaio zincato a fuoco idoneo per il fissaggio a scomparsa di montanti e travi in legno su calcestruzzo.
Fissaggio del trave mediante ancorante chimico o Edilfix.",https://www.unishop.it/90x90/0685-109-301-01,https://www.unishop.it/media/8c/d5/5d/1742241922/0685-109-301_MAINPIC_high.webp
Giunzione invisibile Alufix c…,"Giunzione invisibile Alufix con anima piena - in alluminio, anima a spada idonea per fissaggi invisibili in ambienti esterni ed interni classe di servizio 2.
Possibilità di impiego per il fissaggio di travi in parallelo.
 certificata ETA-13/0757in alluminio estruso, lega EN AW 6005 A. Soddisfa i requisiti di resistenza al fuoco.spalla preforata fissabile su legno con chiodi o viti da carpenteria, o fissabile su calcestruzzo mediante ancoranti pesanti metallici, viti multi-monti, barre filettate e resina chimica.montaggio sull’anima mediante viti autoforanti SAF",https://www.unishop.it/120/0685-000-120-01,https://www.unishop.it/media/4f/fc/40/1742241926/0685-000-080_MAINPIC_high.webp
Giunzione invisibile Alufix c…,"Giunzione invisibile Alufix con anima preforata - in alluminio, anima a spada idonea per fissaggi invisibili in ambienti esterni ed interni classe di servizio 2.
Possibilità di impiego per il fissaggio di travi in parallelo.
 certificata ETA-13/0757in alluminio estruso, lega EN AW 6005 A. Soddisfa i requisiti di resistenza al fuoco.spalla preforata fissabile su legno con chiodi o viti da carpenteria, o fissabile su calcestruzzo mediante ancoranti pesanti metallici, viti multi-monti, barre filettate e resina chimica.montaggio sull’anima mediante spinotti lisci diam. 12mm secondo EN14592:2008+A1:2012",https://www.unishop.it/160/0685-005-160-01,https://www.unishop.it/media/98/d0/49/1742241941/0685-005-120_MAINPIC_high.webp
Spinotti lisci in acciaio,"Spinotti lisci in acciaio - in acciaio zincato, calibrati e rettificati certificato EN14592:2008+A1
idoneo per fissaggio con giunzioni invisibili ALUFIX con anima preforata.
Estremità smussata per rendere più agevole l’inserimento nel legno",https://www.unishop.it/12x100/0685-012-100-01,https://www.unishop.it/media/fb/54/54/1742241949/0685-008-060_MAINPIC_high.webp
Supporto a bicchiere per pali…,"Supporto a bicchiere per pali quadri - in acciaio zincato a fuoco certificato ETA-13/0026
idoneo per il fissaggio travi verticali su calcestruzzo.
Fissaggio del trave mediante viti Ruspert®Silver (art 0196 8..)",https://www.unishop.it/161x161/0685-109-107-01,https://www.unishop.it/media/2c/1d/8f/1742241959/0685-109-097_MAINPIC_high.webp
Supporto a bicchiere per pali…,"Supporto a bicchiere per pali tondi - in acciaio zincato a fuoco certificato ETA-13/0026
idoneo per il fissaggio travi verticali su calcestruzzo.
Fissaggio del trave mediante viti Ruspert®Silver (art 0196 8..)",https://www.unishop.it/oe80/0685-109-110-01,https://www.unishop.it/media/8d/6a/e3/1742241974/0685-109-110_MAINPIC_high.webp
