name,description,url,image_url
Diamant Laser,"Diamant Laser - disco diamantato universale ideale per cemento, cemento armato, cotto, mattoni, betonella, ceramica, ghiaino lavato, granito, porfido, poroton, mattoni forati e pieni. Adatto anche per arenaria, clinker, marmo, tufo e tubi PVC 
corona di altezza 10mm ad alta concentrazione di diamante
segmenti saldati al laser
in grado di tagliare ferro di armatura del calcestruzzo
diametro 115 mm (nr. giri max. 16.650) o 230 mm (nr. giri max. 6.650)",https://www.unishop.it/oe230x2.5/0668-010-230-01,https://www.unishop.it/media/c2/5d/3a/1742243031/0668-010-230_MAINPIC_high.webp
Mole da taglio inox IZZYCUT s…,"Mole da taglio inox IZZYCUT sottile - disco di qualità economico idonea per taglio di acciaio inox, acciaio, lamiere sottili e materiali plastici
 ottimo rapporto qualità/prezzospessore ridotto per migliore precisione di tagliovelocità periferica max. 80m/s",https://www.unishop.it/oe115x1.6/0667-115-960-01,https://www.unishop.it/media/d4/35/ba/1742243092/0667-115-910_MAINPIC_high.webp
Punta HSS-R,"Punta HSS-R - DIN 338 indicata per forare ghisa, ferro, acciaio, leghe leggere, materiali plastici
 in acciaio superrapido HSS-R con esecuzione rullatacodolo cilindrico, elica destraprofonditá max. di foratura 5 x Ø punta",https://www.unishop.it/10x133/0621-010-0-01,https://www.unishop.it/media/1b/6f/4d/1742243115/0621-000-5_MAINPIC_high.webp
Punta muro SUPRA,"Punta muro SUPRA indicata per forare calcestruzzo, cemento, marmo, mattoni pieni e forati
 con speciale placca con tagliente al carburo di tungsteno ad alta resistenza alla percussionescanalature dell’elica fresate con sezione ad U per una forte evacuazione del materialecodolo cilindrico, elica destra",https://www.unishop.it/10x120/3637-001-10-01,https://www.unishop.it/media/d2/b4/59/1742243206/3637-001-03_MAINPIC_high.webp
Attacco esagonale,Alberino per seghe a tazza,https://www.unishop.it/14-30/0632-000-001-01,https://www.unishop.it/media/89/8e/f2/1742234631/0632-000-001_MAINPIC_high.webp
A punta,"Scalpello attacco SDS-PLUS - LongLife indicato per calcestruzzo, mattoni, laterizi, piastrelle e materiali edili in generale 
corpo in acciaio speciale
punte e lame autoaffilanti, prestazioni a lunga durata
utilizzo per martelli perforatori e demolitori
specifico per eseguire scassi e scanalature in laterizi",https://www.unishop.it/250/0648-900-01-01,https://www.unishop.it/media/bb/4b/cb/1742234623/0648-900-01_MAINPIC_high.webp
A punta,"Scalpello attacco SDS-MAX - LongLife indicato per calcestruzzo, mattoni, laterizi, piastrelle e materiali edili in generale 
corpo in acciaio speciale
punte e lame autoaffilanti, prestazioni a lunga durata
utilizzo per martelli perforatori e demolitori
specifico per eseguire scassi e scanalature in laterizi",https://www.unishop.it/400/0648-900-100-01,https://www.unishop.it/media/e1/c2/25/1742234625/0648-900-100_MAINPIC_high.webp
Punte HSS,Assortimenti punte metallo in contenitore metallico,https://www.unishop.it/oe1-10mm/0620-01-01,https://www.unishop.it/media/45/2d/0f/1742234619/0620-01_MAINPIC._high.webp
Punta per legno Profix,"Punta per legno Profix indicata per legno duro e dolce e suoi derivati, pannelli in compensato e truciolari.
 con punta di centraggioesecuzione al cromo-vanadiocodolo cilindrico, elica destra",https://www.unishop.it/3x61/3653-03-01,https://www.unishop.it/media/d0/dd/fe/1742243312/3653-03_MAINPIC_high.webp
Punta per legno serie lunga,"Punta per legno serie lunga indicata per legno duro e dolce e suoi derivati, pannelli in compensato e truciolari.
 con punta di centraggioesecuzione al cromo-vanadiocodolo cilindrico, elica destra",https://www.unishop.it/20x245/0650-920-01,https://www.unishop.it/media/20/e5/c4/1742243318/0650-96_MAINPIC_high.webp
