name,description,url,image_url
Serie E01-41 - Pinza universa…,"Serie E01-41 - Pinza universale combinata - finitura lucida, impugnature DuoTech a norma DIN ISO 5746, TS 11068
 ideali per tagliare fili duri e morbidiacciaio da utensili specialefinitura lucida elettrolucidata",https://www.unishop.it/160/0701-700-160-01,https://www.unishop.it/media/f9/c2/a5/1742243717/0701-700-160_MAINPIC_high.webp
J04-250L - Cesoia doppia leva…,"J04-250L - Cesoia doppia leva taglio sinistrorso - per lamiere per taglio di acciaio laminato fino 1,2mm e acciaio inossidabile fino 0,9mmtaglio senza sforzolame da 40mm in acciaio al cromo molibdeno con finitura satinataimpugnatura soft-grip",https://www.unishop.it/250/0701-740-251-01,https://www.unishop.it/media/c0/bc/bf/1746650175/0701-740-251_MAINPIC_high.webp
Serie G01 - Cacciavite a inta…,"Serie G01 - Cacciavite a intaglio isolato C-PLUS - omologato VDE a norma VDE 0682 Teil 201, DIN ISO 2380
 per lavori sotto tensione fino a 1000 V AC o 1500 V DCgambo in acciaio al cromo vanadio molibdeno isolatoimpugnatura soft-grip C-PLUSfinitura cromata satinatapunta neratestati individualmente in conformità con la norma DIN EN 60900:2004",https://www.unishop.it/tg-5-5/0701-855-125-01,https://www.unishop.it/media/8b/f2/5c/1742243757/0701-830-100_MAINPIC_high.webp
I38-2 - Tagliatubi mini,"I38-2 - Tagliatubi mini Per il taglio di tubi in rame, lega e lega leggeracorpo in lega leggera1 rotellina di taglio inclusafinitura verniciata a polvere",https://www.unishop.it/3-16/0701-730-138-02,https://www.unishop.it/media/35/a8/50/1742243809/0701-730-138_MAINPIC_high.webp
Serie CB/250D - Espositore in…,"Serie CB/250D - Espositore inserti 1/4\"" PH - da 240 pezzi contenuto: 20 scatole appendibili da 12 pezzi",https://www.unishop.it/ph1/0701-600-901-01,https://www.unishop.it/media/1e/2e/43/1742243932/0701-600-901_MAINPIC_high.webp
Serie F17 Stubby - Cacciaviti…,"Serie F17 Stubby - Cacciaviti Pozidriv C-PLUS a norma DIN ISO 8764-1/2, TS 59-1/5/6
 gambo in acciaio al cromo vanadio molibdenoimpugnatura soft-grip C-PLUSfinitura cromata satinatapunta nera",https://www.unishop.it/pzd2/0701-412-025-01,https://www.unishop.it/media/ed/d9/57/1742243560/0701-411-025_MAINPIC_high.webp
P05 - Flessometro,P05 - Flessometro classe di precisione CEE IIcassa in ABSnastro metrico,https://www.unishop.it/19x5mt/0701-783-819-01,https://www.unishop.it/media/9c/c6/02/1742243877/0701-783-819_MAINPIC_high.webp
Serie C02/H - Bussola esagona…,"Serie C02/H - Bussola esagonale 1/4\"" a norma DIN 3124, TS ISO 2725-1
 impronta esagonalein acciaio cromo vanadiofinitura cromata lucida",https://www.unishop.it/ch4-5/0701-240-045-01,https://www.unishop.it/media/d5/19/40/1742243497/0701-240-040_MAINPIC_high.webp
H99-12-06 - Set cacciaviti mi…,"H99-12-06 - Set cacciaviti mini per elettronica a intaglio/Phillips - da 6 pezzi TG- 1.5x40, 2.0x60, 2.5x80, 3.0x80 mmPH00x60, PH0x60 mm",https://www.unishop.it/0701-800-006-01,https://www.unishop.it/media/6d/ed/e1/1742243789/0701-800-006_MAINPIC_high.webp
Serie B01 - Chiave combinata,"Serie B01 - Chiave combinata a norma DIN 3113, TS ISO 7738
 testa ad anello inclinata a 15°in acciaio 31CrV3finitura cromata satinata",https://www.unishop.it/ch19/0701-000-019-01,https://www.unishop.it/media/a4/02/de/1742243387/0701-000-006_MAINPIC_high.webp
