name,brand,description,price,image_url,product_page_url
BRAVE s ESD,U-Power,"Scarpe antinfortunistiche basse, leggere e comode U-Power della linea Red Lion, con tomaia in pelle nabuk naturale bottalato, traspiranti, idrorepellente, puntale in alluminio, antiperforazione, antiscivolo e suola PU/PU, infinergy.",N/A,https://storage.googleapis.com/u-power-web-assets/calzature-prodotti-immagini-catalogo/scarpa-antinfortunistica-upower-modello-brave-linea-redlion-vista-laterale.jpg,https://www.u-power.it/it/calzature/brave
DARDO s,U-Power,"Scarpe antinfortunistiche basse totalmente ""metal free"", comode e leggere U-Power della linea Rock&Roll, con tomaia in morbida pelle scamosciata con inserti rete ultra traspirante, inserti in Mesh traspirante, puntale AirToe Composite, antiperforazione, antiscivolo e suola PU/PU.",N/A,https://storage.googleapis.com/u-power-web-assets/calzature-prodotti-immagini-catalogo/scarpa-antinfortunistica-upower-modello-dardo-linea-rock_roll-vista-laterale.jpg,https://www.u-power.it/it/calzature/dardo
MARCUS  ESD,U-Power,"Marcus è una scarpa da lavoro pensata per chi cerca una combinazione di comfort e protezione . La tomaia in microfibra effetto Nabuk è idrorepellente , resistente e facile da pulire , ideale per ambienti di lavoro impegnativi. Il puntale Fibertoe assicura protezione prolungata, mentre il sottopiede antiforo ultra leggero garantisce sicurezza contro i rischi di perforazione . Completamente metal free , Marcus assicura una calzata più leggera e pratica. La suola EVA e gomma grigia offre stabilità e aderenza, assicurando il massimo delle prestazioni. È disponibile in tutte le taglie dalla 35 alla 48.",N/A,https://storage.googleapis.com/u-power-web-assets/calzature-prodotti-immagini-catalogo/scarpa-antinfortunistica-upower-modello-marcus-linea-red-ego.jpg,https://www.u-power.it/it/calzature/marcus
SOFT o,U-Power,"Scarpe antinfortunistiche bianche basse totalmente ""no metal"", comode e leggere U-Power della linea Professional, con tomaia Safety Dry idrorepellente, puntale Golia 0 Joule, antistatiche, resistenti agli idrocarburi e oli, antiscivolo e suola PU/PU.",N/A,https://storage.googleapis.com/u-power-web-assets/calzature-prodotti-immagini-catalogo/scarpa-antinfortunistica-upower-modello-soft-linea-professional-vista-laterale.jpg,https://www.u-power.it/it/calzature/soft
MIKE s ESD,U-Power,"Scarpe antinfortunistiche leggere traspiranti che utilizzano nuovi materiali per ridurre il peso della calzatura e offrire maggiore comfort e risparmio di energie.

Scarpe da lavoro antiscivolo con suola antistatica , antiolio e anti-abrasione in mescola PU di nuova generazione, super leggera .

Tomaia in Nylon traspirante e film anti-abrasione a protezione della punta con effetto bi-colore. La protezione è assicurata dalla presenza del puntale AirToe Aluminium e dall’innovativo sottopiede tessile antiforo ultraleggero .

Scarpe antinfortunistiche leggere e comode , adatte sia ad una clientela maschile che femminile, con fodera a tunnel d'aria WingTex che assicura una traspirazione ottimale e soletta anatomica leggera U-Power Original in mescola poliuretanica, ad effetto antibatterico e traspirante.

Scarpe da lavoro estive ideali per: falegname , elettricista e artigiani in generale, trasporti & logistica , magazziniere .",N/A,https://storage.googleapis.com/u-power-web-assets/calzature-prodotti-immagini-catalogo/upower-scarpa-antinfortunistica-modello-mike-linea-red-leve-vista-laterale-1.jpg,https://www.u-power.it/it/calzature/mike
LION s,U-Power,"Scarpe antinfortunistiche alte, leggere e comode U-Power della linea The Roar, con tomaia in pelle Nabuk naturale bottalato, idrorepellente,  puntale in alluminio, antiperforazione, antiscivolo e suola PU/PU LIGHT GRIP.",N/A,https://storage.googleapis.com/u-power-web-assets/calzature-prodotti-immagini-catalogo/scarpa-antinfortunistica-upower-modello-lion-linea-theroar-vista-laterale.jpg,https://www.u-power.it/it/calzature/lion
TONGUE L,U-Power,"Scarpe antinfortunistiche basse, classiche e robuste U-Power della linea Style&Job, con tomaia in pelle stampata idrorepellente, puntale in acciaio, antiperforazione, antiscivolo, lamina in acciaio ergonomica e suola PU/PU.",N/A,https://storage.googleapis.com/u-power-web-assets/calzature-prodotti-immagini-catalogo/scarpa-antinfortunistica-upower-modello-tongue-linea-STYLE_JOB-vista-laterale.jpg,https://www.u-power.it/it/calzature/tongue
SUN s,U-Power,"Scarpe antinfortunistiche basse totalmente ""metal free"", comode e leggere U-Power della linea Rock&Roll, con tomaia in morbida pelle scamosciata, inserti in Mesh traspirante, puntale AirToe Composite, antiperforazione, antiscivolo e suola PU/PU.",N/A,https://storage.googleapis.com/u-power-web-assets/calzature-prodotti-immagini-catalogo/scarpa-antinfortunistica-upower-modello-sun-linea-rock_roll-vista-laterale.jpg,https://www.u-power.it/it/calzature/sun
OSLO s ESD,U-Power,"Scarpe antinfortunistiche senza lacci con tomaia in morbida pelle scamosciata e chiusura con velcro .

Calzature da lavoro con puntale Airtoe Composite e sistema anti-perforazione Save & Flex Plus totalmente "" No Metal "" che garantiscono sicurezza e protezione della punta e della pianta del piede.

Scarpe da lavoro leggere e comode con sottopiede automodellante e inserto antifatica WOW2 che migliora equilibrio e stabilità, riducendo lo stress corporeo e migliorando la percezione di comodità e benessere.

Calzature antinfortunistica con suola antiscivolo , antiolio , antistatica e anti-abrasione ideali in diversi ambiti lavorativi, come: artigiani , falegnami , elettricisti , idraulici , imbianchini , operai , benzinai , meccanici e gommisti , agricoltura e giardineria , trasporti & logistica , cantiere e muratore .

Scarpe da lavoro uomo e donna .",N/A,https://storage.googleapis.com/u-power-web-assets/calzature-prodotti-immagini-catalogo/scarpa-antinfortunistica-upower-modello-oslo-linea-redindustry-new.jpg,https://www.u-power.it/it/calzature/oslo
FOREMAN o ESD,U-Power,"Scarpe antinfortunistiche basse, leggere e comode U-Power della linea Red Pro, con tomaia in Nylon traspirante con rivestimento protettivo, idrorepellente e suola PU/PU infinergy.",N/A,https://storage.googleapis.com/u-power-web-assets/calzature-prodotti-immagini-catalogo/scarpa-antinfortunistica-upower-modello-foreman-linea-redpro-vista-laterale-0.jpg,https://www.u-power.it/it/calzature/foreman
