name,brand,description,price,image_url,product_page_url
Weber ip610 extra kg.25 into premisc. bcl.64,Weber,Intonaco premiscelato di sottofondo a base di calce-cemento ad applicazione manuale o meccanizzata per superfici tradizionali in interno e esterno.,N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/3/4/34f53f9e20d8c6753956ce970a242fd350a35137931db501f9dfcec1747a0b6d.jpeg,https://www.gruppoedico.it/edilizia/weber_ip610_extra_kg_25_into_premisc_bcl_64_62.html
Webercote flexcover 14kg bianco rivestimento flessibile,Weber,"Rivestimento flessibile bianco per proteggere e decorare superfici esterne, resistente alle intemperie e alle muffe.",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/7/f/7f00002faa1642b1d1a508966d9ec03714d24f804923c5d8965c645ba0bf5a13.jpeg,https://www.gruppoedico.it/vernici-e-idropitture/webercote_flexcover_14kg_bianco_rivestimento_flessibile_158.html
Schiuma poliuretanica manuale ml.750 universale monocomponente,Weber,"Pu foam universal è una schiuma riempitiva universale, poliuretanica monocomponente, autoespandente, da poter utilizzare sia manuale che con pistola erogatrice.",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/3/f/3fe52c2d5ef3cd77adc4ad822be370b73f5a658cba70d8dba1423e7331ae4a3a.jpeg,https://www.gruppoedico.it/ferramenta/schiuma_poliuretanica_manuale_ml_750_universale_monocomponente_384.html
Pulitore per schiuma pu ml.500,Weber,Detergente spray per schiuma poliuretanica non indurita. ideale anche per la pulizia di pistole per schiuma o residui di schiuma non indurita.,N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/8/3/8337d9a31fa57a1a091b4d95622865381a8a02c9a0a26af14ff005221bd091e8.jpeg,https://www.gruppoedico.it/ferramenta/pulitore_per_schiuma_pu_ml_500_182.html
One bond adhesive gun 750ml schiuma adesiva pistola,Weber,"Adesivo poliuretanico in schiuma per incollaggio di pannelli isolanti, mattoni ed elementi decorativi, per pistola.",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/8/d/8df95ec7a6bb0d376182804ddfd6f1e6ef6ca989f2ae1fab8736d2ad41bda214.jpeg,https://www.gruppoedico.it/ferramenta/one_bond_adhesive_gun_750ml_schiuma_adesiva_pistola_56.html
Weber ancorante ep c2 ml.470,Weber,"ancorante chimico epossidico bi-componente con prestazione sismica di classe c2. supporti : laterizio, mattoni, pietra mista, termolaterizio, tufo / arenaria",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/a/n/ancorante_chimico_weber_ep.jpg,https://www.gruppoedico.it/ferramenta/weber_ancorante_ep_c2_ml_470_14.html
Webertec ep300 (a+b) kg. 5,Weber,"webertec ep300 è una resina epossidica bicomponente, tixotropica addensata da usare su superfici in cls come livellamento, recupero asperità superficiali, stuccatura.",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/2/2/22a195fef5e27710ba1cc7fa1d6d7a6b3b7315936b0c80f9844585a6a30853c7.jpeg,https://www.gruppoedico.it/edilizia/webertec_ep300_a_b_kg_5_290.html
Lastra webertherm rp20/60 60x100 sp. 6 cm. pacco mq. 3,Weber,"isolante, fonoassorbente, per sistemi a capotto termico in lana di roccia, ad elevata traspirabilità, ignifugo resistente al fuoco, idonei ai criteri minimi ambientali ( decr. cam)",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/w/e/webertherm.jpg,https://www.gruppoedico.it/lastra-webertherm-rp20-60-60x100-sp-6-cm-pacco-mq-3-450.html
Weber color premium stucco col. cement 612 da kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/f/3/f3f52244b7f11e35941fe997ae4e3f1e585abb5014fb2683f889bb2fba41a2da.jpeg,https://www.gruppoedico.it/edilizia/weber_color_premium_stucco_col_cement_612_da_kg_5_289.html
Weber color premium stucco col. avorio 100 da kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/2/e/2ed08e1539458e1452b36f1b3719b1b9966555ca888a99d01ecd223c7b01e842.jpeg,https://www.gruppoedico.it/edilizia/weber_color_premium_stucco_col_avorio_100_da_kg_5_377.html
Weber color premium stucco col. ginger 101  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/6/9/6980285ffde434ebe2421f7b99b8f054ae8731d84dd5fe4a64b1a7736538a12b.jpeg,https://www.gruppoedico.it/weber-color-premium-stucco-col-ginger-101-kg-5-204.html
Weber color premium stucco col. sabbia lavica  208 kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/8/6/868cdffaa465f5f9674a94bc0c5a6c403a2b20d5afef25da6c1810870b187e85.jpeg,https://www.gruppoedico.it/weber-color-premium-stucco-col-sabbia-lavica-208-kg-5-291.html
Weber color premium stucco col. tabacco 203  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/d/7/d71b8653504bbd427a611ee19f83ed54c627c9490cf02be54f9aafd1ba365545.jpeg,https://www.gruppoedico.it/weber-color-premium-stucco-col-tabacco-203-kg-5-242.html
Weber color premium stucco col. terracotta 301  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/d/e/de798f192e2ba8f07482018be420f6f294c579e752a432d3fab1d3d9456597cc.jpeg,https://www.gruppoedico.it/weber-color-premium-stucco-col-terracotta-301-kg-5-469.html
Weber color premium stucco col. perla 600 kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/5/0/50ee4384962f4852dd5778ac7ab990acf23127de9ce75d8f8ad51ed8b690aa0f.jpeg,https://www.gruppoedico.it/weber-color-premium-stucco-col-perla-600-kg-5-190.html
Weber color premium stucco col. basalto 607 kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/d/1/d1dc7ad8786971be43a5d20b65b194f4fc712daeee2c14d00f91c89402be2d00.jpeg,https://www.gruppoedico.it/weber-color-premium-stucco-col-basalto-607-kg-5-294.html
Weber color premium stucco col. antracite 614 da kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/e/8/e8c32801ca6e6aa55a2c2e74021868944d7e24df8a3daf9bb8524cf134993c53.jpeg,https://www.gruppoedico.it/edilizia/weber_color_premium_stucco_col_cenere_609_kg_5_311.html
Weber color premium stucco col. ferro 601  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/a/6/a61a62823c359db939a94d91a65b44ce015880eed60511d432324cff07dbdec7.jpeg,https://www.gruppoedico.it/weber-color-premium-stucco-col-ferro-601-kg-5-290.html
Weber color premium stucco col. fumo di londra 603  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/4/e/4e74f355f0b98983127947267fa5bbca3885cc65d8bc5e8640b395ba08cd73f4.jpeg,https://www.gruppoedico.it/edilizia/weber_color_premium_stucco_col_fumo_di_londra_603_kg_5_220.html
Weber color premium stucco col. bianco 001  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/d/b/dbee4bb57225dd2812cc5ea3d8d7cfe0e04b4306394fad51bc612e383e13480b.jpeg,https://www.gruppoedico.it/weber-color-premium-stucco-col-bianco-001-kg-5-25.html
Weber color premium stucco col. antracite 614 da kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/e/8/e8c32801ca6e6aa55a2c2e74021868944d7e24df8a3daf9bb8524cf134993c53.jpeg,https://www.gruppoedico.it/weber-color-premium-stucco-col-antracite-614-da-kg-5-343.html
Webertec flangia per il fissaggio di reti strutturali,Weber,Accessorio per il fissaggio della rete per il sistema di anti sfondellamento webertec,N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/5/2/52b532adf990a060a2a941e5f22798e4fc4e608213401d53898ff104c7d0ec74.jpeg,https://www.gruppoedico.it/webertec-flangia-per-il-fissaggio-di-reti-strutturali-480.html
Webertec angolare in acciaio zincato per le reti nel sistema antisfondellamento,Weber,"Angolare in acciaio zincato per il raccordo della rete, applicata nel sistema antisfondellamento",N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/a/2/a20188a87b7a8620c716cc349358ce56db97349128c6f840205d539733904063.jpeg,https://www.gruppoedico.it/webertec-angolare-in-acciaio-zincato-per-le-reti-nel-sistema-antisfondellamento-321.html
Webertec elicafix a10 barra a forma elicoidale in acciaio aisi 316 dm 10 mm,Weber,Barra a forma elicoidale in acciaio aisi 316 ad elevate prestazioni meccaniche per interventi anti sismico o per interventi localizzati di rinforzo e consolidamento. dm 10 mm,N/A,https://www.gruppoedico.it/media/catalog/product/cache/6544586560bc2525e4fe002d044ea751/c/a/cattura_4.jpg,https://www.gruppoedico.it/webertec-elicafix-a10-barra-a-forma-elicoidale-in-acciaio-aisi-316-dm-10-mm-205.html
