name,brand,description,price,image_url,product_page_url
TASSELLATORE - LITIOCRH 20 BL N,Yamato,"voltaggio max: 20 V
attacco punte e scalpelli: SDS-Plus
potenza di percussione: 2,2 joules
giri minuto: 0~950
colpi al minuto: 0~4.300
capacità foratura legno: Ø 30 mm
capacità foratura pietra: Ø 24 mm
capacità foratura acciaio: Ø 13 mm
peso: 2,50 kg
motore brushless (senza spazzole)
4 funzioni: rotazione, rotazione+percussione, scalpellatura, regolazione angolo scalpello
inversione del senso di rotazione
impugnatura supplementare
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_15530_83514_img_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5744/desc/
TASSELLATORE - LITIOCRH 20 L,Yamato,"voltaggio max: 20 V
attacco punte e scalpelli: SDS-Plus
potenza di percussione: 1,1 joules
giri minuto: 0~900
colpi al minuto: 0~5.000
capacità foratura legno: Ø 16 mm
capacità foratura pietra: Ø 10 mm
capacità foratura acciaio: Ø 8 mm
peso: 1,50 kg
2 funzioni: rotazione, rotazione+percussione
inversione del senso di rotazione
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_10049_80159_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5019/desc/
TRAPANO AVVITATORE A PERCUSSIONE - LITIOCDP 20 BL,Yamato,"voltaggio max: 20 V
mandrino: 2-13 mm
n° velocità: 2
giri minuto: 0~500 / 0~2.000
colpi al minuto: 0~7.500 / 0~30.000
regolazione di coppia: 21+3
coppia massima: 65 Nm
peso: 1,40 kg
motore brushless (senza spazzole)
mandrino in metallo con sistema auto-lock
inversione del senso di rotazione
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_8903_53153_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/4750/desc/
TRAPANO AVVITATORE - LITIOCD 20 LB,Yamato,"voltaggio max: 20 V
Ampere: 2,0 Ah
mandrino: 10 mm
n° velocità: 2
giri minuto: 0~400 / 0~1.500
regolazione di coppia: 18+1
coppia massima: 30 Nm
caricabatterie: 1 h
peso: 1,21 kg
indicatore di carica
1 batteria in dotazione
luce frontale
inversione del senso di rotazione
valigetta plastica",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_15558_83516_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5669/desc/
TRAPANO AVVITATORE - LITIOCD-X 20 LB,Yamato,"voltaggio max: 20 V
mandrino: 10 mm
n° velocità: 2
giri minuto: 0~400 / 0~1.500
regolazione di coppia: 18+1
coppia massima: 30 Nm
peso: 1,21 kg
indicatore di carica
luce frontale
inversione del senso di rotazione
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_15554_83515_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5668/desc/
AVVITATORE AD IMPULSI - LITIOCDI 20 L,Yamato,"voltaggio max: 20 V
mandrino: 1/4""
giri minuto: 0-2.200
colpi al minuto: 0-3.000
coppia massima: 180 Nm
peso: 1,40 kg
inversione del senso di rotazione
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_8905_53149_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/4601/desc/
AVVITATORE AD IMPULSI - LITIOCDI 20 BL N,Yamato,"voltaggio max: 20 V
mandrino: 1/2"" quadrato
n° velocità in avvitamento: 3
giri minuto: 0~1.800 / 0~2.200 / 0~2.600
colpi al minuto: 0~2.500 / 0~3.000 / 0~3.500
coppia massima: 400 Nm
peso: 1,20 kg
motore brushless (senza spazzole)
2 modalità in svitamento (velocità continua o rallentata)
inversione del senso di rotazione
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_14806_83511_img_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5821/desc/
TRAPANO AVVITATORE COMPATTO - LITIOCD 20 BL,Yamato,"voltaggio max: 20 V
mandrino: 0,8-10 mm
n° velocità: 2
giri minuto: 0~400 / 0~1.400
regolazione di coppia: 18+1
coppia massima: 35 Nm
peso: 1,40 kg
motore brushless (senza spazzole)
inversione del senso di rotazione
luce frontale
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_15555_83513_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5660/desc/
TRAPANO AVVITATORE A PERCUSSIONE - LITIOCDP-X 20 L1,Yamato,"voltaggio max: 20 V
mandrino: 13 mm
n° velocità: 2
giri minuto: 0~350 / 0~1.250
colpi al minuto: 0~5.250 / 0~18.750
regolazione di coppia: 16
coppia massima: 40 Nm
peso: 1,50 kg
3 funzioni: trapano - percussione - avvitatore
indicatore di carica
luce frontale
indicatore di carica
inversione del senso di rotazione
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_10051_60380_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5016/desc/
TRAPANO AVVITATORE A PERCUSSIONE - LITIOCDP 20 L1,Yamato,"voltaggio max: 20 V
Ampere: 2,0 Ah
mandrino: 13 mm
n° velocità: 2
giri minuto: 0~350 / 0~1.250
colpi al minuto: 0~5.250 / 0~18.750
regolazione di coppia: 16
coppia massima: 40 Nm
caricabatterie: 1 h
peso: 1,50 kg
3 funzioni: trapano - percussione - avvitatore
1 batteria in dotazione
indicatore di carica
luce frontale
inversione del senso di rotazione
valigetta plastica",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_9326_53842_cat.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/4829/desc/
TRAPANO AVVITATORE - LITIOCDQ 12 LV,Yamato,"voltaggio max: 12 V
Ampere: 2,0 Ah
mandrino: 10 mm
n° velocità: 2
giri minuto: 0~350 / 0~1.350
regolazione di coppia: 18+1
coppia massima: 25 Nm
caricabatterie: 1 h
peso: 0,83 kg
cambio rapido mandrino
1 batteria in dotazione da 2,0 Ah
indicatore di carica
inversione del senso di rotazione
luce frontale
valigetta plastica",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_15807_83510_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5667/desc/
TRAPANO AVVITATORE - LITIOCDM 12 LV,Yamato,"voltaggio max: 12 V
Ampere: 1,3 Ah
mandrino: 10 mm
n° velocità: 2
giri minuto: 0~350/0~1.300
regolazione di coppia: 19+1
coppia massima: 25 Nm
caricabatterie: 3-5 h
peso: 1 kg
indicatore di carica
inversione del senso di rotazione
luce frontale
porta bits magnetico",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_14532_53839_cat.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/4833/desc/
AVVITA-SVITA - LITIOCS 36NK,Yamato,"voltaggio max: 3,6 V
Ampere: 1,3 Ah
attacco: 1/4""
n° velocità: 1
giri minuto: 180
tempo di ricarica: 3-5 h
peso: 370 g
indicatore di carica a 3 led
impugnatura girevole
impugnatura gomma
portapunte magnetico
LED illuminazione area di lavoro
valigetta plastica",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_8430_97209_cat.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/1527/desc/
AVVITA-SVITA - LITIOCS 36NF,Yamato,"voltaggio max: 3,6 V
Ampere: 1,3 Ah
attacco: 1/4""
n° velocità: 1
giri minuto: 200
tempo di ricarica: 2-3 h
peso: 350 g
indicatore di carica a 3 led
impugnatura gomma
portapunte magnetico
LED illuminazione area di lavoro
con fondina",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FCAT%2FMOD_13981_82872_cat.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5570/desc/
SMERIGLIATRICE ANGOLARE - LITIOCSA 20 BL,Yamato,"voltaggio max: 20 V
disco: Ø 115 mm
perno: 14 MA
giri minuto: 10.000
peso (solo corpo macchina): 1,70 kg
motore brushless (senza spazzole)
bloccaggio mola a pulsante
impugnatura regolabile 3 posizioni
protezione disco per taglio
disco non in dotazione
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_11888_82087_edit_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5357/desc/
SMERIGLIATRICE ANGOLARE - LITIOCSA 20 LK 115,Yamato,"voltaggio max: 20 V
Ampere: 4,0 Ah
disco: Ø 115 mm
perno: 14 MA
giri minuto: 10.000
caricabatterie: 1 h
peso (solo corpo macchina): 1,95 kg
bloccaggio mola a pulsante
impugnatura regolabile 2 posizioni
protezione disco per taglio
1 batteria in dotazione
indicatore di carica
valigetta plastica
disco in dotazione",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_14140_83777_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5655/desc/
SMERIGLIATRICE ANGOLARE - LITIOCSA-X 20LN 115,Yamato,"voltaggio max: 20 V
disco: Ø 115 mm
perno: 14 MA
giri minuto: 10.000
peso (solo corpo macchina): 1,95 kg
bloccaggio mola a pulsante
impugnatura regolabile 2 posizioni
protezione disco per taglio
disco in dotazione
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_11144_81397_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5192/desc/
LEVIGATRICE ORBITALE A BATTERIA - LITIOCOS 20 L,Yamato,"voltaggio max: 20 V
oscillazioni minuto: 2.000~10.000
piastra: Ø 125 mm
peso: 1,40 kg
attacco aspirazione polveri
sacchetto raccoglipolvere
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_10104_80162_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5020/desc/
PIALLA A BATTERIA - LITIOCPL 20 L,Yamato,"voltaggio max: 20 V
larghezza piallatura: 82 mm
profondità piallatura: 1,5 mm
profondità battuta: 20 mm
velocità a vuoto: 0-16.000
attacco aspirazione polveri
peso: 2,55 kg
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_11884_82091_edit_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5355/desc/
UTENSILE MULTIFUNZIONE - LITIOCMT-X 20 L,Yamato,"voltaggio max: 20 V
giri minuto: 5.000-20.000
angolo oscillazione: 3°
peso: 1,20 kg
cambio lama rapido
luce frontale
impugnatura regolabile 2 posizioni
indicatore di carica
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_10068_60453_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/5018/desc/
SEGA A GATTUCCIO A BATTERIA - LITIOCSG 20 L,Yamato,"voltaggio max: 20 V
corsa lama: 22 mm
oscillazioni minuto: 0~3.000
capacità di taglio su legno: 115 mm
capacità di taglio su metallo: 10 mm
peso: 2,25 kg
cambio lama rapido
1 lama per legno - 1 lama per metallo
solo corpo (batteria e caricabatteria non inclusi)",N/A,https://www.yamato.ferritalia.it/image_resizer.php?target=400&img=%2Farchivio%2FWEB%2FMOD_8911_53156_web.jpg,https://www.yamato.ferritalia.it/dettaglio-prodotto/modello/4754/desc/
